"rank","scenario_id","phrase_id","english_text","priority_reason","confidence","review_flag","execution_status","decision_notes"
"35","convenience-store","french-convenience-store-2","Do you have a bag","Common checkout follow-through question in kiosks mini-marts and station shops.","high","none","second-wave-translated","Translated as a common checkout follow-up for kiosks and small shops."
"36","convenience-store","french-convenience-store-4","Do you have a phone charger","France-fit convenience-store utility request after rewriting away from the sunscreen carryover.","high","none","second-wave-translated","Translated as a practical charger request for station shops and convenience counters."
"37","convenience-store","french-convenience-store-5","Please open this for me","Helpful packaging-assistance line for drinks and hard-to-open items.","high","none","second-wave-translated","Translated as a polite packaging-help request for bottles and hard seals."
"38","convenience-store","french-convenience-store-3","Tissues please","Quick purchase request with more everyday utility than small talk.","medium","none","second-wave-translated","Translated as a small but practical counter-purchase row."
"39","directions","french-directions-4","Which line should I take","Important metro or train follow-up once the traveler already has a destination but still needs the right line.","high","transit-review","second-wave-translated","Translated as a metro-or-train line follow-up after the platform question."
"40","directions","french-directions-5","Is this the right platform","Practical station confirmation row that pairs well with ticket and board-checking moments.","high","transit-review","second-wave-translated","Translated as a short station-platform confirmation question."
"41","directions","french-directions-6","Do I keep going straight","Useful route-confirmation follow-up after the first directions answer.","high","none","second-wave-translated","Translated as a route-confirmation follow-up after the first directions answer."
"42","directions","french-directions-7","Thanks I understand now","Useful close-out line after a directions exchange once the traveler is back on track.","medium","none","second-wave-translated","Translated as a clean directions close-out once the traveler is back on track."
"43","grab-taxi","french-grab-taxi-7","I will pay by card","Practical ride-payment clarification line that fits France better than cash-default wording.","medium","payment-review","second-wave-translated","Translated as a clear ride-payment confirmation line for card use."
"44","grab-taxi","french-grab-taxi-4","Please use this route","Useful route-correction phrase when the traveler is already showing the map screen.","medium","transit-review","second-wave-translated","Translated as a map-screen route request instead of free-form navigation."
"45","grab-taxi","french-grab-taxi-5","Please turn on the air conditioning","Useful ride-comfort request for warm-weather or stuffy-car situations.","medium","none","second-wave-translated","Translated as a warmer-weather ride-comfort request."
"46","grab-taxi","french-grab-taxi-6","Wait for me five minutes","Helpful short-stop instruction for quick errands during a ride.","medium","service-wording-review","second-wave-translated","Translated as a brief short-stop request while keeping the driver tone polite."
"47","asking-price","french-asking-price-4","Is there a cheaper one","Safer comparison-shopping row for France than direct bargaining language.","medium","shopping-tone-review","second-wave-translated","Translated as an option-comparison question rather than a bargaining demand."
"48","asking-price","french-asking-price-2","How much for one","Useful per-item clarification row for counters bakeries and souvenir shops.","medium","none","second-wave-translated","Translated as a per-item clarification row for shops and counters."
"49","asking-price","french-asking-price-3","That is expensive","Useful price-reaction line, but still lower value than the confirmation and item-selection rows.","medium","shopping-tone-review","second-wave-translated","Translated as a soft price reaction instead of a confrontational complaint."
"50","coffee-shop","french-coffee-shop-2","A black coffee please","Useful cafe baseline once the iced-drink carryover is rewritten into a France-fit black coffee order.","medium","none","second-wave-translated","Translated as the France-fit black-coffee follow-up after the base coffee row."
"51","coffee-shop","french-coffee-shop-3","A cafe creme please","Common milk-coffee order that becomes useful once the iced-latte carryover is removed.","medium","service-wording-review","second-wave-translated","Translated as the common milk-coffee order for cafes and bakeries."
"52","coffee-shop","french-coffee-shop-5","No sugar please","Simple drink-customization request that keeps cafe ordering practical.","medium","none","second-wave-translated","Translated as a quick drink-customization follow-up."
"53","street-food","french-street-food-2","I would like this one","High-utility pointing line for counters bakeries and prepared-food selections.","medium","none","second-wave-translated","Translated as a simple pointing line for pastries prepared food and casual counters."
"54","street-food","french-street-food-3","Not spicy please","Useful food-adjustment request, but less central for France than repair and hotel rows.","medium","food-review","second-wave-translated","Translated as a mild-food request while keeping the wording short."
"55","street-food","french-street-food-6","A fork and knife please","Important utensil follow-through line after the chopsticks carryover was removed.","medium","none","second-wave-translated","Translated as a practical utensil request after removing the chopsticks carryover."
"56","street-food","french-street-food-7","To take away please","Useful takeaway request for prepared food once ordering is complete.","medium","service-wording-review","second-wave-translated","Translated as the prepared-food takeaway follow-through."
"57","street-food","french-street-food-4","More bread please","France-fit dining row that is practical but less urgent than water payment and repair rows.","medium","service-wording-review","second-wave-translated","Translated as a France-fit bread follow-up instead of the old herbs carryover."
"58","polite-basics","french-polite-basics-3","Yes","Useful acknowledgment row that helps the traveler respond politely in short service exchanges.","medium","none","second-wave-translated","Translated as the core short acknowledgment row."
"59","polite-basics","french-polite-basics-6","It is okay","Useful reassurance row when someone apologizes or a minor issue is resolved.","medium","none","second-wave-translated","Translated as a useful reassurance reply when someone apologizes."
"60","polite-basics","french-polite-basics-7","Goodbye","Useful closing phrase that can wait until the main utility layer is translated.","medium","service-wording-review","second-wave-translated","Translated as the standard closing phrase for leaving a shop hotel or ride."
"61","simple-problems","french-simple-problems-4","I left something behind","Useful repair phrase for rooms cars and cafes once the top repair rows are stable.","medium","context-wording-review","second-wave-translated","Translated with general forgotten-item wording that still works across rooms cars and cafes."
"62","simple-problems","french-simple-problems-5","The Wi-Fi is not working","Common connectivity repair phrase for hotels and cafes with immediate practical value.","medium","none","second-wave-translated","Translated as a practical connectivity problem report for hotels and cafes."
"63","small-talk","french-small-talk-3","This is my first time here","Strongest remaining social row, but still lower value than the practical travel pack.","low","lower-priority-social","deferred-lower-priority","Later-only social hold: strongest remaining social row, but still outside the current practical France closure."
"64","small-talk","french-small-talk-5","The food is very good","Friendly compliment row that can wait until the core traveler rows are stable.","low","lower-priority-social","deferred-lower-priority","Later-only social hold for a future hospitality or friendliness expansion instead of live translation debt."
"65","small-talk","french-small-talk-4","I like it here","Low-pressure positive comment for later small-talk coverage.","low","lower-priority-social","deferred-lower-priority","Later-only social hold for a future hospitality or friendliness expansion instead of live translation debt."
"66","small-talk","french-small-talk-1","I am from the United States","Simple origin answer that is easy to defer once the practical rows are prioritized.","low","lower-priority-social","deferred-lower-priority","Later-only social hold for a future hospitality or friendliness expansion; practical traveler rows stay ahead of origin small talk."
"67","small-talk","french-small-talk-2","I am from England","Simple origin answer that is easy to defer once the practical rows are prioritized.","low","lower-priority-social","deferred-lower-priority","Later-only social hold for a future hospitality or friendliness expansion; practical traveler rows stay ahead of origin small talk."
"68","small-talk","french-small-talk-6","The weather is nice today","Low-pressure weather small talk that can wait until or unless the lane wants broader social coverage.","low","lower-priority-social","deferred-lower-priority","Later-only social hold for a future hospitality or friendliness expansion instead of live translation debt."
"69","small-talk","french-small-talk-7","How are you","English wellness small talk does not map cleanly to a high-value France travel row.","low","native-review-social","deferred-native-review","Native-review-only hold because English wellness small talk still does not map cleanly to high-value France travel utility."
"70","coffee-shop","french-coffee-shop-4","Just a little ice","Still a weak France-first cafe intent compared with stronger practical ordering rows.","low","retired-weak-france-fit","retired-current-lane","Retired from the current France lane; reopen only if a future cafe-fit source rewrite replaces the weak less-ice intent."
