"rank","scenario_id","phrase_id","english_text","priority_reason","confidence","review_flag","execution_status","decision_notes"
"36","convenience-store","german-convenience-store-4","Where is the sunscreen","Useful store-navigation question for practical travel needs in warm weather.","medium","none","translated-second-pass","Translated in the second pass as a practical shelf-location question."
"37","convenience-store","german-convenience-store-5","Please open this for me","Helpful packaging-assistance line for drinks and hard-to-open items.","medium","service-wording-review","translated-second-pass","Translated in the second pass as a polite help request."
"38","directions","german-directions-5","Is the next turn right","Useful live-route confirmation once the traveler is already following spoken directions.","high","transit-review","translated-rewrite-complete","Rewrite is complete; keep translated in the transit review packet before any runtime graduation claim."
"39","directions","german-directions-6","Do I keep going straight","Strong movement-confirmation follow-up that pairs naturally with the earlier directions rows.","high","transit-review","translated-rewrite-complete","Rewrite is complete; keep translated in the transit review packet before any runtime graduation claim."
"40","directions","german-directions-4","Where do I turn left","Practical step-by-step clarification question for live directions help.","high","none","translated-second-pass","Translated in the second pass to deepen the directions follow-up cluster."
"41","directions","german-directions-7","Thanks I understand now","Useful close-out line after a directions exchange once the traveler is back on track.","medium","none","translated-second-pass","Translated in the second pass as a polite directions close-out."
"42","street-food","german-street-food-2","I would like this one","High-utility pointing line for counters, bakeries, and prepared-food selections.","high","none","translated-rewrite-complete","Rewrite complete and now closed with no active residual review requirement."
"43","street-food","german-street-food-3","Not spicy please","Useful food-adjustment request that matters more than garnish or social filler rows.","high","none","translated-second-pass","Translated in the second pass as a practical mild-food request."
"44","street-food","german-street-food-6","A fork and knife please","Important utensil follow-through line after the chopsticks carryover was removed.","medium","none","translated-rewrite-complete","Rewrite complete and now closed with no active residual review requirement."
"45","street-food","german-street-food-7","Pack it to go","Useful takeaway request for prepared food once ordering is complete.","medium","none","translated-second-pass","Translated in the second pass as a takeaway follow-through row."
"46","grab-taxi","german-grab-taxi-4","Go this way","Short driver-guidance phrase that becomes useful once the traveler needs to adjust the ride route.","high","service-wording-review","translated-second-pass","Translated in the second pass with wording kept explicitly ride-directed."
"47","grab-taxi","german-grab-taxi-7","I will pay cash","Practical ride-payment clarification line that prevents checkout friction.","high","none","translated-second-pass","Translated in the second pass as a payment-method clarification."
"48","grab-taxi","german-grab-taxi-5","Please turn on the air conditioning","Useful ride-comfort request for hot-weather or stuffy-car situations.","medium","none","translated-second-pass","Translated in the second pass as a practical comfort request."
"49","grab-taxi","german-grab-taxi-6","Wait for me five minutes","Helpful short-stop instruction for quick errands during a ride.","medium","none","translated-second-pass","Translated in the second pass as a short-wait request."
"50","simple-problems","german-simple-problems-5","The Wi Fi is not working","Common connectivity repair phrase for hotels and cafes with immediate practical value.","high","none","translated-second-pass","Translated in the second pass as a practical connectivity repair line."
"51","simple-problems","german-simple-problems-4","I left something behind","Useful repair phrase for rooms, cars, and cafes once context-specific wording is kept honest.","high","context-wording-review","translated-second-pass","Translated in the second pass with context-specific forgotten-item wording instead of a generic lost-item gloss."
"52","coffee-shop","german-coffee-shop-2","One black coffee please","Useful cafe baseline once the iced-drink carryover is rewritten into a Germany-fit black coffee order.","medium","none","translated-rewrite-complete","Rewrite complete and now closed with no active residual review requirement."
"53","coffee-shop","german-coffee-shop-3","One cappuccino please","Common cafe order that becomes useful once the iced-latte carryover is removed.","medium","none","translated-rewrite-complete","Rewrite complete and now closed with no active residual review requirement."
"54","coffee-shop","german-coffee-shop-5","No sugar please","Simple drink-customization request that keeps cafe ordering practical.","medium","none","translated-second-pass","Translated in the second pass as a compact drink-customization line."
"55","asking-price","german-asking-price-7","I will take this one","Strong purchase-confirmation phrase that fits Germany better than bargaining-heavy follow-ups.","high","none","translated-second-pass","Translated in the second pass as a clean item-selection close."
"56","asking-price","german-asking-price-2","How much per kilo","Useful produce or weight-based pricing question in markets and food counters.","medium","none","translated-second-pass","Translated in the second pass as a weight-based price question."
"57","asking-price","german-asking-price-3","Too expensive","Useful price reaction line that stays lighter than bargaining language.","medium","none","translated-second-pass","Translated in the second pass as a brief price reaction."
"58","coffee-shop","german-coffee-shop-4","Just a little ice","Still a weak Germany-first cafe intent compared with stronger practical ordering rows.","low","native-review-cafe-fit","deferred-native-review","Left as an explicit native-review handoff because a natural Germany-fit less-ice request still needs real cafe-context validation."
"59","street-food","german-street-food-4","More herbs please","Lower-value garnish request, but straightforward enough to clear once the residual queue narrowed to a final cleanup pack.","low","none","translated-third-pass","Translated in the residual-tail pass to reduce the pending queue to the lone coffee holdout."
"60","polite-basics","german-polite-basics-1","Hello","Useful greeting row that became worth clearing once the practical lane was already stable.","medium","native-register-review","translated-third-pass","Keep translated and closed for now; include in a later native register check if Germany polish work resumes."
"61","polite-basics","german-polite-basics-3","Yes","Useful acknowledgment row that was easy to clear in the compact politeness sweep.","medium","native-register-review","translated-third-pass","Keep translated and closed for now; include in a later native register check if Germany polish work resumes."
"62","polite-basics","german-polite-basics-6","It is okay","Apology-response phrasing is still lower priority than repair language, but it was straightforward enough to clear in the final tail pass.","medium","native-register-review","translated-third-pass","Keep translated and closed for now; include in a later native register check if Germany polish work resumes."
"63","polite-basics","german-polite-basics-7","Goodbye","Useful closing phrase that fit the compact politeness sweep once the practical tail was nearly closed.","medium","native-register-review","translated-third-pass","Keep translated and closed for now; include in a later native register check if Germany polish work resumes."
"64","small-talk","german-small-talk-3","This is my first time","The strongest remaining social row and straightforward enough to clear once the practical tail was nearly done.","low","native-register-review","translated-third-pass","Keep translated and closed for now; include in a later native register check if a polished social layer becomes important."
"65","small-talk","german-small-talk-1","I am from the United States","Simple social-introduction row that was low-risk to clear after the practical queue was closed down.","low","native-register-review","translated-third-pass","Keep translated and closed for now; include in a later native register check if a polished social layer becomes important."
"66","small-talk","german-small-talk-2","I am from England","Simple social-introduction row that was low-risk to clear after the practical queue was closed down.","low","native-register-review","translated-third-pass","Keep translated and closed for now; include in a later native register check if a polished social layer becomes important."
"67","small-talk","german-small-talk-4","I like it here","Low-pressure positive comment that became reasonable to clear once only lightweight rows remained.","low","native-register-review","translated-third-pass","Keep translated and closed for now; include in a later native register check if a polished social layer becomes important."
"68","small-talk","german-small-talk-5","The food is so good","Friendly compliment row that was easy to clear in the last lightweight social batch.","low","native-register-review","translated-third-pass","Keep translated and closed for now; include in a later native register check if a polished social layer becomes important."
"69","small-talk","german-small-talk-7","How are you","Social softener that stayed low priority, but was straightforward to clear with a polite register choice.","low","native-register-review","translated-third-pass","Keep translated and closed for now; include in a later native register check if a polished social layer becomes important."
"70","small-talk","german-small-talk-6","The weather is very hot","Low-pressure weather small talk that was easy to clear once the residual queue narrowed to lightweight rows.","low","native-register-review","translated-third-pass","Keep translated and closed for now; include in a later native register check if a polished social layer becomes important."

