"phrase_id","scenario_id","audio_key","english_text","target_text","pronunciation","context","emoji","notes","status"
"german-convenience-store-7","convenience-store","german-convenience-store-7","Please give me the receipt","Die Quittung bitte.","dee KVIH-toong BIT-tuh","Use this if you need the receipt for your purchase.","🧾","First-wave translated receipt follow-through line while keeping service wording natural and brief.","first-wave-translated"
"german-hotel-hostel-1","hotel-hostel","german-hotel-hostel-1","I have a reservation","Ich habe eine Reservierung.","ikh HAH-buh EYE-nuh reh-zehr-VEER-oong","Use this first when you arrive at reception.","🛎️","First-wave translated hotel arrival line for front-desk lookup.","first-wave-translated"
"german-hotel-hostel-2","hotel-hostel","german-hotel-hostel-2","I would like to check in","Ich möchte einchecken.","ikh MURKH-tuh EYE-n-chek-en","Say this when you are ready to start check-in at reception.","🔑","First-wave translated check-in request while keeping the front-desk tone concise and polite.","first-wave-translated"
"german-hotel-hostel-3","hotel-hostel","german-hotel-hostel-3","What time is check out","Um wie viel Uhr ist Check-out?","oom vee feel oor ist CHEK-out","Ask this early so you know the departure time.","⏰","First-wave translated checkout-timing question for hotels and hostels.","first-wave-translated"
"german-hotel-hostel-4","hotel-hostel","german-hotel-hostel-4","This room is too hot","Dieses Zimmer ist zu warm.","DEE-zes TSIM-mer ist tsoo VARM","Use this if the room feels too warm.","🥵","Second-pass translated room-comfort complaint.","second-pass-translated"
"german-hotel-hostel-5","hotel-hostel","german-hotel-hostel-5","The air conditioner is not working","Die Klimaanlage funktioniert nicht.","dee KLEE-mah-ahn-lah-guh foonk-tsee-oh-NEERT nikht","Say this when you need staff to check the AC.","❄️","Second-pass translated hotel repair phrase for air-conditioning problems.","second-pass-translated"
"german-hotel-hostel-6","hotel-hostel","german-hotel-hostel-6","More towels please","Mehr Handtücher, bitte.","mair HAHNT-tu-kher BIT-tuh","Use this when you need extra towels.","🧺","Second-pass translated housekeeping request.","second-pass-translated"
"german-hotel-hostel-7","hotel-hostel","german-hotel-hostel-7","Please hold my luggage","Können Sie mein Gepäck bitte aufbewahren?","KUR-nen zee mine guh-PEK BIT-tuh OUF-beh-vah-ren","Use this if you need the desk to hold your bags before check-in or after check-out.","🧳","First-wave translated luggage-hold request while keeping polite front-desk wording visible.","first-wave-translated"
"german-directions-1","directions","german-directions-1","Excuse me which platform do I need","Entschuldigung, welchen Bahnsteig brauche ich?","ent-SHOOL-dee-goong VEL-khen BAHN-shtyge BROU-khuh ikh","Use this while showing your ticket or destination when you need the correct platform.","🗺️","First-wave translated platform question after the Germany-fit rewrite while keeping transit review visible.","first-wave-translated"
"german-directions-2","directions","german-directions-2","Is it near here","Ist das in der Nähe?","ist dahs in dare NAY-uh","Ask this when deciding whether you can walk there from your current spot.","📍","First-wave translated distance check for map and address follow-up.","first-wave-translated"
"german-directions-3","directions","german-directions-3","How long on foot","Wie lange zu Fuß?","vee LAHNG-uh tsoo FOOS","Use this to check whether walking from the station is realistic.","🚶","First-wave translated walking-time check for station exits and nearby destinations.","first-wave-translated"
"german-directions-4","directions","german-directions-4","Where do I turn left","Wo muss ich links abbiegen?","voh moos ikh links AHP-bee-gen","Ask this when someone is giving step by step directions.","⬅️","Second-pass translated turn-left clarification.","second-pass-translated"
"german-directions-5","directions","german-directions-5","Is the next turn right","Ist die nächste Abbiegung rechts?","ist dee NAYKH-stuh AHP-bee-goong rekhts","Use this to confirm the next turn in step-by-step directions.","➡️","Second-pass rewrite complete; keep translated in the transit review packet before any runtime graduation claim.","second-pass-rewrite-complete"
"german-directions-6","directions","german-directions-6","Do I keep going straight","Gehe ich weiter geradeaus?","GAY-uh ikh VY-ter guh-RAH-duh-ous","Use this to confirm you should keep moving forward.","⬆️","Second-pass rewrite complete; keep translated in the transit review packet before any runtime graduation claim.","second-pass-rewrite-complete"
"german-directions-7","directions","german-directions-7","Thanks I understand now","Danke, jetzt verstehe ich.","DAHN-kuh yetst fer-SHTAY-uh ikh","Use this to politely end the directions exchange.","🙏","Second-pass translated polite directions close-out.","second-pass-translated"
"german-simple-problems-1","simple-problems","german-simple-problems-1","I am lost","Ich habe mich verlaufen.","ikh HAH-buh mikh fer-LAU-fen","Use this when you need immediate help finding your way and can also show a map.","😵","First-wave translated lost-traveler repair line with a natural spoken German phrasing.","first-wave-translated"
"german-simple-problems-2","simple-problems","german-simple-problems-2","I do not understand","Ich verstehe das nicht.","ikh fer-SHTAY-uh dahs nikht","Say this when someone is speaking too quickly or the reply is hard to follow.","🤔","First-wave translated core repair phrase for fast replies in stations hotels and counters.","first-wave-translated"
"german-simple-problems-3","simple-problems","german-simple-problems-3","Can you speak a little slower","Können Sie bitte etwas langsamer sprechen?","KUR-nen zee BIT-tuh ET-vahs LAHNG-zah-mer SHPRE-khen","Use this when you need the other person to slow down.","🐢","First-wave translated slower-speech request while keeping polite service wording review visible.","first-wave-translated"
"german-simple-problems-4","simple-problems","german-simple-problems-4","I left something behind","Ich habe etwas liegen lassen.","ikh HAH-buh ET-vahs LEE-gen LAH-sen","Say this if you forgot an item in a car, room, or cafe.","🎒","Second-pass translated the left-behind-item repair line with context-specific forgotten-item wording.","second-pass-translated"
"german-simple-problems-5","simple-problems","german-simple-problems-5","The Wi Fi is not working","Das WLAN funktioniert nicht.","dahs VAY-lahn foonk-tsee-oh-NEERT nikht","Use this at hotels or cafes when you cannot connect.","📶","Second-pass translated practical connectivity problem phrase.","second-pass-translated"
"german-simple-problems-6","simple-problems","german-simple-problems-6","I need a doctor","Ich brauche einen Arzt.","ikh BROU-khuh EYE-nen ARTST","Use this if you feel sick and need medical help right away.","🩺","First-wave translated medical escalation line but it still needs expert medical review before runtime graduation.","first-wave-translated-sensitive"
"german-simple-problems-7","simple-problems","german-simple-problems-7","Please call for me","Können Sie bitte für mich anrufen?","KUR-nen zee BIT-tuh fuer mikh AHN-roo-fen","Say this when you need someone to make a call for you to a hotel taxi or support number.","📞","First-wave translated escalation request while keeping polite service wording review visible.","first-wave-translated"
"german-small-talk-1","small-talk","german-small-talk-1","I am from the United States","Ich komme aus den USA.","ikh KOM-muh ows dane oo-ess-AH","Use this when someone asks where you are from.","🇺🇸","Third-pass translated as a simple origin answer; keep translated and fold into the later native register packet instead of reopening drafting now.","third-pass-translated"
"german-small-talk-2","small-talk","german-small-talk-2","I am from England","Ich komme aus England.","ikh KOM-muh ows ENG-lahnt","Use this as a simple answer when introducing yourself.","🇬🇧","Third-pass translated as a simple introduction follow-up; keep translated and fold into the later native register packet instead of reopening drafting now.","third-pass-translated"
"german-small-talk-3","small-talk","german-small-talk-3","This is my first time","Ich bin zum ersten Mal hier.","ikh bin tsoom AIRS-ten mahl heer","Say this when talking about your first visit.","✨","Third-pass translated as the strongest remaining social row; keep translated and fold into the later native register packet instead of reopening drafting now.","third-pass-translated"
"german-small-talk-4","small-talk","german-small-talk-4","I like it here","Es gefällt mir hier.","ess guh-FELT meer heer","Use this as an easy positive comment in conversation.","❤","Third-pass translated as a simple positive comment; keep translated and fold into the later native register packet instead of reopening drafting now.","third-pass-translated"
"german-small-talk-5","small-talk","german-small-talk-5","The food is so good","Das Essen ist so gut.","dahs ESS-en ist zoh goot","Use this to compliment a meal or recommendation.","😋","Third-pass translated as a compact food compliment; keep translated and fold into the later native register packet instead of reopening drafting now.","third-pass-translated"
"german-small-talk-6","small-talk","german-small-talk-6","The weather is very hot","Das Wetter ist sehr heiß.","dahs VET-er ist zair hice","Use this as easy weather small talk on a hot day.","☀️","Third-pass translated as weather small talk; keep translated and fold into the later native register packet instead of reopening drafting now.","third-pass-translated"
"german-small-talk-7","small-talk","german-small-talk-7","How are you","Wie geht es Ihnen?","vee gayt ess EE-nen","Use this with friendly staff or locals after a greeting.","😊","Third-pass translated with a polite form; keep translated and fold into the later native register packet instead of reopening drafting now.","third-pass-translated"


