"row","page_id","phrase_id","vietnamese","english","source_lane","source_path","section_count","phrase_row_count","breakdown_token_count","audio_status","alias_count","verdict","issue_codes","issue_messages"
"19","viet-phrase-bath-2","bath-2","Có giấy vệ sinh không?","Do you have toilet paper?","tier1","content-draft/viet/canonical-pages/tier-one/bathroom-personal-needs/bathroom-paper.json","5","5","4","ready","1","PASS","",""
"20","viet-phrase-bath-3","bath-3","Có xà phòng không?","Do you have soap?","tier1","content-draft/viet/canonical-pages/tier-one/bathroom-personal-needs/bathroom-soap.json","4","5","4","ready","2","PASS","",""
"21","viet-phrase-bath-4","bath-4","Tôi rửa tay ở đây được không?","Can I wash my hands here?","tier1","content-draft/viet/canonical-pages/tier-one/bathroom-personal-needs/bathroom-wash-hands.json","4","5","7","ready","2","PASS","",""
"22","viet-phrase-bath-5","bath-5","Tôi cần nước","I need water","tier1","content-draft/viet/canonical-pages/tier-one/bathroom-personal-needs/bathroom-water.json","4","5","4","ready","2","PASS","",""
"23","viet-phrase-bath-6","bath-6","Ở đây có chỗ tắm không?","Is there a shower here?","catalog-promoted","content-draft/viet/canonical-pages/catalog-promoted/bathroom-personal-needs/bath-6.json","3","5","7","ready","2","PASS","",""
"24","viet-phrase-bathroom-use","bathroom-use","Tôi dùng nhà vệ sinh được không?","Can I use the bathroom?","tier1","content-draft/viet/canonical-pages/tier-one/bathroom-personal-needs/bathroom-use.json","4","5","5","ready","1","PASS","",""
"25","viet-phrase-city-danang-atm-airport","city-danang-atm-airport","Có ATM gần Sân bay Đà Nẵng không?","Is there an ATM near Da Nang Airport?","city-v1","content-draft/viet/city-library/v1.json","3","5","6","planned","1","PASS","",""
"26","viet-phrase-city-danang-atm-bach-dang-street","city-danang-atm-bach-dang-street","Có ATM gần Đường Bạch Đằng không?","Is there an ATM near Bach Dang Street?","city-v1","content-draft/viet/city-library/v1.json","3","5","6","planned","1","PASS","",""
"27","viet-phrase-city-danang-atm-con-market","city-danang-atm-con-market","Có ATM gần Chợ Cồn không?","Is there an ATM near Con Market?","city-v1","content-draft/viet/city-library/v1.json","3","5","6","planned","1","PASS","",""
"28","viet-phrase-city-danang-atm-han-market","city-danang-atm-han-market","Có ATM gần Chợ Hàn không?","Is there an ATM near Han Market?","city-v1","content-draft/viet/city-library/v1.json","3","5","6","planned","1","PASS","",""
"29","viet-phrase-city-danang-atm-helio-night-market","city-danang-atm-helio-night-market","Có ATM gần Chợ đêm Helio không?","Is there an ATM near Helio Night Market?","city-v1","content-draft/viet/city-library/v1.json","3","5","6","planned","1","PASS","",""
"30","viet-phrase-city-danang-bach-dang-route","city-danang-bach-dang-route","Đi đường Bạch Đằng","Go by Bach Dang Street","city-v1","content-draft/viet/city-library/v1.json","3","5","3","planned","1","PASS","",""
"31","viet-phrase-city-danang-eat-near-bach-dang-street","city-danang-eat-near-bach-dang-street","Ăn gần Đường Bạch Đằng","Eat near Bach Dang Street","city-v1","content-draft/viet/city-library/v1.json","3","5","4","planned","1","PASS","",""
"32","viet-phrase-city-danang-eat-near-con-market","city-danang-eat-near-con-market","Ăn gần Chợ Cồn","Eat near Con Market","city-v1","content-draft/viet/city-library/v1.json","3","5","4","planned","1","PASS","",""
"33","viet-phrase-city-danang-eat-near-han-market","city-danang-eat-near-han-market","Ăn gần Chợ Hàn","Eat near Han Market","city-v1","content-draft/viet/city-library/v1.json","3","5","4","planned","1","PASS","",""
"34","viet-phrase-city-danang-go-airport","city-danang-go-airport","Đi Sân bay Đà Nẵng","Go to Da Nang Airport","city-v1","content-draft/viet/city-library/v1.json","3","5","3","planned","1","PASS","",""
"35","viet-phrase-city-danang-go-con-market","city-danang-go-con-market","Đi Chợ Cồn","Go to Con Market","city-v1","content-draft/viet/city-library/v1.json","3","5","3","planned","1","PASS","",""
"36","viet-phrase-city-danang-go-han-market","city-danang-go-han-market","Đi Chợ Hàn","Go to Han Market","city-v1","content-draft/viet/city-library/v1.json","3","5","3","planned","1","PASS","",""
"37","viet-phrase-city-danang-go-helio-night-market","city-danang-go-helio-night-market","Đi Chợ đêm Helio","Go to Helio Night Market","city-v1","content-draft/viet/city-library/v1.json","3","5","3","planned","1","PASS","",""
"38","viet-phrase-city-danang-go-nen","city-danang-go-nen","Cho tôi đến nhà hàng Nén Đà Nẵng.","Please take me to Nén Đà Nẵng restaurant.","city-v1","content-draft/viet/city-library/v1.json","3","5","6","planned","1","PASS","",""
"39","viet-phrase-city-danang-go-nguyen-van-linh-street","city-danang-go-nguyen-van-linh-street","Đi Đường Nguyễn Văn Linh","Go to Nguyen Van Linh Street","city-v1","content-draft/viet/city-library/v1.json","3","4","3","planned","1","PASS","",""
"40","viet-phrase-city-danang-go-railway-station","city-danang-go-railway-station","Đi Ga Đà Nẵng","Go to Da Nang Railway Station","city-v1","content-draft/viet/city-library/v1.json","3","2","3","planned","1","PASS","",""
"41","viet-phrase-city-danang-go-son-tra-night-market","city-danang-go-son-tra-night-market","Đi Chợ đêm Sơn Trà","Go to Son Tra Night Market","city-v1","content-draft/viet/city-library/v1.json","3","3","3","planned","1","PASS","",""
"42","viet-phrase-city-danang-go-tien-sa-port","city-danang-go-tien-sa-port","Đi Cảng Tiên Sa","Go to Tien Sa Port","city-v1","content-draft/viet/city-library/v1.json","3","4","3","planned","1","PASS","",""
"43","viet-phrase-city-danang-go-vo-nguyen-giap-street","city-danang-go-vo-nguyen-giap-street","Đi Đường Võ Nguyên Giáp","Go to Vo Nguyen Giap Street","city-v1","content-draft/viet/city-library/v1.json","3","3","3","planned","1","PASS","",""
"44","viet-phrase-city-danang-near-bach-dang-street","city-danang-near-bach-dang-street","Đường Bạch Đằng gần đây không?","Is Bach Dang Street near here?","city-v1","content-draft/viet/city-library/v1.json","3","5","4","planned","1","PASS","",""
"45","viet-phrase-city-danang-near-con-market","city-danang-near-con-market","Chợ Cồn gần đây không?","Is Con Market near here?","city-v1","content-draft/viet/city-library/v1.json","3","5","4","planned","1","PASS","",""
"46","viet-phrase-city-danang-near-han-market","city-danang-near-han-market","Chợ Hàn gần đây không?","Is Han Market near here?","city-v1","content-draft/viet/city-library/v1.json","3","5","4","planned","1","PASS","",""
"47","viet-phrase-city-danang-near-helio-night-market","city-danang-near-helio-night-market","Chợ đêm Helio gần đây không?","Is Helio Night Market near here?","city-v1","content-draft/viet/city-library/v1.json","3","5","4","planned","1","PASS","",""
"48","viet-phrase-city-danang-near-nguyen-van-linh-street","city-danang-near-nguyen-van-linh-street","Đường Nguyễn Văn Linh gần đây không?","Is Nguyen Van Linh Street near here?","city-v1","content-draft/viet/city-library/v1.json","3","4","4","planned","1","PASS","",""
"49","viet-phrase-city-danang-near-son-tra-night-market","city-danang-near-son-tra-night-market","Chợ đêm Sơn Trà gần đây không?","Is Son Tra Night Market near here?","city-v1","content-draft/viet/city-library/v1.json","3","3","4","planned","1","PASS","",""
"50","viet-phrase-city-danang-near-vo-nguyen-giap-street","city-danang-near-vo-nguyen-giap-street","Đường Võ Nguyên Giáp gần đây không?","Is Vo Nguyen Giap Street near here?","city-v1","content-draft/viet/city-library/v1.json","3","3","4","planned","1","PASS","",""
"51","viet-phrase-city-danang-pharmacy-han-market","city-danang-pharmacy-han-market","Có nhà thuốc gần chợ Hàn không?","Is there a pharmacy near Han Market?","city-v1","content-draft/viet/city-library/v1.json","3","5","6","planned","1","PASS","",""
"52","viet-phrase-city-danang-place-3d-art-in-paradise","city-danang-place-3d-art-in-paradise","Bảo tàng 3D Art in Paradise Đà Nẵng","3D Art in Paradise Da Nang","city-v1","content-draft/viet/city-library/v1.json","6","6","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"53","viet-phrase-city-danang-place-43-factory","city-danang-place-43-factory","43 Factory Coffee Roaster","43 Factory Coffee Roaster","city-v1","content-draft/viet/city-library/v1.json","6","5","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"54","viet-phrase-city-danang-place-airport","city-danang-place-airport","Sân bay Đà Nẵng","Da Nang Airport","city-v1","content-draft/viet/city-library/v1.json","6","4","0","ready","1","FAIL","missing_breakdown|missing_breakdown_tokens|three_text_only_sections","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows. || must_fix:Three consecutive text-only sections: Worth it if | Before you go | Good to know"
"55","viet-phrase-city-danang-place-an-thuong-street-area","city-danang-place-an-thuong-street-area","Khu An Thượng","An Thuong Area","city-v1","content-draft/viet/city-library/v1.json","6","1","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens|three_text_only_sections","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows. || must_fix:Three consecutive text-only sections: Worth it if | Before you go | Good to know"
"56","viet-phrase-city-danang-place-apec-park","city-danang-place-apec-park","Công viên APEC","APEC Park","city-v1","content-draft/viet/city-library/v1.json","6","6","0","ready","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"57","viet-phrase-city-danang-place-asia-park","city-danang-place-asia-park","Công viên Châu Á","Asia Park","city-v1","content-draft/viet/city-library/v1.json","6","6","0","ready","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"58","viet-phrase-city-danang-place-ba-na-cable-car","city-danang-place-ba-na-cable-car","Cáp treo Bà Nà","Ba Na cable car","city-v1","content-draft/viet/city-library/v1.json","6","6","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"59","viet-phrase-city-danang-place-ba-na-hills","city-danang-place-ba-na-hills","Bà Nà Hills","Ba Na Hills","city-v1","content-draft/viet/city-library/v1.json","10","13","0","ready","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"60","viet-phrase-city-danang-place-bac-my-an-market","city-danang-place-bac-my-an-market","Chợ Bắc Mỹ An","Bac My An Market","city-v1","content-draft/viet/city-library/v1.json","6","1","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens|three_text_only_sections","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows. || must_fix:Three consecutive text-only sections: Worth it if | Before you go | Good to know"
"61","viet-phrase-city-danang-place-bach-dang-street","city-danang-place-bach-dang-street","Đường Bạch Đằng","Bach Dang Street","city-v1","content-draft/viet/city-library/v1.json","6","4","0","ready","1","FAIL","missing_breakdown|missing_breakdown_tokens|three_text_only_sections","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows. || must_fix:Three consecutive text-only sections: Worth it if | Before you go | Good to know"
"62","viet-phrase-city-danang-place-ban-co-peak","city-danang-place-ban-co-peak","Đỉnh Bàn Cờ","Ban Co Peak","city-v1","content-draft/viet/city-library/v1.json","6","6","0","ready","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"63","viet-phrase-city-danang-place-banh-mi","city-danang-place-banh-mi","Bánh mì ở Đà Nẵng","Banh mi","city-v1","content-draft/viet/city-library/v1.json","6","2","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens|three_text_only_sections","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows. || must_fix:Three consecutive text-only sections: Worth it if | Before you go | Good to know"
"64","viet-phrase-city-danang-place-banh-trang-cuon-thit-heo","city-danang-place-banh-trang-cuon-thit-heo","Bánh tráng cuốn thịt heo ở Đà Nẵng","Pork rice-paper rolls","city-v1","content-draft/viet/city-library/v1.json","6","2","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens|three_text_only_sections","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows. || must_fix:Three consecutive text-only sections: Worth it if | Before you go | Good to know"
"65","viet-phrase-city-danang-place-banh-xeo","city-danang-place-banh-xeo","Bánh xèo ở Đà Nẵng","Banh xeo","city-v1","content-draft/viet/city-library/v1.json","6","2","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens|three_text_only_sections","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows. || must_fix:Three consecutive text-only sections: Worth it if | Before you go | Good to know"
"66","viet-phrase-city-danang-place-banh-xeo-ba-duong","city-danang-place-banh-xeo-ba-duong","Bánh xèo Bà Dưỡng","Banh Xeo Ba Duong","city-v1","content-draft/viet/city-library/v1.json","6","5","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"67","viet-phrase-city-danang-place-be-man","city-danang-place-be-man","Hải sản Bé Mặn","Be Man Seafood","city-v1","content-draft/viet/city-library/v1.json","6","5","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"68","viet-phrase-city-danang-place-bep-cuon","city-danang-place-bep-cuon","Bếp Cuốn Đà Nẵng","Bep Cuon Da Nang","city-v1","content-draft/viet/city-library/v1.json","6","5","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"69","viet-phrase-city-danang-place-boulevard-gelato-coffee","city-danang-place-boulevard-gelato-coffee","Boulevard Gelato & Coffee","Boulevard Gelato & Coffee","city-v1","content-draft/viet/city-library/v1.json","6","5","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"70","viet-phrase-city-danang-place-bun-cha-ca","city-danang-place-bun-cha-ca","Bún chả cá ở Đà Nẵng","Fish-cake noodle soup","city-v1","content-draft/viet/city-library/v1.json","6","3","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens|three_text_only_sections","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows. || must_fix:Three consecutive text-only sections: Worth it if | Before you go | Good to know"
"71","viet-phrase-city-danang-place-bun-cha-ca-hon","city-danang-place-bun-cha-ca-hon","Bún Chả Cá Hờn","Bun Cha Ca Hon","city-v1","content-draft/viet/city-library/v1.json","6","5","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"72","viet-phrase-city-danang-place-cathedral","city-danang-place-cathedral","Nhà thờ Con Gà Đà Nẵng","Da Nang Cathedral","city-v1","content-draft/viet/city-library/v1.json","6","6","0","ready","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"73","viet-phrase-city-danang-place-central-bus-station","city-danang-place-central-bus-station","Bến xe Trung tâm Đà Nẵng","Da Nang Central Bus Station","city-v1","content-draft/viet/city-library/v1.json","6","1","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens|three_text_only_sections","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows. || must_fix:Three consecutive text-only sections: Worth it if | Before you go | Good to know"
"74","viet-phrase-city-danang-place-cham-museum","city-danang-place-cham-museum","Bảo tàng Điêu khắc Chăm","Museum of Cham Sculpture","city-v1","content-draft/viet/city-library/v1.json","6","6","0","ready","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"75","viet-phrase-city-danang-place-che-xoa-xoa-hat-luu","city-danang-place-che-xoa-xoa-hat-luu","Chè xoa xoa hạt lựu ở Đà Nẵng","Da Nang sweet soup","city-v1","content-draft/viet/city-library/v1.json","6","2","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens|three_text_only_sections","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows. || must_fix:Three consecutive text-only sections: Worth it if | Before you go | Good to know"
"76","viet-phrase-city-danang-place-co-chu-nho","city-danang-place-co-chu-nho","Cô Chủ Nhỏ","Co Chu Nho","city-v1","content-draft/viet/city-library/v1.json","6","5","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"77","viet-phrase-city-danang-place-con-market","city-danang-place-con-market","Chợ Cồn","Con Market","city-v1","content-draft/viet/city-library/v1.json","6","4","0","ready","1","FAIL","missing_breakdown|missing_breakdown_tokens|three_text_only_sections","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows. || must_fix:Three consecutive text-only sections: Worth it if | Before you go | Good to know"
"78","viet-phrase-city-danang-place-cong-caphe-bach-dang","city-danang-place-cong-caphe-bach-dang","Cộng Cà Phê Bạch Đằng","Cong Caphe Bach Dang","city-v1","content-draft/viet/city-library/v1.json","6","5","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"79","viet-phrase-city-danang-place-domestic-terminal","city-danang-place-domestic-terminal","Nhà ga quốc nội Đà Nẵng","Da Nang Domestic Terminal","city-v1","content-draft/viet/city-library/v1.json","6","1","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens|three_text_only_sections","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows. || must_fix:Three consecutive text-only sections: Worth it if | Before you go | Good to know"
"80","viet-phrase-city-danang-place-dong-dinh-museum","city-danang-place-dong-dinh-museum","Bảo tàng Đồng Đình","Dong Dinh Museum","city-v1","content-draft/viet/city-library/v1.json","6","6","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"81","viet-phrase-city-danang-place-dragon-bridge","city-danang-place-dragon-bridge","Cầu Rồng","Dragon Bridge","city-v1","content-draft/viet/city-library/v1.json","6","6","0","ready","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"82","viet-phrase-city-danang-place-dragon-bridge-fire-show","city-danang-place-dragon-bridge-fire-show","Màn phun lửa Cầu Rồng","Dragon Bridge fire show","city-v1","content-draft/viet/city-library/v1.json","6","6","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"83","viet-phrase-city-danang-place-dragon-carp-statue","city-danang-place-dragon-carp-statue","Tượng Cá Chép Hóa Rồng","Dragon Carp Statue","city-v1","content-draft/viet/city-library/v1.json","6","6","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"84","viet-phrase-city-danang-place-fatfish","city-danang-place-fatfish","Fatfish","Fatfish Restaurant & Lounge Bar","city-v1","content-draft/viet/city-library/v1.json","6","5","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"85","viet-phrase-city-danang-place-fine-arts-museum","city-danang-place-fine-arts-museum","Bảo tàng Mỹ thuật Đà Nẵng","Da Nang Fine Arts Museum","city-v1","content-draft/viet/city-library/v1.json","6","6","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"86","viet-phrase-city-danang-place-golden-bridge","city-danang-place-golden-bridge","Cầu Vàng","Golden Bridge","city-v1","content-draft/viet/city-library/v1.json","6","6","0","ready","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"87","viet-phrase-city-danang-place-hai-chau-district","city-danang-place-hai-chau-district","Quận Hải Châu","Hai Chau District","city-v1","content-draft/viet/city-library/v1.json","6","1","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens|three_text_only_sections","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows. || must_fix:Three consecutive text-only sections: Worth it if | Before you go | Good to know"
"88","viet-phrase-city-danang-place-hai-san","city-danang-place-hai-san","Hải sản ở Đà Nẵng","Seafood","city-v1","content-draft/viet/city-library/v1.json","6","2","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens|three_text_only_sections","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows. || must_fix:Three consecutive text-only sections: Worth it if | Before you go | Good to know"
"89","viet-phrase-city-danang-place-hai-van-pass","city-danang-place-hai-van-pass","Đèo Hải Vân","Hai Van Pass","city-v1","content-draft/viet/city-library/v1.json","6","6","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"90","viet-phrase-city-danang-place-hai-van-pass-ride","city-danang-place-hai-van-pass-ride","Chuyến đi đèo Hải Vân","Hai Van Pass ride","city-v1","content-draft/viet/city-library/v1.json","6","6","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"91","viet-phrase-city-danang-place-han-market","city-danang-place-han-market","Chợ Hàn","Han Market","city-v1","content-draft/viet/city-library/v1.json","6","4","0","ready","1","FAIL","missing_breakdown|missing_breakdown_tokens|three_text_only_sections","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows. || must_fix:Three consecutive text-only sections: Worth it if | Before you go | Good to know"
"92","viet-phrase-city-danang-place-han-river","city-danang-place-han-river","Sông Hàn","Han River","city-v1","content-draft/viet/city-library/v1.json","6","6","0","ready","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"93","viet-phrase-city-danang-place-han-river-cruise","city-danang-place-han-river-cruise","Du thuyền sông Hàn","Han River cruise","city-v1","content-draft/viet/city-library/v1.json","6","6","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"94","viet-phrase-city-danang-place-helio-night-market","city-danang-place-helio-night-market","Chợ đêm Helio","Helio Night Market","city-v1","content-draft/viet/city-library/v1.json","6","4","0","ready","1","FAIL","missing_breakdown|missing_breakdown_tokens|three_text_only_sections","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows. || must_fix:Three consecutive text-only sections: Worth it if | Before you go | Good to know"
"95","viet-phrase-city-danang-place-hoa-phu-thanh","city-danang-place-hoa-phu-thanh","Khu du lịch Hòa Phú Thành","Hoa Phu Thanh","city-v1","content-draft/viet/city-library/v1.json","6","6","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"96","viet-phrase-city-danang-place-hoa-trung-lake","city-danang-place-hoa-trung-lake","Hồ Hòa Trung","Hoa Trung Lake","city-v1","content-draft/viet/city-library/v1.json","6","6","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows."
"97","viet-phrase-city-danang-place-international-terminal","city-danang-place-international-terminal","Nhà ga quốc tế Đà Nẵng","Da Nang International Terminal","city-v1","content-draft/viet/city-library/v1.json","6","1","0","planned","1","FAIL","missing_breakdown|missing_breakdown_tokens|three_text_only_sections","must_fix:Missing required breakdown section. || must_fix:Breakdown section has no reusable token rows. || must_fix:Three consecutive text-only sections: Worth it if | Before you go | Good to know"
