"page_id","phrase_id","vietnamese","english","source_lane","source_path","verdict","review_codes","evidence"
"viet-phrase-food-premium-which-dish-safe","food-premium-which-dish-safe","Món ăn nào an toàn nhất cho người bị dị ứng này?","Which dish is safest for this allergy?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-food-premium-without-this-ingredient","food-premium-without-this-ingredient","Bạn có thể làm nó mà không cần thành phần này?","Can you make it without this ingredient?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-help-4","help-4","Tôi bị tính tiền hai lần","I was charged twice","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-help-5","help-5","Tôi cần làm biên bản","I need to file a report","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-help-premium-call-this-number","help-premium-call-this-number","Bạn có thể gọi số này hộ tôi được không?","Can you call this number for me?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-help-premium-come-with-me","help-premium-come-with-me","Bạn có thể đi cùng tôi được không?","Can you come with me?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-help-premium-contact-embassy","help-premium-contact-embassy","Bạn có thể giúp tôi liên hệ với đại sứ quán được không?","Can you help me contact the embassy?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-help-premium-print-document","help-premium-print-document","Tôi cần một bản in của tài liệu này.","I need a printed copy of this document.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-help-premium-translate-for-me","help-premium-translate-for-me","Bạn có thể dịch giúp tôi được không?","Can you help translate for me?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-hotel-8","hotel-8","Thẻ phòng không mở được","The key card doesn’t work","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-hotel-9","hotel-9","Gọi taxi giúp tôi được không?","Can you call a taxi for me?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-hotel-premium-booking-wrong","hotel-premium-booking-wrong","Tôi nghĩ có vấn đề với việc đặt phòng của tôi.","I think there is a problem with my booking.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-hotel-premium-different-room","hotel-premium-different-room","Tôi đã đặt một phòng khác.","I booked a different room.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-hotel-premium-late-checkout","hotel-premium-late-checkout","Tôi có thể trả phòng sau được không?","Can I check out later?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-hotel-premium-no-hot-water","hotel-premium-no-hot-water","Ở đây không có nước nóng.","There is no hot water.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-hotel-premium-room-not-ready","hotel-premium-room-not-ready","Căn phòng vẫn chưa sẵn sàng.","The room is not ready yet.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-hotel-premium-too-noisy","hotel-premium-too-noisy","Căn phòng quá ồn ào.","The room is too noisy.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-hotel-quiet-room","hotel-quiet-room","Cho tôi phòng yên tĩnh được không?","Can I have a quiet room?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-money-premium-price-changed","money-premium-price-changed","Sao bây giờ giá lại khác thế?","Why is the price different now?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-money-premium-service-included","money-premium-service-included","Dịch vụ đã được bao gồm chưa?","Is service already included?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-money-premium-split-payment","money-premium-split-payment","Chúng ta có thể chia tiền thanh toán được không?","Can we split the payment?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-money-premium-total-wrong","money-premium-total-wrong","Tổng số này là sai.","This total is wrong.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-money-premium-what-fee","money-premium-what-fee","Khoản phí này dùng để làm gì?","What is this fee for?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-money-premium-write-total","money-premium-write-total","Hãy viết tổng số ra.","Please write the total down.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-phone-6","phone-6","Tôi cần nạp thêm dữ liệu","I need a data top-up","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-phone-7","phone-7","eSIM của tôi không hoạt động","My eSIM is not working","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-phone-premium-activate-sim","phone-premium-activate-sim","Bạn có thể giúp tôi kích hoạt SIM được không?","Can you help me activate the SIM?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-phone-premium-data-not-working","phone-premium-data-not-working","Dữ liệu của tôi không hoạt động.","My data is not working.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-phone-premium-login-page-not-loading","phone-premium-login-page-not-loading","Trang đăng nhập Wi-Fi không tải.","The Wi-Fi login page is not loading.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-phone-premium-no-signal","phone-premium-no-signal","Không có tín hiệu ở đây.","There is no signal here.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-phone-premium-otp-not-arriving","phone-premium-otp-not-arriving","Mã xác minh không đến.","The verification code is not arriving.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-phone-premium-password-not-working","phone-premium-password-not-working","Mật khẩu Wi-Fi không hoạt động.","The Wi-Fi password is not working.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-price-8","price-8","Tổng cộng bao nhiêu?","How much altogether?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-price-9","price-9","Có tiền lẻ không?","Do you have smaller bills?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-repair-4","repair-4","Ý anh/chị là cái nào?","Which one do you mean?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-repair-5","repair-5","Chỉ trên bản đồ giúp tôi được không?","Can you show me on the map?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-repair-premium-simpler-words","repair-premium-simpler-words","Bạn có thể sử dụng những từ đơn giản hơn?","Can you use simpler words?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-repair-premium-spell-name","repair-premium-spell-name","Bạn có thể đánh vần tên cho tôi được không?","Can you spell the name for me?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-repair-premium-text-me","repair-premium-text-me","Bạn có thể nhắn tin cho tôi được không?","Can you text it to me?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-repair-premium-time-exact","repair-premium-time-exact","Chính xác là mấy giờ?","What time exactly?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-repair-premium-type-phone","repair-premium-type-phone","Bạn có thể gõ nó trên điện thoại của bạn?","Can you type it on your phone?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-repair-premium-which-exit","repair-premium-which-exit","Đó là lối ra nào?","Which exit is it?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-repair-show-me","repair-show-me","Chỉ cho tôi được không?","Can you show me?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-repair-translate-this","repair-translate-this","Dịch giúp tôi cái này được không?","Can you translate this for me?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-service-8","service-8","In cái này được không?","Can I print this?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-service-9","service-9","Châm thêm nước vào chai này được không?","Can you refill this water bottle?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-shop-6","shop-6","Tôi muốn đổi cái này","I want to exchange this","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-sight-6","sight-6","Tôi cần đặt trước không?","Do I need to book in advance?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-social-8","social-8","Bạn ở đây bao lâu?","How long are you staying?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-social-9","social-9","Bạn gợi ý gì ở đây?","What do you recommend here?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-time-6","time-6","Dời lại muộn hơn được không?","Can we move it later?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-time-7","time-7","Mấy giờ bắt đầu lên máy bay?","What time does boarding start?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-transport-1","transport-1","Đây có đúng bến không?","Is this the right platform?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-transport-2","transport-2","Xe này có đi tới… không?","Does this bus go to…?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-transport-premium-luggage-trunk","transport-premium-luggage-trunk","Hành lý của tôi ở trong cốp xe.","My luggage is in the trunk.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-transport-premium-route-wrong","transport-premium-route-wrong","Tuyến đường này sai.","This route is wrong.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-transport-premium-turn-around","transport-premium-turn-around","Xin hãy quay lại.","Please turn around.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-transport-premium-wait-here","transport-premium-wait-here","Xin hãy đợi ở đây, tôi đang tới.","Please wait here, I am coming.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-transport-premium-wrong-car","transport-premium-wrong-car","Đây không phải là xe của tôi.","This is not my car.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-transport-premium-wrong-pickup-point","transport-premium-wrong-pickup-point","Đây có phải là điểm đón phù hợp không?","Is this the right pickup point?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-v500-airp-bord-arri-can-i-get-a-written-report","v500-airp-bord-arri-can-i-get-a-written-report","Tôi có thể nhận được một báo cáo bằng văn bản không?","Can I get a written report?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-v500-airp-bord-arri-can-i-show-it-on-my-phone","v500-airp-bord-arri-can-i-show-it-on-my-phone","Tôi có thể hiển thị nó trên điện thoại của tôi không?","Can I show it on my phone?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-v500-airp-bord-arri-how-much-to-district-1","v500-airp-bord-arri-how-much-to-district-1","Đến Quận 1 bao nhiêu?","How much to District 1?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-v500-airp-bord-arri-i-am-here-for-tourism","v500-airp-bord-arri-i-am-here-for-tourism","Tôi đến đây để du lịch","I am here for tourism","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-v500-airp-bord-arri-i-am-staying-at-this-hotel","v500-airp-bord-arri-i-am-staying-at-this-hotel","Tôi đang ở khách sạn này","I am staying at this hotel","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-v500-airp-bord-arri-i-cannot-find-my-driver","v500-airp-bord-arri-i-cannot-find-my-driver","Tôi không thể tìm thấy trình điều khiển của mình","I cannot find my driver","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-v500-airp-bord-arri-i-dont-have-a-printed-copy","v500-airp-bord-arri-i-dont-have-a-printed-copy","Tôi không có bản in","I don’t have a printed copy","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-v500-airp-bord-arri-i-need-to-report-lost-luggage","v500-airp-bord-arri-i-need-to-report-lost-luggage","Tôi cần báo cáo hành lý thất lạc","I need to report lost luggage","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-v500-airp-bord-arri-i-will-stay-for-five-days","v500-airp-bord-arri-i-will-stay-for-five-days","Tôi sẽ ở lại năm ngày","I will stay for five days","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-v500-airp-bord-arri-my-bag-is-damaged","v500-airp-bord-arri-my-bag-is-damaged","Túi của tôi bị hỏng","My bag is damaged","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-v500-airp-bord-arri-my-driver-canceled","v500-airp-bord-arri-my-driver-canceled","Tài xế của tôi đã hủy","My driver canceled","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-v500-airp-bord-arri-my-suitcase-is-missing","v500-airp-bord-arri-my-suitcase-is-missing","Vali của tôi bị mất","My suitcase is missing","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-v500-airp-bord-arri-please-take-me-to-the-hotel-listed-on-this-booki","v500-airp-bord-arri-please-take-me-to-the-hotel-listed-on-this-booki","Vui lòng đưa tôi đến khách sạn được liệt kê trong đặt phòng này.","Please take me to the hotel listed on this booking.","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-v500-airp-bord-arri-someone-took-the-wrong-bag","v500-airp-bord-arri-someone-took-the-wrong-bag","Có người lấy nhầm túi","Someone took the wrong bag","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-v500-airp-bord-arri-this-is-my-baggage-tag","v500-airp-bord-arri-this-is-my-baggage-tag","Đây là thẻ hành lý của tôi","This is my baggage tag","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-v500-airp-bord-arri-when-will-it-arrive","v500-airp-bord-arri-when-will-it-arrive","Khi nào nó sẽ đến?","When will it arrive?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-v500-airp-bord-arri-where-do-i-sign","v500-airp-bord-arri-where-do-i-sign","Tôi ký ở đâu?","Where do I sign?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
"viet-phrase-v500-airp-bord-arri-where-is-gate-10","v500-airp-bord-arri-where-is-gate-10","Cổng 10 ở đâu?","Where is gate 10?","catalog-built","native-ios/Resources/viet-phrase-catalog.json","NEEDS_REVIEW","catalog_built_no_authored_source","Page is built from catalog defaults and needs durable authored source to meet the human-quality standard."
