target_kind,target_id,expected_text,severity,release_blocking,source_path,reason
phrase,city-danang-place-bun-cha-ca,Bún chả cá ở Đà Nẵng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-bun-cha-ca-109,Bún Chả Cá 109,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-bun-cha-ca-hon,Bún Chả Cá Hờn,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-bun-rieu-cua-39,Bún Riêu Cua 39,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-central-bus-station,Bến xe Trung tâm Đà Nẵng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-che-xoa-xoa-hat-luu,Chè xoa xoa hạt lựu ở Đà Nẵng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-co-chu-nho,Cô Chủ Nhỏ,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-cong-caphe-bach-dang,Cộng Cà Phê Bạch Đằng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-domestic-terminal,Nhà ga quốc nội Đà Nẵng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-dong-dinh-museum,Bảo tàng Đồng Đình,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-dragon-bridge-fire-show,Màn phun lửa Cầu Rồng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-dragon-carp-statue,Tượng Cá Chép Hóa Rồng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-fatfish,Fatfish,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-fine-arts-museum,Bảo tàng Mỹ thuật Đà Nẵng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-hai-chau-district,Quận Hải Châu,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-hai-san,Hải sản ở Đà Nẵng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-hai-van-pass,Đèo Hải Vân,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-hai-van-pass-ride,Chuyến đi đèo Hải Vân,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-han-river-cruise,Du thuyền sông Hàn,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-hoa-phu-thanh,Khu du lịch Hòa Phú Thành,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-hoa-trung-lake,Hồ Hòa Trung,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-international-terminal,Nhà ga quốc tế Đà Nẵng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-kem-bo,Kem bơ ở Đà Nẵng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-la-maison-1888,La Maison 1888,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-lady-buddha,Tượng Phật Bà,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-le-duan-night-market,Chợ đêm Lê Duẩn,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-long-coffee,Cà phê Long,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-lotte-mart,Lotte Mart Đà Nẵng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-madame-lan,Madame Lân,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-marble-mountain-cave-walk,Hang động Ngũ Hành Sơn,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-mi-quang,Mì Quảng ở Đà Nẵng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-mi-quang-1a,Mì Quảng 1A,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-moc-quan-seafood,MỘC Quán Seafood,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-museum,Bảo tàng Đà Nẵng,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-museum-branch-2,Bảo tàng Đà Nẵng - Cơ sở 2,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-my-an,Mỹ An,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-my-an-beach,Biển Mỹ An,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
phrase,city-danang-place-my-quang-ba-mua,Mỳ Quảng Bà Mua,planned,0,native-ios/Resources/viet-phrase-catalog.json,planned-authored-audio
