pageID,source,title,englishTitle,categoryIDs,heroImageName,auditStatus,currentBackgroundSystem,needsBackdropWork,recommendedAsset,recommendation,rolloutBucket,imageTheme,routeContext,canonicalPageID,humanAccessVerdict,isHumanReachable,accessProof,deletionReview,reachabilityStatus,normalUserPath,backdropRisk,nextAction,searchReachable,relatedEntry,browseBackdropOverride,reachabilityChannels,incomingRelationCount,outgoingRelationCount,supportReference,assetExists,priority,runtimeExists,runtimePhraseID,runtimeAccessTier,runtimeSourceFamily,runtimeAudioStatus,runtimeAudioUsageCount,runtimeAudioFileCount,runtimeAudioFilesExist,runtimeMissingAudioCount,runtimeSearchIndexed,runtimeAliasStatus,searchAuditDecision,searchAuditReason,searchOnlyWhyCreated,searchDeleteRecommendation
viet-family-repair-number,tier-one phrase page,Làm ơn nói lại số đó,Please say the number again,understanding-repair,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryPoliteRepair,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryPoliteRepair.,Use category hero or shared Vietnam pool,"Quiet street/cafe interaction, helpful counter moment, calm readable background.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-repair-6,Reachable: Search plus detail links,Yes,Search index contains this canonical page; 10 detail pages link to it.,No - reachable through normal app UI.,Search + related only,Search results and links from detail pages.,"Lower: reachable, but usually after a search or another detail page.",Lower than Home/Browse. Batch these after the front-facing rows or give them broad category fallbacks.,Yes,Yes,No,Search result | Related from 10 pages,10,9,No,Yes,P0 tier-one,Yes,repair-6,starter,Starter/base phrase catalog,ready,10,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,Promote/review,"This is tier-one traveler content. It is live in Search now, but deserves product review for Browse/Home promotion.",Created as core phrase content; current Home/Browse shelves are curated and do not expose every core row.,"Do not delete: the display ID is legacy-looking, but it resolves to a live canonical runtime page."
viet-family-repair-english-help,tier-one phrase page,Anh/chị nói tiếng Anh không?,Do you speak English?,understanding-repair,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryPoliteRepair,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryPoliteRepair.,Use category hero or shared Vietnam pool,"Quiet street/cafe interaction, helpful counter moment, calm readable background.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-repair-english-help,Front-facing: visible from Home,Yes,Home > When you get stuck; page also exists in runtime phrase_page and Search index.,No - reachable through normal app UI.,Home visible,Home > When you get stuck,High: a user can hit this from Home and see the old single-layer detail.,Fix first: add an intrinsic page image or category fallback so Home/Search/Saved do not show screenshot 1.,Yes,Yes,Yes,Home > When you get stuck | Browse > Essentials > Understanding Repair | Browse > Questions > Clarify | Browse > When You Don't Understand > Starter phrases | Browse > When You Don't Understand > Clarify | Search result | Related from 10 pages,10,9,No,Yes,P0 tier-one,Yes,repair-english-help,starter,Starter/base phrase catalog,ready,10,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,,,,
viet-family-transport-destination,tier-one phrase page,Cho tôi tới đây,Take me here,transport,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryGettingAround,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryGettingAround.,Use category hero now; later add transport mini-pool,"Taxi pickup, bus/train station, street map, ride-share curbside.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-taxi-1,Front-facing: visible from Home,Yes,Home > First Day in Vietnam; page also exists in runtime phrase_page and Search index.,No - reachable through normal app UI.,Home visible,Home > First Day in Vietnam,High: a user can hit this from Home and see the old single-layer detail.,Fix first: add an intrinsic page image or category fallback so Home/Search/Saved do not show screenshot 1.,Yes,Yes,Yes,Home > First Day in Vietnam | Home > Taxi & getting around | Browse > Airport > Transport | Browse > Getting Around > More Transport | Browse > First day in Vietnam > Transport | Search result | Related from 13 pages,13,9,No,Yes,P0 tier-one,Yes,taxi-1,starter,Starter/base phrase catalog,ready,14,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,,,,
viet-family-transport-main-destination,tier-one phrase page,Đi quận 1,Go to District 1,transport,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryGettingAround,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryGettingAround.,Use category hero now; later add transport mini-pool,"Taxi pickup, bus/train station, street map, ride-share curbside.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-taxi-2,Front-facing: visible from Browse,Yes,Browse > Airport > Transport; Browse collection renders this page from category/city content.,No - reachable through normal app UI.,Browse visible,Browse > Airport > Transport,"Medium: Browse has a category image path, direct entry can still show screenshot 1.","Good first-pass candidate for category fallback; Browse can pass a category image, but direct Search/Saved still need intrinsic metadata.",Yes,Yes,Yes,Browse > Airport > Transport | Search result | Related from 10 pages,10,9,No,Yes,P0 tier-one,Yes,taxi-2,starter,Starter/base phrase catalog,ready,11,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,,,,
viet-family-transport-stop-here,tier-one phrase page,Dừng ở đây được rồi,You can stop here,transport,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryGettingAround,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryGettingAround.,Use category hero now; later add transport mini-pool,"Taxi pickup, bus/train station, street map, ride-share curbside.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-taxi-3,Front-facing: visible from Browse,Yes,Browse > Airport > Transport; Browse collection renders this page from category/city content.,No - reachable through normal app UI.,Browse visible,Browse > Airport > Transport,"Medium: Browse has a category image path, direct entry can still show screenshot 1.","Good first-pass candidate for category fallback; Browse can pass a category image, but direct Search/Saved still need intrinsic metadata.",Yes,Yes,Yes,Browse > Airport > Transport | Search result | Related from 20 pages,20,11,No,Yes,P0 tier-one,Yes,taxi-3,starter,Starter/base phrase catalog,ready,20,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,,,,
viet-family-transport-route,tier-one phrase page,Đi đường này đi,Go this way,transport,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryGettingAround,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryGettingAround.,Use category hero now; later add transport mini-pool,"Taxi pickup, bus/train station, street map, ride-share curbside.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-taxi-4,Reachable: Search plus detail links,Yes,Search index contains this canonical page; 88 detail pages link to it.,No - reachable through normal app UI.,Search + related only,Search results and links from detail pages.,"Lower: reachable, but usually after a search or another detail page.",Lower than Home/Browse. Batch these after the front-facing rows or give them broad category fallbacks.,Yes,Yes,No,Search result | Related from 88 pages,88,9,No,Yes,P0 tier-one,Yes,taxi-4,starter,Starter/base phrase catalog,ready,89,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,Promote/review,"This is tier-one traveler content. It is live in Search now, but deserves product review for Browse/Home promotion.",Created as core phrase content; current Home/Browse shelves are curated and do not expose every core row.,"Do not delete: the display ID is legacy-looking, but it resolves to a live canonical runtime page."
viet-family-transport-aircon,tier-one phrase page,Mở máy lạnh giúp tôi,Please turn on the air conditioning,transport,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryGettingAround,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryGettingAround.,Use category hero now; later add transport mini-pool,"Taxi pickup, bus/train station, street map, ride-share curbside.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-taxi-5,Front-facing: visible from Browse,Yes,Browse > Airport > Transport; Browse collection renders this page from category/city content.,No - reachable through normal app UI.,Browse visible,Browse > Airport > Transport,"Medium: Browse has a category image path, direct entry can still show screenshot 1.","Good first-pass candidate for category fallback; Browse can pass a category image, but direct Search/Saved still need intrinsic metadata.",Yes,Yes,Yes,Browse > Airport > Transport | Search result | Related from 85 pages,85,9,No,Yes,P0 tier-one,Yes,taxi-5,starter,Starter/base phrase catalog,ready,86,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,,,,
viet-family-transport-wait,tier-one phrase page,Chờ tôi năm phút,Wait for me five minutes,transport,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryGettingAround,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryGettingAround.,Use category hero now; later add transport mini-pool,"Taxi pickup, bus/train station, street map, ride-share curbside.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-taxi-6,Front-facing: visible from Browse,Yes,Browse > Airport > Transport; Browse collection renders this page from category/city content.,No - reachable through normal app UI.,Browse visible,Browse > Airport > Transport,"Medium: Browse has a category image path, direct entry can still show screenshot 1.","Good first-pass candidate for category fallback; Browse can pass a category image, but direct Search/Saved still need intrinsic metadata.",Yes,Yes,Yes,Browse > Airport > Transport | Browse > First day in Vietnam > More Transport | Search result | Related from 85 pages,85,9,No,Yes,P0 tier-one,Yes,taxi-6,starter,Starter/base phrase catalog,ready,86,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,,,,
viet-family-transport-cash,tier-one phrase page,Tôi trả bằng tiền mặt,I’ll pay cash,transport,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryGettingAround,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryGettingAround.,Use category hero now; later add transport mini-pool,"Taxi pickup, bus/train station, street map, ride-share curbside.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-taxi-7,Front-facing: visible from Browse,Yes,Browse > Airport > Transport; Browse collection renders this page from category/city content.,No - reachable through normal app UI.,Browse visible,Browse > Airport > Transport,"Medium: Browse has a category image path, direct entry can still show screenshot 1.","Good first-pass candidate for category fallback; Browse can pass a category image, but direct Search/Saved still need intrinsic metadata.",Yes,Yes,Yes,Browse > Airport > Transport | Search result | Related from 180 pages,180,9,No,Yes,P0 tier-one,Yes,taxi-7,starter,Starter/base phrase catalog,ready,181,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,,,,
viet-family-transport-fare,tier-one phrase page,Tiền xe bao nhiêu?,How much is the fare?,transport,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryGettingAround,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryGettingAround.,Use category hero now; later add transport mini-pool,"Taxi pickup, bus/train station, street map, ride-share curbside.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-transport-fare,Reachable: Search plus detail links,Yes,Search index contains this canonical page; 14 detail pages link to it.,No - reachable through normal app UI.,Search + related only,Search results and links from detail pages.,"Lower: reachable, but usually after a search or another detail page.",Lower than Home/Browse. Batch these after the front-facing rows or give them broad category fallbacks.,Yes,Yes,No,Search result | Related from 14 pages,14,8,No,Yes,P0 tier-one,Yes,transport-fare,starter,Starter/base phrase catalog,ready,15,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,Promote/review,"This is tier-one traveler content. It is live in Search now, but deserves product review for Browse/Home promotion.",Created as core phrase content; current Home/Browse shelves are curated and do not expose every core row.,"Do not delete: the display ID is legacy-looking, but it resolves to a live canonical runtime page."
viet-family-transport-meter,tier-one phrase page,Làm ơn bật đồng hồ giúp tôi,Please use the meter,transport,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryGettingAround,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryGettingAround.,Use category hero now; later add transport mini-pool,"Taxi pickup, bus/train station, street map, ride-share curbside.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-transport-meter,Reachable: Search plus detail links,Yes,Search index contains this canonical page; 1 detail page link to it.,No - reachable through normal app UI.,Search + related only,Search results and links from detail pages.,"Lower: reachable, but usually after a search or another detail page.",Lower than Home/Browse. Batch these after the front-facing rows or give them broad category fallbacks.,Yes,Yes,No,Search result | Related from 1 page,1,8,No,Yes,P0 tier-one,Yes,transport-meter,starter,Starter/base phrase catalog,ready,2,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,Promote/review,"This is tier-one traveler content. It is live in Search now, but deserves product review for Browse/Home promotion.",Created as core phrase content; current Home/Browse shelves are curated and do not expose every core row.,"Do not delete: the display ID is legacy-looking, but it resolves to a live canonical runtime page."
viet-family-transport-lost,tier-one phrase page,Tôi nghĩ chúng ta bị lạc rồi,I think we are lost,transport,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryGettingAround,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryGettingAround.,Use category hero now; later add transport mini-pool,"Taxi pickup, bus/train station, street map, ride-share curbside.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-transport-lost,Reachable: Search,Yes,"Search index contains this canonical page, so a user can open it from Search.",No - reachable through normal app UI.,Search only,Search result only.,"Lower: reachable through search, but not front-door Browse/Home.",Lower priority unless the query/page is strategically important.,Yes,No,No,Search result,0,8,No,Yes,P0 tier-one,Yes,transport-lost,starter,Starter/base phrase catalog,ready,1,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,Promote/review,"This is tier-one traveler content. It is live in Search now, but deserves product review for Browse/Home promotion.",Created as core phrase content; current Home/Browse shelves are curated and do not expose every core row.,"Do not delete: the display ID is legacy-looking, but it resolves to a live canonical runtime page."
viet-family-hotel-reservation,tier-one phrase page,Tôi có đặt phòng,I have a reservation,hotel-accommodation,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryHotel,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryHotel.,Use category hero now; later add hotel/front-desk mini-pool,"Hotel lobby, check-in desk, luggage storage, room-help scene.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-hotel-1,Front-facing: visible from Home,Yes,Home > First Day in Vietnam; page also exists in runtime phrase_page and Search index.,No - reachable through normal app UI.,Home visible,Home > First Day in Vietnam,High: a user can hit this from Home and see the old single-layer detail.,Fix first: add an intrinsic page image or category fallback so Home/Search/Saved do not show screenshot 1.,Yes,Yes,No,Home > First Day in Vietnam | Home > Hotel basics | Search result | Related from 11 pages,11,8,No,Yes,P0 tier-one,Yes,hotel-1,starter,Starter/base phrase catalog,ready,12,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,,,,
viet-family-hotel-check-in,tier-one phrase page,Cho tôi nhận phòng,I’d like to check in,hotel-accommodation,,Needs Backdrop,old single-layer phrase page with default static masthead,Yes,HeroCategoryHotel,Add intrinsic page/category backdrop metadata or a category/topical fallback. First pass: HeroCategoryHotel.,Use category hero now; later add hotel/front-desk mini-pool,"Hotel lobby, check-in desk, luggage storage, room-help scene.","The page has no own heroImageName, so direct/Home/Search/Saved/Practice entry still looks like screenshot 1. Browse may only look photo-backed when a category override is passed.",viet-phrase-hotel-2,Front-facing: visible from Home,Yes,Home > First Day in Vietnam; page also exists in runtime phrase_page and Search index.,No - reachable through normal app UI.,Home visible,Home > First Day in Vietnam,High: a user can hit this from Home and see the old single-layer detail.,Fix first: add an intrinsic page image or category fallback so Home/Search/Saved do not show screenshot 1.,Yes,Yes,Yes,Home > First Day in Vietnam | Browse > Hotel > Starter phrases | Browse > Hotel > Check-in | Browse > First day in Vietnam > Starter phrases | Search result | Related from 11 pages,11,10,No,Yes,P0 tier-one,Yes,hotel-2,starter,Starter/base phrase catalog,ready,11,1,Yes,0,Yes,Alias/display ID resolves to canonical runtime page,,,,
