priority,pageID,title,englishTitle,intent,sectionID,kind,audioKey,text
p0,viet-family-city-danang-place-international-terminal,Nhà ga quốc tế Đà Nẵng,Da Nang International Terminal,landmark_micro_place,hero,hero,audio-authored-nha-ga-quoc-te-da-nang-2231356082,Nhà ga quốc tế Đà Nẵng
p0,viet-family-city-danang-place-kem-bo,Kem bơ ở Đà Nẵng,Avocado ice cream,dish,hero,hero,audio-authored-kem-bo-o-da-nang-3f263bc088,Kem bơ ở Đà Nẵng
p0,viet-family-city-danang-place-la-maison-1888,La Maison 1888,La Maison 1888,restaurant,hero,hero,audio-authored-la-maison-1888-e109142809,La Maison 1888
p0,viet-family-city-danang-place-lady-buddha,Tượng Phật Bà,Lady Buddha,landmark_micro_place,hero,hero,audio-authored-tuong-phat-ba-6f1d35528b,Tượng Phật Bà
p0,viet-family-city-danang-place-le-duan-night-market,Chợ đêm Lê Duẩn,Le Duan Night Market,landmark_micro_place,hero,hero,audio-authored-cho-dem-le-duan-eaf5cb9e06,Chợ đêm Lê Duẩn
p0,viet-family-city-danang-place-long-coffee,Cà phê Long,Long Coffee,restaurant,hero,hero,audio-authored-ca-phe-long-30c899cf1d,Cà phê Long
p0,viet-family-city-danang-place-lotte-mart,Lotte Mart Đà Nẵng,Lotte Mart Da Nang,landmark_micro_place,hero,hero,audio-authored-lotte-mart-da-nang-eb7f601cf1,Lotte Mart Đà Nẵng
p0,viet-family-city-danang-place-madame-lan,Madame Lân,Madame Lan,restaurant,hero,hero,audio-authored-madame-lan-3930d35e6e,Madame Lân
p0,viet-family-city-danang-place-marble-mountain-cave-walk,Hang động Ngũ Hành Sơn,Marble Mountain cave walk,landmark_micro_place,hero,hero,audio-authored-hang-dong-ngu-hanh-son-58d9755154,Hang động Ngũ Hành Sơn
p0,viet-family-city-danang-place-mi-quang,Mì Quảng ở Đà Nẵng,Mi Quang,dish,hero,hero,audio-authored-mi-quang-o-da-nang-188b3dbe53,Mì Quảng ở Đà Nẵng
p0,viet-family-city-danang-place-mi-quang-1a,Mì Quảng 1A,Mi Quang 1A,restaurant,hero,hero,audio-authored-mi-quang-1a-8af2ad413c,Mì Quảng 1A
p0,viet-family-city-danang-place-moc-quan-seafood,MỘC Quán Seafood,MOC Seafood,restaurant,hero,hero,audio-authored-moc-quan-seafood-64cd60bac6,MỘC Quán Seafood
p0,viet-family-city-danang-place-museum,Bảo tàng Đà Nẵng,Da Nang Museum,landmark_micro_place,hero,hero,audio-authored-bao-tang-da-nang-eaa89bfef5,Bảo tàng Đà Nẵng
p0,viet-family-city-danang-place-museum-branch-2,Bảo tàng Đà Nẵng - Cơ sở 2,Da Nang Museum Branch 2,landmark_micro_place,hero,hero,audio-authored-bao-tang-da-nang-co-so-2-951c024450,Bảo tàng Đà Nẵng - Cơ sở 2
p0,viet-family-city-danang-place-my-an,Mỹ An,My An,landmark_micro_place,hero,hero,audio-authored-my-an-437ea4d5bf,Mỹ An
p0,viet-family-city-danang-place-my-an-beach,Biển Mỹ An,My An Beach,landmark_micro_place,hero,hero,audio-authored-bien-my-an-a41f98c3ff,Biển Mỹ An
p0,viet-family-city-danang-place-my-quang-ba-mua,Mỳ Quảng Bà Mua,My Quang Ba Mua,restaurant,hero,hero,audio-authored-my-quang-ba-mua-8f26fdbf01,Mỳ Quảng Bà Mua
p0,viet-family-city-danang-place-my-quang-dung,Mỳ Quảng Dung,My Quang Dung,restaurant,hero,hero,audio-authored-my-quang-dung-b91de2295d,Mỳ Quảng Dung
p0,viet-family-city-danang-place-my-quang-sua-hong-van,Mỳ Quảng Sứa Hồng Vân,My Quang Sua Hong Van,restaurant,hero,hero,audio-authored-my-quang-sua-hong-van-e36e0d23e4,Mỳ Quảng Sứa Hồng Vân
p0,viet-family-city-danang-place-nam-danh-seafood,Hải sản Năm Đảnh,Nam Danh Seafood,restaurant,hero,hero,audio-authored-hai-san-nam-danh-dbc1a5691a,Hải sản Năm Đảnh
p0,viet-family-city-danang-place-nam-house,Nam House Cafe,Nam House Cafe,restaurant,hero,hero,audio-authored-nam-house-cafe-e65ac9bcaf,Nam House Cafe
p0,viet-family-city-danang-place-nam-o-fish-sauce-village,Làng nghề nước mắm Nam Ô,Nam O fish sauce village,landmark_micro_place,hero,hero,audio-authored-lang-nghe-nuoc-mam-nam-o-23793e30b2,Làng nghề nước mắm Nam Ô
p0,viet-family-city-danang-place-nem-lui,Nem lụi ở Đà Nẵng,Lemongrass pork skewers,dish,hero,hero,audio-authored-nem-lui-o-da-nang-325247474b,Nem lụi ở Đà Nẵng
p0,viet-family-city-danang-place-ngu-hanh-son-district,Quận Ngũ Hành Sơn,Ngu Hanh Son District,landmark_micro_place,hero,hero,audio-authored-quan-ngu-hanh-son-d55385b987,Quận Ngũ Hành Sơn
p0,viet-family-city-danang-place-nguyen-hien-dinh-tuong-theatre,Nhà hát Tuồng Nguyễn Hiển Dĩnh,Nguyen Hien Dinh Tuong Theatre,landmark_micro_place,hero,hero,audio-authored-nha-hat-tuong-nguyen-hien-dinh-6337af832b,Nhà hát Tuồng Nguyễn Hiển Dĩnh
p0,viet-family-city-danang-place-oc-hut,Ốc hút ở Đà Nẵng,Stirred snails,dish,hero,hero,audio-authored-oc-hut-o-da-nang-ae29f3d644,Ốc hút ở Đà Nẵng
p0,viet-family-city-danang-place-pham-van-dong-beach,Biển Phạm Văn Đồng,Pham Van Dong Beach,landmark_micro_place,hero,hero,audio-authored-bien-pham-van-dong-d234057fbf,Biển Phạm Văn Đồng
p0,viet-family-city-danang-place-phap-lam-pagoda,Chùa Pháp Lâm,Phap Lam Pagoda,landmark_micro_place,hero,hero,audio-authored-chua-phap-lam-6f78b1e733,Chùa Pháp Lâm
p0,viet-family-city-danang-place-phuoc-my,Phước Mỹ,Phuoc My,landmark_micro_place,hero,hero,audio-authored-phuoc-my-6e4ade9d9e,Phước Mỹ
p0,viet-family-city-danang-place-reply-1988,Reply 1988 Cafe,Reply 1988 Cafe,restaurant,hero,hero,audio-authored-reply-1988-cafe-0c64588b36,Reply 1988 Cafe
p0,viet-family-city-danang-place-six-on-six,Six On Six Cafe,Six On Six Cafe,restaurant,hero,hero,audio-authored-six-on-six-cafe-0d62e89fe4,Six On Six Cafe
p0,viet-family-city-danang-place-son-tra-district,Quận Sơn Trà,Son Tra District,landmark_micro_place,hero,hero,audio-authored-quan-son-tra-7a12e0ce3c,Quận Sơn Trà
p0,viet-family-city-danang-place-son-tra-wildlife-drive,Chuyến đi Sơn Trà,Son Tra wildlife drive,landmark_micro_place,hero,hero,audio-authored-chuyen-di-son-tra-d5f8699ecd,Chuyến đi Sơn Trà
p0,viet-family-city-danang-place-thanh-binh-beach,Biển Thanh Bình,Thanh Binh Beach,landmark_micro_place,hero,hero,audio-authored-bien-thanh-binh-2022104318,Biển Thanh Bình
p0,viet-family-city-danang-place-the-temptation,The Temptation,The Temptation,restaurant,hero,hero,audio-authored-the-temptation-bbabc3ab34,The Temptation
p0,viet-family-city-danang-place-thuan-phuoc-bridge,Cầu Thuận Phước,Thuan Phuoc Bridge,landmark_micro_place,hero,hero,audio-authored-cau-thuan-phuoc-40ea6cc699,Cầu Thuận Phước
p0,viet-family-city-danang-place-tran-hung-dao-street,Đường Trần Hưng Đạo,Tran Hung Dao Street,street,hero,hero,audio-authored-duong-tran-hung-dao-e13d01ef78,Đường Trần Hưng Đạo
p0,viet-family-city-danang-place-trung-vuong-theatre,Nhà hát Trưng Vương,Trung Vuong Theatre,landmark_micro_place,hero,hero,audio-authored-nha-hat-trung-vuong-cc201fd184,Nhà hát Trưng Vương
p0,viet-family-city-danang-place-vincom-plaza,Vincom Plaza Đà Nẵng,Vincom Plaza Da Nang,landmark_micro_place,hero,hero,audio-authored-vincom-plaza-da-nang-7648164f7d,Vincom Plaza Đà Nẵng
p0,viet-family-city-danang-place-wonderlust,Wonderlust,Wonderlust,restaurant,hero,hero,audio-authored-wonderlust-7637acac6b,Wonderlust
p0,viet-family-city-danang-place-yen-retreat,Yên Retreat,Yen Retreat,landmark_micro_place,hero,hero,audio-authored-yen-retreat-78096a7742,Yên Retreat
p0,viet-family-city-hanoi-place-ba-dinh-district,Quận Ba Đình,Ba Dinh District,landmark_micro_place,hero,hero,audio-authored-quan-ba-dinh-3ed7a434d7,Quận Ba Đình
p0,viet-family-city-hanoi-place-banh-cuon,Bánh cuốn ở Hà Nội,Steamed rice rolls,dish,hero,hero,audio-authored-banh-cuon-o-ha-noi-378f1ae66c,Bánh cuốn ở Hà Nội
p0,viet-family-city-hanoi-place-banh-cuon-ba-hoanh,Bánh Cuốn Bà Hoành,Banh Cuon Ba Hoanh,restaurant,hero,hero,audio-authored-banh-cuon-ba-hoanh-7fd9c72f80,Bánh Cuốn Bà Hoành
p0,viet-family-city-hanoi-place-banh-cuon-ba-xuan,Bánh Cuốn Bà Xuân,Banh Cuon Ba Xuan,restaurant,hero,hero,audio-authored-banh-cuon-ba-xuan-0c91e22b36,Bánh Cuốn Bà Xuân
p0,viet-family-city-hanoi-place-bay-mau-lake,Hồ Bảy Mẫu,Bay Mau Lake,landmark_micro_place,hero,hero,audio-authored-ho-bay-mau-9dc538e3d5,Hồ Bảy Mẫu
p0,viet-family-city-hanoi-place-bia-hoi,Bia hơi Hà Nội,Fresh beer,dish,hero,hero,audio-authored-bia-hoi-ha-noi-0a7fd939d7,Bia hơi Hà Nội
p0,viet-family-city-hanoi-place-botanical-garden,Vườn Bách Thảo Hà Nội,Hanoi Botanical Garden,landmark_micro_place,hero,hero,audio-authored-vuon-bach-thao-ha-noi-a5342f444f,Vườn Bách Thảo Hà Nội
p0,viet-family-city-hanoi-place-bun-cha,Bún chả ở Hà Nội,Bun cha,dish,hero,hero,audio-authored-bun-cha-o-ha-noi-66cb5aa2a2,Bún chả ở Hà Nội
p0,viet-family-city-hanoi-place-bun-cha-dac-kim,Bún Chả Đắc Kim,Bun Cha Dac Kim,restaurant,hero,hero,audio-authored-bun-cha-dac-kim-0e89c0e056,Bún Chả Đắc Kim
p0,viet-family-city-hanoi-place-bun-cha-ta,Bún Chả Ta,Bun Cha Ta,restaurant,hero,hero,audio-authored-bun-cha-ta-ab2e0bb937,Bún Chả Ta
p0,viet-family-city-hanoi-place-bun-thang,Bún thang ở Hà Nội,Bun thang,dish,hero,hero,audio-authored-bun-thang-o-ha-noi-a2e5803e77,Bún thang ở Hà Nội
p0,viet-family-city-hanoi-place-ca-phe-sua-da,Cà phê sữa đá ở Hà Nội,Iced milk coffee,dish,hero,hero,audio-authored-ca-phe-sua-da-o-ha-noi-42c5b40f3d,Cà phê sữa đá ở Hà Nội
p0,viet-family-city-hanoi-place-cha-ca,Chả cá ở Hà Nội,Turmeric dill fish,dish,hero,hero,audio-authored-cha-ca-o-ha-noi-8140292a96,Chả cá ở Hà Nội
p0,viet-family-city-hanoi-place-cho-buoi-market,Chợ Bưởi,Buoi Market,landmark_micro_place,hero,hero,audio-authored-cho-buoi-e95f248da9,Chợ Bưởi
p0,viet-family-city-hanoi-place-coffee-hop,Đi cà phê Hà Nội,Hanoi coffee hop,landmark_micro_place,hero,hero,audio-authored-di-ca-phe-ha-noi-47d46ef059,Đi cà phê Hà Nội
p0,viet-family-city-hanoi-place-cong-ca-phe-trieu-viet-vuong,Cộng Cà Phê,Cong Ca Phe,restaurant,hero,hero,audio-authored-cong-ca-phe-895252c279,Cộng Cà Phê
p0,viet-family-city-hanoi-place-cyclo-old-quarter,Xích lô phố cổ,Old Quarter cyclo ride,landmark_micro_place,hero,hero,audio-authored-xich-lo-pho-co-1bb46ac90a,Xích lô phố cổ
p0,viet-family-city-hanoi-place-dinh-cafe,Cà phê Đinh,Dinh Cafe,restaurant,hero,hero,audio-authored-ca-phe-dinh-bc73975585,Cà phê Đinh
p0,viet-family-city-hanoi-place-dong-da,Đống Đa,Dong Da,landmark_micro_place,hero,hero,audio-authored-dong-da-dd67e27775,Đống Đa
p0,viet-family-city-hanoi-place-egg-coffee,Cà phê trứng ở Hà Nội,Egg coffee,dish,hero,hero,audio-authored-ca-phe-trung-o-ha-noi-cd9b2dbc5c,Cà phê trứng ở Hà Nội
p0,viet-family-city-hanoi-place-french-quarter,Khu phố Pháp,French Quarter,landmark_micro_place,hero,hero,audio-authored-khu-pho-phap-51e3d23d4d,Khu phố Pháp
p0,viet-family-city-hanoi-place-french-quarter-walk,Đi bộ khu phố Pháp,French Quarter walk,landmark_micro_place,hero,hero,audio-authored-di-bo-khu-pho-phap-7190c0d7f4,Đi bộ khu phố Pháp
p0,viet-family-city-hanoi-place-gia,Gia,Gia,restaurant,hero,hero,audio-authored-gia-3592ea0599,Gia
p0,viet-family-city-hanoi-place-gia-lam-station,Ga Gia Lâm,Gia Lam Railway Station,landmark_micro_place,hero,hero,audio-authored-ga-gia-lam-d7fb1b3c93,Ga Gia Lâm
p0,viet-family-city-hanoi-place-giap-bat-bus-station,Bến xe Giáp Bát,Giap Bat Bus Station,landmark_micro_place,hero,hero,audio-authored-ben-xe-giap-bat-66d0a75a58,Bến xe Giáp Bát
p0,viet-family-city-hanoi-place-hang-da-market,Chợ Hàng Da,Hang Da Market,landmark_micro_place,hero,hero,audio-authored-cho-hang-da-d60aebbfd3,Chợ Hàng Da
p0,viet-family-city-hanoi-place-hanoi-flag-tower,Cột cờ Hà Nội,Hanoi Flag Tower,landmark_micro_place,hero,hero,audio-authored-cot-co-ha-noi-a87a460e4d,Cột cờ Hà Nội
p0,viet-family-city-hanoi-place-hanoi-railway-station,Ga Hà Nội,Hanoi Railway Station,landmark_micro_place,hero,hero,audio-authored-ga-ha-noi-a11702cd37,Ga Hà Nội
p0,viet-family-city-hanoi-place-hibana-by-koki,Hibana by Koki,Hibana by Koki,restaurant,hero,hero,audio-authored-hibana-by-koki-68a5fc457c,Hibana by Koki
p0,viet-family-city-hanoi-place-ho-chi-minh-museum,Bảo tàng Hồ Chí Minh,Ho Chi Minh Museum,landmark_micro_place,hero,hero,audio-authored-bao-tang-ho-chi-minh-7d71b9b494,Bảo tàng Hồ Chí Minh
p0,viet-family-city-hanoi-place-hom-market,Chợ Hôm,Hom Market,landmark_micro_place,hero,hero,audio-authored-cho-hom-f8cbd8bb33,Chợ Hôm
p0,viet-family-city-hanoi-place-lam-cafe,Cà phê Lâm,Lam Cafe,restaurant,hero,hero,audio-authored-ca-phe-lam-dfb3dc8726,Cà phê Lâm
p0,viet-family-city-hanoi-place-lamai-garden,Lamai Garden,Lamai Garden,restaurant,hero,hero,audio-authored-lamai-garden-2ce211bf78,Lamai Garden
p0,viet-family-city-hanoi-place-lenin-park,Công viên Lê Nin,Lenin Park,landmark_micro_place,hero,hero,audio-authored-cong-vien-le-nin-6910d92d14,Công viên Lê Nin
p0,viet-family-city-hanoi-place-literature-museum,Bảo tàng Văn học Việt Nam,Vietnam Literature Museum,landmark_micro_place,hero,hero,audio-authored-bao-tang-van-hoc-viet-nam-29744d12f4,Bảo tàng Văn học Việt Nam
p0,viet-family-city-hanoi-place-loading-t-cafe,Loading T Cafe,Loading T Cafe,restaurant,hero,hero,audio-authored-loading-t-cafe-91fb1a5cab,Loading T Cafe
p0,viet-family-city-hanoi-place-manzi-art-space,Manzi,Manzi Art Space,landmark_micro_place,hero,hero,audio-authored-manzi-118b6d6977,Manzi
p0,viet-family-city-hanoi-place-mien-luon,Miến lươn ở Hà Nội,Eel glass noodles,dish,hero,hero,audio-authored-mien-luon-o-ha-noi-b6cedbb285,Miến lươn ở Hà Nội
p0,viet-family-city-hanoi-place-mien-luon-chan-cam,Miến lươn Chân Cầm,Mien Luon Chan Cam,restaurant,hero,hero,audio-authored-mien-luon-chan-cam-0f0cc906ac,Miến lươn Chân Cầm
p0,viet-family-city-hanoi-place-my-dinh-bus-station,Bến xe Mỹ Đình,My Dinh Bus Station,landmark_micro_place,hero,hero,audio-authored-ben-xe-my-dinh-495c7e0cea,Bến xe Mỹ Đình
p0,viet-family-city-hanoi-place-nang-cafe,Cà phê Năng,Nang Cafe,restaurant,hero,hero,audio-authored-ca-phe-nang-82e38b746b,Cà phê Năng
p0,viet-family-city-hanoi-place-national-museum-history,Bảo tàng Lịch sử Quốc gia,Vietnam National Museum of History,landmark_micro_place,hero,hero,audio-authored-bao-tang-lich-su-quoc-gia-d96ec5434b,Bảo tàng Lịch sử Quốc gia
p0,viet-family-city-hanoi-place-nem-cua-be,Nem cua bể ở Hà Nội,Crab spring rolls,dish,hero,hero,audio-authored-nem-cua-be-o-ha-noi-6048dce9ae,Nem cua bể ở Hà Nội
p0,viet-family-city-hanoi-place-ngoc-son-temple,Đền Ngọc Sơn,Ngoc Son Temple,landmark_micro_place,hero,hero,audio-authored-den-ngoc-son-6070b099c4,Đền Ngọc Sơn
p0,viet-family-city-hanoi-place-nguyen-huu-huan-street,Phố Nguyễn Hữu Huân,Nguyen Huu Huan Street,street,hero,hero,audio-authored-pho-nguyen-huu-huan-d56193a748,Phố Nguyễn Hữu Huân
p0,viet-family-city-hanoi-place-night-market-walk,Đi chợ đêm phố cổ,Old Quarter night market walk,landmark_micro_place,hero,hero,audio-authored-di-cho-dem-pho-co-0bdc13573f,Đi chợ đêm phố cổ
p0,viet-family-city-hanoi-place-nuoc-ngam-bus-station,Bến xe Nước Ngầm,Nuoc Ngam Bus Station,landmark_micro_place,hero,hero,audio-authored-ben-xe-nuoc-ngam-fc33c31e56,Bến xe Nước Ngầm
p0,viet-family-city-hanoi-place-old-quarter-walking-tour,Tuyến đi bộ Phố cổ,Old Quarter walking route,landmark_micro_place,hero,hero,audio-authored-tuyen-di-bo-pho-co-aa9ed519ba,Tuyến đi bộ Phố cổ
p0,viet-family-city-hanoi-place-one-pillar-pagoda,Chùa Một Cột,One Pillar Pagoda,landmark_micro_place,hero,hero,audio-authored-chua-mot-cot-d841a22f60,Chùa Một Cột
p0,viet-family-city-hanoi-place-pho-10-ly-quoc-su,Phở 10 Lý Quốc Sư,Pho 10 Ly Quoc Su,restaurant,hero,hero,audio-authored-pho-10-ly-quoc-su-ef2898fcea,Phở 10 Lý Quốc Sư
p0,viet-family-city-hanoi-place-pho-bo,Phở bò ở Hà Nội,Beef pho,dish,hero,hero,audio-authored-pho-bo-o-ha-noi-62f37b66d5,Phở bò ở Hà Nội
p0,viet-family-city-hanoi-place-pho-bo-lam,Phở Bò Lâm,Pho Bo Lam,restaurant,hero,hero,audio-authored-pho-bo-lam-71b163df96,Phở Bò Lâm
p0,viet-family-city-hanoi-place-pho-ga,Phở gà ở Hà Nội,Chicken pho,dish,hero,hero,audio-authored-pho-ga-o-ha-noi-0e185d8411,Phở gà ở Hà Nội
p0,viet-family-city-hanoi-place-pho-ga-nguyet,Phở Gà Nguyệt,Pho Ga Nguyet,restaurant,hero,hero,audio-authored-pho-ga-nguyet-d874e826e1,Phở Gà Nguyệt
p0,viet-family-city-hanoi-place-pho-gia-truyen,Phở Gia Truyền,Pho Gia Truyen,restaurant,hero,hero,audio-authored-pho-gia-truyen-7cae7913c2,Phở Gia Truyền
p0,viet-family-city-hanoi-place-quang-ba-flower-market,Chợ hoa Quảng Bá,Quang Ba Flower Market,landmark_micro_place,hero,hero,audio-authored-cho-hoa-quang-ba-6678a34472,Chợ hoa Quảng Bá
p0,viet-family-city-hanoi-place-red-river,Sông Hồng,Red River,landmark_micro_place,hero,hero,audio-authored-song-hong-4bb7c94d1e,Sông Hồng
p0,viet-family-city-hanoi-place-street-food-walk,Đi bộ ăn vặt Hà Nội,Hanoi street-food walk,landmark_micro_place,hero,hero,audio-authored-di-bo-an-vat-ha-noi-8ff5e76134,Đi bộ ăn vặt Hà Nội
p0,viet-family-city-hanoi-place-the-note-coffee,The Note Coffee,The Note Coffee,restaurant,hero,hero,audio-authored-the-note-coffee-3b7fa9e7fa,The Note Coffee
p0,viet-family-city-hanoi-place-thong-nhat-park,Công viên Thống Nhất,Thong Nhat Park,landmark_micro_place,hero,hero,audio-authored-cong-vien-thong-nhat-10832406d7,Công viên Thống Nhất
p0,viet-family-city-hanoi-place-trang-tien-plaza,Tràng Tiền Plaza,Trang Tien Plaza,landmark_micro_place,hero,hero,audio-authored-trang-tien-plaza-abcdb2846e,Tràng Tiền Plaza
