pageID,title,englishTitle,intent,heroImageName,status
viet-family-city-hanoi-place-imperial-citadel,Hoàng thành Thăng Long,Imperial Citadel of Thang Long,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-long-bien-bridge,Cầu Long Biên,Long Bien Bridge,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-long-bien-market,Chợ Long Biên,Long Bien Market,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-noi-bai-airport,Sân bay Nội Bài,Noi Bai Airport,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-old-quarter,Phố cổ Hà Nội,Hanoi Old Quarter,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-opera-house,Nhà hát Lớn Hà Nội,Hanoi Opera House,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-phan-dinh-phung-street,Phố Phan Đình Phùng,Phan Dinh Phung Street,street,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-pho-bat-dan,Phở Bát Đàn,Pho Bat Dan,restaurant,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-quan-thanh-temple,Đền Quán Thánh,Quan Thanh Temple,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-st-joseph-cathedral,Nhà thờ Lớn Hà Nội,St. Joseph Cathedral,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-ta-hien,Phố Tạ Hiện,Ta Hien Street,street,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-tam-vi,Tầm Vị,Tam Vi,restaurant,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-tay-ho,Tây Hồ,Tay Ho,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-temple-literature,Văn Miếu,Temple of Literature,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-train-street,Phố đường tàu Hà Nội,Hanoi Train Street,street,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-tran-quoc-pagoda,Chùa Trấn Quốc,Tran Quoc Pagoda,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-truc-bach-lake,Hồ Trúc Bạch,Truc Bach Lake,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-water-puppet-theatre,Nhà hát Múa rối Thăng Long,Thang Long Water Puppet Theatre,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hanoi-place-west-lake,Hồ Tây,West Lake,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-anan-saigon,Anăn Sài Gòn,Anan Saigon,restaurant,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-bach-dang-wharf,Bến Bạch Đằng,Bach Dang Wharf,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-ben-thanh-market,Chợ Bến Thành,Ben Thanh Market,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-binh-tay-market,Chợ Bình Tây,Binh Tay Market,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-bitexco-tower,Tòa nhà Bitexco,Bitexco Financial Tower,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-bui-vien-street,Phố Bùi Viện,Bui Vien Street,street,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-cho-lon,Chợ Lớn,Cho Lon,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-district-1,Quận 1,District 1,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-dong-khoi-street,Đường Đồng Khởi,Dong Khoi Street,street,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-fine-arts-museum,Bảo tàng Mỹ thuật,Fine Arts Museum,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-ho-thi-ky-flower-market,Chợ hoa Hồ Thị Kỷ,Ho Thi Ky Flower Market,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-independence-palace,Dinh Độc Lập,Independence Palace,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-jade-emperor-pagoda,Chùa Ngọc Hoàng,Jade Emperor Pagoda,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-landmark-81,Landmark 81,Landmark 81,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-le-thanh-ton-street,Đường Lê Thánh Tôn,Le Thanh Ton Street,street,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-nguyen-hue,Phố đi bộ Nguyễn Huệ,Nguyen Hue Walking Street,street,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-nguyen-trai-street,Đường Nguyễn Trãi,Nguyen Trai Street,street,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-notre-dame,Nhà thờ Đức Bà Sài Gòn,Saigon Notre-Dame Cathedral,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-opera-house,Nhà hát Thành phố,Saigon Opera House,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-pasteur-street,Đường Pasteur,Pasteur Street,street,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-pham-ngu-lao-street,Phố Phạm Ngũ Lão,Pham Ngu Lao Street,street,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-pho-hoa-pasteur,Phở Hòa Pasteur,Pho Hoa Pasteur,restaurant,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-post-office,Bưu điện Thành phố,Central Post Office,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-saigon-river,Sông Sài Gòn,Saigon River,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-tan-son-nhat-airport,Sân bay Tân Sơn Nhất,Tan Son Nhat Airport,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-tao-dan-park,Công viên Tao Đàn,Tao Dan Park,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-thao-dien,Thảo Điền,Thao Dien,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-turtle-lake,Hồ Con Rùa,Turtle Lake,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-war-remnants-museum,Bảo tàng Chứng tích Chiến tranh,War Remnants Museum,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hcmc-place-zoo-botanical-gardens,Thảo Cầm Viên Sài Gòn,Saigon Zoo and Botanical Gardens,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-an-bang,Biển An Bàng,An Bang Beach,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-an-hoi-island,Đảo An Hội,An Hoi Island,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-ancient-town,Phố cổ Hội An,Hoi An Ancient Town,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-banh-mi-phuong,Bánh mì Phượng,Banh Mi Phuong,restaurant,,generic_or_neutral_follow_up
viet-family-city-hoian-place-bay-mau-coconut-forest,Rừng dừa Bảy Mẫu,Bay Mau Coconut Forest,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-cam-chau,Cẩm Châu,Cam Chau,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-cam-nam,Cẩm Nam,Cam Nam,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-cam-thanh-coconut-village,Làng dừa Cẩm Thanh,Cam Thanh Coconut Village,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-cao-lau-city,Cao lầu ở Hội An,Cao lau in Hoi An,dish,,generic_or_neutral_follow_up
viet-family-city-hoian-place-cham-islands,Cù Lao Chàm,Cham Islands,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-cua-dai-beach,Biển Cửa Đại,Cua Dai Beach,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-faifo-coffee,Faifo Coffee,Faifo Coffee,restaurant,,generic_or_neutral_follow_up
viet-family-city-hoian-place-fujian-assembly-hall,Hội quán Phúc Kiến,Fujian Assembly Hall,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-hoai-river,Sông Hoài,Hoai River,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-japanese-bridge,Chùa Cầu,Japanese Covered Bridge,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-kim-bong-carpentry-village,Làng mộc Kim Bồng,Kim Bong Carpentry Village,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-market,Chợ Hội An,Hoi An Market,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-memories-land,Đảo Ký ức Hội An,Hoi An Memories Land,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-morning-glory,Morning Glory Hội An,Morning Glory Hoi An,restaurant,,generic_or_neutral_follow_up
viet-family-city-hoian-place-my-son-sanctuary,Thánh địa Mỹ Sơn,My Son Sanctuary,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-nguyen-hoang-night-market,Chợ đêm Nguyễn Hoàng,Nguyen Hoang Night Market,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-night-market,Chợ đêm Hội An,Hoi An Night Market,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-precious-heritage-museum,Bảo tàng Di sản Vô giá,Precious Heritage Museum,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-quan-cong-temple,Miếu Quan Công,Quan Cong Temple,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-reach-out-tea-house,Reaching Out Tea House,Reaching Out Tea House,restaurant,,generic_or_neutral_follow_up
viet-family-city-hoian-place-tan-ky-old-house,Nhà cổ Tấn Ký,Tan Ky Old House,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-thanh-ha,Làng gốm Thanh Hà,Thanh Ha Pottery Village,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-thu-bon-river,Sông Thu Bồn,Thu Bon River,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-tra-que,Làng rau Trà Quế,Tra Que Vegetable Village,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hoian-place-tran-phu-street,Phố Trần Phú,Tran Phu Street,street,,generic_or_neutral_follow_up
viet-family-city-hue-place-an-cuu-market,Chợ An Cựu,An Cuu Market,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-an-dinh-palace,Cung An Định,An Dinh Palace,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-bao-vinh-ancient-town,Phố cổ Bao Vinh,Bao Vinh Ancient Town,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-bun-bo-city,Bún bò Huế,Bun bo Hue,dish,,generic_or_neutral_follow_up
viet-family-city-hue-place-dong-ba,Chợ Đông Ba,Dong Ba Market,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-dong-khanh-tomb,Lăng Đồng Khánh,Tomb of Dong Khanh,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-gia-long-tomb,Lăng Gia Long,Tomb of Gia Long,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-hen-island,Cồn Hến,Hen Island,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-huyen-tran-temple,Đền Huyền Trân,Huyen Tran Princess Temple,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-imperial-city,Kinh thành Huế,Hue Imperial City,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-khai-dinh-tomb,Lăng Khải Định,Tomb of Khai Dinh,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-le-loi-street,Đường Lê Lợi,Le Loi Street,street,,generic_or_neutral_follow_up
viet-family-city-hue-place-les-jardins,Les Jardins de la Carambole,Les Jardins de la Carambole,restaurant,,generic_or_neutral_follow_up
viet-family-city-hue-place-minh-mang-tomb,Lăng Minh Mạng,Tomb of Minh Mang,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-nguyen-dinh-chieu-street,Phố đi bộ Nguyễn Đình Chiểu,Nguyen Dinh Chieu Walking Street,street,,generic_or_neutral_follow_up
viet-family-city-hue-place-night-market,Chợ đêm Huế,Hue Night Market,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-perfume-river,Sông Hương,Perfume River,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-phu-bai-airport,Sân bay Phú Bài,Phu Bai Airport,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-phu-cam-church,Nhà thờ Phủ Cam,Phu Cam Church,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-railway-station,Ga Huế,Hue Railway Station,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-royal-antiquities-museum,Bảo tàng Cổ vật Cung đình Huế,Hue Museum of Royal Antiquities,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-thanh-toan-bridge,Cầu ngói Thanh Toàn,Thanh Toan Bridge,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-thien-mu,Chùa Thiên Mụ,Thien Mu Pagoda,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-thuy-xuan-incense-village,Làng hương Thủy Xuân,Thuy Xuan Incense Village,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-truong-tien,Cầu Trường Tiền,Truong Tien Bridge,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-tu-duc-tomb,Lăng Tự Đức,Tomb of Tu Duc,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-tu-hieu-pagoda,Chùa Từ Hiếu,Tu Hieu Pagoda,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-vong-canh-hill,Đồi Vọng Cảnh,Vong Canh Hill,landmark_micro_place,,generic_or_neutral_follow_up
viet-family-city-hue-place-walking-street,Phố đi bộ Huế,Hue Walking Street,street,,generic_or_neutral_follow_up
