"normalized_text","expected_text","usage_count","suggested_audio_key","source_page_ids","source_sections","surface_types"
"ăn gần chợ bến thành","Ăn gần Chợ Bến Thành","1","audio-authored-an-gan-cho-ben-thanh-2ab5f289f9","viet-family-city-hcmc-atm-ben-thanh-market","when-to-use","phrase"
"ăn gần chợ bình tây","Ăn gần Chợ Bình Tây","1","audio-authored-an-gan-cho-binh-tay-da98d2858c","viet-family-city-hcmc-atm-binh-tay-market","when-to-use","phrase"
"ăn gần chợ cồn","Ăn gần Chợ Cồn","1","audio-authored-an-gan-cho-con-f1db95e14e","viet-family-city-danang-atm-con-market","when-to-use","phrase"
"ăn gần chợ đông ba","Ăn gần Chợ Đông Ba","1","audio-authored-an-gan-cho-dong-ba-245b10880b","viet-family-city-hue-atm-dong-ba-market","when-to-use","phrase"
"ăn gần chợ đồng xuân","Ăn gần Chợ Đồng Xuân","1","audio-authored-an-gan-cho-dong-xuan-081dd9e648","viet-family-city-hanoi-atm-dong-xuan-market","when-to-use","phrase"
"ăn gần chợ hàn","Ăn gần Chợ Hàn","1","audio-authored-an-gan-cho-han-877a7ad8a8","viet-family-city-danang-atm-han-market","when-to-use","phrase"
"ăn gần chợ lớn","Ăn gần Chợ Lớn","1","audio-authored-an-gan-cho-lon-7ebd88d5bc","viet-family-city-hcmc-atm-cho-lon","when-to-use","phrase"
"ăn gần công viên apec","Ăn gần Công viên APEC","1","audio-authored-an-gan-cong-vien-apec-b302eb9c8c","viet-family-city-danang-atm-apec-park","when-to-use","phrase"
"ăn gần công viên châu á","Ăn gần Công viên Châu Á","1","audio-authored-an-gan-cong-vien-chau-a-ef1573a566","viet-family-city-danang-atm-asia-park","when-to-use","phrase"
"ăn gần cung an định","Ăn gần Cung An Định","1","audio-authored-an-gan-cung-an-dinh-da42f8a30b","viet-family-city-hue-atm-an-dinh-palace","when-to-use","phrase"
"ăn gần đảo an hội","Ăn gần Đảo An Hội","1","audio-authored-an-gan-dao-an-hoi-f28c97fe87","viet-family-city-hoian-atm-an-hoi-island","when-to-use","phrase"
"ăn gần đỉnh bàn cờ","Ăn gần Đỉnh Bàn Cờ","1","audio-authored-an-gan-dinh-ban-co-8473201bb6","viet-family-city-danang-atm-ban-co-peak","when-to-use","phrase"
"ăn gần đường bạch đằng","Ăn gần Đường Bạch Đằng","1","audio-authored-an-gan-duong-bach-dang-4e990bdd8b","viet-family-city-danang-atm-bach-dang-street","when-to-use","phrase"
"ăn gần đường đồng khởi","Ăn gần Đường Đồng Khởi","1","audio-authored-an-gan-duong-dong-khoi-5ae1823444","viet-family-city-hcmc-atm-dong-khoi-street","when-to-use","phrase"
"ăn gần lăng đồng khánh","Ăn gần Lăng Đồng Khánh","1","audio-authored-an-gan-lang-dong-khanh-ff459c39e3","viet-family-city-hue-atm-dong-khanh-tomb","when-to-use","phrase"
"ăn gần lăng gia long","Ăn gần Lăng Gia Long","1","audio-authored-an-gan-lang-gia-long-0debc9b2cf","viet-family-city-hue-atm-gia-long-tomb","when-to-use","phrase"
"ăn gần nhà thờ con gà đà nẵng","Ăn gần Nhà thờ Con Gà Đà Nẵng","1","audio-authored-an-gan-nha-tho-con-ga-da-nang-63d903edc2","viet-family-city-danang-atm-cathedral","when-to-use","phrase"
"ăn gần phố bùi viện","Ăn gần Phố Bùi Viện","1","audio-authored-an-gan-pho-bui-vien-2f41bfb84c","viet-family-city-hcmc-atm-bui-vien-street","when-to-use","phrase"
"ăn gần phố cổ bao vinh","Ăn gần Phố cổ Bao Vinh","1","audio-authored-an-gan-pho-co-bao-vinh-bc52fa8066","viet-family-city-hue-atm-bao-vinh-ancient-town","when-to-use","phrase"
"ăn gần phố cổ hội an","Ăn gần Phố cổ Hội An","1","audio-authored-an-gan-pho-co-hoi-an-f957116c2e","viet-family-city-hoian-atm-ancient-town","when-to-use","phrase"
"ăn gần quận 1","Ăn gần Quận 1","1","audio-authored-an-gan-quan-1-cc70494074","viet-family-city-hcmc-atm-district-1","when-to-use","phrase"
"ăn gần quảng trường ba đình","Ăn gần Quảng trường Ba Đình","1","audio-authored-an-gan-quang-truong-ba-dinh-65a18533b7","viet-family-city-hanoi-atm-ba-dinh-square","when-to-use","phrase"
"ăn gần sông hàn","Ăn gần Sông Hàn","1","audio-authored-an-gan-song-han-b25ee72aa9","viet-family-city-danang-atm-han-river","when-to-use","phrase"
"ăn gần tòa nhà bitexco","Ăn gần Tòa nhà Bitexco","1","audio-authored-an-gan-toa-nha-bitexco-a40bfdc3a3","viet-family-city-hcmc-atm-bitexco-tower","when-to-use","phrase"
"anăn sài gòn","Anăn Sài Gòn","1","audio-authored-anan-sai-gon-d937cbff91","viet-family-city-hcmc-atm-anan-saigon","place-anchor","phrase"
"anăn sài gòn gần đây không?","Anăn Sài Gòn gần đây không?","1","audio-authored-anan-sai-gon-gan-day-khong-fe9746aa3c","viet-family-city-hcmc-atm-anan-saigon","when-to-use","phrase"
"anăn sài gòn ở đâu?","Anăn Sài Gòn ở đâu?","1","audio-authored-anan-sai-gon-o-dau-bd431d2a16","viet-family-city-hcmc-where-anan-saigon","hero","hero"
"bà nà hills","Bà Nà Hills","1","audio-authored-ba-na-hills-c5674a9b64","viet-family-city-danang-atm-ba-na-hills","place-anchor","phrase"
"bà nà hills ở đâu?","Bà Nà Hills ở đâu?","1","audio-authored-ba-na-hills-o-dau-5a70cb99cc","viet-family-city-danang-atm-ba-na-hills","explore-next","phrase"
"bán đảo sơn trà","Bán đảo Sơn Trà","1","audio-authored-ban-dao-son-tra-2364c7b9ad","viet-family-city-danang-go-son-tra","place-anchor","phrase"
"bánh mì phượng","Bánh mì Phượng","1","audio-authored-banh-mi-phuong-db1ed9143b","viet-family-city-hoian-atm-banh-mi-phuong","place-anchor","phrase"
"bánh mì phượng ở đâu?","Bánh mì Phượng ở đâu?","1","audio-authored-banh-mi-phuong-o-dau-643763e37d","viet-family-city-hoian-atm-banh-mi-phuong","when-to-use","phrase"
"bảo tàng chứng tích chiến tranh","Bảo tàng Chứng tích Chiến tranh","1","audio-authored-bao-tang-chung-tich-chien-tranh-2b98ad2fdc","viet-family-city-hcmc-go-war-remnants-museum","place-anchor","phrase"
"bảo tàng chứng tích chiến tranh ở đâu?","Bảo tàng Chứng tích Chiến tranh ở đâu?","1","audio-authored-bao-tang-chung-tich-chien-tranh-o-dau-2c7524d041","viet-family-city-hcmc-go-war-remnants-museum","when-to-use","phrase"
"bảo tàng cổ vật cung đình huế","Bảo tàng Cổ vật Cung đình Huế","1","audio-authored-bao-tang-co-vat-cung-dinh-hue-f79a38abcb","viet-family-city-hue-go-royal-antiquities-museum","place-anchor","phrase"
"bảo tàng cổ vật cung đình huế ở đâu?","Bảo tàng Cổ vật Cung đình Huế ở đâu?","1","audio-authored-bao-tang-co-vat-cung-dinh-hue-o-dau-f2c01843c1","viet-family-city-hue-go-royal-antiquities-museum","when-to-use","phrase"
"bảo tàng dân tộc học","Bảo tàng Dân tộc học","1","audio-authored-bao-tang-dan-toc-hoc-289fb68b03","viet-family-city-hanoi-atm-ethnology-museum","place-anchor","phrase"
"bảo tàng dân tộc học ở đâu?","Bảo tàng Dân tộc học ở đâu?","1","audio-authored-bao-tang-dan-toc-hoc-o-dau-0a74757db4","viet-family-city-hanoi-atm-ethnology-museum","when-to-use","phrase"
"bảo tàng di sản vô giá","Bảo tàng Di sản Vô giá","1","audio-authored-bao-tang-di-san-vo-gia-9626caf2e0","viet-family-city-hoian-go-precious-heritage-museum","place-anchor","phrase"
"bảo tàng di sản vô giá ở đâu?","Bảo tàng Di sản Vô giá ở đâu?","1","audio-authored-bao-tang-di-san-vo-gia-o-dau-aac2c5ed3c","viet-family-city-hoian-go-precious-heritage-museum","when-to-use","phrase"
"bảo tàng điêu khắc chăm","Bảo tàng Điêu khắc Chăm","1","audio-authored-bao-tang-dieu-khac-cham-9a8b3b4f01","viet-family-city-danang-atm-cham-museum","place-anchor","phrase"
"bảo tàng điêu khắc chăm ở đâu?","Bảo tàng Điêu khắc Chăm ở đâu?","1","audio-authored-bao-tang-dieu-khac-cham-o-dau-0d885872df","viet-family-city-danang-atm-cham-museum","explore-next","phrase"
"bảo tàng mỹ thuật","Bảo tàng Mỹ thuật","1","audio-authored-bao-tang-my-thuat-7c89469d5f","viet-family-city-hcmc-atm-fine-arts-museum","place-anchor","phrase"
"bảo tàng mỹ thuật ở đâu?","Bảo tàng Mỹ thuật ở đâu?","1","audio-authored-bao-tang-my-thuat-o-dau-d330029534","viet-family-city-hcmc-atm-fine-arts-museum","when-to-use","phrase"
"bến bạch đằng","Bến Bạch Đằng","1","audio-authored-ben-bach-dang-566a5d22c4","viet-family-city-hcmc-atm-bach-dang-wharf","place-anchor","phrase"
"bến bạch đằng gần đây không?","Bến Bạch Đằng gần đây không?","1","audio-authored-ben-bach-dang-gan-day-khong-4c21b532d4","viet-family-city-hcmc-atm-bach-dang-wharf","when-to-use","phrase"
"bến bạch đằng ở đâu?","Bến Bạch Đằng ở đâu?","1","audio-authored-ben-bach-dang-o-dau-0b9e513a47","viet-family-city-hcmc-where-bach-dang-wharf","hero","hero"
"biển an bàng","Biển An Bàng","1","audio-authored-bien-an-bang-75a08f8df0","viet-family-city-hoian-atm-an-bang-beach","place-anchor","phrase"
"biển an bàng gần đây không?","Biển An Bàng gần đây không?","1","audio-authored-bien-an-bang-gan-day-khong-74e1753e5d","viet-family-city-hoian-atm-an-bang-beach","when-to-use","phrase"
"biển an bàng ở đâu?","Biển An Bàng ở đâu?","1","audio-authored-bien-an-bang-o-dau-170645a30e","viet-family-city-hoian-where-an-bang-beach","hero","hero"
"biển cửa đại","Biển Cửa Đại","1","audio-authored-bien-cua-dai-973f406ec5","viet-family-city-hoian-atm-cua-dai-beach","place-anchor","phrase"
"biển cửa đại ở đâu?","Biển Cửa Đại ở đâu?","1","audio-authored-bien-cua-dai-o-dau-ade158cd36","viet-family-city-hoian-atm-cua-dai-beach","when-to-use","phrase"
"biển mân thái","Biển Mân Thái","1","audio-authored-bien-man-thai-397d136a26","viet-family-city-danang-go-man-thai-beach","place-anchor","phrase"
"biển mân thái ở đâu?","Biển Mân Thái ở đâu?","1","audio-authored-bien-man-thai-o-dau-90bc2fbab1","viet-family-city-danang-go-man-thai-beach","when-to-use","phrase"
"biển mỹ khê","Biển Mỹ Khê","1","audio-authored-bien-my-khe-cc07e59f70","viet-family-city-danang-get-off-my-khe","place-anchor","phrase"
"biển mỹ khê gần đây không?","Biển Mỹ Khê gần đây không?","1","audio-authored-bien-my-khe-gan-day-khong-1a654bbf1a","viet-family-city-danang-get-off-my-khe","when-to-use","phrase"
"biển non nước","Biển Non Nước","1","audio-authored-bien-non-nuoc-6554d5ecf2","viet-family-city-danang-go-non-nuoc-beach","place-anchor","phrase"
"bún bò huế","Bún bò Huế","1","audio-authored-bun-bo-hue-d24e6940ff","viet-family-city-hue-atm-bun-bo-city","place-anchor","phrase"
"bún bò huế ở đâu?","Bún bò Huế ở đâu?","1","audio-authored-bun-bo-hue-o-dau-b24954594a","viet-family-city-hue-where-bun-bo-city","hero","hero"
"bún bò ở chợ đông ba","Bún bò ở chợ Đông Ba","1","audio-authored-bun-bo-o-cho-dong-ba-996e454750","viet-family-city-hue-atm-dong-ba-bun-bo","when-to-use","phrase"
"bún bò ở chợ đông ba ở đâu?","Bún bò ở chợ Đông Ba ở đâu?","1","audio-authored-bun-bo-o-cho-dong-ba-o-dau-4084f62736","viet-family-city-hue-atm-dong-ba-bun-bo","explore-next","phrase"
"bún chả hương liên","Bún chả Hương Liên","1","audio-authored-bun-cha-huong-lien-7123b3d369","viet-family-city-hanoi-atm-bun-cha-huong-lien","place-anchor","phrase"
"bún chả hương liên ở đâu?","Bún chả Hương Liên ở đâu?","1","audio-authored-bun-cha-huong-lien-o-dau-cc0475d911","viet-family-city-hanoi-atm-bun-cha-huong-lien","explore-next","phrase"
"bưu điện thành phố","Bưu điện Thành phố","1","audio-authored-buu-dien-thanh-pho-d72b512408","viet-family-city-hcmc-atm-central-post-office","place-anchor","phrase"
"bưu điện thành phố ở đâu?","Bưu điện Thành phố ở đâu?","1","audio-authored-buu-dien-thanh-pho-o-dau-5fcdf89406","viet-family-city-hcmc-where-post-office","hero","hero"
"cà phê giảng","Cà phê Giảng","1","audio-authored-ca-phe-giang-f008ae0fe9","viet-family-city-hanoi-atm-giang-cafe","place-anchor","phrase"
"cẩm châu","Cẩm Châu","1","audio-authored-cam-chau-65e81d1042","viet-family-city-hoian-atm-cam-chau","place-anchor","phrase"
"cẩm châu ở đâu?","Cẩm Châu ở đâu?","1","audio-authored-cam-chau-o-dau-bfc3b06dc7","viet-family-city-hoian-atm-cam-chau","when-to-use","phrase"
"cẩm nam","Cẩm Nam","1","audio-authored-cam-nam-c0265f2b60","viet-family-city-hoian-atm-cam-nam","place-anchor","phrase"
"cẩm nam ở đâu?","Cẩm Nam ở đâu?","1","audio-authored-cam-nam-o-dau-b6a67bb236","viet-family-city-hoian-atm-cam-nam","when-to-use","phrase"
"cảng tiên sa","Cảng Tiên Sa","1","audio-authored-cang-tien-sa-00a20c3b42","viet-family-city-danang-go-tien-sa-port","place-anchor","phrase"
"cao lầu ở hội an","Cao lầu ở Hội An","1","audio-authored-cao-lau-o-hoi-an-60088f31fc","viet-family-city-hoian-atm-cao-lau-city","place-anchor","phrase"
"cao lầu ở hội an ở đâu?","Cao lầu ở Hội An ở đâu?","1","audio-authored-cao-lau-o-hoi-an-o-dau-cdcc255ae4","viet-family-city-hoian-atm-cao-lau-city","explore-next","phrase"
"cầu long biên","Cầu Long Biên","1","audio-authored-cau-long-bien-25c0c0b154","viet-family-city-hanoi-atm-long-bien-bridge","place-anchor","phrase"
"cầu long biên ở đâu?","Cầu Long Biên ở đâu?","1","audio-authored-cau-long-bien-o-dau-2dc65370ce","viet-family-city-hanoi-atm-long-bien-bridge","when-to-use","phrase"
"cầu ngói thanh toàn","Cầu ngói Thanh Toàn","1","audio-authored-cau-ngoi-thanh-toan-6e6b5a9eec","viet-family-city-hue-go-thanh-toan-bridge","place-anchor","phrase"
"cầu ngói thanh toàn ở đâu?","Cầu ngói Thanh Toàn ở đâu?","1","audio-authored-cau-ngoi-thanh-toan-o-dau-f0703f5a31","viet-family-city-hue-go-thanh-toan-bridge","when-to-use","phrase"
"cầu rồng","Cầu Rồng","1","audio-authored-cau-rong-90dc128d4b","viet-family-city-danang-atm-dragon-bridge","place-anchor","phrase"
"cầu rồng ở đâu?","Cầu Rồng ở đâu?","1","audio-authored-cau-rong-o-dau-8de12d7ea5","viet-family-city-danang-atm-dragon-bridge","explore-next","phrase"
"cầu tình yêu","Cầu Tình Yêu","1","audio-authored-cau-tinh-yeu-dae5912687","viet-family-city-danang-go-love-bridge","place-anchor","phrase"
"cầu tình yêu ở đâu?","Cầu Tình Yêu ở đâu?","1","audio-authored-cau-tinh-yeu-o-dau-18267e6d25","viet-family-city-danang-go-love-bridge","when-to-use","phrase"
"cầu trần thị lý","Cầu Trần Thị Lý","1","audio-authored-cau-tran-thi-ly-c3efadb5bf","viet-family-city-danang-go-tran-thi-ly-bridge","place-anchor","phrase"
"cầu trường tiền","Cầu Trường Tiền","1","audio-authored-cau-truong-tien-457b4dcf02","viet-family-city-hue-get-off-truong-tien","place-anchor","phrase"
"cầu trường tiền ở đâu?","Cầu Trường Tiền ở đâu?","1","audio-authored-cau-truong-tien-o-dau-2ebf512a2a","viet-family-city-hue-get-off-truong-tien","when-to-use","phrase"
"cầu vàng","Cầu Vàng","1","audio-authored-cau-vang-2c608d285a","viet-family-city-danang-atm-golden-bridge","place-anchor","phrase"
"cầu vàng ở đâu?","Cầu Vàng ở đâu?","1","audio-authored-cau-vang-o-dau-009dcb6833","viet-family-city-danang-atm-golden-bridge","explore-next","phrase"
"chả cá thăng long","Chả cá Thăng Long","1","audio-authored-cha-ca-thang-long-be49acaab5","viet-family-city-hanoi-atm-cha-ca-thang-long","place-anchor","phrase"
"chả cá thăng long ở đâu?","Chả cá Thăng Long ở đâu?","1","audio-authored-cha-ca-thang-long-o-dau-d2ad791324","viet-family-city-hanoi-atm-cha-ca-thang-long","explore-next","phrase"
"chợ an cựu","Chợ An Cựu","1","audio-authored-cho-an-cuu-8be5ddeb54","viet-family-city-hue-atm-an-cuu-market","place-anchor","phrase"
"chợ an cựu gần đây không?","Chợ An Cựu gần đây không?","1","audio-authored-cho-an-cuu-gan-day-khong-9f757f7c58","viet-family-city-hue-atm-an-cuu-market","explore-next","phrase"
"chợ an cựu ở đâu?","Chợ An Cựu ở đâu?","1","audio-authored-cho-an-cuu-o-dau-1f23f26aef","viet-family-city-hue-where-an-cuu-market","hero","hero"
"chợ bến thành","Chợ Bến Thành","1","audio-authored-cho-ben-thanh-e903b82c55","viet-family-city-hcmc-atm-ben-thanh-market","place-anchor","phrase"
"chợ bến thành gần đây không?","Chợ Bến Thành gần đây không?","1","audio-authored-cho-ben-thanh-gan-day-khong-2a0251592d","viet-family-city-hcmc-atm-ben-thanh-market","explore-next","phrase"
"chợ bến thành ở đâu?","Chợ Bến Thành ở đâu?","1","audio-authored-cho-ben-thanh-o-dau-bb40bb0327","viet-family-city-hcmc-where-ben-thanh","hero","hero"
"chợ bình tây","Chợ Bình Tây","1","audio-authored-cho-binh-tay-4e1f45d293","viet-family-city-hcmc-atm-binh-tay-market","place-anchor","phrase"
"chợ bình tây gần đây không?","Chợ Bình Tây gần đây không?","1","audio-authored-cho-binh-tay-gan-day-khong-0443e728c0","viet-family-city-hcmc-near-binh-tay-market","hero","hero"
"chợ bình tây ở đâu?","Chợ Bình Tây ở đâu?","1","audio-authored-cho-binh-tay-o-dau-75d11bba12","viet-family-city-hcmc-where-binh-tay-market","hero","hero"
"chợ bình tây xa không?","Chợ Bình Tây xa không?","1","audio-authored-cho-binh-tay-xa-khong-0499415dd3","viet-family-city-hcmc-atm-binh-tay-market","when-to-use","phrase"
"chợ cồn","Chợ Cồn","1","audio-authored-cho-con-7a0aea6c64","viet-family-city-danang-atm-con-market","place-anchor","phrase"
"chợ cồn gần đây không?","Chợ Cồn gần đây không?","1","audio-authored-cho-con-gan-day-khong-6ab9d018b6","viet-family-city-danang-atm-con-market","when-to-use","phrase"
"chợ cồn ở đâu?","Chợ Cồn ở đâu?","1","audio-authored-cho-con-o-dau-640c3f2b63","viet-family-city-danang-where-con-market","hero","hero"
"chợ đêm helio","Chợ đêm Helio","1","audio-authored-cho-dem-helio-2cb101a5fa","viet-family-city-danang-atm-helio-night-market","place-anchor","phrase"
"chợ đêm helio gần đây không?","Chợ đêm Helio gần đây không?","1","audio-authored-cho-dem-helio-gan-day-khong-6c5f1b7183","viet-family-city-danang-atm-helio-night-market","when-to-use","phrase"
"chợ đêm helio ở đâu?","Chợ đêm Helio ở đâu?","1","audio-authored-cho-dem-helio-o-dau-3f13677043","viet-family-city-danang-atm-helio-night-market","explore-next","phrase"
"chợ đêm hội an","Chợ đêm Hội An","1","audio-authored-cho-dem-hoi-an-49ee15d5c0","viet-family-city-hoian-near-night-market","place-anchor","phrase"
"chợ đêm hội an gần đây không?","Chợ đêm Hội An gần đây không?","1","audio-authored-cho-dem-hoi-an-gan-day-khong-b6c4ec65e8","viet-family-city-hoian-near-night-market","hero","hero"
"chợ đêm hội an ở đâu?","Chợ đêm Hội An ở đâu?","1","audio-authored-cho-dem-hoi-an-o-dau-51847b5dd3","viet-family-city-hoian-near-night-market","when-to-use","phrase"
"chợ đêm huế","Chợ đêm Huế","1","audio-authored-cho-dem-hue-4bf5e32962","viet-family-city-hue-go-night-market","place-anchor","phrase"
"chợ đêm huế gần đây không?","Chợ đêm Huế gần đây không?","1","audio-authored-cho-dem-hue-gan-day-khong-ef23eec0b4","viet-family-city-hue-go-night-market","when-to-use","phrase"
"chợ đêm huế ở đâu?","Chợ đêm Huế ở đâu?","1","audio-authored-cho-dem-hue-o-dau-b671c6e9ee","viet-family-city-hue-go-night-market","when-to-use","phrase"
"chợ đêm nguyễn hoàng","Chợ đêm Nguyễn Hoàng","1","audio-authored-cho-dem-nguyen-hoang-a985d67a93","viet-family-city-hoian-entrance-nguyen-hoang-night-market","place-anchor","phrase"
"chợ đêm nguyễn hoàng gần đây không?","Chợ đêm Nguyễn Hoàng gần đây không?","1","audio-authored-cho-dem-nguyen-hoang-gan-day-khong-0f5b8e2a97","viet-family-city-hoian-entrance-nguyen-hoang-night-market","when-to-use","phrase"
"chợ đêm nguyễn hoàng ở đâu?","Chợ đêm Nguyễn Hoàng ở đâu?","1","audio-authored-cho-dem-nguyen-hoang-o-dau-f0439026ac","viet-family-city-hoian-entrance-nguyen-hoang-night-market","explore-next","phrase"
"chợ đêm sơn trà","Chợ đêm Sơn Trà","1","audio-authored-cho-dem-son-tra-21d84be110","viet-family-city-danang-go-son-tra-night-market","place-anchor","phrase"
"chợ đêm sơn trà gần đây không?","Chợ đêm Sơn Trà gần đây không?","1","audio-authored-cho-dem-son-tra-gan-day-khong-93857776a2","viet-family-city-danang-go-son-tra-night-market","when-to-use","phrase"
"chợ đêm sơn trà ở đâu?","Chợ đêm Sơn Trà ở đâu?","1","audio-authored-cho-dem-son-tra-o-dau-d0f887c351","viet-family-city-danang-go-son-tra-night-market","when-to-use","phrase"
"chợ đông ba","Chợ Đông Ba","1","audio-authored-cho-dong-ba-9912a894df","viet-family-city-hue-atm-dong-ba-market","place-anchor","phrase"
"chợ đông ba gần đây không?","Chợ Đông Ba gần đây không?","1","audio-authored-cho-dong-ba-gan-day-khong-15313f1d0b","viet-family-city-hue-atm-dong-ba-market","explore-next","phrase"
"chợ đông ba ở đâu?","Chợ Đông Ba ở đâu?","1","audio-authored-cho-dong-ba-o-dau-da14890866","viet-family-city-hue-where-dong-ba-market","hero","hero"
"chợ đồng xuân","Chợ Đồng Xuân","1","audio-authored-cho-dong-xuan-f18b81788e","viet-family-city-hanoi-atm-dong-xuan-market","place-anchor","phrase"
"chợ đồng xuân gần đây không?","Chợ Đồng Xuân gần đây không?","1","audio-authored-cho-dong-xuan-gan-day-khong-d7548a7357","viet-family-city-hanoi-atm-dong-xuan-market","explore-next","phrase"
"chợ đồng xuân ở đâu?","Chợ Đồng Xuân ở đâu?","1","audio-authored-cho-dong-xuan-o-dau-1a0ba2fd0c","viet-family-city-hanoi-where-dong-xuan","hero","hero"
"chợ hàn","Chợ Hàn","1","audio-authored-cho-han-f68fe61ccf","viet-family-city-danang-atm-han-market","place-anchor","phrase"
"chợ hàn gần đây không?","Chợ Hàn gần đây không?","1","audio-authored-cho-han-gan-day-khong-193b6b52c0","viet-family-city-danang-atm-han-market","when-to-use","phrase"
"chợ hàn ở đâu?","Chợ Hàn ở đâu?","1","audio-authored-cho-han-o-dau-fecbaec7a9","viet-family-city-danang-where-han-market","hero","hero"
"chợ hoa hồ thị kỷ","Chợ hoa Hồ Thị Kỷ","1","audio-authored-cho-hoa-ho-thi-ky-6c536fe596","viet-family-city-hcmc-atm-ho-thi-ky-flower-market","place-anchor","phrase"
"chợ hoa hồ thị kỷ gần đây không?","Chợ hoa Hồ Thị Kỷ gần đây không?","1","audio-authored-cho-hoa-ho-thi-ky-gan-day-khong-cfdb5385b1","viet-family-city-hcmc-atm-ho-thi-ky-flower-market","when-to-use","phrase"
"chợ hoa hồ thị kỷ ở đâu?","Chợ hoa Hồ Thị Kỷ ở đâu?","1","audio-authored-cho-hoa-ho-thi-ky-o-dau-d59e462200","viet-family-city-hcmc-where-ho-thi-ky-flower-market","hero","hero"
"chợ hội an","Chợ Hội An","1","audio-authored-cho-hoi-an-21c54be924","viet-family-city-hoian-atm-market","place-anchor","phrase"
"chợ hội an gần đây không?","Chợ Hội An gần đây không?","1","audio-authored-cho-hoi-an-gan-day-khong-496985d597","viet-family-city-hoian-atm-market","when-to-use","phrase"
"chợ hội an ở đâu?","Chợ Hội An ở đâu?","1","audio-authored-cho-hoi-an-o-dau-914a7752f7","viet-family-city-hoian-where-market","hero","hero"
"chợ lớn","Chợ Lớn","1","audio-authored-cho-lon-108164c159","viet-family-city-hcmc-atm-cho-lon","place-anchor","phrase"
"chợ lớn ở đâu?","Chợ Lớn ở đâu?","1","audio-authored-cho-lon-o-dau-21b978d0a6","viet-family-city-hcmc-atm-cho-lon","explore-next","phrase"
"chợ long biên","Chợ Long Biên","1","audio-authored-cho-long-bien-51bc2585e2","viet-family-city-hanoi-atm-long-bien-market","place-anchor","phrase"
"chợ long biên gần đây không?","Chợ Long Biên gần đây không?","1","audio-authored-cho-long-bien-gan-day-khong-935e398b10","viet-family-city-hanoi-atm-long-bien-market","when-to-use","phrase"
"chợ long biên ở đâu?","Chợ Long Biên ở đâu?","1","audio-authored-cho-long-bien-o-dau-8763cd5bb9","viet-family-city-hanoi-where-long-bien-market","hero","hero"
"cho tôi đến bưu điện thành phố","Cho tôi đến Bưu điện Thành phố","1","audio-authored-cho-toi-den-buu-dien-thanh-pho-ed4f71aa24","viet-family-city-hcmc-atm-central-post-office","explore-next","phrase"
"cho tôi đến sân bay đà nẵng","Cho tôi đến sân bay Đà Nẵng","1","audio-authored-cho-toi-den-san-bay-da-nang-baa254e3cb","viet-family-city-danang-atm-airport","when-to-use","phrase"
