severity,score,pageID,tierRole,title,englishTitle,phraseCards,breakdownCards,visibleWords,issueCodes,sourcePath,worstSnippet
PASS,4,viet-family-v500-loca-serv-ever-task-where-can-i-buy-water,tier1,Tôi có thể mua nước ở đâu?,Where can I buy water?,8,6,339,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/local-services-everyday-tasks/v500-loca-serv-ever-task-where-can-i-buy-water.json,breakdown: repeated 16 times
PASS,4,viet-family-v500-phon-inte-powe-where-can-i-get-a-local-sim-card,tier1,Tôi có thể mua SIM ở đâu?,Where can I get a local SIM card?,8,6,364,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/phone-internet-power/v500-phon-inte-powe-where-can-i-get-a-local-sim-card.json,breakdown: repeated 16 times
PASS,4,viet-hello-alo,catalog-promoted,Alô,Hello on the phone,7,1,232,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/hello-alo.json,good-to-know: repeated 8 times
PASS,4,viet-hello-chao,catalog-promoted,Chào,Hi / hello,7,1,190,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/hello-chao.json,good-to-know: repeated 8 times
PASS,4,viet-hello-chao-anh,catalog-promoted,Chào anh,Hello to an older man,7,3,234,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/hello-chao-anh.json,when-to-use: repeated 8 times
PASS,4,viet-hello-chao-ba,catalog-promoted,Chào bà,Hello to an elderly woman,5,3,209,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/hello-chao-ba.json,when-to-use: repeated 8 times
PASS,4,viet-hello-chao-ban,catalog-promoted,Chào bạn,Hi there / hello friend,7,3,207,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/hello-chao-ban.json,when-to-use: repeated 8 times
PASS,4,viet-hello-chao-chi,catalog-promoted,Chào chị,Hello to an older woman,7,3,243,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/hello-chao-chi.json,when-to-use: repeated 11 times
PASS,4,viet-hello-chao-chu,catalog-promoted,Chào chú,Hello to an uncle-age man,5,3,204,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/hello-chao-chu.json,when-to-use: repeated 11 times
PASS,4,viet-hello-chao-co,catalog-promoted,Chào cô,Hello to an aunt-age woman,5,3,237,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/hello-chao-co.json,when-to-use: repeated 11 times
PASS,4,viet-hello-chao-em,catalog-promoted,Chào em,Hello to a younger person,7,3,212,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/hello-chao-em.json,when-to-use: repeated 11 times
PASS,4,viet-hello-chao-ong,catalog-promoted,Chào ông,Hello to an elderly man,6,3,207,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/hello-chao-ong.json,when-to-use: repeated 11 times
PASS,4,viet-hello-da-chao-anh-chi,catalog-promoted,"Dạ, chào anh/chị","Hello, sir or ma'am",7,4,224,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/hello-da-chao-anh-chi.json,good-to-know: repeated 8 times
PASS,4,viet-hello-good-morning,catalog-promoted,Chào buổi sáng,Good morning,7,3,203,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/polite-basics/hello-good-morning.json,good-to-know: repeated 8 times
PASS,4,viet-phrase-airport-pickup-clearer,child,Tôi gặp tài xế ở đâu?,Where do I meet the driver?,7,5,287,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-pickup--airport-pickup-clearer.json,breakdown: repeated 16 times
PASS,4,viet-phrase-emergency-premium-passport-report,catalog-promoted,Tôi cần một báo cáo về hộ chiếu bị mất của tôi.,I need a report for my lost passport.,9,9,359,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/emergency-safety/emergency-premium-passport-report.json,good-to-know: repeated 9 times
PASS,4,viet-phrase-emergency-premium-police-station,catalog-promoted,Làm ơn đưa tôi đến đồn cảnh sát.,Please take me to the police station.,9,6,331,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/emergency-safety/emergency-premium-police-station.json,good-to-know: repeated 9 times
PASS,4,viet-phrase-emergency-premium-take-me-safe,catalog-promoted,Làm ơn đưa tôi đến nơi nào đó an toàn.,Please take me somewhere safe.,9,9,341,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/emergency-safety/emergency-premium-take-me-safe.json,good-to-know: repeated 9 times
PASS,4,viet-phrase-health-1,child,Nhà thuốc ở đâu?,Where is the pharmacy?,7,3,271,body_repeated_8_plus,content-draft/viet/canonical-pages/tier-one/health-pharmacy/health-pharmacy--health-1.json,breakdown: repeated 16 times
PASS,4,viet-phrase-help-premium-print-document,catalog-promoted,Tôi cần một bản in của tài liệu này.,I need a printed copy of this document.,8,9,341,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/problems-help/help-premium-print-document.json,good-to-know: repeated 10 times
PASS,4,viet-phrase-hotel-premium-booking-wrong,catalog-promoted,Tôi nghĩ có vấn đề với việc đặt phòng của tôi.,I think there is a problem with my booking.,9,10,352,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/hotel-accommodation/hotel-premium-booking-wrong.json,good-to-know: repeated 8 times
PASS,4,viet-phrase-hotel-premium-no-hot-water,catalog-promoted,Ở đây không có nước nóng.,There is no hot water.,9,6,301,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/hotel-accommodation/hotel-premium-no-hot-water.json,good-to-know: repeated 8 times
PASS,4,viet-phrase-hotel-premium-too-noisy,catalog-promoted,Căn phòng quá ồn ào.,The room is too noisy.,9,4,305,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/hotel-accommodation/hotel-premium-too-noisy.json,good-to-know: repeated 8 times
PASS,4,viet-phrase-money-premium-total-wrong,catalog-promoted,Tổng số này là sai.,This total is wrong.,9,6,276,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/money-numbers-prices/money-premium-total-wrong.json,good-to-know: repeated 11 times
PASS,4,viet-phrase-repair-premium-time-exact,catalog-promoted,Chính xác là mấy giờ?,What time exactly?,9,4,304,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/understanding-repair/repair-premium-time-exact.json,good-to-know: repeated 8 times
PASS,4,viet-phrase-transport-premium-wrong-car,catalog-promoted,Đây không phải là xe của tôi.,This is not my car.,9,7,287,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/transport/transport-premium-wrong-car.json,good-to-know: repeated 12 times
PASS,4,viet-phrase-v500-airp-bord-arri-my-suitcase-is-missing,catalog-promoted,Vali của tôi bị mất,My suitcase is missing,9,4,328,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/airport-border-arrival/v500-airp-bord-arri-my-suitcase-is-missing.json,good-to-know: repeated 14 times
PASS,4,viet-phrase-v500-airp-bord-arri-when-will-it-arrive,catalog-promoted,Khi nào nó sẽ đến?,When will it arrive?,9,5,321,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/airport-border-arrival/v500-airp-bord-arri-when-will-it-arrive.json,good-to-know: repeated 8 times
PASS,4,viet-phrase-v500-emer-safe-i-do-not-have-my-passport,catalog-promoted,Tôi không có hộ chiếu,I do not have my passport,9,5,337,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/emergency-safety/v500-emer-safe-i-do-not-have-my-passport.json,good-to-know: repeated 14 times
PASS,4,viet-phrase-v500-emer-safe-my-friend-needs-help,catalog-promoted,Bạn tôi cần giúp đỡ,My friend needs help,9,5,339,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/emergency-safety/v500-emer-safe-my-friend-needs-help.json,good-to-know: repeated 14 times
PASS,4,viet-phrase-v500-emer-safe-my-passport-is-missing,catalog-promoted,Hộ chiếu của tôi bị mất,My passport is missing,9,4,332,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/emergency-safety/v500-emer-safe-my-passport-is-missing.json,good-to-know: repeated 14 times
PASS,4,viet-phrase-v500-emer-safe-there-is-a-fire,catalog-promoted,Có cháy!,There is a fire,9,3,265,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/emergency-safety/v500-emer-safe-there-is-a-fire.json,good-to-know: repeated 9 times
PASS,4,viet-phrase-v500-food-drin-i-cannot-eat-this-because-of-an-allergy,catalog-promoted,Tôi không thể ăn món này vì bị dị ứng,I cannot eat this because of an allergy,11,9,448,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/food-drink/v500-food-drin-i-cannot-eat-this-because-of-an-allergy.json,good-to-know: repeated 14 times
PASS,4,viet-phrase-v500-food-drin-id-like-a-b-nh-m-please,catalog-promoted,Làm ơn cho tôi một cái bánh mì,"I’d like a bánh mì, please",11,6,380,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/food-drink/v500-food-drin-id-like-a-b-nh-m-please.json,good-to-know: repeated 17 times
PASS,4,viet-phrase-v500-food-drin-id-like-a-bowl-of-ph-please,catalog-promoted,Làm ơn cho tôi một tô phở,"I’d like a bowl of phở, please",11,6,365,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/food-drink/v500-food-drin-id-like-a-bowl-of-ph-please.json,good-to-know: repeated 17 times
PASS,4,viet-phrase-v500-food-drin-no-ice-please,catalog-promoted,Làm ơn đừng có đá,"No ice, please",11,5,304,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/food-drink/v500-food-drin-no-ice-please.json,good-to-know: repeated 17 times
PASS,4,viet-phrase-v500-heal-phar-i-feel-nauseous,catalog-promoted,tôi cảm thấy buồn nôn,I feel nauseous,9,4,275,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/health-pharmacy/v500-heal-phar-i-feel-nauseous.json,good-to-know: repeated 10 times
PASS,4,viet-phrase-v500-heal-phar-i-have-diabetes,catalog-promoted,Tôi bị tiểu đường,I have diabetes,9,4,277,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/health-pharmacy/v500-heal-phar-i-have-diabetes.json,good-to-know: repeated 10 times
PASS,4,viet-phrase-v500-heal-phar-i-need-a-clinic,catalog-promoted,Tôi cần một phòng khám,I need a clinic,9,5,303,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/health-pharmacy/v500-heal-phar-i-need-a-clinic.json,good-to-know: repeated 10 times
PASS,4,viet-phrase-v500-heal-phar-i-need-a-dentist,catalog-promoted,Tôi cần một nha sĩ,I need a dentist,9,5,306,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/health-pharmacy/v500-heal-phar-i-need-a-dentist.json,good-to-know: repeated 10 times
PASS,4,viet-phrase-v500-hote-acco-please-remove-the-trash,catalog-promoted,Vui lòng loại bỏ thùng rác,Please remove the trash,9,6,311,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/hotel-accommodation/v500-hote-acco-please-remove-the-trash.json,good-to-know: repeated 8 times
PASS,4,viet-phrase-v500-hote-acco-the-room-is-not-clean,catalog-promoted,Phòng không sạch sẽ,The room is not clean,9,4,292,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/hotel-accommodation/v500-hote-acco-the-room-is-not-clean.json,good-to-know: repeated 8 times
PASS,4,viet-phrase-v500-mone-numb-pric-is-this-enough,catalog-promoted,Thế này đã đủ chưa?,Is this enough?,9,6,266,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/money-numbers-prices/v500-mone-numb-pric-is-this-enough.json,good-to-know: repeated 11 times
PASS,4,viet-phrase-v500-mone-numb-pric-is-this-per-person,catalog-promoted,Đây có phải là mỗi người?,Is this per person?,9,7,266,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/money-numbers-prices/v500-mone-numb-pric-is-this-per-person.json,good-to-know: repeated 11 times
PASS,4,viet-phrase-v500-mone-numb-pric-no-thanks-maybe-later,catalog-promoted,"Không, cảm ơn, có thể để sau","No thanks, maybe later",9,6,300,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/money-numbers-prices/v500-mone-numb-pric-no-thanks-maybe-later.json,good-to-know: repeated 11 times
PASS,4,viet-phrase-v500-mone-numb-pric-please-count-it-again,catalog-promoted,Hãy đếm lại nhé,Please count it again,9,4,274,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/money-numbers-prices/v500-mone-numb-pric-please-count-it-again.json,good-to-know: repeated 11 times
PASS,4,viet-phrase-v500-phon-inte-powe-my-phone-got-wet,catalog-promoted,Điện thoại của tôi bị ướt,My phone got wet,9,5,344,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/phone-internet-power/v500-phon-inte-powe-my-phone-got-wet.json,good-to-know: repeated 14 times
PASS,4,viet-phrase-v500-phon-inte-powe-my-screen-is-broken,catalog-promoted,Màn hình của tôi bị hỏng,My screen is broken,9,4,345,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/phone-internet-power/v500-phon-inte-powe-my-screen-is-broken.json,good-to-know: repeated 14 times
PASS,4,viet-phrase-v500-prob-help-i-have-contacted-my-embassy,catalog-promoted,Tôi đã liên lạc với đại sứ quán của tôi,I have contacted my embassy,8,8,333,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/problems-help/v500-prob-help-i-have-contacted-my-embassy.json,good-to-know: repeated 10 times
PASS,4,viet-phrase-v500-prob-help-my-wallet-is-missing,catalog-promoted,Ví của tôi bị mất,My wallet is missing,8,4,312,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/problems-help/v500-prob-help-my-wallet-is-missing.json,good-to-know: repeated 14 times
PASS,4,viet-phrase-v500-prob-help-please-call-my-hotel,catalog-promoted,Vui lòng gọi cho khách sạn của tôi,Please call my hotel,8,6,318,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/problems-help/v500-prob-help-please-call-my-hotel.json,good-to-know: repeated 10 times
PASS,4,viet-phrase-v500-prob-help-please-call-this-number,catalog-promoted,Vui lòng gọi số này,Please call this number,8,5,291,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/problems-help/v500-prob-help-please-call-this-number.json,good-to-know: repeated 10 times
PASS,4,viet-phrase-v500-prob-help-please-speak-to-them-for-me,catalog-promoted,Hãy nói chuyện với họ giúp tôi,Please speak to them for me,8,8,313,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/problems-help/v500-prob-help-please-speak-to-them-for-me.json,good-to-know: repeated 10 times
PASS,4,viet-phrase-v500-prob-help-someone-took-my-phone,catalog-promoted,Ai đó đã lấy điện thoại của tôi,Someone took my phone,8,6,322,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/problems-help/v500-prob-help-someone-took-my-phone.json,good-to-know: repeated 10 times
PASS,4,viet-phrase-v500-prob-help-this-is-what-happened,catalog-promoted,Đây là những gì đã xảy ra,This is what happened,8,7,327,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/problems-help/v500-prob-help-this-is-what-happened.json,good-to-know: repeated 10 times
PASS,4,viet-phrase-v500-soci-smal-talk-i-want-to-be-alone-thank-you,catalog-promoted,"Tôi muốn ở một mình, cảm ơn bạn","I want to be alone, thank you",9,7,304,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/social-small-talk/v500-soci-smal-talk-i-want-to-be-alone-thank-you.json,when-to-use: repeated 11 times
PASS,4,viet-phrase-v500-time-date-book-when-is-the-next-one,catalog-promoted,Lần tiếp theo là khi nào?,When is the next one?,9,6,306,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/time-dates-booking/v500-time-date-book-when-is-the-next-one.json,good-to-know: repeated 8 times
PASS,4,viet-phrase-v500-tran-i-feel-unsafe-please-stop,catalog-promoted,"Tôi cảm thấy không an toàn, xin hãy dừng lại","I feel unsafe, please stop",9,7,319,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/transport/v500-tran-i-feel-unsafe-please-stop.json,good-to-know: repeated 12 times
PASS,4,viet-phrase-v500-tran-i-got-on-the-wrong-bus,catalog-promoted,Tôi lên nhầm xe buýt,I got on the wrong bus,9,5,291,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/transport/v500-tran-i-got-on-the-wrong-bus.json,good-to-know: repeated 12 times
PASS,4,viet-phrase-v500-tran-please-let-me-out-here,catalog-promoted,Xin vui lòng cho tôi ra khỏi đây,Please let me out here,9,7,301,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/transport/v500-tran-please-let-me-out-here.json,good-to-know: repeated 12 times
PASS,4,viet-phrase-v500-tran-when-is-the-next-bus,catalog-promoted,Khi nào có chuyến xe buýt tiếp theo?,When is the next bus?,9,7,311,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/transport/v500-tran-when-is-the-next-bus.json,good-to-know: repeated 8 times
PASS,4,viet-phrase-v500-unde-repa-i-dont-understand-this-word,catalog-promoted,Tôi không hiểu từ này,I don’t understand this word,9,6,339,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/understanding-repair/v500-unde-repa-i-dont-understand-this-word.json,good-to-know: repeated 14 times
PASS,4,viet-phrase-v900-airp-bord-arri-how-long-does-it-take-to-get-downtown,catalog-promoted,Đi vào trung tâm thành phố mất bao lâu?,How long does it take to get downtown?,9,6,327,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/airport-border-arrival/v900-airp-bord-arri-how-long-does-it-take-to-get-downtown.json,good-to-know: repeated 8 times
PASS,4,viet-phrase-v900-dire-navi-how-long-does-it-take-by-taxi,catalog-promoted,Đi taxi mất bao lâu?,How long does it take by taxi?,9,4,300,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/directions-navigation/v900-dire-navi-how-long-does-it-take-by-taxi.json,good-to-know: repeated 8 times
PASS,4,viet-phrase-v900-emer-safe-i-do-not-want-any-trouble,catalog-promoted,Tôi không muốn bất kỳ rắc rối nào,I do not want any trouble,9,7,369,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/emergency-safety/v900-emer-safe-i-do-not-want-any-trouble.json,good-to-know: repeated 14 times
PASS,4,viet-phrase-v900-emer-safe-i-need-a-temporary-travel-document,catalog-promoted,Tôi cần giấy thông hành tạm thời,I need a temporary travel document,9,5,332,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/emergency-safety/v900-emer-safe-i-need-a-temporary-travel-document.json,good-to-know: repeated 9 times
PASS,4,viet-phrase-v900-emer-safe-please-call-emergency-services,catalog-promoted,Vui lòng gọi dịch vụ khẩn cấp,Please call emergency services,9,6,312,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/emergency-safety/v900-emer-safe-please-call-emergency-services.json,good-to-know: repeated 9 times
PASS,4,viet-phrase-v900-emer-safe-please-call-the-manager-now,catalog-promoted,Hãy gọi ngay cho người quản lý,Please call the manager now,9,7,310,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/emergency-safety/v900-emer-safe-please-call-the-manager-now.json,good-to-know: repeated 9 times
PASS,4,viet-phrase-v900-emer-safe-please-take-me-to-the-hospital,catalog-promoted,Làm ơn đưa tôi đến bệnh viện,Please take me to the hospital,9,6,332,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/emergency-safety/v900-emer-safe-please-take-me-to-the-hospital.json,good-to-know: repeated 9 times
PASS,4,viet-phrase-v900-emer-safe-please-write-down-what-happened,catalog-promoted,Hãy viết ra điều gì đã xảy ra,Please write down what happened,9,8,321,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/emergency-safety/v900-emer-safe-please-write-down-what-happened.json,good-to-know: repeated 9 times
PASS,4,viet-phrase-v900-food-drin-a-table-for-four-please,catalog-promoted,Vui lòng cho một bàn cho bốn người,"A table for four, please",11,8,378,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/food-drink/v900-food-drin-a-table-for-four-please.json,good-to-know: repeated 17 times
PASS,4,viet-phrase-v900-food-drin-a-table-for-one-please,catalog-promoted,Vui lòng cho một bàn,"A table for one, please",11,5,366,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/food-drink/v900-food-drin-a-table-for-one-please.json,good-to-know: repeated 17 times
PASS,4,viet-phrase-v900-food-drin-i-cannot-eat-dairy,catalog-promoted,Tôi không thể ăn sữa,I cannot eat dairy,11,6,411,body_repeated_8_plus,content-draft/viet/canonical-pages/catalog-promoted/food-drink/v900-food-drin-i-cannot-eat-dairy.json,good-to-know: repeated 14 times
