"rank","scenario_id","phrase_id","english_text","priority_reason","confidence","review_flag","execution_status","decision_notes"
"18","directions","italian-directions-2","Is it near here","Compact navigation repair phrase that helps decide between walking and taking transport.","medium","none","translated-medium","Kept intentionally short for map-assisted use"
"19","directions","italian-directions-3","How long on foot","Useful for short-distance routing in tourist districts and around stations.","medium","none","translated-medium","Ready for future station-or-landmark follow-up rows"
"20","simple-problems","italian-simple-problems-1","I am lost","Pressure-moment phrase that pairs well with showing a map or hotel address.","medium","none","translated-medium","Shifted to a gender-neutral repair line so the traveler can show or say it directly"
"21","simple-problems","italian-simple-problems-7","Please call for me","Useful when the traveler needs staff help with a hotel taxi reservation or support number.","medium","none","translated-medium","Completed as a practical support request"
"22","simple-problems","italian-simple-problems-6","I need a doctor","Critical safety phrase short enough to prioritize early but it must retain later expert review visibility.","medium","expert-review-medical","translated-sensitive","Translated but kept behind explicit expert medical review"
"23","street-food","italian-street-food-5","Do you have bottled water","Useful in restaurants or quick food counters without easy self-service drinks.","medium","none","translated-medium","Completed as a sealed-water check"
"24","convenience-store","italian-convenience-store-2","Do you have a bag","Common shop and mini-market checkout question.","medium","none","translated-medium","Localized to a checkout bag request using sacchetto"
"25","hotel-hostel","italian-hotel-hostel-7","Please hold my luggage","High-utility hotel phrase for arrival and departure friction before or after check-in.","medium","none","translated-second-pass","Translated as a hotel luggage-hold request before expanding into lower-priority work"
"26","asking-price","italian-asking-price-6","Show me another one","Better fit than bargaining language for comparing items in shops and souvenir counters.","medium","none","translated-second-pass","Translated as the first shopping-comparison holdout after the ranked hotel support row"
"27","small-talk","italian-small-talk-3","This is my first time","Low-pressure conversation line that can humanize brief interactions without crowding out utility phrases.","low","none","translated-second-pass","Translated after the higher-pressure utility holdouts were cleared so the ranked set is fully explicit"
"28","directions","italian-directions-1","How do I get to the station?","Useful scaffold row but likely needs Italy-specific rewriting toward station landmark or address wording before translation.","low","rewrite-before-translation","translated-rewrite-complete","Rewritten from a generic there/city-center prompt into a station-focused directions request before translation"
"29","asking-price","italian-asking-price-5","What is the total price?","Current scaffold slot is low-priority because price confirmation matters more than negotiation in the first Italy pack.","low","rewrite-before-translation","translated-rewrite-complete","Rewritten away from bargaining into purchase-confirmation wording before translation"
"30","asking-price","italian-asking-price-4","Can you lower it a little","Bargaining remains weak Italy-fit utility and should stay outside the current prep-closure packet unless a market-specific variant is later requested.","low","later-only-bargaining","pending-later","Parked as a later-only bargaining hold; reopen only if product plus localization review later proves an Italy-market variant is worth carrying"
"31","coffee-shop","italian-coffee-shop-1","A coffee, please","This baseline line is a weak Italy fit and should be rewritten toward a simpler coffee-bar order before translation.","low","rewrite-before-translation","translated-rewrite-complete","Rewritten into a direct Italy-first cafe-bar order before translation"
"32","coffee-shop","italian-coffee-shop-2","An Americano, please","This baseline line is also a weak Italy-first coffee fit and should be rewritten before direct translation.","low","rewrite-before-translation","translated-rewrite-complete","Rewritten away from the iced black coffee scaffold before translation"
"33","coffee-shop","italian-coffee-shop-3","A cappuccino, please","Another coffee baseline row that likely needs Italy-specific rewriting before direct translation.","low","rewrite-before-translation","translated-rewrite-complete","Rewritten away from the latte-style scaffold into a stronger Italy-fit milk-coffee order"
"34","coffee-shop","italian-coffee-shop-7","Could I pay, please?","High-value cafe-bar payment phrase that keeps the coffee scenario usable after ordering.","high","none","translated-second-pass","Translated in the second pass as part of the next strongest payment-oriented utility batch"
"35","polite-basics","italian-polite-basics-4","No thank you","Important polite refusal that supports everyday service encounters without sounding abrupt.","high","none","translated-second-pass","Translated in the second pass as part of a compact politeness follow-on set"
"36","polite-basics","italian-polite-basics-7","Goodbye","Useful closing phrase for leaving a shop hotel desk or ride politely.","high","none","translated-second-pass","Translated in the second pass to round out core polite service exits"
"37","asking-price","italian-asking-price-7","I will take this one","Strong purchase-confirmation phrase that fits Italy better than bargaining-heavy language.","high","none","translated-second-pass","Translated in the second pass as a cleaner item-selection close than the deferred bargaining row"
"38","hotel-hostel","italian-hotel-hostel-6","More towels please","Common front-desk or housekeeping request that adds practical hotel support.","high","none","translated-second-pass","Translated in the second pass as part of the hotel support cluster"
"39","hotel-hostel","italian-hotel-hostel-5","The air conditioner is not working","High-friction room problem phrase that matters more than weaker filler rows.","high","none","translated-second-pass","Translated in the second pass as a direct room-problem repair line"
"40","hotel-hostel","italian-hotel-hostel-4","This room is too hot","Useful hotel complaint phrase that often pairs with air-conditioning problems.","medium","none","translated-second-pass","Translated in the second pass to complete a coherent room-comfort mini-set"
"41","directions","italian-directions-5","Do I turn right here?","Useful live directions confirmation line once the station-intent row is in place.","medium","none","translated-rewrite-complete","Rewritten into a clearer confirmation question before translation"
"42","directions","italian-directions-6","Go straight","Compact follow-up that helps travelers confirm the simplest next movement.","medium","none","translated-second-pass","Translated in the second pass to build a coherent directions follow-up cluster"
"43","directions","italian-directions-7","Thanks I understand now","Good close-out phrase after asking for directions and understanding the reply.","medium","none","translated-second-pass","Translated in the second pass as a polite directions close-out"
"44","simple-problems","italian-simple-problems-5","The Wi Fi is not working","Common travel repair phrase for hotels cafes and coworking stops.","medium","none","translated-second-pass","Translated in the second pass as a practical connectivity repair line"
"45","simple-problems","italian-simple-problems-4","I left something behind","Useful repair phrase for rooms cars cafes and quick return moments.","medium","none","translated-second-pass","Translated in the second pass to deepen the practical repair layer"
"46","street-food","italian-street-food-4","More herbs please","Low-value garnish request, but safe enough to clear once the unresolved queue was down to lightweight leftovers.","low","none","translated-third-pass","Translated in the third pass as a simple garnish request so the practical residual tail no longer stays open"
"47","small-talk","italian-small-talk-1","I am from the United States","Simple social-introduction row that became safe to clear after the practical travel queue was effectively closed.","low","native-register-review","translated-third-pass","Translated in the third pass as a low-pressure origin answer and left visible for later native register review if needed"
"48","small-talk","italian-small-talk-2","I am from England","Simple social-introduction row that became safe to clear after the practical travel queue was effectively closed.","low","native-register-review","translated-third-pass","Translated in the third pass as a low-pressure origin answer and left visible for later native register review if needed"
"49","small-talk","italian-small-talk-4","I like it here","Positive social filler that was reasonable to clear once only lightweight leftovers remained.","low","native-register-review","translated-third-pass","Translated in the third pass as a simple positive comment rather than leaving an open social tail"
"50","small-talk","italian-small-talk-5","The food is so good","Friendly compliment row that was easy to clear after the service-first rows were already settled.","low","native-register-review","translated-third-pass","Translated in the third pass as a compact food compliment and kept visible for later native register review"
"51","small-talk","italian-small-talk-6","The weather is very hot","Low-pressure weather chatter that became reasonable to close once the residual queue was genuinely small.","low","native-register-review","translated-third-pass","Translated in the third pass as simple weather small talk instead of leaving it as open tail work"
"52","small-talk","italian-small-talk-7","How are you","Friendly social follow-up that stayed low priority, but was safe to close with a polite register choice.","low","native-register-review","translated-third-pass","Translated in the third pass with a polite form so the social tail stays service-safe"
"53","coffee-shop","italian-coffee-shop-4","Just a little ice","Still a weak Italy-first coffee customization row and not worth forcing until a stronger cafe-fit rewrite appears.","low","rewrite-before-translation","deferred-rewrite-needed","Kept as the one rewrite-needed cafe-fit hold; reopen only if a stronger cold-drink or cafe-customization intent is authored"
