"selected_order","batch_role","selection_group","page_id","phrase_id","vietnamese_title","english_title","selection_reason","known_context","audit_flags","current_page_id_mismatch_from_pilot","suggested_chatgpt_focus","screenshot_or_artifact_pointer","reviewer_notes","review_status","import_approval"
"11","active_review","street_pronouncer","viet-phrase-city-danang-place-vo-nguyen-giap-street","city-danang-place-vo-nguyen-giap-street","Đường Võ Nguyên Giáp","Vo Nguyen Giap Street","Prior hard beach-side street page; needs driver pickup/drop-off teaching shape.","Prior pilot hard row EP-011","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"12","active_review","route_ticket","viet-phrase-city-danang-go-ba-na-hills","city-danang-go-ba-na-hills","Đi Bà Nà Hills","Go to Ba Na Hills","Prior hard route phrase; needs title-preserving support instead of full-sentence canonical rewrite.","Prior pilot hard row EP-012","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"13","active_review","place_navigation","viet-phrase-city-danang-where-ba-na-hills","city-danang-where-ba-na-hills","Bà Nà Hills ở đâu?","Where is Ba Na Hills?","Prior hard place question; needs journey recovery links while preserving canonical title.","Prior pilot hard row EP-013","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"14","active_review","route_ticket","viet-phrase-city-danang-ticket-marble-mountains","city-danang-ticket-marble-mountains","Một vé vào Ngũ Hành Sơn","One ticket to Marble Mountains","Prior hard ticket phrase; needs title-preserving ticket-counter article support.","Prior pilot hard row EP-014","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"15","active_review","route_ticket","viet-phrase-city-danang-go-dragon-bridge","city-danang-go-dragon-bridge","Đi cầu Rồng","Go to Dragon Bridge","Prior hard route phrase; needs route support while keeping clipped canonical title.","Prior pilot hard row EP-015","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"16","active_review","street_driver","viet-phrase-city-danang-near-nguyen-van-linh-street","city-danang-near-nguyen-van-linh-street","Đường Nguyễn Văn Linh gần đây không?","Is Nguyen Van Linh Street near here?","Prior hard street question; needs street pronouncer plus near-here driver flow.","Prior pilot hard row EP-016","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"17","active_review","relationship_politeness","viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","Dạ, chào anh","Respectful hello to an older man","Prior deferred politeness/tone cleanup path for relationship greetings.","Prior pilot hard row EP-020","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"18","active_review","airport_taxi","viet-phrase-v500-airp-bord-arri-where-is-the-taxi-counter","v500-airp-bord-arri-where-is-the-taxi-counter","Quầy taxi ở đâu?","Where is the taxi counter?","High-value first-arrival page; taxi-counter copy often needs better beginner journey structure.","Selected as high-value first-time traveler page.","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"19","active_review","airport_baggage","viet-phrase-v900-airp-bord-arri-can-you-help-me-track-my-bag","v900-airp-bord-arri-can-you-help-me-track-my-bag","Bạn có thể giúp tôi theo dõi túi của tôi?","Can you help me track my bag?","High-stress airport problem page; likely needs clear, natural support flow and native-language scrutiny.","Selected as high-value first-time traveler page.","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"20","active_review","hotel_taxi","viet-phrase-hotel-9","hotel-9","Gọi taxi giúp tôi được không?","Can you call a taxi for me?","Hotel desk taxi page; practical first-day traveler workflow with audio/link expectations.","Selected as high-value first-time traveler page.","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"21","active_review","hotel_taxi","viet-phrase-v900-hote-acco-can-you-arrange-a-taxi-for-me","v900-hote-acco-can-you-arrange-a-taxi-for-me","Bạn có thể sắp xếp một chiếc taxi cho tôi được không?","Can you arrange a taxi for me?","Longer hotel taxi variant; useful contrast with the shorter beginner version.","Selected as high-value first-time traveler page.","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"22","active_review","food_allergy","viet-phrase-food-peanut-allergy","food-peanut-allergy","Tôi bị dị ứng đậu phộng","I am allergic to peanuts","Food-allergy page; needs concise safety-forward copy without fear framing.","Selected as high-value first-time traveler page.","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"23","active_review","food_allergy","viet-phrase-v500-food-drin-i-am-allergic-to-shellfish","v500-food-drin-i-am-allergic-to-shellfish","Tôi bị dị ứng với động vật có vỏ","I am allergic to shellfish","Common seafood allergy phrase; needs ingredient/diet linked-row support.","Selected as high-value first-time traveler page.","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"24","active_review","emergency_help","viet-phrase-emergency-hospital","emergency-hospital","Bệnh viện gần nhất ở đâu?","Where is the nearest hospital?","Emergency hospital navigation; high traveler value and sensitive wording.","Selected as high-value first-time traveler page.","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
"25","active_review","emergency_passport","viet-phrase-emergency-3","emergency-3","Tôi mất hộ chiếu","I lost my passport","Lost-passport page; important traveler flow with likely follow-up/support phrases.","Selected as high-value first-time traveler page.","","FALSE","Fill exact patch rows or ask Jojo a precise question; do not write vague notes.","","","REVIEW_ONLY","REVIEW_ONLY"
