"selected_order","batch_role","selection_group","page_id","phrase_id","section_id","section_key","item_id","breakdown_token_id","sort_order","current_token_text","current_english_gloss","source_path","reviewer_notes","review_status","import_approval"
"4","active_review","dish","viet-phrase-city-hue-place-bun-bo-city","city-hue-place-bun-bo-city","viet-phrase-city-hue-place-bun-bo-city:breakdown","breakdown","viet-phrase-city-hue-place-bun-bo-city:breakdown:breakdown:1:7f219ca83937756b","viet-phrase-city-hue-place-bun-bo-city:breakdown:breakdown:city-hue-place-bun-bo-city-editorial-2","1","Huế","Hue style / city name in the dish","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"4","active_review","dish","viet-phrase-city-hue-place-bun-bo-city","city-hue-place-bun-bo-city","viet-phrase-city-hue-place-bun-bo-city:breakdown","breakdown","viet-phrase-city-hue-place-bun-bo-city:breakdown:breakdown:2:623679f9cfa5b30c","viet-phrase-city-hue-place-bun-bo-city:breakdown:breakdown:city-hue-place-bun-bo-city-editorial-3","2","Bún bò Huế","Bun bo Hue","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"5","reference_completed","journey_place","viet-phrase-city-danang-place-ba-na-hills","city-danang-place-ba-na-hills","viet-phrase-city-danang-place-ba-na-hills:breakdown","breakdown","viet-phrase-city-danang-place-ba-na-hills:breakdown:breakdown:0:9ef7e5119036b06a","viet-phrase-city-danang-place-ba-na-hills:breakdown:breakdown:city-danang-place-ba-na-hills-name-guide-1","0","Bà Nà","name recognition","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"5","reference_completed","journey_place","viet-phrase-city-danang-place-ba-na-hills","city-danang-place-ba-na-hills","viet-phrase-city-danang-place-ba-na-hills:breakdown","breakdown","viet-phrase-city-danang-place-ba-na-hills:breakdown:breakdown:1:0037ab931ca15dfc","viet-phrase-city-danang-place-ba-na-hills:breakdown:breakdown:city-danang-place-ba-na-hills-name-guide-2","1","Hills","English word in the attraction name","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"5","reference_completed","journey_place","viet-phrase-city-danang-place-ba-na-hills","city-danang-place-ba-na-hills","viet-phrase-city-danang-place-ba-na-hills:breakdown","breakdown","viet-phrase-city-danang-place-ba-na-hills:breakdown:breakdown:2:8fbdb3c181536b75","viet-phrase-city-danang-place-ba-na-hills:breakdown:breakdown:city-danang-place-ba-na-hills-name-guide-3","2","Bà Nà Hills","Ba Na Hills","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"6","active_review","place_navigation","viet-phrase-city-danang-place-dragon-bridge","city-danang-place-dragon-bridge","viet-phrase-city-danang-place-dragon-bridge:breakdown","breakdown","viet-phrase-city-danang-place-dragon-bridge:breakdown:breakdown:0:1a311a26319d0102","viet-phrase-city-danang-place-dragon-bridge:breakdown:breakdown:city-danang-place-dragon-bridge-editorial-1","0","Cầu","bridge","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"6","active_review","place_navigation","viet-phrase-city-danang-place-dragon-bridge","city-danang-place-dragon-bridge","viet-phrase-city-danang-place-dragon-bridge:breakdown","breakdown","viet-phrase-city-danang-place-dragon-bridge:breakdown:breakdown:1:94d08951454e5e64","viet-phrase-city-danang-place-dragon-bridge:breakdown:breakdown:city-danang-place-dragon-bridge-editorial-2","1","Rồng","dragon","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"6","active_review","place_navigation","viet-phrase-city-danang-place-dragon-bridge","city-danang-place-dragon-bridge","viet-phrase-city-danang-place-dragon-bridge:breakdown","breakdown","viet-phrase-city-danang-place-dragon-bridge:breakdown:breakdown:2:af3cca38f3116fad","viet-phrase-city-danang-place-dragon-bridge:breakdown:breakdown:city-danang-place-dragon-bridge-editorial-3","2","Cầu Rồng","Dragon Bridge","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"7","active_review","place_journey","viet-phrase-city-danang-place-marble-mountains","city-danang-place-marble-mountains","viet-phrase-city-danang-place-marble-mountains:breakdown","breakdown","viet-phrase-city-danang-place-marble-mountains:breakdown:breakdown:0:9acf128cfff5b6f5","viet-phrase-city-danang-place-marble-mountains:breakdown:breakdown:city-danang-place-marble-mountains-editorial-1","0","Ngũ Hành","name recognition for the attraction","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"7","active_review","place_journey","viet-phrase-city-danang-place-marble-mountains","city-danang-place-marble-mountains","viet-phrase-city-danang-place-marble-mountains:breakdown","breakdown","viet-phrase-city-danang-place-marble-mountains:breakdown:breakdown:1:c712d379185cfff7","viet-phrase-city-danang-place-marble-mountains:breakdown:breakdown:city-danang-place-marble-mountains-editorial-2","1","Sơn","mountain word in the name","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"7","active_review","place_journey","viet-phrase-city-danang-place-marble-mountains","city-danang-place-marble-mountains","viet-phrase-city-danang-place-marble-mountains:breakdown","breakdown","viet-phrase-city-danang-place-marble-mountains:breakdown:breakdown:2:222834bb1f18962f","viet-phrase-city-danang-place-marble-mountains:breakdown:breakdown:city-danang-place-marble-mountains-editorial-3","2","Ngũ Hành Sơn","Marble Mountains","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"8","active_review","place_navigation","viet-phrase-city-danang-place-son-tra","city-danang-place-son-tra","viet-phrase-city-danang-place-son-tra:breakdown","breakdown","viet-phrase-city-danang-place-son-tra:breakdown:breakdown:0:f78f4859b1e9ccdf","viet-phrase-city-danang-place-son-tra:breakdown:breakdown:city-danang-place-son-tra-editorial-1","0","Bán đảo","peninsula","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"8","active_review","place_navigation","viet-phrase-city-danang-place-son-tra","city-danang-place-son-tra","viet-phrase-city-danang-place-son-tra:breakdown","breakdown","viet-phrase-city-danang-place-son-tra:breakdown:breakdown:1:fdcd2bd2341e1e53","viet-phrase-city-danang-place-son-tra:breakdown:breakdown:city-danang-place-son-tra-editorial-2","1","Sơn Trà","local place name","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"8","active_review","place_navigation","viet-phrase-city-danang-place-son-tra","city-danang-place-son-tra","viet-phrase-city-danang-place-son-tra:breakdown","breakdown","viet-phrase-city-danang-place-son-tra:breakdown:breakdown:2:939ee0ed5c94a1d6","viet-phrase-city-danang-place-son-tra:breakdown:breakdown:city-danang-place-son-tra-editorial-3","2","Bán đảo Sơn Trà","Son Tra Peninsula","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"9","active_review","street_pronouncer","viet-phrase-city-danang-place-bach-dang-street","city-danang-place-bach-dang-street","viet-phrase-city-danang-place-bach-dang-street:breakdown","breakdown","viet-phrase-city-danang-place-bach-dang-street:breakdown:breakdown:0:57b8f6e905d6c6d7","viet-phrase-city-danang-place-bach-dang-street:breakdown:breakdown:city-danang-place-bach-dang-street-editorial-1","0","Đường","street","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"9","active_review","street_pronouncer","viet-phrase-city-danang-place-bach-dang-street","city-danang-place-bach-dang-street","viet-phrase-city-danang-place-bach-dang-street:breakdown","breakdown","viet-phrase-city-danang-place-bach-dang-street:breakdown:breakdown:1:f0f5cee26221f838","viet-phrase-city-danang-place-bach-dang-street:breakdown:breakdown:city-danang-place-bach-dang-street-editorial-2","1","Bạch Đằng","street name to keep together","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"9","active_review","street_pronouncer","viet-phrase-city-danang-place-bach-dang-street","city-danang-place-bach-dang-street","viet-phrase-city-danang-place-bach-dang-street:breakdown","breakdown","viet-phrase-city-danang-place-bach-dang-street:breakdown:breakdown:2:e97eca1cf9802461","viet-phrase-city-danang-place-bach-dang-street:breakdown:breakdown:city-danang-place-bach-dang-street-editorial-3","2","Đường Bạch Đằng","Bach Dang Street","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"10","active_review","street_pronouncer","viet-phrase-city-danang-place-nguyen-van-linh-street","city-danang-place-nguyen-van-linh-street","viet-phrase-city-danang-place-nguyen-van-linh-street:breakdown","breakdown","viet-phrase-city-danang-place-nguyen-van-linh-street:breakdown:breakdown:0:90a327294dde8fe1","viet-phrase-city-danang-place-nguyen-van-linh-street:breakdown:breakdown:city-danang-place-nguyen-van-linh-street-editorial-1","0","Đường","street","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"10","active_review","street_pronouncer","viet-phrase-city-danang-place-nguyen-van-linh-street","city-danang-place-nguyen-van-linh-street","viet-phrase-city-danang-place-nguyen-van-linh-street:breakdown","breakdown","viet-phrase-city-danang-place-nguyen-van-linh-street:breakdown:breakdown:1:c64d781c626455b9","viet-phrase-city-danang-place-nguyen-van-linh-street:breakdown:breakdown:city-danang-place-nguyen-van-linh-street-editorial-2","1","Nguyễn Văn Linh","street name to keep together","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"10","active_review","street_pronouncer","viet-phrase-city-danang-place-nguyen-van-linh-street","city-danang-place-nguyen-van-linh-street","viet-phrase-city-danang-place-nguyen-van-linh-street:breakdown","breakdown","viet-phrase-city-danang-place-nguyen-van-linh-street:breakdown:breakdown:2:e0f7db5922bdd4bd","viet-phrase-city-danang-place-nguyen-van-linh-street:breakdown:breakdown:city-danang-place-nguyen-van-linh-street-editorial-3","2","Đường Nguyễn Văn Linh","Nguyen Van Linh Street","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"11","active_review","street_pronouncer","viet-phrase-city-danang-place-vo-nguyen-giap-street","city-danang-place-vo-nguyen-giap-street","viet-phrase-city-danang-place-vo-nguyen-giap-street:breakdown","breakdown","viet-phrase-city-danang-place-vo-nguyen-giap-street:breakdown:breakdown:0:cf92f0676ab4612d","viet-phrase-city-danang-place-vo-nguyen-giap-street:breakdown:breakdown:city-danang-place-vo-nguyen-giap-street-editorial-1","0","Đường","street","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"11","active_review","street_pronouncer","viet-phrase-city-danang-place-vo-nguyen-giap-street","city-danang-place-vo-nguyen-giap-street","viet-phrase-city-danang-place-vo-nguyen-giap-street:breakdown","breakdown","viet-phrase-city-danang-place-vo-nguyen-giap-street:breakdown:breakdown:1:5eafd1e98f108b61","viet-phrase-city-danang-place-vo-nguyen-giap-street:breakdown:breakdown:city-danang-place-vo-nguyen-giap-street-editorial-2","1","Võ Nguyên Giáp","street name to keep together","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"11","active_review","street_pronouncer","viet-phrase-city-danang-place-vo-nguyen-giap-street","city-danang-place-vo-nguyen-giap-street","viet-phrase-city-danang-place-vo-nguyen-giap-street:breakdown","breakdown","viet-phrase-city-danang-place-vo-nguyen-giap-street:breakdown:breakdown:2:162099b1eb4dfc79","viet-phrase-city-danang-place-vo-nguyen-giap-street:breakdown:breakdown:city-danang-place-vo-nguyen-giap-street-editorial-3","2","Đường Võ Nguyên Giáp","Vo Nguyen Giap Street","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"12","active_review","route_ticket","viet-phrase-city-danang-go-ba-na-hills","city-danang-go-ba-na-hills","viet-phrase-city-danang-go-ba-na-hills:breakdown","breakdown","viet-phrase-city-danang-go-ba-na-hills:breakdown:breakdown:0:28db28f9fc91bb55","viet-phrase-city-danang-go-ba-na-hills:breakdown:breakdown:city-danang-go-ba-na-hills-chunk-1","0","Đi","go","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"12","active_review","route_ticket","viet-phrase-city-danang-go-ba-na-hills","city-danang-go-ba-na-hills","viet-phrase-city-danang-go-ba-na-hills:breakdown","breakdown","viet-phrase-city-danang-go-ba-na-hills:breakdown:breakdown:1:88569fbe3dca06af","viet-phrase-city-danang-go-ba-na-hills:breakdown:breakdown:city-danang-go-ba-na-hills-chunk-2","1","Bà Nà Hills","name recognition","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"12","active_review","route_ticket","viet-phrase-city-danang-go-ba-na-hills","city-danang-go-ba-na-hills","viet-phrase-city-danang-go-ba-na-hills:breakdown","breakdown","viet-phrase-city-danang-go-ba-na-hills:breakdown:breakdown:2:c39e05e9632ff13e","viet-phrase-city-danang-go-ba-na-hills:breakdown:breakdown:city-danang-go-ba-na-hills-full","2","Đi Bà Nà Hills","Go to Ba Na Hills","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"13","active_review","place_navigation","viet-phrase-city-danang-where-ba-na-hills","city-danang-where-ba-na-hills","viet-phrase-city-danang-where-ba-na-hills:breakdown","breakdown","viet-phrase-city-danang-where-ba-na-hills:breakdown:breakdown:0:10827a9cef88b8da","viet-phrase-city-danang-where-ba-na-hills:breakdown:breakdown:city-danang-where-ba-na-hills-editorial-1","0","Bà Nà Hills","Ba Na Hills attraction name","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"13","active_review","place_navigation","viet-phrase-city-danang-where-ba-na-hills","city-danang-where-ba-na-hills","viet-phrase-city-danang-where-ba-na-hills:breakdown","breakdown","viet-phrase-city-danang-where-ba-na-hills:breakdown:breakdown:1:2d75f860a8dea55b","viet-phrase-city-danang-where-ba-na-hills:breakdown:breakdown:city-danang-where-ba-na-hills-editorial-2","1","ở đâu?","where?","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"13","active_review","place_navigation","viet-phrase-city-danang-where-ba-na-hills","city-danang-where-ba-na-hills","viet-phrase-city-danang-where-ba-na-hills:breakdown","breakdown","viet-phrase-city-danang-where-ba-na-hills:breakdown:breakdown:2:9f91c111eca0f3e6","viet-phrase-city-danang-where-ba-na-hills:breakdown:breakdown:city-danang-where-ba-na-hills-editorial-3","2","Bà Nà Hills ở đâu?","Where is Ba Na Hills?","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"14","active_review","route_ticket","viet-phrase-city-danang-ticket-marble-mountains","city-danang-ticket-marble-mountains","viet-phrase-city-danang-ticket-marble-mountains:breakdown","breakdown","viet-phrase-city-danang-ticket-marble-mountains:breakdown:breakdown:0:38408fb36e9389d8","viet-phrase-city-danang-ticket-marble-mountains:breakdown:breakdown:city-danang-ticket-marble-mountains-chunk-1","0","Một vé","one ticket","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"14","active_review","route_ticket","viet-phrase-city-danang-ticket-marble-mountains","city-danang-ticket-marble-mountains","viet-phrase-city-danang-ticket-marble-mountains:breakdown","breakdown","viet-phrase-city-danang-ticket-marble-mountains:breakdown:breakdown:1:f0e7efe821f0cdb7","viet-phrase-city-danang-ticket-marble-mountains:breakdown:breakdown:city-danang-ticket-marble-mountains-chunk-2","1","vào","for entry","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"14","active_review","route_ticket","viet-phrase-city-danang-ticket-marble-mountains","city-danang-ticket-marble-mountains","viet-phrase-city-danang-ticket-marble-mountains:breakdown","breakdown","viet-phrase-city-danang-ticket-marble-mountains:breakdown:breakdown:2:f69986e36c58c012","viet-phrase-city-danang-ticket-marble-mountains:breakdown:breakdown:city-danang-ticket-marble-mountains-chunk-3","2","Ngũ Hành Sơn","Marble Mountains","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"14","active_review","route_ticket","viet-phrase-city-danang-ticket-marble-mountains","city-danang-ticket-marble-mountains","viet-phrase-city-danang-ticket-marble-mountains:breakdown","breakdown","viet-phrase-city-danang-ticket-marble-mountains:breakdown:breakdown:3:89fd550cb0f69b1b","viet-phrase-city-danang-ticket-marble-mountains:breakdown:breakdown:city-danang-ticket-marble-mountains-full","3","Một vé vào Ngũ Hành Sơn","One ticket to Marble Mountains","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"15","active_review","route_ticket","viet-phrase-city-danang-go-dragon-bridge","city-danang-go-dragon-bridge","viet-phrase-city-danang-go-dragon-bridge:breakdown","breakdown","viet-phrase-city-danang-go-dragon-bridge:breakdown:breakdown:0:337640392f4fc09d","viet-phrase-city-danang-go-dragon-bridge:breakdown:breakdown:city-danang-go-dragon-bridge-chunk-1","0","Đi","go","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"15","active_review","route_ticket","viet-phrase-city-danang-go-dragon-bridge","city-danang-go-dragon-bridge","viet-phrase-city-danang-go-dragon-bridge:breakdown","breakdown","viet-phrase-city-danang-go-dragon-bridge:breakdown:breakdown:1:31eb976213133503","viet-phrase-city-danang-go-dragon-bridge:breakdown:breakdown:city-danang-go-dragon-bridge-chunk-2","1","cầu Rồng","Dragon Bridge","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"15","active_review","route_ticket","viet-phrase-city-danang-go-dragon-bridge","city-danang-go-dragon-bridge","viet-phrase-city-danang-go-dragon-bridge:breakdown","breakdown","viet-phrase-city-danang-go-dragon-bridge:breakdown:breakdown:2:f5ccf8e18fa9d787","viet-phrase-city-danang-go-dragon-bridge:breakdown:breakdown:city-danang-go-dragon-bridge-full","2","Đi cầu Rồng","Go to Dragon Bridge","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"16","active_review","street_driver","viet-phrase-city-danang-near-nguyen-van-linh-street","city-danang-near-nguyen-van-linh-street","viet-phrase-city-danang-near-nguyen-van-linh-street:breakdown","breakdown","viet-phrase-city-danang-near-nguyen-van-linh-street:breakdown:breakdown:0:9a7d2c43c66d4f22","viet-phrase-city-danang-near-nguyen-van-linh-street:breakdown:breakdown:city-danang-near-nguyen-van-linh-street-editorial-1","0","Đường Nguyễn Văn Linh","Nguyen Van Linh Street","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"16","active_review","street_driver","viet-phrase-city-danang-near-nguyen-van-linh-street","city-danang-near-nguyen-van-linh-street","viet-phrase-city-danang-near-nguyen-van-linh-street:breakdown","breakdown","viet-phrase-city-danang-near-nguyen-van-linh-street:breakdown:breakdown:1:9ce5e5fda9bd893a","viet-phrase-city-danang-near-nguyen-van-linh-street:breakdown:breakdown:city-danang-near-nguyen-van-linh-street-editorial-2","1","gần đây không?","near here?","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"16","active_review","street_driver","viet-phrase-city-danang-near-nguyen-van-linh-street","city-danang-near-nguyen-van-linh-street","viet-phrase-city-danang-near-nguyen-van-linh-street:breakdown","breakdown","viet-phrase-city-danang-near-nguyen-van-linh-street:breakdown:breakdown:2:49edbea7a6a40297","viet-phrase-city-danang-near-nguyen-van-linh-street:breakdown:breakdown:city-danang-near-nguyen-van-linh-street-editorial-3","2","Đường Nguyễn Văn Linh gần đây không?","Is Nguyen Van Linh Street near here?","content-draft/viet/city-library/v1.json","","REVIEW_ONLY","REVIEW_ONLY"
"17","active_review","relationship_politeness","viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","viet-phrase-acknowledge-da-chao-anh:breakdown","breakdown","viet-phrase-acknowledge-da-chao-anh:breakdown:breakdown:0:f0a6965224b88375","viet-phrase-acknowledge-da-chao-anh:breakdown:breakdown:acknowledge-da-chao-anh-editorial-1","0","Dạ","respectful opener","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","REVIEW_ONLY","REVIEW_ONLY"
"17","active_review","relationship_politeness","viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","viet-phrase-acknowledge-da-chao-anh:breakdown","breakdown","viet-phrase-acknowledge-da-chao-anh:breakdown:breakdown:1:d0edd32dc5861d31","viet-phrase-acknowledge-da-chao-anh:breakdown:breakdown:acknowledge-da-chao-anh-editorial-2","1","chào","greet / hello","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","REVIEW_ONLY","REVIEW_ONLY"
"17","active_review","relationship_politeness","viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","viet-phrase-acknowledge-da-chao-anh:breakdown","breakdown","viet-phrase-acknowledge-da-chao-anh:breakdown:breakdown:2:bbea041f051e37e9","viet-phrase-acknowledge-da-chao-anh:breakdown:breakdown:acknowledge-da-chao-anh-editorial-3","2","anh","older man","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","REVIEW_ONLY","REVIEW_ONLY"
"17","active_review","relationship_politeness","viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","viet-phrase-acknowledge-da-chao-anh:breakdown","breakdown","viet-phrase-acknowledge-da-chao-anh:breakdown:breakdown:3:47ac5d70b3498f0a","viet-phrase-acknowledge-da-chao-anh:breakdown:breakdown:acknowledge-da-chao-anh-editorial-4","3","Dạ, chào anh","Respectful hello to an older man","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","REVIEW_ONLY","REVIEW_ONLY"
"18","active_review","airport_taxi","viet-phrase-v500-airp-bord-arri-where-is-the-taxi-counter","v500-airp-bord-arri-where-is-the-taxi-counter","viet-phrase-v500-airp-bord-arri-where-is-the-taxi-counter:breakdown","breakdown","viet-phrase-v500-airp-bord-arri-where-is-the-taxi-counter:breakdown:breakdown:0:0ec1cd79c0de026f","viet-phrase-v500-airp-bord-arri-where-is-the-taxi-counter:breakdown:breakdown:chunk-1","0","Quầy taxi","the taxi counter","content-draft/viet/canonical-pages/catalog-promoted/airport-border-arrival/v500-airp-bord-arri-where-is-the-taxi-counter.json","","REVIEW_ONLY","REVIEW_ONLY"
"18","active_review","airport_taxi","viet-phrase-v500-airp-bord-arri-where-is-the-taxi-counter","v500-airp-bord-arri-where-is-the-taxi-counter","viet-phrase-v500-airp-bord-arri-where-is-the-taxi-counter:breakdown","breakdown","viet-phrase-v500-airp-bord-arri-where-is-the-taxi-counter:breakdown:breakdown:1:928be9ed081c7ecf","viet-phrase-v500-airp-bord-arri-where-is-the-taxi-counter:breakdown:breakdown:chunk-2","1","ở đâu","where?","content-draft/viet/canonical-pages/catalog-promoted/airport-border-arrival/v500-airp-bord-arri-where-is-the-taxi-counter.json","","REVIEW_ONLY","REVIEW_ONLY"
