"selected_order","batch_id","batch_role","selection_group","selection_reason","pilot_patch_id","pilot_page_id","current_page_id_mismatch_from_pilot","page_id","phrase_id","vietnamese_title","english_title","phrase_vietnamese","phrase_english","pronunciation","summary","pageKind","placeKind","contentRole","city_id","subcategory_id","place_id","city_place_vietnamese","city_place_english","difficulty","spoken_chunks","source_ids","rationale","category_tags","page_renderer","hero_image_name","icon_name","tint_name","access_tier","page_completeness_status","phrase_completeness_status","audio_status","audio_key","missing_audio_id","source_lane","source_path","generated_phrase_source_path","source_row_id","sense_key","section_count","phrase_row_count","breakdown_count","relationship_count","section_ids","audit_verdict","audit_flags","audit_issue_codes","ba_na_reference_summary","reviewer_notes","review_status","import_approval"
"11","chatgpt-batch-001","active_review","street_pronouncer","Prior hard beach-side street page; needs driver pickup/drop-off teaching shape.","EP-011","viet-phrase-city-danang-place-vo-nguyen-giap-street","FALSE","viet-phrase-city-danang-place-vo-nguyen-giap-street","city-danang-place-vo-nguyen-giap-street","Đường Võ Nguyên Giáp","Vo Nguyen Giap Street","Đường Võ Nguyên Giáp","Vo Nguyen Giap Street","duong vo nguyen giap","A Say This Street page for Đường Võ Nguyên Giáp: pronounce the street, insert it into driver phrases, and confirm beach-side pickup/drop-off points.","place","street","","danang","neighborhoods-streets","danang-vo-nguyen-giap-street","Đường Võ Nguyên Giáp","Vo Nguyen Giap Street","beginner","3","vt-danang|vt-danang-official","Place-name page for Vo Nguyen Giap Street; it gives Da Nang practice a real map anchor before route, ticket, shopping, or help phrases branch from it.","city-guides|danang|neighborhoods-streets|beginner|city-page-kind-place|place-kind-street|actual-landmarks|street-pronouncer|editorial-pilot","article-listing","","mappin.and.ellipse","teal","premium","deep","deep","planned_missing_audio","","missing-audio:planned:365f02ff9ee0fba7","city-v1","content-draft/viet/city-library/v1.json","native-ios/Resources/viet-phrase-catalog.json","city-danang-place-vo-nguyen-giap-street","","11","9","3","8","at-glance|quick-say|breakdown|place-brief|use-it-with|when-to-use|show-driver|confirm|pickup|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
"12","chatgpt-batch-001","active_review","route_ticket","Prior hard route phrase; needs title-preserving support instead of full-sentence canonical rewrite.","EP-012","viet-phrase-city-danang-go-ba-na-hills","FALSE","viet-phrase-city-danang-go-ba-na-hills","city-danang-go-ba-na-hills","Đi Bà Nà Hills","Go to Ba Na Hills","Đi Bà Nà Hills","Go to Ba Na Hills","dee bah na hills","Go to Ba Na Hills","phrase","landmark","","danang","arrivals-routes","danang-ba-na-hills","Bà Nà Hills","Ba Na Hills","beginner","3","vt-danang|vt-danang-official","Beginner route phrase for Ba Na Hills; it turns the place-name page into a direct first-trip travel command.","city-guides|danang|arrivals-routes|beginner|city-page-kind-phrase|place-kind-landmark|city-phrases","article-listing","","map.fill","teal","premium","deep","deep","planned_missing_audio","","missing-audio:planned:aa1a48328b07d85a","city-v1","content-draft/viet/city-library/v1.json","native-ios/Resources/viet-phrase-catalog.json","city-danang-go-ba-na-hills","","8","13","3","5","at-glance|quick-say|breakdown|relationship-words|place-anchor|when-to-use|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
"13","chatgpt-batch-001","active_review","place_navigation","Prior hard place question; needs journey recovery links while preserving canonical title.","EP-013","viet-phrase-city-danang-where-ba-na-hills","FALSE","viet-phrase-city-danang-where-ba-na-hills","city-danang-where-ba-na-hills","Bà Nà Hills ở đâu?","Where is Ba Na Hills?","Bà Nà Hills ở đâu?","Where is Ba Na Hills?","bah na hills uh dow","A practical where-question for when the traveler needs a direction, counter, pickup point, or map confirmation for Bà Nà Hills.","phrase","landmark","","danang","landmarks-attractions","danang-ba-na-hills","Bà Nà Hills","Ba Na Hills","beginner","4","vt-danang|vt-danang-official","Beginner where-question for Ba Na Hills; it makes the city anchor useful in a real walking or arrival moment.","city-guides|danang|landmarks-attractions|beginner|city-page-kind-phrase|place-kind-landmark|city-phrases|journey-page-child|editorial-pilot","article-listing","","map.fill","teal","premium","deep","deep","planned_missing_audio","","missing-audio:planned:d68d0db4ea0532e3","city-v1","content-draft/viet/city-library/v1.json","native-ios/Resources/viet-phrase-catalog.json","city-danang-where-ba-na-hills","","10","15","3","7","at-glance|quick-say|breakdown|relationship-words|place-anchor|when-to-use|what-happens-next|recovery|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
"14","chatgpt-batch-001","active_review","route_ticket","Prior hard ticket phrase; needs title-preserving ticket-counter article support.","EP-014","viet-phrase-city-danang-ticket-marble-mountains","FALSE","viet-phrase-city-danang-ticket-marble-mountains","city-danang-ticket-marble-mountains","Một vé vào Ngũ Hành Sơn","One ticket to Marble Mountains","Một vé vào Ngũ Hành Sơn","One ticket to Marble Mountains","mot veh vow ngoo hanh son","One ticket to Marble Mountains","phrase","landmark","","danang","landmarks-attractions","danang-marble-mountains","Ngũ Hành Sơn","Marble Mountains","beginner","5","vt-danang","Ticket page gives a concrete attraction-counter moment.","city-guides|danang|landmarks-attractions|beginner|city-page-kind-phrase|place-kind-landmark|city-phrases","article-listing","","map.fill","teal","premium","deep","deep","planned_missing_audio","","missing-audio:planned:41f5508fa3fb0c3f","city-v1","content-draft/viet/city-library/v1.json","native-ios/Resources/viet-phrase-catalog.json","city-danang-ticket-marble-mountains","","7","6","4","5","at-glance|quick-say|breakdown|place-anchor|when-to-use|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
"15","chatgpt-batch-001","active_review","route_ticket","Prior hard route phrase; needs route support while keeping clipped canonical title.","EP-015","viet-phrase-city-danang-go-dragon-bridge","FALSE","viet-phrase-city-danang-go-dragon-bridge","city-danang-go-dragon-bridge","Đi cầu Rồng","Go to Dragon Bridge","Đi cầu Rồng","Go to Dragon Bridge","dee cow zong","Go to Dragon Bridge","phrase","landmark","","danang","landmarks-attractions","danang-dragon-bridge","Cầu Rồng","Dragon Bridge","beginner","3","vt-danang","Bridge route phrase links the place page to a common first-time traveler stop.","city-guides|danang|landmarks-attractions|beginner|city-page-kind-phrase|place-kind-landmark|city-phrases","article-listing","","map.fill","teal","premium","deep","deep","planned_missing_audio","","missing-audio:planned:b7bd9418ebfc9956","city-v1","content-draft/viet/city-library/v1.json","native-ios/Resources/viet-phrase-catalog.json","city-danang-go-dragon-bridge","","7","6","3","5","at-glance|quick-say|breakdown|place-anchor|when-to-use|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
"16","chatgpt-batch-001","active_review","street_driver","Prior hard street question; needs street pronouncer plus near-here driver flow.","EP-016","viet-phrase-city-danang-near-nguyen-van-linh-street","FALSE","viet-phrase-city-danang-near-nguyen-van-linh-street","city-danang-near-nguyen-van-linh-street","Đường Nguyễn Văn Linh gần đây không?","Is Nguyen Van Linh Street near here?","Đường Nguyễn Văn Linh gần đây không?","Is Nguyen Van Linh Street near here?","duong ngween van linh gun day khong","A street-distance check for Nguyễn Văn Linh Street, designed to help the traveler decide whether to walk, ride, or show the address again.","phrase","street","","danang","neighborhoods-streets","danang-nguyen-van-linh-street","Đường Nguyễn Văn Linh","Nguyen Van Linh Street","beginner","4","vt-danang|vt-danang-official","Beginner near-here phrase for Nguyen Van Linh Street; it helps travelers decide whether the next move is walking or riding.","city-guides|danang|neighborhoods-streets|beginner|city-page-kind-phrase|place-kind-street|city-phrases|street-pronouncer|editorial-pilot","article-listing","","map.fill","teal","premium","deep","deep","planned_missing_audio","","missing-audio:planned:d8015e75173a8527","city-v1","content-draft/viet/city-library/v1.json","native-ios/Resources/viet-phrase-catalog.json","city-danang-near-nguyen-van-linh-street","","9","8","3","7","at-glance|quick-say|breakdown|place-anchor|when-to-use|what-happens-next|recovery|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
"17","chatgpt-batch-001","active_review","relationship_politeness","Prior deferred politeness/tone cleanup path for relationship greetings.","EP-020","viet-phrase-acknowledge-da-chao-anh","FALSE","viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","Dạ, chào anh","Respectful hello to an older man","Dạ, chào anh","Respectful hello to an older man","yah chow anh","A respectful everyday greeting for a man who feels older than you, useful in cafés, taxis, shops, hotel desks, and help moments.","","","","","","","","","","","","","greetings|polite-basics","article-listing","","hand.wave.fill","blue","starter","deep","deep","ready","audio-phrase-da-chao-anh","","catalog-promoted","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","native-ios/Resources/viet-phrase-catalog.json","acknowledge-da-chao-anh","","8","6","4","5","at-glance|quick-say|breakdown|relationship-words|relationship-swaps|when-to-use|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
"18","chatgpt-batch-001","active_review","airport_taxi","High-value first-arrival page; taxi-counter copy often needs better beginner journey structure.","","","FALSE","viet-phrase-v500-airp-bord-arri-where-is-the-taxi-counter","v500-airp-bord-arri-where-is-the-taxi-counter","Quầy taxi ở đâu?","Where is the taxi counter?","Quầy taxi ở đâu?","Where is the taxi counter?","Quay taxi o dau","Where is the taxi counter?","","","","","","","","","","","","","airport-border-arrival|v500-airp-bord-arri-where-is-the-taxi-counter|premium","article-listing","","airplane.arrival","blue","premium","deep","deep","ready","v500-airp-bord-arri-where-is-the-taxi-counter","","catalog-promoted","content-draft/viet/canonical-pages/catalog-promoted/airport-border-arrival/v500-airp-bord-arri-where-is-the-taxi-counter.json","native-ios/Resources/viet-phrase-catalog.json","v500-airp-bord-arri-where-is-the-taxi-counter","","7","9","3","8","at-glance|quick-say|breakdown|natural-variants|when-to-use|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
"19","chatgpt-batch-001","active_review","airport_baggage","High-stress airport problem page; likely needs clear, natural support flow and native-language scrutiny.","","","FALSE","viet-phrase-v900-airp-bord-arri-can-you-help-me-track-my-bag","v900-airp-bord-arri-can-you-help-me-track-my-bag","Bạn có thể giúp tôi theo dõi túi của tôi?","Can you help me track my bag?","Bạn có thể giúp tôi theo dõi túi của tôi?","Can you help me track my bag?","Ban co the giup toi theo doi tui cua toi","Can you help me track my bag?","","","","","","","","","","","","","airport-border-arrival|v900-airp-bord-arri-can-you-help-me-track-my-bag|premium","article-listing","","airplane.arrival","blue","premium","deep","deep","ready","v900-airp-bord-arri-can-you-help-me-track-my-bag","","catalog-promoted","content-draft/viet/canonical-pages/catalog-promoted/airport-border-arrival/v900-airp-bord-arri-can-you-help-me-track-my-bag.json","native-ios/Resources/viet-phrase-catalog.json","v900-airp-bord-arri-can-you-help-me-track-my-bag","","7","9","5","8","at-glance|quick-say|breakdown|natural-variants|when-to-use|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
"20","chatgpt-batch-001","active_review","hotel_taxi","Hotel desk taxi page; practical first-day traveler workflow with audio/link expectations.","","","FALSE","viet-phrase-hotel-9","hotel-9","Gọi taxi giúp tôi được không?","Can you call a taxi for me?","Gọi taxi giúp tôi được không?","Can you call a taxi for me?","goy taxi zoop toy dook khong","Can you call a taxi for me?","","","","","","","","","","","","","hotel-accommodation|hotel-call-taxi|premium","article-listing","","bed.double.fill","purple","premium","deep","deep","ready","hotel-9","","catalog-promoted","content-draft/viet/canonical-pages/catalog-promoted/hotel-accommodation/hotel-9.json","native-ios/Resources/viet-phrase-catalog.json","hotel-9","","7","9","4","8","at-glance|quick-say|breakdown|natural-variants|when-to-use|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
"21","chatgpt-batch-001","active_review","hotel_taxi","Longer hotel taxi variant; useful contrast with the shorter beginner version.","","","FALSE","viet-phrase-v900-hote-acco-can-you-arrange-a-taxi-for-me","v900-hote-acco-can-you-arrange-a-taxi-for-me","Bạn có thể sắp xếp một chiếc taxi cho tôi được không?","Can you arrange a taxi for me?","Bạn có thể sắp xếp một chiếc taxi cho tôi được không?","Can you arrange a taxi for me?","Ban co the sap xep mot chiec taxi cho toi duoc khong","Can you arrange a taxi for me?","","","","","","","","","","","","","hotel-accommodation|v900-hote-acco-can-you-arrange-a-taxi-for-me|premium","article-listing","","bed.double.fill","purple","premium","deep","deep","ready","v900-hote-acco-can-you-arrange-a-taxi-for-me","","catalog-promoted","content-draft/viet/canonical-pages/catalog-promoted/hotel-accommodation/v900-hote-acco-can-you-arrange-a-taxi-for-me.json","native-ios/Resources/viet-phrase-catalog.json","v900-hote-acco-can-you-arrange-a-taxi-for-me","","7","9","5","8","at-glance|quick-say|breakdown|natural-variants|when-to-use|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
"22","chatgpt-batch-001","active_review","food_allergy","Food-allergy page; needs concise safety-forward copy without fear framing.","","","FALSE","viet-phrase-food-peanut-allergy","food-peanut-allergy","Tôi bị dị ứng đậu phộng","I am allergic to peanuts","Tôi bị dị ứng đậu phộng","I am allergic to peanuts","toy bee zee oong dow fohng","Say ""I am allergic to peanuts"" with Tôi bị dị ứng đậu phộng, then use the notes below to adjust tone and next steps.","","","","","","","","","","","","","food-drink","article-listing","","fork.knife","green","starter","deep","deep","ready","food-peanut-allergy","","tier1","content-draft/viet/canonical-pages/tier-one/food-drink/food-peanut-allergy.json","native-ios/Resources/viet-phrase-catalog.json","food-peanut-allergy","","10","19","6","19","at-glance|breakdown|standard-way|natural-variations|why-it-matters|traveler-insight|when-to-use|good-to-know|local-tip|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
"23","chatgpt-batch-001","active_review","food_allergy","Common seafood allergy phrase; needs ingredient/diet linked-row support.","","","FALSE","viet-phrase-v500-food-drin-i-am-allergic-to-shellfish","v500-food-drin-i-am-allergic-to-shellfish","Tôi bị dị ứng với động vật có vỏ","I am allergic to shellfish","Tôi bị dị ứng với động vật có vỏ","I am allergic to shellfish","Toi bi di ung voi dong vat co vo","I am allergic to shellfish","","","","","","","","","","","","","food-drink|v500-food-drin-i-am-allergic-to-shellfish|premium","article-listing","","fork.knife","green","premium","deep","deep","ready","v500-food-drin-i-am-allergic-to-shellfish","","catalog-promoted","content-draft/viet/canonical-pages/catalog-promoted/food-drink/v500-food-drin-i-am-allergic-to-shellfish.json","native-ios/Resources/viet-phrase-catalog.json","v500-food-drin-i-am-allergic-to-shellfish","","7","9","3","8","at-glance|quick-say|breakdown|natural-variants|when-to-use|good-to-know|explore-next","PASS","","","","","REVIEW_ONLY","REVIEW_ONLY"
