phrase_id,scenario_id,audio_key,english_text,target_text,pronunciation,context,emoji,notes,status
thai-convenience-store-1,convenience-store,thai-convenience-store-1,"A bottle of water please",,,"Use this for a quick water purchase.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-convenience-store-2,convenience-store,thai-convenience-store-2,"Do you have a bag",,,"Ask this if you need a carry bag.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-convenience-store-3,convenience-store,thai-convenience-store-3,"Tissues please",,,"Use this when you need tissues at the counter.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-convenience-store-4,convenience-store,thai-convenience-store-4,"Where is the sunscreen",,,"Ask this when you need help finding sunscreen.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-convenience-store-5,convenience-store,thai-convenience-store-5,"Please open this for me",,,"Use this for bottled drinks or hard packaging.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-convenience-store-6,convenience-store,thai-convenience-store-6,"Can I pay by card",,,"Ask this before checkout if you are short on cash.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-convenience-store-7,convenience-store,thai-convenience-store-7,"Please give me the receipt",,,"Use this if you need the receipt for your purchase.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-hotel-hostel-1,hotel-hostel,thai-hotel-hostel-1,"I have a reservation",,,"Use this first when you arrive at reception.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-hotel-hostel-2,hotel-hostel,thai-hotel-hostel-2,"I would like to check in",,,"Say this when you are ready to start check-in.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-hotel-hostel-3,hotel-hostel,thai-hotel-hostel-3,"What time is check out",,,"Ask this early so you know the departure time.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-hotel-hostel-4,hotel-hostel,thai-hotel-hostel-4,"This room is too hot",,,"Use this if the room feels too warm.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-hotel-hostel-5,hotel-hostel,thai-hotel-hostel-5,"The air conditioner is not working",,,"Say this when you need staff to check the AC.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-hotel-hostel-6,hotel-hostel,thai-hotel-hostel-6,"More towels please",,,"Use this when you need extra towels.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-hotel-hostel-7,hotel-hostel,thai-hotel-hostel-7,"Please hold my luggage",,,"Use this if you need the desk to hold your bags.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-directions-1,directions,thai-directions-1,"Excuse me how do I get to the city center",,,"Use this when asking for a route to a known area or landmark.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-directions-2,directions,thai-directions-2,"Is it near here",,,"Ask this when deciding whether to walk or ride.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-directions-3,directions,thai-directions-3,"How long on foot",,,"Use this to check whether walking is realistic.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-directions-4,directions,thai-directions-4,"Where do I turn left",,,"Ask this when someone is giving step by step directions.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-directions-5,directions,thai-directions-5,"Turn right correct",,,"Use this to confirm the next turn.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-directions-6,directions,thai-directions-6,"Go straight",,,"Use this to confirm you should keep moving forward.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-directions-7,directions,thai-directions-7,"Thanks I understand now",,,"Use this to politely end the directions exchange.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-simple-problems-1,simple-problems,thai-simple-problems-1,"I am lost",,,"Use this when you need immediate help finding your way.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-simple-problems-2,simple-problems,thai-simple-problems-2,"I do not understand",,,"Say this when someone is speaking too quickly.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-simple-problems-3,simple-problems,thai-simple-problems-3,"Can you speak a little slower",,,"Use this when you need the other person to slow down.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-simple-problems-4,simple-problems,thai-simple-problems-4,"I left something behind",,,"Say this if you forgot an item in a car, room, or cafe.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-simple-problems-5,simple-problems,thai-simple-problems-5,"The Wi Fi is not working",,,"Use this at hotels or cafes when you cannot connect.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-simple-problems-6,simple-problems,thai-simple-problems-6,"I need a doctor",,,"Use this if you feel sick and need medical help.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-simple-problems-7,simple-problems,thai-simple-problems-7,"Please call for me",,,"Say this when you need someone to make a call for you.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-small-talk-1,small-talk,thai-small-talk-1,"I am from the United States",,,"Use this when someone asks where you are from.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-small-talk-2,small-talk,thai-small-talk-2,"I am from England",,,"Use this as a simple answer when introducing yourself.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-small-talk-3,small-talk,thai-small-talk-3,"This is my first time",,,"Say this when talking about your first visit.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-small-talk-4,small-talk,thai-small-talk-4,"I like it here",,,"Use this as an easy positive comment in conversation.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-small-talk-5,small-talk,thai-small-talk-5,"The food is so good",,,"Use this to compliment a meal or recommendation.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-small-talk-6,small-talk,thai-small-talk-6,"The weather is very hot",,,"Use this as easy weather small talk on a hot day.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-small-talk-7,small-talk,thai-small-talk-7,"How are you",,,"Use this with friendly staff or locals after a greeting.",,"Baseline scaffold from the shared traveler surface; keep Thai script plus traveler romanization review-gated.",needs-translation
thai-street-food-8,street-food,thai-street-food-8,"No ice please",,,"Useful when ordering drinks or table water in heat-sensitive or stomach-sensitive situations.",,"Thai supplemental row for Thailand-specific traveler utility; keep translation and pronunciation review-gated.",needs-translation
thai-grab-taxi-8,grab-taxi,thai-grab-taxi-8,"Please use the meter",,,"Useful in taxis when you need to confirm metered pricing before the ride starts.",,"Thai supplemental row for Thailand-specific traveler utility; keep translation and pronunciation review-gated.",needs-translation
thai-directions-8,directions,thai-directions-8,"Where is the station",,,"High-value navigation line for BTS, MRT, rail, or ferry transfers.",,"Thai supplemental row for Thailand-specific traveler utility; keep translation and pronunciation review-gated.",needs-translation
thai-simple-problems-8,simple-problems,thai-simple-problems-8,"Please call the police",,,"Emergency escalation row that must stay visible for later expert review.",,"Thai supplemental row for Thailand-specific traveler utility; explicit later expert review required.",needs-translation
thai-polite-basics-8,polite-basics,thai-polite-basics-8,"Yes",,,"Useful confirmation token for fast transactional replies and repair moments.",,"Thai repair mini-set row; keep pronunciation review-gated.",needs-translation
thai-polite-basics-9,polite-basics,thai-polite-basics-9,"No",,,"Useful rejection or correction token for fast transactional replies and repair moments.",,"Thai repair mini-set row; keep pronunciation review-gated.",needs-translation
thai-simple-problems-9,simple-problems,thai-simple-problems-9,"Please repeat that",,,"Useful when the traveler misses a fast Thai reply and needs a clean repeat.",,"Thai repair mini-set row; keep translation and pronunciation review-gated.",needs-translation
thai-simple-problems-10,simple-problems,thai-simple-problems-10,"Can you write it down",,,"Useful when hearing is hard and the traveler needs the answer in visible form.",,"Thai repair mini-set row; keep translation and pronunciation review-gated.",needs-translation
thai-simple-problems-11,simple-problems,thai-simple-problems-11,"Can you show me",,,"Useful when pointing or map-showing is easier than following fast spoken Thai.",,"Thai repair mini-set row; keep translation and pronunciation review-gated.",needs-translation
thai-simple-problems-12,simple-problems,thai-simple-problems-12,"Can you point",,,"Useful when the traveler needs a physical direction cue instead of a spoken explanation.",,"Thai repair mini-set row; keep translation and pronunciation review-gated.",needs-translation
thai-simple-problems-13,simple-problems,thai-simple-problems-13,"How many",,,"Useful when clarifying counts prices tickets or quantities during a repair moment.",,"Thai repair mini-set row; keep translation and pronunciation review-gated.",needs-translation
thai-directions-9,directions,thai-directions-9,"How many minutes",,,"Useful for route timing pickup waits or short travel-duration clarification.",,"Thai repair mini-set row; keep translation and pronunciation review-gated.",needs-translation
