item_id,menu_type,category,subcategory,popular,vietnamese_item,english_translation,romanized_no_tones,sound_out,notes,at_a_glance,usually_includes,good_to_know,common_options,quick_say_vietnamese,quick_say_english,quick_say_sound_out,what_it_is,how_to_enjoy,how_locals_order,worth_knowing,regional_association,origin_posture,traveler_caution,helper_phrase_ids,order_line_audio_policy,editorial_status
food-bun-thang,Food,Noodle soups,,false,Bún thang,"Hanoi chicken, egg, and pork noodle soup",Bun thang,boon tang,,"Bún thang is a delicate Hanoi noodle soup layered with shredded chicken, egg ribbons, pork sausage, herbs, and clear broth. It is refined rather than fiery.",rice vermicelli | clear chicken broth | shredded chicken | egg ribbons | pork sausage,"The bowl can include pork sausage, egg, and dried-shrimp flavor. It is not just chicken soup.",extra herbs | less pepper | no pork sausage | ask about shrimp,Cho tôi một tô bún thang.,"I’d like one bowl of Hanoi chicken, egg, and pork noodle soup.",chaw toy moht toh boon tang,"Bún thang is a Hanoi soup where thin rice vermicelli sits under careful strips of chicken, egg, pork sausage, herbs, and clear broth.","Keep the first spoonful gentle. Add chili only after tasting the broth, because the pleasure is in the layered clean flavors.","Bún thang is a delicate Hanoi-style bowl, so locals do not bury it under chili right away. Order it by name and let the chicken, egg ribbons, and pork sausage stay clear and tidy.",Bún thang is associated with Hanoi cooking and a more delicate soup style than many southern or central bowls.,Hanoi,regional-association,"May include pork, egg, and dried shrimp.",menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-bun-moc,Food,Noodle soups,,false,Bún mọc,Pork meatball noodle soup,Bun moc,boon mawk,,"Bún mọc is pork-and-mushroom ball noodle soup, usually with rice vermicelli, mọc, pork slices, herbs, and clear broth.",clear pork broth | rice vermicelli | mọc pork-mushroom balls | pork slices | fresh herbs,May contain pork.,extra herbs | extra mọc | no chili | no MSG,Cho tôi một tô bún mọc.,I’d like one bowl of pork meatball noodle soup.,chaw toy moht toh boon mawk,"Bún mọc is a clear pork-broth noodle soup featuring mọc: springy pork-and-wood-ear mushroom balls. Rice vermicelli, herbs, lime, and chili let the light broth stay fragrant instead of heavy.","Taste the clear broth first, then add herbs, lime, or chili in small steps. The pleasure is the gentle pork broth against the bouncy mọc balls.",Order bún mọc when you want a lighter noodle soup rather than a fiery bowl. Ask for extra herbs or no chili before seasoning; many shops expect you to finish the balance at the table.,"Mọc refers to the pork-and-mushroom balls, so this is a useful menu word once you start reading Vietnamese noodle-shop signs.",,category-context,May contain pork.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-bun-ca,Food,Noodle soups,,false,Bún cá,Fish noodle soup,Bun ca,boon kah,,"Bún cá is fish noodle soup, usually with fried or fresh fish, dill or tomato, herbs, and rice vermicelli.",fish broth | rice vermicelli | fried or fresh fish | tomato or dill | fresh herbs,"Fish bones can appear, especially in more traditional bowls.",less spicy | no chili | extra herbs | ask about bones,Cho tôi một tô bún cá.,I’d like one bowl of fish noodle soup.,chaw toy moht toh boon kah,"Bún cá is fish noodle soup, often with fried fish pieces or fresh fish in a bright broth with tomato, dill, herbs, and rice vermicelli. It feels lighter than beef noodle soups but still deeply savory.","Check for bones before your first big bite, then season with lime and chili slowly. Herbs brighten the fish broth, while too much chili can cover the seafood sweetness.","Order bún cá by the full name and ask có xương không if you are worried about bones. Start with the broth plain, then add herbs, lime, and chili after you understand the shop style.","Bún cá often feels coastal or northern on a menu, and each city handles the fish differently: crisp fried pieces, softer fillets, tomato brightness, or dill fragrance.",,category-context,,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-bun-oc,Food,Noodle soups,,false,Bún ốc,Snail noodle soup,Bun oc,boon awk,,"Bún ốc is snail vermicelli soup, often Hanoi-style, with a tomato-bright broth, herbs, and chewy river snails. It is tangy, clean, and more about texture than richness.",rice vermicelli | snails | tomato broth | herbs | chili optional,"Ốc means snails. If texture matters, ask before ordering; the snails should be chewy rather than soft like clams.",extra herbs | less chili | no shrimp paste | ask about snails,Cho tôi một tô bún ốc.,I’d like one bowl of snail noodle soup.,chaw toy moht toh boon awk,"Bún ốc is snail vermicelli soup with a tangy tomato-leaning broth, herbs, and chewy snails. It is a classic example of texture doing as much work as flavor.","Try the snails with broth and herbs before adding extra chili. If chewy seafood textures are not your thing, choose another soup.","Say Bún ốc when you specifically want snails in a tangy tomato broth. Ask about the snails or request less chili first, then brighten the bowl with herbs once it arrives.","Bún ốc is especially associated with Hanoi-style street eating, though you may see versions elsewhere.",Hanoi and northern Vietnam,regional-association,Contains snails and may include shrimp paste.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-bun-sua,Food,Noodle soups,,false,Bún sứa,Jellyfish noodle soup,Bun sua,boon soo-uh,,"Bún sứa is a coastal jellyfish noodle soup, especially familiar around Nha Trang and central beach towns. The broth is light; the jellyfish adds a crisp springy bite.",rice vermicelli | jellyfish | light seafood broth | herbs | fish cake optional,"Sứa means jellyfish. Order it when you are curious about a cool, crisp seafood texture that feels more like a beach-market salad than a heavy noodle bowl.",extra herbs | less chili | ask what seafood | no shrimp paste,Cho tôi một tô bún sứa.,I’d like one bowl of jellyfish noodle soup.,chaw toy moht toh boon soo-uh,"Bún sứa is a light coastal noodle soup with jellyfish, herbs, and seafood broth. The jellyfish gives a crisp springy texture rather than a strong fish flavor.",Eat the jellyfish with herbs and broth in the same bite. Add chili slowly so the light seafood flavor stays visible.,"Bún sứa is a texture order: cool, crisp jellyfish in a light seafood bowl. Ask what seafood is included and keep chili modest so you can still taste the delicate broth.","Bún sứa is especially tied to central coastal cities such as Nha Trang. For travelers, the main surprise is the texture.",central coast and Nha Trang,regional-association,Contains jellyfish and seafood broth.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-hu-tieu-nam-vang,Food,Noodle soups,,true,Hủ tiếu Nam Vang,Phnom Penh-style rice noodle soup,Hu tieu Nam Vang,hoo tee-ew nahm vahng,,"Hủ tiếu Nam Vang is a rice-noodle soup with clear savory broth, herbs, and pork and shrimp. It usually feels lighter and more flexible than richer beef soups.",broth | rice noodles | pork and shrimp | herbs | lime,"If you want a milder bowl, ask for less spicy or no chili. The soup will still have plenty of flavor.",extra herbs | chili | bean sprouts | less spicy | no MSG,Cho tôi một tô hủ tiếu Nam Vang.,I’d like one bowl of Phnom Penh-style rice noodle soup.,chaw toy moht toh hoo tee-ew nahm vahng,"Hủ tiếu Nam Vang is a rice-noodle soup with a clear savory broth and toppings that often include pork, shrimp, herbs, and crisp vegetables. It can feel lighter and more flexible than heavier beef soups.",Ask whether it comes nước or khô if the shop offers both: soup-style or dry with broth on the side. Add chili slowly because the clear broth is easy to overwhelm.,"With Hủ tiếu Nam Vang, locals may choose soup style or dry style. If you want the safer first bowl, order it as soup and add herbs, bean sprouts, lime, and chili little by little.","The name points to Nam Vang, the Vietnamese name for Phnom Penh, and the dish is especially common in southern Vietnam. Treat that as menu context rather than one fixed recipe.",southern Vietnam and Phnom Penh-style rice-noodle shops,commonly-associated-context,,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-hu-tieu-my-tho,Food,Noodle soups,,false,Hủ tiếu Mỹ Tho,Mỹ Tho-style rice noodle soup,Hu tieu My Tho,hoo tee-ew mee taw,,"Hủ tiếu Mỹ Tho is a Mekong Delta rice-noodle soup from the Mỹ Tho style, known for clear broth, chewy noodles, pork, shrimp, herbs, and fried garlic.",rice noodles | pork or shrimp toppings | fried shallots | dry noodle dressing | clear side broth,"Mỹ Tho is a Mekong Delta name to recognize. The dry version should still come with broth, because that clear, sweet side bowl is the backbone of the noodles.",soup style | dry style | extra herbs | no shrimp,Cho tôi một tô hủ tiếu Mỹ Tho.,I’d like one bowl of mỹ Tho-style rice noodle soup.,chaw toy moht toh hoo tee-ew mee taw,"Hủ tiếu Mỹ Tho is a Mekong Delta rice-noodle soup with clear broth, chewy noodles, pork, shrimp, fried garlic, and herbs. It is lighter than phở but still satisfying.","Ask whether the shop serves it nước or khô. For khô, mix the dry noodles with their savory dressing, then sip the clear pork-and-seafood broth from the side bowl between bites.","Hủ tiếu Mỹ Tho is often worth ordering khô, dry style, if you want the toppings and fried garlic to stand out. Ask for soup on the side so you can alternate bites and broth.","Mỹ Tho is a Mekong Delta city, and the name signals a southern rice-noodle style rather than a random topping.",Mỹ Tho and the Mekong Delta,regional-association,Often contains pork and shrimp.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-mi-hoanh-thanh,Food,Noodle soups,,false,Mì hoành thánh,Wonton egg noodle soup,Mi hoanh thanh,mee hwanh tanh,,"Mì hoành thánh is wonton egg-noodle soup, usually with pork wontons, egg noodles, chives, and broth.",egg noodles | wontons | clear broth | greens | scallions,Ask for không cay if you want Mì hoành thánh without added chili.,less spicy | extra wontons | chili on the side | extra greens,Cho tôi một tô mì hoành thánh.,I’d like one bowl of wonton egg noodle soup.,chaw toy moht toh mee hwanh tanh,"Mì hoành thánh is egg-noodle soup with wontons, a Vietnamese-Chinese shop classic. The bowl usually balances chewy yellow noodles, pork or shrimp wontons, greens, scallions, and a clear savory broth.","Taste a wonton and a spoonful of broth before adding chili oil. The best bowls have springy noodles, tender wontons, and broth that stays clean enough to sip.",Order mì hoành thánh when you want the wontons to be the point of the bowl. Ask for less chili or chili on the side if the shop adds chili oil by default.,"This is part of Vietnam’s Chinese-influenced noodle-shop language, especially visible in southern cities and older market neighborhoods.",,category-context,,menu-not-spicy | menu-less-spicy | menu-see-menu | menu-pay-now,text-only,handwritten-reviewed
food-mi-ga,Food,Noodle soups,,false,Mì gà,Chicken egg noodle soup,Mi ga,mee gah,,"Mì gà is chicken egg-noodle soup, usually with springy mì, chicken, greens, and clear broth.",egg noodles | chicken | chicken broth | greens | scallions,Ask for không cay if you want Mì gà without added chili.,less spicy | extra greens | no chili | no MSG,Cho tôi một tô mì gà.,I’d like one bowl of chicken egg noodle soup.,chaw toy moht toh mee gah,"Mì gà is chicken egg-noodle soup: yellow noodles with chicken, greens, scallions, and a broth that should taste gently of poultry and aromatics.","Lift the noodles while they are still springy, then sip the broth before adding chili. A little lime or herbs can brighten the chicken without hiding it.",Order mì gà when you want chicken but prefer chewy egg noodles over rice noodles. Ask for less chili or extra greens before the bowl is finished.,"Mì signals wheat egg noodles on many Vietnamese menus, so mì gà reads differently from phở gà or miến gà even when the protein is the same.",,category-context,,menu-not-spicy | menu-less-spicy | menu-see-menu | menu-pay-now,text-only,handwritten-reviewed
food-mien-ga,Food,Noodle soups,,false,Miến gà,Chicken glass noodle soup,Mien ga,mee-en gah,,"Miến gà is chicken glass-noodle soup, usually with slippery miến, shredded chicken, herbs, and clear broth.",glass noodles | chicken | chicken broth | scallions | pepper and herbs,"Miến means glass noodles, so expect slippery transparent noodles in chicken broth, not wheat or egg noodles.",extra herbs | less spicy | no chili | no MSG,Cho tôi một tô miến gà.,I’d like one bowl of chicken glass noodle soup.,chaw toy moht toh mee-en gah,"Miến gà is chicken glass-noodle soup, lighter and silkier than egg-noodle bowls. The translucent noodles soak up chicken broth, pepper, scallions, and herbs.","Eat the glass noodles before they soften too much, then season with pepper, lime, or chili only after tasting the broth. The clean chicken flavor should still come through.","Order miến gà when you want a lighter chicken noodle bowl. Ask for extra herbs or no chili early, and use lime carefully so the broth stays delicate.","Miến means glass noodles, a useful word for recognizing lighter soups and stir-fries across Vietnamese menus.",,category-context,,menu-not-spicy | menu-less-spicy | menu-see-menu | menu-pay-now,text-only,handwritten-reviewed
food-banh-canh-cua,Food,Noodle soups,,true,Bánh canh cua,Thick tapioca noodle soup with crab,Banh canh cua,bahn kan koo-ah,,"Bánh canh cua is thick tapioca-style noodle soup with crab, a glossy savory broth, herbs, and pepper. The noodles are chewy and spoonable, closer to udon texture than phở.",thick tapioca noodles | crab | savory broth | scallions | pepper,The broth can be slightly thick from the noodles. Ask about crab shell pieces if you want the easiest version to eat.,extra crab | quail egg | less pepper | ask about shells,Cho tôi một tô bánh canh cua.,I’d like one bowl of thick tapioca noodle soup with crab.,chaw toy moht toh bahn kan koo-ah,"Bánh canh cua is crab soup with thick chewy noodles, glossy savory broth, scallions, pepper, and crab sweetness. The noodles are part of the comfort.",Use a spoon and chopsticks together. Add pepper or chili after tasting because the crab broth can be delicate.,"Bánh canh cua comes with thick, chewy noodles and crab, so ask about shells before ordering. Extra crab or less pepper are useful tweaks, and the broth should feel savory rather than delicate.","Bánh canh cua is loved in Vietnamese noodle shops for contrast: thick chewy noodles, crab sweetness, and a broth that can feel almost stew-like compared with clearer soups.",,category-context,Contains crab.,menu-not-spicy | menu-less-spicy | menu-see-menu | menu-pay-now,text-only,handwritten-reviewed
food-banh-canh-cha-ca,Food,Noodle soups,,false,Bánh canh chả cá,Thick noodle soup with fish cakes,Banh canh cha ca,bahn kan chah kah,,Bánh canh chả cá is thick noodle soup with springy fish cakes and a light seafood broth. It is gentler than crab bánh canh but still has the chewy noodle texture.,thick tapioca noodles | fish cakes | seafood broth | scallions | pepper,"Chả cá means fish cake here. The fish is usually formed into slices or patties, not a whole fillet.",extra fish cake | less pepper | extra herbs | no chili,Cho tôi một tô bánh canh chả cá.,I’d like one bowl of thick noodle soup with fish cakes.,chaw toy moht toh bahn kan chah kah,"Bánh canh chả cá pairs thick chewy noodles with fish cakes and a light seafood broth. It is springy, gentle, and easier than many shellfish-heavy soups.","Taste a fish cake with broth before adding lime or chili. The fish cake texture should be bouncy, not flaky.","Bánh canh chả cá is the fish-cake version, so order it when you want springy fish cakes more than crab. Ask for extra chả cá or less pepper before the bowl is finished.","Chả cá can mean fish cake in many everyday menu contexts, not only the famous Hanoi turmeric fish dish.",,category-context,,menu-not-spicy | menu-less-spicy | menu-see-menu | menu-pay-now,text-only,handwritten-reviewed
food-banh-canh-gio-heo,Food,Noodle soups,,false,Bánh canh giò heo,Thick noodle soup with pork knuckle,Banh canh gio heo,bahn kan yaw heh-oh,,"Bánh canh giò heo is thick noodle soup with pork knuckle, scallions, pepper, and a rich pork broth. It is heavier and more collagen-rich than the seafood versions.",thick tapioca noodles | pork knuckle | pork broth | scallions | pepper,Giò heo means pork knuckle. Expect bones and skin; ask for an easier cut if that is not what you want.,extra herbs | less pepper | ask for leaner pork | no chili,Cho tôi một tô bánh canh giò heo.,I’d like one bowl of thick noodle soup with pork knuckle.,chaw toy moht toh bahn kan yaw heh-oh,"Bánh canh giò heo is thick noodle soup with pork knuckle, pork broth, scallions, and pepper. It is rich, chewy, and more rustic than a light chicken soup.","Expect bones, skin, and tender pork. Ask for leaner pieces if you want less collagen and easier eating.","Bánh canh giò heo is the pork-knuckle version, heavier and more collagen-rich than seafood bowls. Ask for leaner pieces or less pepper if you want the thick noodles without too much richness.","Giò heo means pork knuckle, a texture Vietnamese diners often enjoy for richness and collagen; this bowl is about chew as much as broth.",,category-context,Contains pork knuckle with bones and skin.,menu-not-spicy | menu-less-spicy | menu-see-menu | menu-pay-now,text-only,handwritten-reviewed
