rank,scenario_id,phrase_id,english_text,priority_reason,confidence,review_flag,current_status,execution_note
40,small-talk,turkish-small-talk-3,This is my first time,Low-pressure conversation line that can humanize routine interactions,low,later-only-social,deferred-lower-priority,Outcome = later-only social filler; do not reopen before an explicit hospitality expansion
41,directions,turkish-directions-1,Excuse me how do I get to the city center,Useful scaffold row but should be localized later toward landmark or station wording,low,rewrite-needed-before-translation,deferred-rewrite-needed,Outcome = rewrite-needed until a Turkey-natural landmark ferry metro or station target is chosen
42,street-food,turkish-street-food-6,A spoon and chopsticks please,Current English source does not fit Turkey-default utensil expectations,low,rewrite-needed-before-translation,deferred-rewrite-needed,Outcome = rewrite-needed until the source is rewritten toward a Turkey-natural utensil or napkin request
43,coffee-shop,turkish-coffee-shop-1,One iced milk coffee please,Useful cafe-order anchor for the iced-drink traveler path,medium,none,translated-draft,Residual-tail closure translated the iced milk coffee row
44,coffee-shop,turkish-coffee-shop-2,I would like an iced black coffee,Useful milk-free coffee variant for cafe ordering,low,none,translated-draft,Residual-tail closure translated the iced black coffee row
45,coffee-shop,turkish-coffee-shop-3,I would like an iced latte,Common cafe menu drink that rounds out familiar order coverage,low,none,translated-draft,Residual-tail closure translated the iced latte row
46,coffee-shop,turkish-coffee-shop-4,Just a little ice,Light customization phrase that pairs with the coffee rows,medium,none,translated-draft,Residual-tail closure translated the low-ice customization row
47,asking-price,turkish-asking-price-2,How much per kilo,Important produce and bulk-goods price check,medium,none,translated-draft,Residual-tail closure translated the per-kilo price question
48,asking-price,turkish-asking-price-3,Too expensive,Useful reaction line that stays short without pushing bargaining,low,none,translated-draft,Residual-tail closure translated the high-price reaction row
49,small-talk,turkish-small-talk-1,I am from the United States,Low-value social origin line outside the current utility-first starter slice,low,later-only-social,deferred-lower-priority,Outcome = later-only social filler; keep parked for a future hospitality pass
50,small-talk,turkish-small-talk-2,I am from England,Low-value social origin line outside the current utility-first starter slice,low,later-only-social,deferred-lower-priority,Outcome = later-only social filler; keep parked for a future hospitality pass
51,small-talk,turkish-small-talk-4,I like it here,Positive social filler that is not needed for the current starter utility closure,low,later-only-social,deferred-lower-priority,Outcome = later-only social filler; keep parked for a future hospitality pass
52,small-talk,turkish-small-talk-5,The food is so good,Compliment line that can wait until a later hospitality expansion,low,later-only-social,deferred-lower-priority,Outcome = later-only social filler; keep parked for a future hospitality pass
53,small-talk,turkish-small-talk-6,The weather is very hot,Low-value weather small talk that is outside the current utility-first slice,low,later-only-social,deferred-lower-priority,Outcome = later-only social filler; keep parked for a future hospitality pass
54,small-talk,turkish-small-talk-7,How are you,Friendly social opener that is not needed before the current review holdouts are closed,low,later-only-social,deferred-lower-priority,Outcome = later-only social filler; keep parked for a future hospitality pass
