item_id,menu_type,category,popular,vietnamese_item,english_translation,sound_out,at_a_glance,usually_includes,good_to_know,quick_say_vietnamese,quick_say_english,helper_phrase_ids,order_line_audio_policy,editorial_status
food-chao-long,Food,Noodle soups,false,Cháo lòng,Pork offal rice porridge,chow lawng,"Cháo lòng is pork offal rice porridge with ginger, herbs, pepper, and soft rice. It is warming and traditional, but more adventurous than chicken porridge.",rice porridge | pork offal | ginger | scallions | pepper,"Lòng means offal or organs. If you want the gentle porridge experience without organs, choose cháo gà.",Cho tôi một tô cháo lòng.,I’d like one bowl of pork offal rice porridge.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-chao-hai-san,Food,Noodle soups,false,Cháo hải sản,Seafood rice porridge,chow high sahn,"Cháo hải sản is seafood rice porridge with soft rice, ginger, scallions, pepper, and whatever seafood the shop uses. It is gentle in texture but not always simple for allergies.",rice porridge | seafood | ginger | scallions | pepper,Hải sản means seafood. Ask what seafood is inside if shellfish matters.,Cho tôi một tô cháo hải sản.,I’d like one bowl of seafood rice porridge.,menu-not-spicy | menu-less-spicy | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-bun-cha,Food,Dry noodles & vermicelli,true,Bún chả,Grilled pork with vermicelli,boon chah,"Bún chả pairs smoky grilled pork with rice vermicelli, herbs, and a warm fish-sauce dipping broth. The charm is sweet-savory pork, cool noodles, and bright herbs in the same bite.",rice vermicelli | grilled pork | fresh herbs | fish-sauce dip | pickled vegetables,"The warm dip here is fish-sauce broth balanced with sweetness, vinegar or lime, garlic, and chili.",Cho tôi một phần bún chả.,I’d like one order of grilled pork with vermicelli.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-bun-thit-nuong,Food,Dry noodles & vermicelli,true,Bún thịt nướng,Grilled pork vermicelli bowl,boon tit noong,"Bún thịt nướng is rice vermicelli with lemongrass grilled pork, usually with herbs, pickles, peanuts, scallion oil, and fish-sauce dip.",rice vermicelli | grilled pork | fresh herbs | fish-sauce dip | peanuts,"The fish-sauce dressing is meant to season the noodles, not sit untouched on the side.",Cho tôi một phần bún thịt nướng.,I’d like one order of grilled pork vermicelli bowl.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-ask-peanuts | menu-pack-to-go,text-only,handwritten-reviewed
food-bun-nem-nuong,Food,Dry noodles & vermicelli,true,Bún nem nướng,Grilled pork sausage vermicelli bowl,boon nem noong,"Bún nem nướng is rice vermicelli with grilled pork sausage, usually with herbs, peanuts, pickles, and a thick Nha Trang-style peanut-garlic dip.",rice vermicelli | grilled pork sausage | fresh herbs | thick Nha Trang-style peanut-garlic dip | crispy crunch,May contain pork.,Cho tôi một phần bún nem nướng.,I’d like one order of grilled pork sausage vermicelli bowl.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-ask-peanuts | menu-pack-to-go,text-only,handwritten-reviewed
food-bun-bo-nam-bo,Food,Dry noodles & vermicelli,true,Bún bò Nam Bộ,Southern beef vermicelli salad,boon baw nahm boh,"Bún bò Nam Bộ is southern beef noodle salad, usually with warm beef, herbs, peanuts, fried shallots, and sweet-tart fish sauce.",rice vermicelli | seared beef | fresh herbs | fish-sauce dip | peanuts or fried shallots,"The fish-sauce dressing goes over the bowl and gets tossed through the noodles, herbs, beef, peanuts, and fried shallots. Pour gradually if you want more control over sweetness and salt.",Cho tôi một phần bún bò Nam Bộ.,I’d like one order of southern beef vermicelli salad.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-ask-peanuts | menu-pack-to-go,text-only,handwritten-reviewed
food-bun-bo-xao,Food,Dry noodles & vermicelli,false,Bún bò xào,Stir-fried beef over vermicelli,boon baw sow,"Bún bò xào is stir-fried beef over cool rice vermicelli with herbs, pickles, peanuts or fried shallots, and fish-sauce dip. It is savory, bright, and built for mixing.",rice vermicelli | stir-fried beef | fresh herbs | fish-sauce dip | peanuts or fried shallots,"Start with half the fish-sauce dressing, mix, then add more if the noodles need it.",Cho tôi một phần bún bò xào.,I’d like one order of stir-fried beef over vermicelli.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-ask-peanuts | menu-pack-to-go,text-only,handwritten-reviewed
food-bun-ga-nuong,Food,Dry noodles & vermicelli,false,Bún gà nướng,Grilled chicken vermicelli bowl,boon gah noong,"Bún gà nướng is rice vermicelli with grilled chicken, usually with herbs, cucumber, pickles, peanuts, and fish-sauce dip.",rice vermicelli | grilled chicken | fresh herbs | fish-sauce dip | fried shallots,Ask for the fish-sauce dressing on the side if you want to control the sweet-salty pour over the noodles.,Cho tôi một phần bún gà nướng.,I’d like one order of grilled chicken vermicelli bowl.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-bun-cha-ca,Food,Dry noodles & vermicelli,false,Bún chả cá,Vermicelli noodles with fish cakes,boon chah kah,"Bún chả cá is rice vermicelli with springy fish cakes, herbs, fried shallots, and a light sauce or broth depending on the shop. It should taste seafood-savory, fresh, and gentle.",rice vermicelli | fish cakes | fresh herbs | fish-sauce dip or light broth | fried shallots,Contains fish; ask about bones if the shop also adds fish pieces.,Cho tôi một phần bún chả cá.,I’d like one order of vermicelli noodles with fish cakes.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-bun-dau-mam-tom,Food,Dry noodles & vermicelli,true,Bún đậu mắm tôm,Vermicelli with tofu and shrimp paste,boon dow mahm tom,"Bún đậu mắm tôm is a northern-style platter of rice vermicelli, fried tofu, herbs, and pungent shrimp-paste sauce. It is salty, vivid, and defined by the mắm tôm, a pungent fermented shrimp-paste dip.",rice vermicelli | fried tofu | fresh herbs | mắm tôm | pork optional,Mắm tôm is fermented shrimp-paste sauce with a strong aroma. Many places can offer a milder fish-sauce dip if you ask.,Cho tôi một phần bún đậu mắm tôm.,I’d like one order of vermicelli with tofu and shrimp paste.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-ask-fish-sauce | menu-pay-now,text-only,handwritten-reviewed
food-bun-mang-vit,Food,Dry noodles & vermicelli,false,Bún măng vịt,Duck and bamboo shoot vermicelli soup,boon mahng veet,"Bún măng vịt is duck and bamboo-shoot vermicelli soup, usually served with herbs and a ginger fish-sauce dip for the duck.",rice vermicelli | duck | bamboo shoots | herbs | ginger fish-sauce dip,"Duck often comes with a ginger fish-sauce dip on the side. Use it for the meat, then taste the broth before adding extra chili.",Cho tôi một tô bún măng vịt.,I’d like one bowl of duck and bamboo shoot vermicelli soup.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-cao-lau,Food,Dry noodles & vermicelli,true,Cao lầu,Hội An pork noodle dish,cow low,"Cao lầu is a Hội An noodle bowl with chewy noodles, pork, herbs, crisp bits, and a small amount of seasoned pork sauce. It is more concentrated and local-specialty than soup-like.",chewy rice noodles | pork | fresh herbs | savory pork sauce | crispy rice crackers,"Cao lầu is not a soup bowl and not a dip bowl. The shallow pork coating should cling to the thick Hội An noodles while herbs, bean sprouts, and cracklings keep each bite lively.",Cho tôi một phần cao lầu.,I’d like one order of Hội An pork noodle dish.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-mi-quang-ga,Food,Dry noodles & vermicelli,true,Mì Quảng gà,Quảng-style turmeric noodles with chicken,mee kwahng gah,"Mì Quảng gà is a Quảng Nam-style chicken noodle bowl with wide turmeric rice noodles, shallow chicken broth, herbs, peanuts, and a crisp rice cracker. It is a central-Vietnam dish, not a soup.",wide turmeric rice noodles | chicken | turmeric broth | peanuts | rice cracker,The broth is intentionally shallow and concentrated. Mix before adding lime or chili so the turmeric broth coats the noodles.,Cho tôi một tô mì Quảng gà.,I’d like one bowl of quảng-style turmeric noodles with chicken.,menu-not-spicy | menu-less-spicy | menu-ask-peanuts | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-mi-quang-tom-thit,Food,Dry noodles & vermicelli,false,Mì Quảng tôm thịt,Quảng-style turmeric noodles with shrimp and pork,mee kwahng tom tit,"Mì Quảng tôm thịt is the shrimp-and-pork version of Quảng-style turmeric noodles, with herbs, peanuts, rice cracker, and just enough broth to stain the noodles golden.",wide turmeric rice noodles | shrimp and pork | turmeric broth | peanuts | rice cracker,This commonly includes both shellfish and pork. Ask before ordering if either one matters.,Cho tôi một tô mì Quảng tôm thịt.,I’d like one bowl of quảng-style turmeric noodles with shrimp and pork.,menu-not-spicy | menu-less-spicy | menu-ask-peanuts | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-mi-xao-bo,Food,Dry noodles & vermicelli,false,Mì xào bò,Stir-fried egg noodles with beef,mee sow baw,"Mì xào bò is stir-fried egg noodles with beef, usually with greens, garlic, onion, and glossy sauce.",egg noodles | beef | fresh herbs | garlic-fish-sauce stir-fry glaze | fried shallots or crunchy topping,Ask for no chili if you want Mì xào bò mild.,Cho tôi một tô mì xào bò.,I’d like one bowl of stir-fried egg noodles with beef.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-see-menu | menu-pay-now,text-only,handwritten-reviewed
food-mi-xao-hai-san,Food,Dry noodles & vermicelli,false,Mì xào hải sản,Stir-fried egg noodles with seafood,mee sow high sahn,"Mì xào hải sản is stir-fried noodles with seafood, usually with shrimp, squid, greens, garlic, and fish-sauce-and-garlic glaze.",egg noodles | seafood | fresh herbs | garlic-fish-sauce stir-fry glaze | fried shallots or crunchy topping,Contains or may contain seafood or shellfish.,Cho tôi một tô mì xào hải sản.,I’d like one bowl of stir-fried egg noodles with seafood.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-see-menu | menu-pay-now,text-only,handwritten-reviewed
food-mi-kho,Food,Dry noodles & vermicelli,false,Mì khô,Dry egg noodles,mee koh,"Mì khô is dry egg noodles, usually with char siu or chicken, greens, sauce, and a side bowl of broth.",egg noodles | savory toppings | fried shallots | greens | side broth,"Khô means dry, but a small broth bowl often comes with it; that two-part eating style is normal.",Cho tôi một tô mì khô.,I’d like one bowl of dry egg noodles.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-see-menu | menu-pay-now,text-only,handwritten-reviewed
food-hu-tieu-kho,Food,Dry noodles & vermicelli,false,Hủ tiếu khô,Dry rice noodles,hoo tee-ew koh,"Hủ tiếu khô is dry hủ tiếu noodles, usually with minced pork, shrimp or slices, herbs, sauce, and broth on the side.",rice noodles | pork or shrimp toppings | fried shallots | savory dry noodle dressing | clear side broth,"Khô means dry-style, but the broth still matters. Many southern shops serve it on the side so you get both chewy dressed noodles and a clean pork-seafood broth.",Cho tôi một tô hủ tiếu khô.,I’d like one bowl of dry rice noodles.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-mien-xao-cua,Food,Dry noodles & vermicelli,false,Miến xào cua,Stir-fried glass noodles with crab,mee-en sow koo-ah,"Miến xào cua is glass noodles stir-fried with crab, usually with sweet crab meat, egg, onion, herbs, and pepper.",glass noodles | crab | garlic | garlic-fish-sauce stir-fry glaze | herbs,Contains or may contain seafood or shellfish.,Cho tôi một tô miến xào cua.,I’d like one bowl of stir-fried glass noodles with crab.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-mien-xao-hai-san,Food,Dry noodles & vermicelli,false,Miến xào hải sản,Stir-fried glass noodles with seafood,mee-en sow high sahn,"Miến xào hải sản is glass noodles stir-fried with seafood, usually with shrimp, squid, vegetables, and garlic.",glass noodles | seafood | garlic | garlic-fish-sauce stir-fry glaze | herbs,Contains or may contain seafood or shellfish.,Cho tôi một tô miến xào hải sản.,I’d like one bowl of stir-fried glass noodles with seafood.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-banh-hoi-thit-nuong,Food,Dry noodles & vermicelli,false,Bánh hỏi thịt nướng,Fine rice vermicelli sheets with grilled pork,bahn hoy tit noong,"Bánh hỏi thịt nướng is fine rice-noodle sheets with grilled pork, usually with scallion oil, herbs, rice paper, and fish-sauce dip.",fine rice vermicelli sheets | grilled pork | scallion oil | fresh herbs | rice paper and fish-sauce dip,May contain pork.,Cho tôi một phần bánh hỏi thịt nướng.,I’d like one order of fine rice vermicelli sheets with grilled pork.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-banh-hoi-heo-quay,Food,Dry noodles & vermicelli,false,Bánh hỏi heo quay,Fine rice vermicelli sheets with roasted pork,bahn hoy heh-oh kway,"Bánh hỏi heo quay is fine woven rice noodles with roast pork, usually with crackling heo quay, scallion oil, herbs, and fish sauce.",fine rice vermicelli sheets | roasted pork | scallion oil | fresh herbs | rice paper and fish-sauce dip,May contain pork.,Cho tôi một phần bánh hỏi heo quay.,I’d like one order of fine rice vermicelli sheets with roasted pork.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
food-com-tam-suon,Food,Rice & sticky rice,true,Cơm tấm sườn,Broken rice with grilled pork chop,kum tahm swoon,"Cơm tấm sườn is a classic southern broken-rice plate with grilled pork chop, scallion oil, pickles, cucumber, and a sweet-savory nước mắm dressing.",broken rice | grilled pork chop | scallion oil | pickles and cucumber | nước mắm dressing,"The small bowl is usually sweet-savory nước mắm dressing. Pour it over the rice and pork a little at a time so the grains stay glossy, not flooded.",Cho tôi một phần cơm tấm sườn.,I’d like one order of broken rice with grilled pork chop.,menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-ask-fish-sauce | menu-pack-to-go,text-only,handwritten-reviewed
food-com-tam-bi-cha-suon,Food,Rice & sticky rice,true,Cơm tấm bì chả sườn,"Broken rice with pork chop, shredded pork, and egg meatloaf",kum tahm bee chah swoon,"Cơm tấm bì chả sườn is a loaded broken-rice plate: grilled pork chop, shredded pork skin, steamed egg meatloaf, pickles, scallion oil, and fish-sauce dressing.",broken rice | grilled pork chop | shredded pork skin | egg meatloaf | fish-sauce dressing,Bì is shredded pork skin with toasted rice powder; chả is the steamed egg-and-pork loaf.,Cho tôi một phần cơm tấm bì chả sườn.,"I’d like one order of broken rice with pork chop, shredded pork, and egg meatloaf.",menu-not-spicy | menu-less-spicy | menu-sauce-on-side | menu-pack-to-go | menu-pay-now,text-only,handwritten-reviewed
