phrase_id,scenario_id,family_id,family_title,english_text,target_text,pronunciation,audio_key,audio_status,status,context,search_aliases,notes
,polite-basics,v500-poli-basi-okay,Okay,Okay,Đồng ý,Dong y,v500-poli-basi-okay,ready,approved,Use this in short everyday travel exchanges when you want to stay polite without overexplaining.,okay,"autonomous-500 from cleanup: Essentials & Politeness / Yes, No & Permissions / keep_as_is; selected as premium fill"
,polite-basics,v500-poli-basi-sorry,Sorry,Sorry,Lấy làm tiếc,Lay lam tiec,v500-poli-basi-sorry,ready,approved,Use this in short everyday travel exchanges when you want to stay polite without overexplaining.,sorry,autonomous-500 from cleanup: Essentials & Politeness / Thanks & Apologies / keep_as_is; selected as premium fill
,polite-basics,v500-poli-basi-excuse-me,Excuse me,Excuse me,Xin lỗi,Xin loi,v500-poli-basi-excuse-me,ready,approved,Use this in short everyday travel exchanges when you want to stay polite without overexplaining.,excuse me,autonomous-500 from cleanup: Essentials & Politeness / Greetings & Starts / keep_as_is; selected as premium fill
,polite-basics,v500-poli-basi-i-need-this,I need this,I need this,tôi cần cái này,toi can cai nay,v500-poli-basi-i-need-this,ready,approved,Use this in short everyday travel exchanges when you want to stay polite without overexplaining.,i need this,autonomous-500 from cleanup: Essentials & Politeness / Simple Needs / keep_as_is; selected as premium fill
,polite-basics,v500-poli-basi-thats-okay,That’s okay,That’s okay,Không sao đâu,Khong sao dau,v500-poli-basi-thats-okay,ready,approved,Use this in short everyday travel exchanges when you want to stay polite without overexplaining.,that’s okay|that s okay,autonomous-500 from cleanup: Essentials & Politeness / Closings & Politeness Repair / keep_as_is; selected as premium fill
,understanding-repair,v500-unde-repa-please-point-to-it,Please point to it,Please point to it,Hãy chỉ vào nó,Hay chi vao no,v500-unde-repa-please-point-to-it,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,please point to it,"autonomous-500 from cleanup: Language Repair & Clarifying / Write, Show & Point / keep_as_is; selected as premium fill"
,understanding-repair,v500-unde-repa-is-that-per-person,Is that per person,Is that per person?,Đó có phải là mỗi người?,Do co phai la moi nguoi,v500-unde-repa-is-that-per-person,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,is that per person?|is that per person,"autonomous-500 from cleanup: Language Repair & Clarifying / Numbers, Names & Details / keep_as_is; selected as premium fill"
,understanding-repair,v500-unde-repa-please-mark-it-here,Please mark it here,Please mark it here,Hãy đánh dấu nó ở đây,Hay danh dau no o day,v500-unde-repa-please-mark-it-here,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,please mark it here,"autonomous-500 from cleanup: Language Repair & Clarifying / Write, Show & Point / keep_as_is; selected as premium fill"
,understanding-repair,v500-unde-repa-is-that-good-or-bad,Is that good or bad,Is that good or bad?,Điều đó tốt hay xấu?,Dieu do tot hay xau,v500-unde-repa-is-that-good-or-bad,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,is that good or bad?|is that good or bad,autonomous-500 from cleanup: Language Repair & Clarifying / Understand & Meaning / keep_as_is; selected as premium fill
,understanding-repair,v500-unde-repa-do-you-mean-this-one,Do you mean this one,Do you mean this one?,Ý bạn là cái này phải không?,Y ban la cai nay phai khong,v500-unde-repa-do-you-mean-this-one,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,do you mean this one?|do you mean this one,autonomous-500 from cleanup: Language Repair & Clarifying / Understand & Meaning / keep_as_is; selected as premium fill
,understanding-repair,v500-unde-repa-i-understand-a-little,I understand a little,I understand a little,Tôi hiểu một chút,Toi hieu mot chut,v500-unde-repa-i-understand-a-little,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,i understand a little,autonomous-500 from cleanup: Language Repair & Clarifying / Understand & Meaning / keep_as_is; selected as premium fill
,understanding-repair,v500-unde-repa-i-missed-what-you-said,I missed what you said,I missed what you said,Tôi đã bỏ lỡ những gì bạn nói,Toi da bo lo nhung gi ban noi,v500-unde-repa-i-missed-what-you-said,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,i missed what you said,autonomous-500 from cleanup: Language Repair & Clarifying / Repeat & Slow Down / keep_as_is; selected as premium fill
,understanding-repair,v500-unde-repa-okay-now-i-understand,"Okay, now I understand","Okay, now I understand","Được rồi, bây giờ tôi đã hiểu",Duoc roi bay gio toi da hieu,v500-unde-repa-okay-now-i-understand,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,"okay, now i understand|okay now i understand",autonomous-500 from cleanup: Language Repair & Clarifying / Understand & Meaning / keep_as_is; selected as premium fill
,understanding-repair,v500-unde-repa-can-you-spell-the-name,Can you spell the name,Can you spell the name?,Bạn có thể đánh vần tên được không?,Ban co the danh van ten duoc khong,v500-unde-repa-can-you-spell-the-name,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,can you spell the name?|can you spell the name,"autonomous-500 from cleanup: Language Repair & Clarifying / Numbers, Names & Details / keep_as_is; selected as premium fill"
,understanding-repair,v500-unde-repa-can-you-write-the-time,Can you write the time,Can you write the time?,Bạn có thể viết thời gian được không?,Ban co the viet thoi gian duoc khong,v500-unde-repa-can-you-write-the-time,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,can you write the time?|can you write the time,"autonomous-500 from cleanup: Language Repair & Clarifying / Numbers, Names & Details / keep_as_is; selected as premium fill"
,understanding-repair,v500-unde-repa-let-me-show-you-instead,Let me show you instead,Let me show you instead,Thay vào đó hãy để tôi chỉ cho bạn,Thay vao do hay de toi chi cho ban,v500-unde-repa-let-me-show-you-instead,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,let me show you instead,autonomous-500 from cleanup: Language Repair & Clarifying / Repair When Stuck / keep_as_is; selected as premium fill
,understanding-repair,v500-unde-repa-can-you-write-the-price,Can you write the price,Can you write the price?,Bạn có thể viết giá được không?,Ban co the viet gia duoc khong,v500-unde-repa-can-you-write-the-price,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,can you write the price?|can you write the price,"autonomous-500 from cleanup: Language Repair & Clarifying / Numbers, Names & Details / keep_as_is; selected as premium fill"
,understanding-repair,v500-unde-repa-is-that-the-final-total,Is that the final total,Is that the final total?,Đó có phải là tổng số cuối cùng?,Do co phai la tong so cuoi cung,v500-unde-repa-is-that-the-final-total,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,is that the final total?|is that the final total,"autonomous-500 from cleanup: Language Repair & Clarifying / Numbers, Names & Details / keep_as_is; selected as premium fill"
,understanding-repair,v500-unde-repa-that-is-not-what-i-meant,That is not what I meant,That is not what I meant,Đó không phải là ý tôi,Do khong phai la y toi,v500-unde-repa-that-is-not-what-i-meant,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,that is not what i meant,autonomous-500 from cleanup: Language Repair & Clarifying / Repair When Stuck / keep_as_is; selected as premium fill
,understanding-repair,v500-unde-repa-is-this-the-right-number,Is this the right number,Is this the right number?,Đây có phải là con số đúng không?,Day co phai la con so dung khong,v500-unde-repa-is-this-the-right-number,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,is this the right number?|is this the right number,"autonomous-500 from cleanup: Language Repair & Clarifying / Numbers, Names & Details / keep_as_is; selected as premium fill"
,understanding-repair,v500-unde-repa-please-be-patient-with-me,Please be patient with me,Please be patient with me,Xin hãy kiên nhẫn với tôi,Xin hay kien nhan voi toi,v500-unde-repa-please-be-patient-with-me,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,please be patient with me,autonomous-500 from cleanup: Language Repair & Clarifying / Repair When Stuck / keep_as_is; selected as premium fill
,understanding-repair,v500-unde-repa-can-you-show-me-a-picture,Can you show me a picture,Can you show me a picture?,Bạn có thể cho tôi xem một bức ảnh được không?,Ban co the cho toi xem mot buc anh duoc khong,v500-unde-repa-can-you-show-me-a-picture,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,can you show me a picture?|can you show me a picture,"autonomous-500 from cleanup: Language Repair & Clarifying / Write, Show & Point / keep_as_is; selected as premium fill"
,understanding-repair,v500-unde-repa-can-you-write-the-address,Can you write the address,Can you write the address?,Bạn có thể viết địa chỉ được không?,Ban co the viet dia chi duoc khong,v500-unde-repa-can-you-write-the-address,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,can you write the address?|can you write the address,"autonomous-500 from cleanup: Language Repair & Clarifying / Write, Show & Point / keep_as_is; selected as premium fill"
,understanding-repair,v500-unde-repa-please-speak-into-my-phone,Please speak into my phone,Please speak into my phone,Hãy nói vào điện thoại của tôi,Hay noi vao dien thoai cua toi,v500-unde-repa-please-speak-into-my-phone,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,please speak into my phone,autonomous-500 from cleanup: Language Repair & Clarifying / English Help & Translation / keep_as_is; selected as premium fill
,understanding-repair,v500-unde-repa-please-show-me-where-to-tap,Please show me where to tap,Please show me where to tap,Vui lòng chỉ cho tôi nơi để nhấn,Vui long chi cho toi noi de nhan,v500-unde-repa-please-show-me-where-to-tap,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,please show me where to tap,"autonomous-500 from cleanup: Language Repair & Clarifying / Write, Show & Point / keep_as_is; selected as premium fill"
,understanding-repair,v500-unde-repa-thank-you-for-understanding,Thank you for understanding,Thank you for understanding,Cảm ơn bạn đã hiểu,Cam on ban da hieu,v500-unde-repa-thank-you-for-understanding,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,thank you for understanding,autonomous-500 from cleanup: Language Repair & Clarifying / Repair When Stuck / keep_as_is; selected as premium fill
,understanding-repair,v500-unde-repa-can-i-use-a-translation-app,Can I use a translation app,Can I use a translation app?,Tôi có thể sử dụng ứng dụng dịch thuật không?,Toi co the su dung ung dung dich thuat khong,v500-unde-repa-can-i-use-a-translation-app,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,can i use a translation app?|can i use a translation app,autonomous-500 from cleanup: Language Repair & Clarifying / English Help & Translation / keep_as_is; selected as premium fill
,understanding-repair,v500-unde-repa-i-dont-understand-this-word,I don’t understand this word,I don’t understand this word,Tôi không hiểu từ này,Toi khong hieu tu nay,v500-unde-repa-i-dont-understand-this-word,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,i don’t understand this word|i don t understand this word,autonomous-500 from cleanup: Language Repair & Clarifying / Understand & Meaning / keep_as_is; selected as premium fill
,understanding-repair,v500-unde-repa-is-this-translation-correct,Is this translation correct,Is this translation correct?,Bản dịch này có đúng không?,Ban dich nay co dung khong,v500-unde-repa-is-this-translation-correct,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,is this translation correct?|is this translation correct,autonomous-500 from cleanup: Language Repair & Clarifying / English Help & Translation / keep_as_is; selected as premium fill
,understanding-repair,v500-unde-repa-can-you-repeat-the-last-part,Can you repeat the last part,Can you repeat the last part?,Bạn có thể nhắc lại phần cuối được không?,Ban co the nhac lai phan cuoi duoc khong,v500-unde-repa-can-you-repeat-the-last-part,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,can you repeat the last part?|can you repeat the last part,autonomous-500 from cleanup: Language Repair & Clarifying / Repeat & Slow Down / keep_as_is; selected as premium fill
,understanding-repair,v500-unde-repa-is-this-the-place-on-the-map,Is this the place on the map,Is this the place on the map?,Đây có phải là địa điểm trên bản đồ không?,Day co phai la dia diem tren ban do khong,v500-unde-repa-is-this-the-place-on-the-map,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,is this the place on the map?|is this the place on the map,"autonomous-500 from cleanup: Language Repair & Clarifying / Write, Show & Point / keep_rewrite; selected as premium fill"
,understanding-repair,v500-unde-repa-please-type-it-into-my-phone,Please type it into my phone,Please type it into my phone.,Hãy gõ nó vào điện thoại của tôi.,Hay go no vao dien thoai cua toi,v500-unde-repa-please-type-it-into-my-phone,ready,approved,Use this when the conversation is stuck and you need a clearer next step fast.,please type it into my phone.|please type it into my phone,"autonomous-500 from cleanup: Language Repair & Clarifying / Write, Show & Point / keep_rewrite; selected as premium fill"
,transport,v500-tran-do-you-have-a-helmet,Do you have a helmet,Do you have a helmet?,Bạn có mũ bảo hiểm không?,Ban co mu bao hiem khong,v500-tran-do-you-have-a-helmet,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",do you have a helmet?|do you have a helmet,"autonomous-500 from cleanup: Getting Around / Motorbike, Boat & Rentals / keep_as_is; selected as premium fill"
,transport,v500-tran-please-let-me-out-here,Please let me out here,Please let me out here,Xin vui lòng cho tôi ra khỏi đây,Xin vui long cho toi ra khoi day,v500-tran-please-let-me-out-here,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",please let me out here,autonomous-500 from cleanup: Getting Around / Transport Problems & Recovery / keep_as_is; selected as premium fill
,transport,v500-tran-does-this-bus-go-there,Does this bus go there,Does this bus go there?,Xe buýt này có đi đến đó không?,Xe buyt nay co di den do khong,v500-tran-does-this-bus-go-there,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",does this bus go there?|does this bus go there,"autonomous-500 from cleanup: Getting Around / Bus, Train & Metro / keep_rewrite; selected as premium fill"
,transport,v500-tran-i-feel-unsafe-please-stop,"I feel unsafe, please stop","I feel unsafe, please stop","Tôi cảm thấy không an toàn, xin hãy dừng lại",Toi cam thay khong an toan xin hay dung lai,v500-tran-i-feel-unsafe-please-stop,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.","i feel unsafe, please stop|i feel unsafe please stop",autonomous-500 from cleanup: Getting Around / Transport Problems & Recovery / keep_as_is; selected as premium fill
,transport,v500-tran-i-left-something-in-the-car,I left something in the car,I left something in the car,Tôi để quên thứ gì đó trong xe,Toi de quen thu gi do trong xe,v500-tran-i-left-something-in-the-car,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",i left something in the car,autonomous-500 from cleanup: Getting Around / Transport Problems & Recovery / keep_as_is; selected as premium fill
,transport,v500-tran-please-take-me-to-this-hotel,Please take me to this hotel,Please take me to this hotel,Vui lòng đưa tôi đến khách sạn này,Vui long dua toi den khach san nay,v500-tran-please-take-me-to-this-hotel,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",please take me to this hotel,autonomous-500 from cleanup: Getting Around / Taxi & Ride-Hailing / keep_as_is; selected as premium fill
,transport,v500-tran-i-will-pay-the-driver-in-cash,I will pay the driver in cash,I will pay the driver in cash,Tôi sẽ trả tiền mặt cho tài xế,Toi se tra tien mat cho tai xe,v500-tran-i-will-pay-the-driver-in-cash,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",i will pay the driver in cash,autonomous-500 from cleanup: Getting Around / Taxi & Ride-Hailing / keep_as_is; selected as premium fill
,transport,v500-tran-is-this-my-car,Is this my car,Is this my car?,Đây có phải là xe của tôi không?,Day co phai la xe cua toi khong,v500-tran-is-this-my-car,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",is this my car?|is this my car,autonomous-500 from cleanup: Getting Around / Taxi & Ride-Hailing / keep_as_is; selected as premium fill
,transport,v500-tran-i-missed-my-stop,I missed my stop,I missed my stop,Tôi đã bỏ lỡ điểm dừng của mình,Toi da bo lo diem dung cua minh,v500-tran-i-missed-my-stop,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",i missed my stop,"autonomous-500 from cleanup: Getting Around / Bus, Train & Metro / keep_as_is; selected as premium fill"
,transport,v500-tran-please-wait-here,Please wait here,Please wait here,Xin vui lòng đợi ở đây,Xin vui long doi o day,v500-tran-please-wait-here,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",please wait here,"autonomous-500 from cleanup: Getting Around / Comfort, Waiting & Stops / keep_as_is; selected as premium fill"
,transport,v500-tran-are-you-my-driver,Are you my driver,Are you my driver?,Bạn là tài xế của tôi à?,Ban la tai xe cua toi a,v500-tran-are-you-my-driver,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",are you my driver?|are you my driver,autonomous-500 from cleanup: Getting Around / Taxi & Ride-Hailing / keep_as_is; selected as premium fill
,transport,v500-tran-please-go-straight,Please go straight,Please go straight,Hãy đi thẳng,Hay di thang,v500-tran-please-go-straight,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",please go straight,autonomous-500 from cleanup: Getting Around / Destination & Routing / keep_as_is; selected as premium fill
,transport,transport-turn-around,Tell the driver to turn around,Please go back the other way,Xin hãy quay lại theo hướng khác,Xin hay quay lai theo huong khac,v500-tran-please-turn-around,ready,approved,Use this when the driver needs to reverse direction instead of continuing ahead.,go back the other way|turn around,autonomous-500 duplicate cleanup: merged into transport-turn-around as a non-primary variant during the 900-family pass
,transport,v900-tran-pick-me-up-at-this-entrance,Pick me up at this entrance,Please pick me up at this entrance,Hãy đón tôi ở lối vào này,Hay don toi o loi vao nay,v900-tran-pick-me-up-at-this-entrance,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",pick me up at this entrance|pickup entrance,manual 900 duplicate replacement: added after cleaning duplicate turn-around anchor
,transport,v500-tran-please-drive-slower,Please drive slower,Please drive slower,Xin hãy lái xe chậm lại,Xin hay lai xe cham lai,v500-tran-please-drive-slower,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",please drive slower,"autonomous-500 from cleanup: Getting Around / Comfort, Waiting & Stops / keep_as_is; selected as premium fill"
,transport,v500-tran-please-follow-the-map,Please follow the map,Please follow the map,Hãy đi theo bản đồ,Hay di theo ban do,v500-tran-please-follow-the-map,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",please follow the map,autonomous-500 from cleanup: Getting Around / Taxi & Ride-Hailing / keep_as_is; selected as premium fill
,transport,v500-tran-please-open-the-trunk,Please open the trunk,Please open the trunk,Vui lòng mở cốp xe,Vui long mo cop xe,v500-tran-please-open-the-trunk,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",please open the trunk,autonomous-500 from cleanup: Getting Around / Taxi & Ride-Hailing / keep_as_is; selected as premium fill
,transport,v500-tran-when-is-the-next-bus,When is the next bus,When is the next bus?,Khi nào có chuyến xe buýt tiếp theo?,Khi nao co chuyen xe buyt tiep theo,v500-tran-when-is-the-next-bus,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",when is the next bus?|when is the next bus,"autonomous-500 from cleanup: Getting Around / Bus, Train & Metro / keep_as_is; selected as premium fill"
,transport,v500-tran-where-do-i-return-it,Where do I return it,Where do I return it?,Tôi có thể trả lại nó ở đâu?,Toi co the tra lai no o dau,v500-tran-where-do-i-return-it,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",where do i return it?|where do i return it,"autonomous-500 from cleanup: Getting Around / Motorbike, Boat & Rentals / keep_as_is; selected as premium fill"
,transport,v500-tran-can-i-put-my-bag-here,Can I put my bag here,Can I put my bag here?,Tôi có thể đặt túi của tôi ở đây được không?,Toi co the dat tui cua toi o day duoc khong,v500-tran-can-i-put-my-bag-here,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",can i put my bag here?|can i put my bag here,"autonomous-500 from cleanup: Getting Around / Bus, Train & Metro / keep_as_is; selected as premium fill"
,transport,v500-tran-i-got-on-the-wrong-bus,I got on the wrong bus,I got on the wrong bus,Tôi lên nhầm xe buýt,Toi len nham xe buyt,v500-tran-i-got-on-the-wrong-bus,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",i got on the wrong bus,"autonomous-500 from cleanup: Getting Around / Bus, Train & Metro / keep_as_is; selected as premium fill"
,transport,v500-tran-is-this-train-delayed,Is this train delayed,Is this train delayed?,Chuyến tàu này có bị trễ không?,Chuyen tau nay co bi tre khong,v500-tran-is-this-train-delayed,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",is this train delayed?|is this train delayed,"autonomous-500 from cleanup: Getting Around / Bus, Train & Metro / keep_as_is; selected as premium fill"
,transport,v500-tran-please-call-the-driver,Please call the driver,Please call the driver,Vui lòng gọi tài xế,Vui long goi tai xe,v500-tran-please-call-the-driver,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",please call the driver,autonomous-500 from cleanup: Getting Around / Transport Problems & Recovery / keep_as_is; selected as premium fill
,transport,v500-tran-please-drive-carefully,Please drive carefully,Please drive carefully,Hãy lái xe cẩn thận,Hay lai xe can than,v500-tran-please-drive-carefully,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",please drive carefully,"autonomous-500 from cleanup: Getting Around / Comfort, Waiting & Stops / keep_as_is; selected as premium fill"
,transport,v500-tran-please-lower-the-music,Please lower the music,Please lower the music,Làm ơn giảm nhạc đi,Lam on giam nhac di,v500-tran-please-lower-the-music,ready,approved,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",please lower the music,"autonomous-500 from cleanup: Getting Around / Comfort, Waiting & Stops / keep_as_is; selected as premium fill"
,hotel-accommodation,v500-hote-acco-the-electricity-is-out,The electricity is out,The electricity is out,Điện đã hết,Dien da het,v500-hote-acco-the-electricity-is-out,ready,approved,Use this at the front desk or in the room when you need the hotel to fix the next step.,the electricity is out,autonomous-500 from cleanup: Hotel & Accommodation / Room Problems / keep_as_is; selected as premium fill
,hotel-accommodation,v500-hote-acco-can-someone-come-fix-it,Can someone come fix it,Can someone come fix it?,Ai đó có thể đến sửa nó được không?,Ai do co the den sua no duoc khong,v500-hote-acco-can-someone-come-fix-it,ready,approved,Use this at the front desk or in the room when you need the hotel to fix the next step.,can someone come fix it?|can someone come fix it,autonomous-500 from cleanup: Hotel & Accommodation / Room Problems / keep_as_is; selected as premium fill
,hotel-accommodation,v500-hote-acco-the-toilet-is-not-working,The toilet is not working,The toilet is not working,Nhà vệ sinh không hoạt động,Nha ve sinh khong hoat dong,v500-hote-acco-the-toilet-is-not-working,ready,approved,Use this at the front desk or in the room when you need the hotel to fix the next step.,the toilet is not working,autonomous-500 from cleanup: Hotel & Accommodation / Room Problems / keep_as_is; selected as premium fill
,hotel-accommodation,v500-hote-acco-here-is-my-passport-for-check-in,Here is my passport for check-in,Here is my passport for check-in,Đây là hộ chiếu của tôi để nhận phòng,Day la ho chieu cua toi de nhan phong,v500-hote-acco-here-is-my-passport-for-check-in,ready,approved,Use this at the front desk or in the room when you need the hotel to fix the next step.,here is my passport for check-in|here is my passport for check in,autonomous-500 from cleanup: Hotel & Accommodation / Check-In & Reservation / keep_as_is; selected as premium fill
,hotel-accommodation,v500-hote-acco-can-i-pay-now,Can I pay now,Can I pay now?,Tôi có thể thanh toán bây giờ được không?,Toi co the thanh toan bay gio duoc khong,v500-hote-acco-can-i-pay-now,ready,approved,Use this at the front desk or in the room when you need the hotel to fix the next step.,can i pay now?|can i pay now,"autonomous-500 from cleanup: Hotel & Accommodation / Checkout, Extensions & Payment / keep_as_is; selected as premium fill"
,hotel-accommodation,v500-hote-acco-i-booked-online,I booked online,I booked online,Tôi đã đặt trực tuyến,Toi da dat truc tuyen,v500-hote-acco-i-booked-online,ready,approved,Use this at the front desk or in the room when you need the hotel to fix the next step.,i booked online,autonomous-500 from cleanup: Hotel & Accommodation / Check-In & Reservation / keep_as_is; selected as premium fill
,hotel-accommodation,v500-hote-acco-can-i-change-rooms,Can I change rooms,Can I change rooms?,Tôi có thể đổi phòng được không?,Toi co the doi phong duoc khong,v500-hote-acco-can-i-change-rooms,ready,approved,Use this at the front desk or in the room when you need the hotel to fix the next step.,can i change rooms?|can i change rooms,autonomous-500 from cleanup: Hotel & Accommodation / Room Problems / keep_as_is; selected as premium fill
,hotel-accommodation,v500-hote-acco-can-i-have-an-iron,Can I have an iron,Can I have an iron?,Tôi có thể có một cái bàn ủi được không?,Toi co the co mot cai ban ui duoc khong,v500-hote-acco-can-i-have-an-iron,ready,approved,Use this at the front desk or in the room when you need the hotel to fix the next step.,can i have an iron?|can i have an iron,autonomous-500 from cleanup: Hotel & Accommodation / Housekeeping & Supplies / keep_as_is; selected as premium fill
,hotel-accommodation,v500-hote-acco-can-i-check-in-early,Can I check in early,Can I check in early?,Tôi có thể nhận phòng sớm được không?,Toi co the nhan phong som duoc khong,v500-hote-acco-can-i-check-in-early,ready,approved,Use this at the front desk or in the room when you need the hotel to fix the next step.,can i check in early?|can i check in early,autonomous-500 from cleanup: Hotel & Accommodation / Check-In & Reservation / keep_as_is; selected as premium fill
,hotel-accommodation,v500-hote-acco-can-i-check-out-late,Can I check out late,Can I check out late?,Tôi có thể trả phòng muộn được không?,Toi co the tra phong muon duoc khong,v500-hote-acco-can-i-check-out-late,ready,approved,Use this at the front desk or in the room when you need the hotel to fix the next step.,can i check out late?|can i check out late,"autonomous-500 from cleanup: Hotel & Accommodation / Checkout, Extensions & Payment / keep_as_is; selected as premium fill"
,hotel-accommodation,v500-hote-acco-can-i-have-more-soap,Can I have more soap,Can I have more soap?,Tôi có thể lấy thêm xà phòng được không?,Toi co the lay them xa phong duoc khong,v500-hote-acco-can-i-have-more-soap,ready,approved,Use this at the front desk or in the room when you need the hotel to fix the next step.,can i have more soap?|can i have more soap,autonomous-500 from cleanup: Hotel & Accommodation / Housekeeping & Supplies / keep_as_is; selected as premium fill
,hotel-accommodation,v500-hote-acco-the-room-is-not-clean,The room is not clean,The room is not clean,Phòng không sạch sẽ,Phong khong sach se,v500-hote-acco-the-room-is-not-clean,ready,approved,Use this at the front desk or in the room when you need the hotel to fix the next step.,the room is not clean,"autonomous-500 from cleanup: Hotel & Accommodation / Complaints, Changes & Refunds / keep_as_is; selected as premium fill"
,hotel-accommodation,hotel-too-noisy,Say the room is too noisy,I cannot sleep because it is too noisy,Tôi không thể ngủ được vì quá ồn ào,Toi khong the ngu duoc vi qua on ao,v500-hote-acco-the-room-is-too-noisy,ready,approved,"Use this when outside noise, neighbors, or hotel noise is making the room unusable.",cannot sleep because of the noise|too noisy to sleep,autonomous-500 duplicate cleanup: merged into hotel-too-noisy as a clearer non-primary variant during the 900-family pass
,hotel-accommodation,hotel-no-hot-water,Report that there is no hot water,The shower only has cold water,Vòi sen chỉ có nước lạnh,Voi sen chi co nuoc lanh,v500-hote-acco-there-is-no-hot-water,ready,approved,Use this when the shower or sink water is cold and you need the hotel to fix it.,cold water only|shower only has cold water,autonomous-500 duplicate cleanup: merged into hotel-no-hot-water as a clearer non-primary variant during the 900-family pass
,hotel-accommodation,v900-hote-acco-the-shower-is-not-working,The shower is not working,The shower is not working,Vòi hoa sen không hoạt động,Voi hoa sen khong hoat dong,v900-hote-acco-the-shower-is-not-working,ready,approved,Use this at the front desk or in the room when you need the hotel to fix the next step.,the shower is not working|broken shower,manual 900 duplicate replacement: added after cleaning duplicate hotel anchor
,hotel-accommodation,v900-hote-acco-the-water-pressure-is-too-low,The water pressure is too low,The water pressure is too low,Áp lực nước quá thấp,Ap luc nuoc qua thap,v900-hote-acco-the-water-pressure-is-too-low,ready,approved,Use this at the front desk or in the room when you need the hotel to fix the next step.,water pressure too low|low water pressure,manual 900 duplicate replacement: added after cleaning duplicate hotel anchor
,hotel-accommodation,v500-hote-acco-do-you-need-a-deposit,Do you need a deposit,Do you need a deposit?,Bạn có cần đặt cọc không?,Ban co can dat coc khong,v500-hote-acco-do-you-need-a-deposit,ready,approved,Use this at the front desk or in the room when you need the hotel to fix the next step.,do you need a deposit?|do you need a deposit,autonomous-500 from cleanup: Hotel & Accommodation / Check-In & Reservation / keep_as_is; selected as premium fill
,hotel-accommodation,v500-hote-acco-is-breakfast-included,Is breakfast included,Is breakfast included?,Có bao gồm bữa sáng không?,Co bao gom bua sang khong,v500-hote-acco-is-breakfast-included,ready,approved,Use this at the front desk or in the room when you need the hotel to fix the next step.,is breakfast included?|is breakfast included,autonomous-500 from cleanup: Hotel & Accommodation / Check-In & Reservation / keep_as_is; selected as premium fill
