place_catalog_id,city_id,city_name,vietnamese_name,english_name,kind,place_kind,source_notes,target_hero_image
hanoi-national-museum-history,hanoi,Hanoi,Bảo tàng Lịch sử Quốc gia,Vietnam National Museum of History,museum,museum,Hanoi tourism portal,HeroCityHanoiPlaceNationalMuseumHistory
hanoi-nem-cua-be,hanoi,Hanoi,Nem cua bể ở Hà Nội,Crab spring rolls,dish,dish,MICHELIN Hanoi guide,HeroCityHanoiPlaceNemCuaBe
hanoi-ngoc-son-temple,hanoi,Hanoi,Đền Ngọc Sơn,Ngoc Son Temple,landmark,landmark,Vietnam Travel Hanoi; Hanoi tourism portal,HeroCityHanoiPlaceNgocSonTemple
hanoi-nguyen-huu-huan-street,hanoi,Hanoi,Phố Nguyễn Hữu Huân,Nguyen Huu Huan Street,street,street,MICHELIN Hanoi guide,HeroCityHanoiPlaceNguyenHuuHuanStreet
hanoi-night-market-walk,hanoi,Hanoi,Đi chợ đêm phố cổ,Old Quarter night market walk,market,market,Vietnam Travel Hanoi,HeroCityHanoiPlaceNightMarketWalk
hanoi-noi-bai-airport,hanoi,Hanoi,Sân bay Nội Bài,Noi Bai International Airport,airport,airport,Vietnam Travel Hanoi; Hanoi tourism portal,HeroCityHanoiPlaceNoiBaiAirport
hanoi-nuoc-ngam-bus-station,hanoi,Hanoi,Bến xe Nước Ngầm,Nuoc Ngam Bus Station,station,station,place-name only,HeroCityHanoiPlaceNuocNgamBusStation
hanoi-old-quarter,hanoi,Hanoi,Phố cổ Hà Nội,Old Quarter,neighborhood,neighborhood,Vietnam Travel Hanoi,HeroCityHanoiPlaceOldQuarter
hanoi-old-quarter-walking-tour,hanoi,Hanoi,Tuyến đi bộ Phố cổ,Old Quarter walking route,experience,experience,Vietnam Travel Hanoi,HeroCityHanoiPlaceOldQuarterWalkingTour
hanoi-one-pillar-pagoda,hanoi,Hanoi,Chùa Một Cột,One Pillar Pagoda,landmark,landmark,Hanoi tourism portal; Vietnam Travel Hanoi,HeroCityHanoiPlaceOnePillarPagoda
hanoi-opera-house,hanoi,Hanoi,Nhà hát Lớn Hà Nội,Hanoi Opera House,experience,experience,Hanoi tourism portal,HeroCityHanoiPlaceOperaHouse
hanoi-phan-dinh-phung-street,hanoi,Hanoi,Phố Phan Đình Phùng,Phan Dinh Phung Street,street,street,Hanoi tourism portal,HeroCityHanoiPlacePhanDinhPhungStreet
hanoi-pho-bat-dan,hanoi,Hanoi,Phở Bát Đàn,Pho Bat Dan,restaurant,restaurant,place-name only,HeroCityHanoiPlacePhoBatDan
hanoi-pho-bo,hanoi,Hanoi,Phở bò ở Hà Nội,Beef pho,dish,dish,Vietnam Travel Hanoi; MICHELIN Hanoi guide,HeroCityHanoiPlacePhoBo
hanoi-pho-bo-lam,hanoi,Hanoi,Phở Bò Lâm,Pho Bo Lam,restaurant,restaurant,MICHELIN Vietnam 2025; MICHELIN Hanoi guide,HeroCityHanoiPlacePhoBoLam
hanoi-pho-ga,hanoi,Hanoi,Phở gà ở Hà Nội,Chicken pho,dish,dish,place-name only,HeroCityHanoiPlacePhoGa
hanoi-pho-gia-truyen,hanoi,Hanoi,Phở Gia Truyền,Pho Gia Truyen,restaurant,restaurant,MICHELIN Hanoi guide,HeroCityHanoiPlacePhoGiaTruyen
hanoi-quan-thanh-temple,hanoi,Hanoi,Đền Quán Thánh,Quan Thanh Temple,landmark,landmark,Hanoi tourism portal,HeroCityHanoiPlaceQuanThanhTemple
hanoi-quang-ba-flower-market,hanoi,Hanoi,Chợ hoa Quảng Bá,Quang Ba Flower Market,market,market,Hanoi tourism portal,HeroCityHanoiPlaceQuangBaFlowerMarket
hanoi-red-river,hanoi,Hanoi,Sông Hồng,Red River,river,river,Hanoi tourism portal,HeroCityHanoiPlaceRedRiver
hanoi-st-joseph-cathedral,hanoi,Hanoi,Nhà thờ Lớn Hà Nội,St. Joseph's Cathedral,landmark,landmark,Hanoi tourism portal,HeroCityHanoiPlaceStJosephCathedral
hanoi-street-food-walk,hanoi,Hanoi,Đi bộ ăn vặt Hà Nội,Hanoi street-food walk,experience,experience,Vietnam Travel Hanoi; MICHELIN Hanoi guide,HeroCityHanoiPlaceStreetFoodWalk
hanoi-ta-hien-street,hanoi,Hanoi,Phố Tạ Hiện,Ta Hien Street,street,street,Vietnam Travel Hanoi,HeroCityHanoiPlaceTaHienStreet
hanoi-tam-vi,hanoi,Hanoi,Tầm Vị,Tam Vi,restaurant,restaurant,MICHELIN Vietnam 2025,HeroCityHanoiPlaceTamVi
hanoi-tay-ho,hanoi,Hanoi,Tây Hồ,Tay Ho,neighborhood,neighborhood,Hanoi tourism portal,HeroCityHanoiPlaceTayHo
hanoi-temple-literature,hanoi,Hanoi,Văn Miếu,Temple of Literature,landmark,landmark,Vietnam Travel Hanoi; Hanoi tourism portal,HeroCityHanoiPlaceTempleLiterature
hanoi-the-note-coffee,hanoi,Hanoi,The Note Coffee,The Note Coffee,cafe,cafe,place-name only,HeroCityHanoiPlaceTheNoteCoffee
hanoi-thong-nhat-park,hanoi,Hanoi,Công viên Thống Nhất,Thong Nhat Park,park,park,Hanoi tourism portal,HeroCityHanoiPlaceThongNhatPark
hanoi-train-street,hanoi,Hanoi,Phố đường tàu Hà Nội,Hanoi Train Street,street,street,Hanoi tourism portal,HeroCityHanoiPlaceTrainStreet
hanoi-tran-quoc-pagoda,hanoi,Hanoi,Chùa Trấn Quốc,Tran Quoc Pagoda,landmark,landmark,Hanoi tourism portal,HeroCityHanoiPlaceTranQuocPagoda
hanoi-trang-tien-plaza,hanoi,Hanoi,Tràng Tiền Plaza,Trang Tien Plaza,market,market,Hanoi tourism portal,HeroCityHanoiPlaceTrangTienPlaza
hanoi-trang-tien-street,hanoi,Hanoi,Phố Tràng Tiền,Trang Tien Street,street,street,Hanoi tourism portal,HeroCityHanoiPlaceTrangTienStreet
hanoi-trieu-viet-vuong-coffee-street,hanoi,Hanoi,Phố cà phê Triệu Việt Vương,Trieu Viet Vuong Coffee Street,street,street,Hanoi tourism portal,HeroCityHanoiPlaceTrieuVietVuongCoffeeStreet
hanoi-truc-bach-lake,hanoi,Hanoi,Hồ Trúc Bạch,Truc Bach Lake,nature,nature,Hanoi tourism portal,HeroCityHanoiPlaceTrucBachLake
hanoi-turtle-tower,hanoi,Hanoi,Tháp Rùa,Turtle Tower,landmark,landmark,Vietnam Travel Hanoi; Hanoi tourism portal,HeroCityHanoiPlaceTurtleTower
hanoi-udam,hanoi,Hanoi,Ưu Đàm,Uu Dam,restaurant,restaurant,MICHELIN Vietnam 2025,HeroCityHanoiPlaceUdam
hanoi-vietnam-art-gallery,hanoi,Hanoi,Vietnam Art Gallery,Vietnam Art Gallery,attraction,attraction,Vietnam Travel Hanoi,HeroCityHanoiPlaceVietnamArtGallery
hanoi-vietnam-circus,hanoi,Hanoi,Rạp Xiếc Trung ương,Vietnam Central Circus,experience,experience,Hanoi tourism portal,HeroCityHanoiPlaceVietnamCircus
hanoi-vietnam-fine-arts-museum,hanoi,Hanoi,Bảo tàng Mỹ thuật Việt Nam,Vietnam Fine Arts Museum,museum,museum,Vietnam Travel Hanoi; Hanoi tourism portal,HeroCityHanoiPlaceVietnamFineArtsMuseum
hanoi-vietnam-military-history-museum,hanoi,Hanoi,Bảo tàng Lịch sử Quân sự Việt Nam,Vietnam Military History Museum,museum,museum,Hanoi tourism portal,HeroCityHanoiPlaceVietnamMilitaryHistoryMuseum
hanoi-vietnam-national-tuong-theatre,hanoi,Hanoi,Nhà hát Tuồng Việt Nam,Vietnam National Tuong Theatre,experience,experience,Hanoi tourism portal,HeroCityHanoiPlaceVietnamNationalTuongTheatre
hanoi-water-puppet-theatre,hanoi,Hanoi,Nhà hát Múa rối Thăng Long,Thang Long Water Puppet Theatre,experience,experience,Vietnam Travel Hanoi,HeroCityHanoiPlaceWaterPuppetTheatre
hanoi-weekend-night-market,hanoi,Hanoi,Chợ đêm phố cổ Hà Nội,Hanoi Weekend Night Market,market,market,Vietnam Travel Hanoi,HeroCityHanoiPlaceWeekendNightMarket
hanoi-west-lake,hanoi,Hanoi,Hồ Tây,West Lake,nature,nature,Hanoi tourism portal,HeroCityHanoiPlaceWestLake
hanoi-west-lake-loop,hanoi,Hanoi,Vòng Hồ Tây,West Lake loop,nature,nature,Hanoi tourism portal,HeroCityHanoiPlaceWestLakeLoop
hanoi-womens-museum,hanoi,Hanoi,Bảo tàng Phụ nữ Việt Nam,Vietnamese Women's Museum,museum,museum,Hanoi tourism portal,HeroCityHanoiPlaceWomensMuseum
hanoi-xoi-xeo,hanoi,Hanoi,Xôi xéo ở Hà Nội,Sticky rice with mung bean,dish,dish,place-name only,HeroCityHanoiPlaceXoiXeo
hanoi-yen-so-park,hanoi,Hanoi,Công viên Yên Sở,Yen So Park,park,park,Hanoi tourism portal,HeroCityHanoiPlaceYenSoPark
hcmc-42-nguyen-hue-apartment,hcmc,Saigon,Chung cư 42 Nguyễn Huệ,42 Nguyen Hue apartment building,cafe,cafe,Vietnam Travel HCMC,HeroCityHcmcPlace42NguyenHueApartment
hcmc-akuna,hcmc,Saigon,Akuna,Akuna,restaurant,restaurant,MICHELIN Vietnam 2025; MICHELIN HCMC guide,HeroCityHcmcPlaceAkuna
hcmc-an-dong-market,hcmc,Saigon,Chợ An Đông,An Dong Market,market,market,Visit HCMC portal,HeroCityHcmcPlaceAnDongMarket
hcmc-anan-saigon,hcmc,Saigon,Anăn Sài Gòn,Anan Saigon,restaurant,restaurant,existing-city-library; MICHELIN Vietnam 2025,HeroCityHcmcPlaceAnanSaigon
hcmc-ao-dai-museum,hcmc,Saigon,Bảo tàng Áo Dài,Ao Dai Museum,museum,museum,Visit HCMC portal; Ao Dai Museum named-place source,HeroCityHcmcPlaceAoDaiMuseum
hcmc-bach-dang-waterbus-station,hcmc,Saigon,Bến tàu thủy Bạch Đằng,Bach Dang Waterbus Station,port,port,Visit HCMC portal,HeroCityHcmcPlaceBachDangWaterbusStation
hcmc-bach-dang-wharf,hcmc,Saigon,Bến Bạch Đằng,Bach Dang Wharf,landmark,landmark,existing-city-library; Visit HCMC portal,HeroCityHcmcPlaceBachDangWharf
hcmc-banh-mi,hcmc,Saigon,Bánh mì ở Thành phố Hồ Chí Minh,Banh mi,dish,dish,Vietnam Travel HCMC,HeroCityHcmcPlaceBanhMi
hcmc-banh-mi-huynh-hoa,hcmc,Saigon,Bánh mì Huỳnh Hoa,Banh Mi Huynh Hoa,restaurant,restaurant,local named-restaurant source,HeroCityHcmcPlaceBanhMiHuynhHoa
hcmc-banh-xeo,hcmc,Saigon,Bánh xèo ở Thành phố Hồ Chí Minh,Southern sizzling pancake,dish,dish,Vietnam Travel HCMC,HeroCityHcmcPlaceBanhXeo
hcmc-banh-xeo-46a,hcmc,Saigon,Bánh xèo 46A,Banh Xeo 46A,restaurant,restaurant,local named-restaurant source,HeroCityHcmcPlaceBanhXeo46a
hcmc-ben-thanh-market,hcmc,Saigon,Chợ Bến Thành,Ben Thanh Market,market,market,existing-city-library; Vietnam Travel HCMC,HeroCityHcmcPlaceBenThanhMarket
hcmc-ben-thanh-metro-station,hcmc,Saigon,Ga Bến Thành,Ben Thanh Metro Station,station,station,Visit HCMC portal,HeroCityHcmcPlaceBenThanhMetroStation
hcmc-bep-me-in,hcmc,Saigon,Bếp Mẹ Ỉn,Bep Me In,restaurant,restaurant,local named-restaurant source,HeroCityHcmcPlaceBepMeIn
hcmc-binh-tay-market,hcmc,Saigon,Chợ Bình Tây,Binh Tay Market,market,market,existing-city-library; Vietnam Travel HCMC,HeroCityHcmcPlaceBinhTayMarket
hcmc-bitexco-tower,hcmc,Saigon,Tòa nhà Bitexco,Bitexco Financial Tower,landmark,landmark,existing-city-library; Visit HCMC portal,HeroCityHcmcPlaceBitexcoTower
hcmc-bo-la-lot,hcmc,Saigon,Bò lá lốt ở Thành phố Hồ Chí Minh,Beef in betel leaves,dish,dish,local dish source,HeroCityHcmcPlaceBoLaLot
hcmc-bot-chien,hcmc,Saigon,Bột chiên ở Thành phố Hồ Chí Minh,Fried rice-flour cakes,dish,dish,local dish source,HeroCityHcmcPlaceBotChien
hcmc-bui-vien-street,hcmc,Saigon,Phố Bùi Viện,Bui Vien Street,street,street,existing-city-library; Vietnam Travel HCMC,HeroCityHcmcPlaceBuiVienStreet
hcmc-bun-thit-nuong,hcmc,Saigon,Bún thịt nướng ở Thành phố Hồ Chí Minh,Grilled pork vermicelli,dish,dish,local dish source,HeroCityHcmcPlaceBunThitNuong
hcmc-ca-phe-sua-da,hcmc,Saigon,Cà phê sữa đá Sài Gòn ở Thành phố Hồ Chí Minh,Saigon iced milk coffee,drink,drink,Vietnam Travel HCMC,HeroCityHcmcPlaceCaPheSuaDa
hcmc-cafe-apartment-nguyen-hue,hcmc,Saigon,Chung cư cà phê Nguyễn Huệ,Cafe Apartment on Nguyen Hue,cafe,cafe,Vietnam Travel HCMC,HeroCityHcmcPlaceCafeApartmentNguyenHue
hcmc-cafe-hop-nguyen-hue,hcmc,Saigon,Đi cà phê Nguyễn Huệ,Nguyen Hue cafe hop,experience,experience,Vietnam Travel HCMC,HeroCityHcmcPlaceCafeHopNguyenHue
hcmc-cafe-vot-pham-ngoc-thach,hcmc,Saigon,Cà phê vợt Phạm Ngọc Thạch,Pham Ngoc Thach cloth-filter coffee,cafe,cafe,local named-cafe source,HeroCityHcmcPlaceCafeVotPhamNgocThach
hcmc-central-post-office,hcmc,Saigon,Bưu điện Thành phố,Saigon Central Post Office,landmark,landmark,existing-city-library; Vietnam Travel HCMC,HeroCityHcmcPlaceCentralPostOffice
hcmc-che,hcmc,Saigon,Chè Sài Gòn ở Thành phố Hồ Chí Minh,Sweet soup dessert,dessert,dessert,local dish source,HeroCityHcmcPlaceChe
hcmc-cheo-leo-cafe,hcmc,Saigon,Cà phê Cheo Leo,Cheo Leo Cafe,cafe,cafe,local named-cafe source,HeroCityHcmcPlaceCheoLeoCafe
hcmc-cho-lon,hcmc,Saigon,Chợ Lớn,Cho Lon,neighborhood,neighborhood,existing-city-library; Vietnam Travel HCMC,HeroCityHcmcPlaceChoLon
hcmc-cho-lon-walking-route,hcmc,Saigon,Đi bộ Chợ Lớn,Cho Lon walking route,experience,experience,Vietnam Travel HCMC,HeroCityHcmcPlaceChoLonWalkingRoute
hcmc-ciel,hcmc,Saigon,CieL,CieL,restaurant,restaurant,MICHELIN Vietnam 2025,HeroCityHcmcPlaceCiel
hcmc-city-hall,hcmc,Saigon,Trụ sở UBND Thành phố,Ho Chi Minh City Hall,landmark,landmark,Vietnam Travel HCMC; Visit HCMC portal,HeroCityHcmcPlaceCityHall
hcmc-coco-dining,hcmc,Saigon,Coco Dining,Coco Dining,restaurant,restaurant,MICHELIN Vietnam 2025,HeroCityHcmcPlaceCocoDining
hcmc-com-tam,hcmc,Saigon,Cơm tấm ở Thành phố Hồ Chí Minh,Broken rice,dish,dish,Vietnam Travel HCMC,HeroCityHcmcPlaceComTam
hcmc-com-tam-ba-ghien,hcmc,Saigon,Cơm tấm Ba Ghiền,Com Tam Ba Ghien,restaurant,restaurant,local named-restaurant source,HeroCityHcmcPlaceComTamBaGhien
hcmc-cong-ca-phe-dong-khoi,hcmc,Saigon,Cộng Cà Phê Đồng Khởi,Cong Ca Phe Dong Khoi,cafe,cafe,Cong Ca Phe Dong Khoi named-place source,HeroCityHcmcPlaceCongCaPheDongKhoi
hcmc-cu-chi-day-trip,hcmc,Saigon,Đi Củ Chi trong ngày,Cu Chi day trip,experience,experience,Vietnam Travel HCMC,HeroCityHcmcPlaceCuChiDayTrip
hcmc-cu-chi-tunnels,hcmc,Saigon,Địa đạo Củ Chi,Cu Chi Tunnels,landmark,landmark,Vietnam Travel HCMC; Visit HCMC portal,HeroCityHcmcPlaceCuChiTunnels
hcmc-cuc-gach-quan,hcmc,Saigon,Cục Gạch Quán,Cuc Gach Quan,restaurant,restaurant,Cuc Gach Quan named-restaurant source,HeroCityHcmcPlaceCucGachQuan
hcmc-district-1,hcmc,Saigon,Quận 1,District 1,neighborhood,neighborhood,existing-city-library; Vietnam Travel HCMC,HeroCityHcmcPlaceDistrict1
hcmc-district-3,hcmc,Saigon,Quận 3,District 3,neighborhood,neighborhood,Visit HCMC portal,HeroCityHcmcPlaceDistrict3
hcmc-dong-khoi-landmark-walk,hcmc,Saigon,Đi bộ Đồng Khởi,Dong Khoi landmark walk,experience,experience,Vietnam Travel HCMC,HeroCityHcmcPlaceDongKhoiLandmarkWalk
hcmc-dong-khoi-street,hcmc,Saigon,Đường Đồng Khởi,Dong Khoi Street,street,street,existing-city-library; Vietnam Travel HCMC,HeroCityHcmcPlaceDongKhoiStreet
hcmc-fine-arts-museum,hcmc,Saigon,Bảo tàng Mỹ thuật,Ho Chi Minh City Museum of Fine Arts,museum,museum,existing-city-library; Visit HCMC portal,HeroCityHcmcPlaceFineArtsMuseum
hcmc-fito-museum,hcmc,Saigon,Bảo tàng Y học Cổ truyền Việt Nam,FITO Museum,museum,museum,FITO Museum named-place source,HeroCityHcmcPlaceFitoMuseum
hcmc-gia-dinh-park,hcmc,Saigon,Công viên Gia Định,Gia Dinh Park,park,park,local named-place source,HeroCityHcmcPlaceGiaDinhPark
hcmc-goi-cuon,hcmc,Saigon,Gỏi cuốn ở Thành phố Hồ Chí Minh,Fresh spring rolls,dish,dish,local dish source,HeroCityHcmcPlaceGoiCuon
hcmc-golden-dragon-water-puppet,hcmc,Saigon,Nhà hát Múa rối nước Rồng Vàng,Golden Dragon Water Puppet Theater,experience,experience,Visit HCMC portal,HeroCityHcmcPlaceGoldenDragonWaterPuppet
hcmc-history-museum,hcmc,Saigon,Bảo tàng Lịch sử Thành phố Hồ Chí Minh,Museum of Vietnamese History,museum,museum,Visit HCMC portal,HeroCityHcmcPlaceHistoryMuseum
hcmc-ho-chi-minh-city-museum,hcmc,Saigon,Bảo tàng Thành phố Hồ Chí Minh,Ho Chi Minh City Museum,museum,museum,Visit HCMC portal,HeroCityHcmcPlaceHoChiMinhCityMuseum
hcmc-ho-thi-ky-flower-market,hcmc,Saigon,Chợ hoa Hồ Thị Kỷ,Ho Thi Ky Flower Market,market,market,existing-city-library; Visit HCMC portal,HeroCityHcmcPlaceHoThiKyFlowerMarket
hcmc-hu-tieu,hcmc,Saigon,Hủ tiếu ở Thành phố Hồ Chí Minh,Hu tieu,dish,dish,local dish source,HeroCityHcmcPlaceHuTieu
hcmc-independence-palace,hcmc,Saigon,Dinh Độc Lập,Independence Palace,landmark,landmark,existing-city-library; Vietnam Travel HCMC,HeroCityHcmcPlaceIndependencePalace
hcmc-jade-emperor-pagoda,hcmc,Saigon,Chùa Ngọc Hoàng,Jade Emperor Pagoda,landmark,landmark,existing-city-library; Vietnam Travel HCMC,HeroCityHcmcPlaceJadeEmperorPagoda
hcmc-japan-town,hcmc,Saigon,Khu phố Nhật Lê Thánh Tôn,Japan Town Saigon,neighborhood,neighborhood,local named-area source,HeroCityHcmcPlaceJapanTown
hcmc-landmark-81,hcmc,Saigon,Landmark 81,Landmark 81,attraction,attraction,existing-city-library; Visit HCMC portal,HeroCityHcmcPlaceLandmark81
hcmc-le-thanh-ton-street,hcmc,Saigon,Đường Lê Thánh Tôn,Le Thanh Ton Street,street,street,existing-city-library; Visit HCMC portal,HeroCityHcmcPlaceLeThanhTonStreet
hcmc-le-van-tam-park,hcmc,Saigon,Công viên Lê Văn Tám,Le Van Tam Park,park,park,Visit HCMC portal,HeroCityHcmcPlaceLeVanTamPark
hcmc-little-hanoi-egg-coffee,hcmc,Saigon,Little HaNoi Egg Coffee,Little HaNoi Egg Coffee Saigon,cafe,cafe,Little HaNoi Egg Coffee named-place source,HeroCityHcmcPlaceLittleHanoiEggCoffee
hcmc-long-trieu,hcmc,Saigon,Long Triều,Long Trieu,restaurant,restaurant,MICHELIN Vietnam 2025; MICHELIN HCMC guide,HeroCityHcmcPlaceLongTrieu
hcmc-lusine-thao-dien,hcmc,Saigon,L'Usine Thảo Điền,L'Usine Thao Dien,cafe,cafe,L'Usine Thao Dien named-place source,HeroCityHcmcPlaceLusineThaoDien
hcmc-mariamman-temple,hcmc,Saigon,Đền Mariamman,Mariamman Hindu Temple,landmark,landmark,Visit HCMC portal,HeroCityHcmcPlaceMariammanTemple
hcmc-mien-dong-bus-station,hcmc,Saigon,Bến xe Miền Đông,Mien Dong Bus Station,station,station,local transit-place source,HeroCityHcmcPlaceMienDongBusStation
hcmc-mien-tay-bus-station,hcmc,Saigon,Bến xe Miền Tây,Mien Tay Bus Station,station,station,local transit-place source,HeroCityHcmcPlaceMienTayBusStation
hcmc-motorbike-food-tour,hcmc,Saigon,Tour ăn tối bằng xe máy,Saigon motorbike food tour,experience,experience,Vietnam Travel HCMC,HeroCityHcmcPlaceMotorbikeFoodTour
hcmc-municipal-theatre-square,hcmc,Saigon,Công trường Lam Sơn,Lam Son Square,experience,experience,Visit HCMC portal,HeroCityHcmcPlaceMunicipalTheatreSquare
hcmc-nephele,hcmc,Saigon,Nephele,Nephele,restaurant,restaurant,MICHELIN Vietnam 2025,HeroCityHcmcPlaceNephele
hcmc-nguyen-hue-walking-street,hcmc,Saigon,Phố đi bộ Nguyễn Huệ,Nguyen Hue Walking Street,street,street,existing-city-library; Vietnam Travel HCMC,HeroCityHcmcPlaceNguyenHueWalkingStreet
hcmc-nguyen-trai-street,hcmc,Saigon,Đường Nguyễn Trãi,Nguyen Trai Street,street,street,existing-city-library; Visit HCMC portal,HeroCityHcmcPlaceNguyenTraiStreet
hcmc-nhieu-loc-canal,hcmc,Saigon,Kênh Nhiêu Lộc - Thị Nghè,Nhieu Loc - Thi Nghe Canal,nature,nature,Visit HCMC portal,HeroCityHcmcPlaceNhieuLocCanal
hcmc-notre-dame,hcmc,Saigon,Nhà thờ Đức Bà Sài Gòn,Notre Dame Cathedral Basilica of Saigon,landmark,landmark,existing-city-library; Vietnam Travel HCMC,HeroCityHcmcPlaceNotreDame
hcmc-oc,hcmc,Saigon,Ốc Sài Gòn ở Thành phố Hồ Chí Minh,Saigon snails and seafood,dish,dish,local dish source,HeroCityHcmcPlaceOc
hcmc-opera-a-o-show,hcmc,Saigon,À Ố Show,A O Show at Saigon Opera House,experience,experience,A O Show named-performance source,HeroCityHcmcPlaceOperaAOShow
hcmc-opera-house,hcmc,Saigon,Nhà hát Thành phố,Saigon Opera House,experience,experience,existing-city-library; Visit HCMC portal,HeroCityHcmcPlaceOperaHouse
hcmc-pasteur-street,hcmc,Saigon,Đường Pasteur,Pasteur Street,street,street,existing-city-library; Visit HCMC portal,HeroCityHcmcPlacePasteurStreet
hcmc-pha-lau,hcmc,Saigon,Phá lấu ở Thành phố Hồ Chí Minh,Pha lau,dish,dish,local dish source,HeroCityHcmcPlacePhaLau
hcmc-pham-ngu-lao-street,hcmc,Saigon,Phố Phạm Ngũ Lão,Pham Ngu Lao Street,street,street,existing-city-library; Visit HCMC portal,HeroCityHcmcPlacePhamNguLaoStreet
hcmc-pho-hoa-pasteur,hcmc,Saigon,Phở Hòa Pasteur,Pho Hoa Pasteur,restaurant,restaurant,existing-city-library; Visit HCMC portal,HeroCityHcmcPlacePhoHoaPasteur
hcmc-pho-nam,hcmc,Saigon,Phở Sài Gòn ở Thành phố Hồ Chí Minh,Southern pho,dish,dish,Visit HCMC portal; local dish source,HeroCityHcmcPlacePhoNam
hcmc-rex-hotel-rooftop,hcmc,Saigon,Sân thượng khách sạn Rex,Rex Hotel rooftop,attraction,attraction,Rex Hotel named-place source,HeroCityHcmcPlaceRexHotelRooftop
hcmc-russian-market,hcmc,Saigon,Chợ Nga,Russian Market,market,market,local named-place source,HeroCityHcmcPlaceRussianMarket
hcmc-saigon-railway-station,hcmc,Saigon,Ga Sài Gòn,Saigon Railway Station,station,station,Vietnam Travel HCMC,HeroCityHcmcPlaceSaigonRailwayStation
hcmc-saigon-river,hcmc,Saigon,Sông Sài Gòn,Saigon River,river,river,existing-city-library; Vietnam Travel HCMC,HeroCityHcmcPlaceSaigonRiver
hcmc-saigon-river-boat,hcmc,Saigon,Đi thuyền sông Sài Gòn,Saigon River boat ride,experience,experience,Vietnam Travel HCMC,HeroCityHcmcPlaceSaigonRiverBoat
hcmc-saigon-skydeck,hcmc,Saigon,Saigon Skydeck,Saigon Skydeck,attraction,attraction,Bitexco / Saigon Skydeck named-place source,HeroCityHcmcPlaceSaigonSkydeck
hcmc-saigon-square,hcmc,Saigon,Saigon Square,Saigon Square,market,market,local named-place source,HeroCityHcmcPlaceSaigonSquare
hcmc-southern-women-museum,hcmc,Saigon,Bảo tàng Phụ nữ Nam Bộ,Southern Women's Museum,museum,museum,Visit HCMC portal,HeroCityHcmcPlaceSouthernWomenMuseum
hcmc-street-food-evening,hcmc,Saigon,Ăn vặt Sài Gòn buổi tối,Saigon street-food evening,experience,experience,Vietnam Travel HCMC,HeroCityHcmcPlaceStreetFoodEvening
hcmc-takashimaya-saigon-centre,hcmc,Saigon,Saigon Centre,Takashimaya Saigon Centre,market,market,Saigon Centre / Takashimaya named-place source,HeroCityHcmcPlaceTakashimayaSaigonCentre
hcmc-tan-son-nhat-airport,hcmc,Saigon,Sân bay Tân Sơn Nhất,Tan Son Nhat International Airport,airport,airport,existing-city-library; Vietnam Travel HCMC; Visit HCMC portal,HeroCityHcmcPlaceTanSonNhatAirport
hcmc-tao-dan-park,hcmc,Saigon,Công viên Tao Đàn,Tao Dan Park,park,park,existing-city-library; Visit HCMC portal,HeroCityHcmcPlaceTaoDanPark
hcmc-thao-dien,hcmc,Saigon,Thảo Điền,Thao Dien,neighborhood,neighborhood,existing-city-library; Visit HCMC portal,HeroCityHcmcPlaceThaoDien
hcmc-thien-hau-pagoda,hcmc,Saigon,Chùa Bà Thiên Hậu,Thien Hau Pagoda,landmark,landmark,Vietnam Travel HCMC; Visit HCMC portal,HeroCityHcmcPlaceThienHauPagoda
hcmc-thu-thiem-riverfront,hcmc,Saigon,Bờ sông Thủ Thiêm,Thu Thiem riverfront,river,river,Visit HCMC portal,HeroCityHcmcPlaceThuThiemRiverfront
hcmc-ton-duc-thang-museum,hcmc,Saigon,Bảo tàng Tôn Đức Thắng,Ton Duc Thang Museum,museum,museum,Visit HCMC portal,HeroCityHcmcPlaceTonDucThangMuseum
hcmc-turtle-lake,hcmc,Saigon,Hồ Con Rùa,Turtle Lake,attraction,attraction,existing-city-library; Visit HCMC portal,HeroCityHcmcPlaceTurtleLake
hcmc-vincom-dong-khoi,hcmc,Saigon,Vincom Đồng Khởi,Vincom Center Dong Khoi,market,market,Vincom Dong Khoi named-place source,HeroCityHcmcPlaceVincomDongKhoi
hcmc-vinhomes-central-park,hcmc,Saigon,Công viên Vinhomes Central Park,Vinhomes Central Park,park,park,Vinhomes Central Park named-place source,HeroCityHcmcPlaceVinhomesCentralPark
hcmc-war-remnants-museum,hcmc,Saigon,Bảo tàng Chứng tích Chiến tranh,War Remnants Museum,museum,museum,existing-city-library; Vietnam Travel HCMC,HeroCityHcmcPlaceWarRemnantsMuseum
hcmc-workshop-coffee,hcmc,Saigon,The Workshop Coffee,The Workshop Coffee,cafe,cafe,The Workshop Coffee named-place source,HeroCityHcmcPlaceWorkshopCoffee
hcmc-zoo-botanical-gardens,hcmc,Saigon,Thảo Cầm Viên Sài Gòn,Saigon Zoo and Botanical Gardens,park,park,existing-city-library; Visit HCMC portal,HeroCityHcmcPlaceZooBotanicalGardens
hoian-an-bang-beach,hoian,Hoi An,Biển An Bàng,An Bang Beach,beach,beach,Existing city-library; Vietnam Tourism Hoi An.,HeroCityHoianPlaceAnBangBeach
hoian-an-hoi-bridge,hoian,Hoi An,Cầu An Hội,An Hoi Bridge,landmark,landmark,Local map references.,HeroCityHoianPlaceAnHoiBridge
