phrase_id,family_id,family_title,scenario_id,scenario_title,english_text,target_text,pronunciation,audio_key,audio_status,access_tier,variant_role,context,search_aliases,city_id,city_name,place_id,place_name,city_library_kind,city_page_kind,place_kind,content_role,notes
repair-translate-this,repair-translate-this,Translate this,understanding-repair,When You Don't Understand,Can you translate this for me?,Dịch giúp tôi cái này được không?,zik zoop toy gai nai dook khong,repair-translate-this,ready,premium,say-first,"Use this while showing the menu, sign, receipt, or phone screen.",translate this | can you translate this,,,,,,,,,resolved hold-review primary
taxi-1,transport-destination,Take me here,transport,Transport,Take me here,Cho tôi tới đây,cho toy toy day,taxi-1,ready,starter,say-first,Use this while showing your destination on your phone.,take me here | go here | destination,,,,,,,,,legacy transport primary | relation-sample=viet-transport-destination:anchor
taxi-2,transport-main-destination,Go to this area,transport,Transport,Go to District 1,Đi quận 1,dee gwan mot,taxi-2,ready,starter,say-first,Use this for a simple destination inside the city.,district 1 | go to district 1,,,,,,,,,legacy transport primary
taxi-3,transport-stop-here,Stop here,transport,Transport,You can stop here,Dừng ở đây được rồi,zoong uh day dook roy,taxi-3,ready,starter,say-first,Use this when you want the driver to stop at the current spot.,stop here | get off here,,,,,,,,,legacy transport primary | relation-sample=viet-transport-stop-here:anchor
transport-stop-here-clearer,transport-stop-here,Stop here,transport,Transport,Please stop right here,Cho tôi xuống ngay đây,cho toy zoong ngay day,transport-stop-here-clearer,ready,premium,clearer,Use this when the driver seems likely to roll past the stop.,stop right here,,,,,,,,,premium clearer variant | relation-sample=viet-transport-stop-here:variant:clearer
taxi-4,transport-route,Go this way,transport,Transport,Go this way,Đi đường này đi,dee doong nai dee,taxi-4,ready,starter,say-first,Use this if you need to guide the driver.,go this way | this way,,,,,,,,,legacy transport primary
taxi-5,transport-aircon,Turn on the AC,transport,Transport,Please turn on the air conditioning,Mở máy lạnh giúp tôi,muh mai lanh zoop toy,taxi-5,ready,starter,say-first,Use this on a hot ride if the air conditioning is off.,air conditioning | aircon,,,,,,,,,legacy transport primary
taxi-6,transport-wait,Wait five minutes,transport,Transport,Wait for me five minutes,Chờ tôi năm phút,cho toy nam foot,taxi-6,ready,starter,say-first,Use this if you need a very short stop.,wait for me | five minutes,,,,,,,,,legacy transport primary
taxi-7,transport-cash,I'll pay cash,transport,Transport,I’ll pay cash,Tôi trả bằng tiền mặt,toy tra bang tyen mat,taxi-7,ready,starter,say-first,Use this when payment method needs to be clear.,pay cash | cash,,,,,,,,,legacy transport primary
transport-fare,transport-fare,Fare,transport,Transport,How much is the fare?,Tiền xe bao nhiêu?,tyen seh bao nyew,transport-fare,ready,starter,say-first,Use this before or during the ride when you need the fare clearly.,fare | how much is the fare,,,,,,,,,resolved hold-review primary | relation-sample=viet-transport-fare:anchor
transport-meter,transport-meter,Use the meter,transport,Transport,Please use the meter,Làm ơn bật đồng hồ giúp tôi,lahm uhn but dong ho zoop toy,transport-meter,ready,starter,say-first,Use this at the start of the ride when you need the meter running.,use the meter | meter,,,,,,,,,resolved hold-review primary | relation-sample=viet-transport-meter:anchor
transport-lost,transport-lost,We are lost,transport,Transport,I think we are lost,Tôi nghĩ chúng ta bị lạc rồi,toy ngee choong ta bee lahk roy,transport-lost,ready,starter,say-first,Use this when the route feels wrong and you need to reset the ride.,we are lost | i think we are lost,,,,,,,,,resolved hold-review primary
transport-1,transport-platform,Right platform?,transport,Transport,Is this the right platform?,Đây có đúng bến không?,day koh zoong ben khong,transport-1,ready,premium,say-first,"Use this at bus stations, ferry piers, or pickup bays.",right platform | right bay | right stop,,,,,,,,,premium-only transport family
transport-2,transport-bus-goes,Does this bus go here?,transport,Transport,Does this bus go to…?,Xe này có đi tới… không?,seh nai koh dee toy khong,transport-2,ready,premium,say-first,Use this before you board if you are unsure about the route.,does this bus go to | does this go to,,,,,,,,,premium-only transport family
hotel-1,hotel-reservation,I have a reservation,hotel-accommodation,Hotel Accommodation,I have a reservation,Tôi có đặt phòng,toy koh dat fong,hotel-1,ready,starter,say-first,Use this at the desk when you have already booked.,reservation | booking,,,,,,,,,legacy hotel primary | relation-sample=viet-hotel-reservation:anchor
hotel-2,hotel-check-in,Check in,hotel-accommodation,Hotel Accommodation,I’d like to check in,Cho tôi nhận phòng,cho toy nyun fong,hotel-2,ready,starter,say-first,Use this when you are ready to begin check-in.,check in,,,,,,,,,legacy hotel primary | relation-sample=viet-hotel-check-in:anchor
hotel-check-in-polite,hotel-check-in,Check in,hotel-accommodation,Hotel Accommodation,"I’d like to check in, please",Cho tôi nhận phòng nhé,cho toy nyun fong nhe,hotel-check-in-polite,ready,premium,more-polite,Use this when you want the request to sound softer at the desk.,check in please,,,,,,,,,premium polite variant | relation-sample=viet-hotel-check-in:variant:more-polite
hotel-3,hotel-checkout-time,Check-out time,hotel-accommodation,Hotel Accommodation,What time is check-out?,Mấy giờ trả phòng?,may zyuh tra fong,hotel-3,ready,starter,say-first,Ask this early so you know the deadline before your last day.,check out time | checkout,,,,,,,,,legacy hotel primary | relation-sample=viet-hotel-checkout-time:anchor
hotel-quiet-room,hotel-quiet-room,Quiet room,hotel-accommodation,Hotel Accommodation,Can I have a quiet room?,Cho tôi phòng yên tĩnh được không?,cho toy fong yen tinh dook khong,hotel-quiet-room,ready,premium,say-first,"Use this when you need a quieter room away from traffic, elevators, or noise.",quiet room,,,,,,,,,resolved hold-review primary
hotel-checkout,hotel-checkout,Check out now,hotel-accommodation,Hotel Accommodation,I’d like to check out,Cho tôi trả phòng,cho toy tra fong,hotel-checkout,ready,starter,say-first,Use this at the desk when you are ready to end the stay.,check out now | i'd like to check out,,,,,,,,,resolved hold-review primary
hotel-4,hotel-room-hot,Room too hot,hotel-accommodation,Hotel Accommodation,This room is too hot,Phòng này nóng quá,fong nai nong gwah,hotel-4,ready,starter,say-first,Use this when the room temperature is the main problem.,room too hot | too hot,,,,,,,,,legacy hotel primary | relation-sample=viet-hotel-room-hot:anchor
hotel-5,hotel-aircon-broken,AC not working,hotel-accommodation,Hotel Accommodation,The air conditioner isn’t working,Máy lạnh không chạy,mai lanh khong chai,hotel-5,ready,starter,say-first,Use this when the air conditioner is not working at all.,air conditioner isn't working | aircon broken,,,,,,,,,legacy hotel primary | relation-sample=viet-hotel-aircon-broken:anchor
hotel-6,hotel-more-supplies,More room supplies,hotel-accommodation,Hotel Accommodation,More towels please,Cho tôi thêm khăn,cho toy them khan,hotel-6,ready,starter,say-first,Use this for a straightforward front-desk request for more room supplies.,more towels | towels,,,,,,,,,resolved hold-review family broadened
hotel-more-supplies-paper,hotel-more-supplies,More room supplies,hotel-accommodation,Hotel Accommodation,Can I have more toilet paper?,Cho tôi thêm giấy vệ sinh được không?,cho toy them zai veh sinh dook khong,hotel-more-supplies-paper,ready,starter,also-common,Use this when the room needs more toilet paper rather than more towels.,more toilet paper | room supplies,,,,,,,,,resolved hold-review supply variant
hotel-7,hotel-luggage,Hold my luggage,hotel-accommodation,Hotel Accommodation,Please hold my luggage,Giữ hành lý giúp tôi,zoo han lee zoop toy,hotel-7,ready,starter,say-first,Use this when you need the hotel to hold your bags for a while.,hold my luggage | bags,,,,,,,,,legacy hotel primary
hotel-8,hotel-key-card,Key card not working,hotel-accommodation,Hotel Accommodation,The key card doesn’t work,Thẻ phòng không mở được,teh fong khong muh dook,hotel-8,ready,premium,say-first,Use this when the room card stops working.,key card doesn't work | room card,,,,,,,,,premium-only hotel family
hotel-9,hotel-call-taxi,Call a taxi,hotel-accommodation,Hotel Accommodation,Can you call a taxi for me?,Gọi taxi giúp tôi được không?,goy taxi zoop toy dook khong,hotel-9,ready,premium,say-first,Use this when you want the hotel to arrange a ride instead of just giving directions.,call a taxi | call car,,,,,,,,,premium-only hotel family
coffee-1,food-coffee-milk,Iced milk coffee,food-drink,Food & Drink,One iced milk coffee please,Cho tôi một cà phê sữa đá,cho toy mot ka feh sue-ah dah,coffee-1,ready,starter,say-first,Use this at a café when you want the classic Vietnamese coffee order.,iced milk coffee | coffee with milk,,,,,,,,,legacy food primary
coffee-2,food-coffee-black,Iced black coffee,food-drink,Food & Drink,I’d like an iced black coffee,Cho tôi cà phê đen đá,cho toy ka feh den dah,coffee-2,ready,starter,say-first,Use this when you want coffee without milk.,iced black coffee | black coffee,,,,,,,,,legacy food primary
coffee-3,food-coffee-bac-xiu,Bac xiu,food-drink,Food & Drink,I’d like an iced bạc xỉu,Cho tôi bạc xỉu đá,cho toy bahk see-u dah,coffee-3,ready,starter,say-first,Use this when you want a sweeter milk-forward coffee.,bac xiu | bạc xỉu,,,,,,,,,legacy food primary
coffee-4,food-less-ice,Less ice,food-drink,Food & Drink,Just a little ice,Ít đá thôi,eet dah toy,coffee-4,ready,starter,say-first,Add this when you want less ice in your drink.,less ice | little ice,,,,,,,,,legacy food primary
coffee-5,food-no-sugar,No sugar,food-drink,Food & Drink,No sugar please,Không đường nhé,khong doong nhe,coffee-5,ready,starter,say-first,Use this to keep your drink less sweet.,no sugar,,,,,,,,,legacy food primary
coffee-6,food-to-go,To go,food-drink,Food & Drink,To go,Mang đi,mang dee,coffee-6,ready,starter,say-first,Say this when you want takeaway instead of staying.,to go | take away | takeout,,,,,,,,,legacy food primary
coffee-7,food-pay-now,Ready to pay,food-drink,Food & Drink,Please let me pay,Tính tiền giúp tôi,ting tyen zoop toy,coffee-7,ready,starter,say-first,Use this when you are ready to pay at the counter.,let me pay | pay now,,,,,,,,,legacy food primary | relation-sample=viet-food-pay-now:anchor
food-need-table,food-need-table,Table for two,food-drink,Food & Drink,"A table for two, please",Cho tôi bàn cho hai người nhé,cho toy ban cho hai ngwee nhe,food-need-table,ready,starter,say-first,Use this when the first need is getting seated.,table for two | need a table,,,,,,,,,resolved hold-review primary | relation-sample=viet-food-need-table:anchor
food-menu,food-menu,See the menu,food-drink,Food & Drink,Can I see the menu?,Cho tôi xem thực đơn được không?,cho toy sem thook dun dook khong,food-menu,ready,starter,say-first,Use this before ordering when you still need the menu.,see the menu | menu,,,,,,,,,resolved hold-review primary | relation-sample=viet-food-menu:anchor
food-1,food-one-portion,One portion,food-drink,Food & Drink,One portion please,Cho tôi một phần,cho toy mot fun,food-1,ready,starter,say-first,Use this for a simple food order while pointing.,one portion | one order,,,,,,,,,legacy food primary
food-2,food-this-bowl,This bowl,food-drink,Food & Drink,I’ll take this bowl,Cho tôi tô này,cho toy toh nai,food-2,ready,starter,say-first,Use this while pointing at the bowl or plate you want.,this bowl | this dish,,,,,,,,,legacy food primary
food-3,food-not-spicy,Not spicy,food-drink,Food & Drink,Not spicy please,Không cay nhé,khong kai nhe,food-3,ready,starter,say-first,Use this before the dish is prepared if you want mild food.,not spicy | mild,,,,,,,,,legacy food primary | relation-sample=viet-food-not-spicy:anchor
food-not-spicy-clearer,food-not-spicy,Not spicy,food-drink,Food & Drink,"Less spicy, please",Ít cay thôi,eet kai thoy,audio-authored-it-cay-thoi-05b8e258a2,ready,premium,clearer,Use this when fully not spicy is unrealistic but you still need the dish milder.,less spicy | mild,,,,,,,,,premium clearer variant | relation-sample=viet-food-not-spicy:variant:clearer
food-4,food-more-herbs,More herbs,food-drink,Food & Drink,More herbs please,Cho thêm rau,cho them zow,food-4,ready,starter,say-first,Use this when you want extra herbs or greens.,more herbs | more vegetables,,,,,,,,,legacy food primary
food-5,food-bottled-water,Bottled water,food-drink,Food & Drink,Do you have bottled water?,Có nước suối không?,koh nook soy khong,food-5,ready,starter,say-first,Ask this when you want bottled water with your meal.,bottled water | water,,,,,,,,,legacy food primary | relation-sample=viet-food-bottled-water:anchor
food-6,food-utensils,Spoon and chopsticks,food-drink,Food & Drink,A spoon and chopsticks please,Cho tôi muỗng với đũa,cho toy moong voy doo-ah,food-6,ready,starter,say-first,Use this if utensils were not set out.,spoon and chopsticks | utensils,,,,,,,,,legacy food primary
food-7,food-pack-to-go,Pack it to go,food-drink,Food & Drink,Pack it to go,Gói mang về,goy mang veh,food-7,ready,starter,say-first,Say this when you want takeaway from a stall or restaurant.,pack to go | take away,,,,,,,,,legacy food primary
food-vegetarian,food-vegetarian,Vegetarian,food-drink,Food & Drink,I am vegetarian,Tôi ăn chay,toy an chai,food-vegetarian,ready,starter,say-first,Use this before you order when you need the vegetarian version or a different dish.,vegetarian,,,,,,,,,resolved hold-review primary
food-peanut-allergy,food-peanut-allergy,Peanut allergy,food-drink,Food & Drink,I am allergic to peanuts,Tôi bị dị ứng đậu phộng,toy bee zee oong dow fohng,food-peanut-allergy,ready,starter,say-first,Use this before you order when peanuts are the main food risk.,peanut allergy | allergic to peanuts,,,,,,,,,resolved hold-review primary
food-15,food-peanut-allergy,Peanut allergy,food-drink,Food & Drink,Does this have egg or peanuts?,Món này có trứng hay đậu phộng không?,mon nai koh choong hai dow fohng khong,food-15,ready,starter,also-common,Use this after the allergy warning when you need to check the ingredients directly.,egg | peanut | allergy,,,,,,,,,resolved hold-review ingredient variant
food-16,food-wrong-order,Wrong order,food-drink,Food & Drink,This isn’t what I ordered,Đây không phải món tôi gọi,day khong fai mon toy goy,food-16,ready,premium,say-first,Use this when the wrong dish arrives at the table.,wrong order | not what i ordered,,,,,,,,,premium-only food family
food-17,food-split-bill,Pay separately,food-drink,Food & Drink,Can we pay separately?,Trả riêng được không?,tra ryeng dook khong,food-17,ready,premium,say-first,Use this when you need separate payment instead of a single bill.,pay separately | split bill,,,,,,,,,premium-only food family
price-1,money-how-much,How much is this?,money-numbers-prices,Payment & numbers,How much is this?,Cái này bao nhiêu?,gai nai bao nyew,price-1,ready,starter,say-first,Use this while pointing at an item.,how much is this | price,,,,,,,,,legacy price primary | relation-sample=viet-money-how-much:anchor
money-how-much-common,money-how-much,How much is this?,money-numbers-prices,Payment & numbers,How much is this?,Cái này nhiêu tiền?,gai nai nyew tyen,money-how-much-common,ready,premium,also-common,Use this as a common spoken alternative when you hear price asked more casually.,how much | price,,,,,,,,,premium also-common variant
price-2,money-per-kilo,Price per kilo,money-numbers-prices,Payment & numbers,How much per kilo?,Bao nhiêu một ký?,bao nyew mot kee,price-2,ready,starter,say-first,"Use this for fruit, snacks, or anything sold by weight.",per kilo | kilo price,,,,,,,,,legacy price primary
price-3,money-too-expensive,Too expensive,money-numbers-prices,Payment & numbers,Too expensive,Mắc quá,mak gwah,price-3,ready,starter,say-first,Say this lightly when reacting to a high price.,too expensive,,,,,,,,,legacy price primary
price-4,money-lower-price,Lower the price,money-numbers-prices,Payment & numbers,Can you lower it a little?,Bớt chút được không?,but choot dook khong,price-4,ready,starter,say-first,Use this politely when bargaining is normal.,lower it | discount,,,,,,,,,legacy price primary
price-5,money-final-price,Final price,money-numbers-prices,Payment & numbers,What’s your final price?,Giá cuối bao nhiêu?,za gooy bao nyew,price-5,ready,starter,say-first,Ask this before making a final decision.,final price,,,,,,,,,legacy price primary | relation-sample=viet-money-final-price:anchor
price-6,money-another-one,Another one,money-numbers-prices,Payment & numbers,Show me another one,Cho tôi xem cái khác,cho toy sem gai khak,price-6,ready,starter,say-first,Use this when you want to compare options.,another one | show me another,,,,,,,,,legacy price primary
price-7,money-take-this,I'll take this,money-numbers-prices,Payment & numbers,I’ll take this one,Tôi lấy cái này,toy lay gai nai,price-7,ready,starter,say-first,Say this once you agree on the item and price.,i'll take this,,,,,,,,,legacy price primary
price-8,money-total,Total,money-numbers-prices,Payment & numbers,How much altogether?,Tổng cộng bao nhiêu?,tong kong bao nyew,price-8,ready,premium,say-first,Use this when you need the full amount across more than one item.,how much altogether | total,,,,,,,,,premium-only money family
airport-4,money-find-atm,Find an ATM,money-numbers-prices,Payment & numbers,Where is the nearest ATM?,ATM gần nhất ở đâu?,ay-tee-em gun nyut uh dow,airport-4,ready,starter,say-first,"Use this when you need cash and want the closest ATM, not just any airport machine.",atm | nearest atm | cash machine,,,,,,,,,resolved hold-review key reuse from airport lane
price-9,money-small-bills,Small bills,money-numbers-prices,Payment & numbers,Do you have smaller bills?,Có tiền lẻ không?,koh tyen leh khong,price-9,ready,premium,say-first,Use this when you need smaller notes or change.,small bills | change,,,,,,,,,premium-only money family
directions-1,directions-how-to-get,How do I get there?,directions-navigation,Directions & Navigation,"Excuse me, how do I get there?","Cho hỏi, đi tới đó thế nào?",cho hoy dee toy doh theh nao,directions-1,ready,starter,say-first,Use this when you need the route to a place and can point or name it separately.,how do i get there | get there,,,,,,,,,resolved hold-review replacement
directions-2,directions-near,Is it near here?,directions-navigation,Directions & Navigation,Is it near here?,Ở gần đây không?,uh gun day khong,directions-2,ready,starter,say-first,Use this before you commit to walking.,near here | nearby,,,,,,,,,legacy directions primary
directions-3,directions-how-long,How long on foot?,directions-navigation,Directions & Navigation,How long does it take on foot?,Đi bộ mất bao lâu?,dee boh mut bao low,directions-3,ready,starter,say-first,"Use this when you need walking time, not just direction words.",how long on foot | walking time,,,,,,,,,resolved hold-review replacement
directions-4,directions-turn-left,Turn left?,directions-navigation,Directions & Navigation,Where do I turn left?,Rẽ trái ở đâu?,reh chai uh dow,directions-4,ready,starter,say-first,Use this when you are already on the route and need the next turn.,turn left,,,,,,,,,legacy directions primary
directions-5,directions-turn-right,Turn right?,directions-navigation,Directions & Navigation,Should I turn right?,Tôi rẽ phải đúng không?,toy reh fai zoong khong,directions-5,ready,starter,say-first,Use this when you want to confirm the next turn as a yes-or-no question.,turn right | right turn,,,,,,,,,resolved hold-review replacement
directions-6,directions-go-straight,Go straight?,directions-navigation,Directions & Navigation,Should I go straight?,Tôi đi thẳng phải không?,toy dee thang fai khong,directions-6,ready,starter,say-first,Use this when you want to confirm that you should keep going straight.,go straight,,,,,,,,,resolved hold-review replacement
directions-7,directions-understand-now,I understand now,directions-navigation,Directions & Navigation,"Thanks, I understand now","Cảm ơn, tôi hiểu rồi",kahm uhn toy hyew roy,directions-7,ready,starter,say-first,Use this when the directions finally make sense and you are ready to move.,i understand now,,,,,,,,,legacy directions primary
directions-8,directions-pickup-point,Pickup point,directions-navigation,Directions & Navigation,Where is the pickup point?,Điểm đón ở đâu?,deeym don uh dow,directions-8,ready,premium,say-first,"Use this for rides, tours, or shuttle pickups.",pickup point,,,,,,,,,premium-only directions family
directions-9,directions-which-exit,Which exit?,directions-navigation,Directions & Navigation,Which exit?,Lối ra nào?,loy za now,directions-9,ready,premium,say-first,Use this when there are multiple exits and the wrong one will waste time.,which exit | exit,,,,,,,,,premium-only directions family
airport-1,airport-immigration,Immigration,airport-border-arrival,Airport Border Arrival,Where is immigration?,Nhập cảnh ở đâu?,nyup canh uh dow,airport-1,ready,starter,say-first,Use this right after landing when you need the first official line.,immigration,,,,,,,,,new starter family
airport-2,airport-baggage,Baggage claim,airport-border-arrival,Airport Border Arrival,Where is baggage claim?,Lấy hành lý ở đâu?,lay han lee uh dow,airport-2,ready,starter,say-first,Use this after passport control when you need the bag carousel.,baggage claim | luggage,,,,,,,,,new starter family
airport-3,airport-sim,Buy a SIM card,airport-border-arrival,Airport Border Arrival,Where can I buy a SIM card?,Mua SIM ở đâu?,moo-ah sim uh dow,airport-3,ready,starter,say-first,Use this after arrival if you need data before leaving the airport.,sim card | buy sim,,,,,,,,,new starter family
airport-5,airport-pickup,Pickup area,airport-border-arrival,Airport Border Arrival,Where is the pickup area?,Khu đón ở đâu?,khoo don uh dow,airport-5,ready,starter,say-first,"Use this for rideshare, shuttle, or private pickup handoffs.",pickup area | pickup point,,,,,,,,,new starter family
airport-pickup-clearer,airport-pickup,Pickup area,airport-border-arrival,Airport Border Arrival,Where do I meet the driver?,Tôi gặp tài xế ở đâu?,toy gap tai seh uh dow,airport-pickup-clearer,ready,premium,clearer,"Use this when you already know it is a driver handoff, not a general pickup zone.",meet the driver,,,,,,,,,premium clearer variant
airport-6,airport-bag-missing,My bag didn't arrive,airport-border-arrival,Airport Border Arrival,My bag did not arrive,Hành lý của tôi chưa tới,han lee koo-ah toy choo toy,airport-6,ready,starter,say-first,Use this when your bag did not appear on the carousel.,my bag did not arrive | lost bag,,,,,,,,,starter baggage-recovery family
airport-7,airport-domestic-terminal,Domestic terminal,airport-border-arrival,Airport Border Arrival,Where is the domestic terminal?,Nhà ga nội địa ở đâu?,nya ga noy dee-ah uh dow,airport-7,ready,premium,say-first,"Use this when you need the next airport terminal, not just the exit.",domestic terminal,,,,,,,,,premium-only airport family
problems-6,health-doctor,I need a doctor,health-pharmacy,Health & Pharmacy,I need a doctor,Tôi cần bác sĩ,toy gun bak see,problems-6,ready,starter,say-first,Use this if you feel sick and need medical help quickly.,doctor | need a doctor,,,,,,,,,legacy starter moved into health lane
health-1,health-pharmacy,Pharmacy,health-pharmacy,Health & Pharmacy,Where is the pharmacy?,Nhà thuốc ở đâu?,nya thoo-ok uh dow,health-1,ready,starter,also-common,Use this when you need a pharmacy and a simple direct wording is enough.,pharmacy | drugstore,,,,,,,,,existing direct pharmacy variant
health-pharmacy-clearer,health-pharmacy,Pharmacy,health-pharmacy,Health & Pharmacy,Where is the nearest pharmacy?,Nhà thuốc gần nhất ở đâu?,nya thoo-ok gun nyut uh dow,health-pharmacy-clearer,ready,starter,say-first,"Use this when you need the nearest pharmacy, not just any pharmacy.",nearest pharmacy | pharmacy nearby,,,,,,,,,resolved hold-review primary
health-2,health-headache,I have a headache,health-pharmacy,Health & Pharmacy,I have a headache,Tôi bị đau đầu,toy bee dow dow,health-2,ready,starter,say-first,Use this when you want the symptom understood before asking for medicine.,headache,,,,,,,,,new starter family
health-3,health-stomach,My stomach hurts,health-pharmacy,Health & Pharmacy,My stomach hurts,Tôi đau bụng,toy dow boong,health-3,ready,starter,say-first,"Use this for stomach pain, cramps, or when you need stomach medicine.",stomach hurts | stomach pain,,,,,,,,,new starter family
