"page_id","phrase_id","source_lane","pageKind","section_id","section_key","sort_order","current_section_title","current_section_body","current_presentation","generated_section_source_path","source_path","proposed_section_title","proposed_section_body","proposed_presentation","reviewer_notes","review_status","import_approval","approved_by","approved_at"
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-anh:good-to-know","good-to-know","6","Good to know","A calm tone matters as much as the words. Short polite phrases keep the exchange warm without forcing a long conversation.","tip-callout","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-anh","acknowledge-da-chao-anh","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-anh:explore-next","explore-next","7","Explore next","Go next to phrases that help you confirm, answer, or continue after Dạ, chào anh.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-anh.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ba","acknowledge-da-chao-ba","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ba:at-glance","at-glance","0","At a glance","Dạ, chào bà is a practical polite basics phrase for keeping one travel detail clear. Use it when Respectful hello to an elderly woman is the next detail to solve and a short answer would move the exchange forward.","plain-text","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ba.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ba","acknowledge-da-chao-ba","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ba:standard-way","standard-way","1","The standard way","Use it when bà clearly fits better than chị or cô.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ba.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ba","acknowledge-da-chao-ba","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ba:breakdown","breakdown","2","Break it down","Read the cards left to right: first catch the request shape, then the place, item, action, or time detail, and finally the complete phrase.","breakdown-strip","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ba.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ba","acknowledge-da-chao-ba","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ba:relationship-words","relationship-words","3","Relationship words","Vietnamese often uses a relationship word where English uses one all-purpose you. Use these when the person's age or role is clear; if you are unsure, keep the main phrase simple and friendly.","relationship-shelf","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ba.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ba","acknowledge-da-chao-ba","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ba:relationship-swaps","relationship-swaps","4","Relationship swaps","These help you move between older-woman and elderly-woman greetings.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ba.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ba","acknowledge-da-chao-ba","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ba:when-to-use","when-to-use","5","When to use it","Use this in a real polite basics exchange when respectful hello to an elderly woman is the detail you need resolved. The likely reply is a yes/no answer, point, number, or short follow-up, so keep the phrase short and ready for one follow-up.","plain-text","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ba.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ba","acknowledge-da-chao-ba","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ba:good-to-know","good-to-know","6","Good to know","A calm tone matters as much as the words. Short polite phrases keep the exchange warm without forcing a long conversation.","tip-callout","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ba.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ba","acknowledge-da-chao-ba","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ba:explore-next","explore-next","7","Explore next","Go next to phrases that help you confirm, answer, or continue after Dạ, chào bà.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ba.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chi","acknowledge-da-chao-chi","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chi:at-glance","at-glance","0","At a glance","Dạ, chào chị is a practical polite basics phrase for keeping one travel detail clear. Use it when Respectful hello to an older woman is the next detail to solve and a short answer would move the exchange forward.","plain-text","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chi.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chi","acknowledge-da-chao-chi","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chi:standard-way","standard-way","1","The standard way","Use it when chị fits the person better than bạn, cô, or bà.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chi.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chi","acknowledge-da-chao-chi","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chi:breakdown","breakdown","2","Break it down","Read the cards left to right: first catch the request shape, then the place, item, action, or time detail, and finally the complete phrase.","breakdown-strip","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chi.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chi","acknowledge-da-chao-chi","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chi:relationship-words","relationship-words","3","Relationship words","Vietnamese often uses a relationship word where English uses one all-purpose you. Use these when the person's age or role is clear; if you are unsure, keep the main phrase simple and friendly.","relationship-shelf","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chi.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chi","acknowledge-da-chao-chi","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chi:relationship-swaps","relationship-swaps","4","Relationship swaps","These keep the same respectful shape while changing who you are greeting.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chi.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chi","acknowledge-da-chao-chi","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chi:when-to-use","when-to-use","5","When to use it","Use this in a real polite basics exchange when respectful hello to an older woman is the detail you need resolved. The likely reply is a yes/no answer, point, number, or short follow-up, so keep the phrase short and ready for one follow-up.","plain-text","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chi.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chi","acknowledge-da-chao-chi","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chi:good-to-know","good-to-know","6","Good to know","A calm tone matters as much as the words. Short polite phrases keep the exchange warm without forcing a long conversation.","tip-callout","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chi.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chi","acknowledge-da-chao-chi","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chi:explore-next","explore-next","7","Explore next","Go next to phrases that help you confirm, answer, or continue after Dạ, chào chị.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chi.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chu","acknowledge-da-chao-chu","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chu:at-glance","at-glance","0","At a glance","Dạ, chào chú is a practical polite basics phrase for keeping one travel detail clear. Use it when Respectful hello to an uncle-age man is the next detail to solve and a short answer would move the exchange forward.","plain-text","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chu.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chu","acknowledge-da-chao-chu","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chu:standard-way","standard-way","1","The standard way","Use it when the person is clearly older than a brother-age man but not elderly.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chu.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chu","acknowledge-da-chao-chu","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chu:breakdown","breakdown","2","Break it down","Read the cards left to right: first catch the request shape, then the place, item, action, or time detail, and finally the complete phrase.","breakdown-strip","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chu.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chu","acknowledge-da-chao-chu","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chu:relationship-words","relationship-words","3","Relationship words","Vietnamese often uses a relationship word where English uses one all-purpose you. Use these when the person's age or role is clear; if you are unsure, keep the main phrase simple and friendly.","relationship-shelf","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chu.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chu","acknowledge-da-chao-chu","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chu:relationship-swaps","relationship-swaps","4","Relationship swaps","These help you choose the right male greeting by age.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chu.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chu","acknowledge-da-chao-chu","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chu:when-to-use","when-to-use","5","When to use it","Use this in a real polite basics exchange when respectful hello to an uncle-age man is the detail you need resolved. The likely reply is a yes/no answer, point, number, or short follow-up, so keep the phrase short and ready for one follow-up.","plain-text","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chu.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chu","acknowledge-da-chao-chu","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chu:good-to-know","good-to-know","6","Good to know","A calm tone matters as much as the words. Short polite phrases keep the exchange warm without forcing a long conversation.","tip-callout","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chu.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chu","acknowledge-da-chao-chu","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-chu:explore-next","explore-next","7","Explore next","Go next to phrases that help you confirm, answer, or continue after Dạ, chào chú.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chu.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-co","acknowledge-da-chao-co","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-co:at-glance","at-glance","0","At a glance","Dạ, chào cô is a practical polite basics phrase for keeping one travel detail clear. Use it when Respectful hello to an aunt-age woman is the next detail to solve and a short answer would move the exchange forward.","plain-text","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-co","acknowledge-da-chao-co","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-co:standard-way","standard-way","1","The standard way","Use it when cô sounds more natural than chị, especially if the person is clearly older than an older-sister role.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-co","acknowledge-da-chao-co","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-co:breakdown","breakdown","2","Break it down","Read the cards left to right: first catch the request shape, then the place, item, action, or time detail, and finally the complete phrase.","breakdown-strip","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-co","acknowledge-da-chao-co","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-co:relationship-words","relationship-words","3","Relationship words","Vietnamese often uses a relationship word where English uses one all-purpose you. Use these when the person's age or role is clear; if you are unsure, keep the main phrase simple and friendly.","relationship-shelf","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-co","acknowledge-da-chao-co","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-co:relationship-swaps","relationship-swaps","4","Relationship swaps","Move up or down the age ladder with these nearby forms.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-co","acknowledge-da-chao-co","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-co:when-to-use","when-to-use","5","When to use it","Use this in a real polite basics exchange when respectful hello to an aunt-age woman is the detail you need resolved. The likely reply is a yes/no answer, point, number, or short follow-up, so keep the phrase short and ready for one follow-up.","plain-text","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-co","acknowledge-da-chao-co","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-co:good-to-know","good-to-know","6","Good to know","A calm tone matters as much as the words. Short polite phrases keep the exchange warm without forcing a long conversation.","tip-callout","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-co","acknowledge-da-chao-co","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-co:explore-next","explore-next","7","Explore next","Go next to phrases that help you confirm, answer, or continue after Dạ, chào cô.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ong","acknowledge-da-chao-ong","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ong:at-glance","at-glance","0","At a glance","Dạ, chào ông is a practical polite basics phrase for keeping one travel detail clear. Use it when Respectful hello to an elderly man is the next detail to solve and a short answer would move the exchange forward.","plain-text","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ong.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ong","acknowledge-da-chao-ong","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ong:standard-way","standard-way","1","The standard way","Use it when ông clearly fits better than anh or chú.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ong.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ong","acknowledge-da-chao-ong","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ong:breakdown","breakdown","2","Break it down","Read the cards left to right: first catch the request shape, then the place, item, action, or time detail, and finally the complete phrase.","breakdown-strip","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ong.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ong","acknowledge-da-chao-ong","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ong:relationship-words","relationship-words","3","Relationship words","Vietnamese often uses a relationship word where English uses one all-purpose you. Use these when the person's age or role is clear; if you are unsure, keep the main phrase simple and friendly.","relationship-shelf","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ong.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ong","acknowledge-da-chao-ong","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ong:relationship-swaps","relationship-swaps","4","Relationship swaps","These forms move between elderly and middle-age relationship words.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ong.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ong","acknowledge-da-chao-ong","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ong:when-to-use","when-to-use","5","When to use it","Use this in a real polite basics exchange when respectful hello to an elderly man is the detail you need resolved. The likely reply is a yes/no answer, point, number, or short follow-up, so keep the phrase short and ready for one follow-up.","plain-text","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ong.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ong","acknowledge-da-chao-ong","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ong:good-to-know","good-to-know","6","Good to know","A calm tone matters as much as the words. Short polite phrases keep the exchange warm without forcing a long conversation.","tip-callout","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ong.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ong","acknowledge-da-chao-ong","catalog-promoted","phrase","viet-phrase-acknowledge-da-chao-ong:explore-next","explore-next","7","Explore next","Go next to phrases that help you confirm, answer, or continue after Dạ, chào ông.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ong.json","","","","","not_started","","",""
"viet-phrase-acknowledge-duoc","acknowledge-duoc","catalog-promoted","phrase","viet-phrase-acknowledge-duoc:at-glance","at-glance","0","At a glance","Được is a practical polite basics phrase for keeping one travel detail clear. Use it when Okay / that works is the next detail to solve and a short answer would move the exchange forward.","plain-text","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-duoc.json","","","","","not_started","","",""
"viet-phrase-acknowledge-duoc","acknowledge-duoc","catalog-promoted","phrase","viet-phrase-acknowledge-duoc:standard-way","standard-way","1","The standard way","Use Được when you want to accept a practical option without adding a long sentence.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-duoc.json","","","","","not_started","","",""
"viet-phrase-acknowledge-duoc","acknowledge-duoc","catalog-promoted","phrase","viet-phrase-acknowledge-duoc:breakdown","breakdown","2","Break it down","Read the cards left to right: first catch the request shape, then the place, item, action, or time detail, and finally the complete phrase.","breakdown-strip","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-duoc.json","","","","","not_started","","",""
"viet-phrase-acknowledge-duoc","acknowledge-duoc","catalog-promoted","phrase","viet-phrase-acknowledge-duoc:nearby-answers","nearby-answers","4","Nearby answers","Use these when the answer is yes, correct, or no instead of accepted.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-duoc.json","","","","","not_started","","",""
"viet-phrase-acknowledge-duoc","acknowledge-duoc","catalog-promoted","phrase","viet-phrase-acknowledge-duoc:when-to-use","when-to-use","5","When to use it","Use this in a real polite basics exchange when okay / that works is the detail you need resolved. The likely reply is a yes/no answer, point, number, or short follow-up, so keep the phrase short and ready for one follow-up.","plain-text","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-duoc.json","","","","","not_started","","",""
"viet-phrase-acknowledge-duoc","acknowledge-duoc","catalog-promoted","phrase","viet-phrase-acknowledge-duoc:good-to-know","good-to-know","6","Good to know","A calm tone matters as much as the words. Short polite phrases keep the exchange warm without forcing a long conversation.","tip-callout","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-duoc.json","","","","","not_started","","",""
"viet-phrase-acknowledge-duoc","acknowledge-duoc","catalog-promoted","phrase","viet-phrase-acknowledge-duoc:explore-next","explore-next","7","Explore next","Go next to phrases that help you confirm, answer, or continue after Được.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-duoc.json","","","","","not_started","","",""
"viet-phrase-acknowledge-khong","acknowledge-khong","catalog-promoted","phrase","viet-phrase-acknowledge-khong:at-glance","at-glance","0","At a glance","Không is a practical polite basics phrase for keeping one travel detail clear. Use it when No is the next detail to solve and a short answer would move the exchange forward.","plain-text","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-khong.json","","","","","not_started","","",""
"viet-phrase-acknowledge-khong","acknowledge-khong","catalog-promoted","phrase","viet-phrase-acknowledge-khong:standard-way","standard-way","1","The standard way","Use Không when the answer is no and the other person needs clarity more than extra explanation.","phrase-list","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-khong.json","","","","","not_started","","",""
