rank,scenario_id,phrase_id,english_text,priority_reason,confidence,review_flag,execution_status,decision_notes
11,grab-taxi,indonesian-grab-taxi-8,Where should I wait?,Indonesia-specific ride-hailing repair phrase because pickup-point confusion is a real traveler pain point.,high,transport-review,first-wave-translated,Translated as a pickup-point repair line while keeping transport review visible.
12,asking-price,indonesian-asking-price-10,Can I scan to pay?,High-value payment phrase because scan and QR payment signs are common and travelers need a polite confirmation row.,high,money-review,first-wave-translated,Translated as an explicit QR payment check while keeping payment review visible.
13,asking-price,indonesian-asking-price-9,Can I pay by card?,Strong payment-clarity follow-up when counters or small shops may or may not accept cards.,high,money-review,first-wave-translated,Translated as an explicit card-payment confirmation while keeping payment review visible.
14,asking-price,indonesian-asking-price-8,Can I pay cash?,Useful payment-clarity row for digital-first or mixed-payment counters where cash acceptance is uncertain.,high,money-review,first-wave-translated,Translated as a cash-acceptance check while keeping payment review visible.
15,convenience-store,indonesian-convenience-store-8,Where is the toilet?,"Pressure-moment utility phrase for mini-marts, station kiosks, malls, and cafe counters.",high,none,first-wave-translated,Translated as a quick restroom-location question for pressure moments.
16,convenience-store,indonesian-convenience-store-1,A bottle of water please,High-frequency hydration purchase phrase for quick stops in hot-weather travel.,high,none,first-wave-translated,Translated as a hydration purchase line for mini-marts kiosks and counters.
17,street-food,indonesian-street-food-3,Not spicy please,Important comfort and food-risk line that should be drafted early and reviewed carefully later.,high,food-review,first-wave-translated,Translated as a polite spice-level request while keeping food-risk review visible.
18,street-food,indonesian-street-food-1,One portion please,"Useful quick-order phrase for stalls, warungs, and casual restaurant counters.",high,none,first-wave-translated,Translated as a simple food-order line for stalls and warungs.
19,street-food,indonesian-street-food-2,I would like this one,Broad pointing-based food order that works better than the bowl-specific baseline carryover.,high,none,first-wave-translated,Translated as a pointing-based order request for prepared dishes and snacks.
20,street-food,indonesian-street-food-5,Do you have bottled water,Useful restaurant follow-up when sealed water matters more than broad drink browsing.,medium,none,first-wave-translated,Translated as a sealed-water check for stalls and casual restaurants.
21,coffee-shop,indonesian-coffee-shop-6,For takeaway,Useful cafe and bakery row for grab-and-go orders in busy tourist areas.,medium,none,first-wave-translated,Translated as the core takeaway line for cafes bakeries and drink counters.
22,coffee-shop,indonesian-coffee-shop-7,"Could I pay, please?",Useful cafe close-out phrase that rounds out the first coffee-shop service loop.,medium,none,first-wave-translated,Translated as a polite pay-now request.
23,hotel-hostel,indonesian-hotel-hostel-3,What time is check out,Common front-desk follow-up that helps travelers plan transport and day bags.,medium,none,first-wave-translated,Translated as a practical checkout-timing question.
24,simple-problems,indonesian-simple-problems-9,Can you write it down?,"High-value repair phrase for names, addresses, pickup points, and prices.",medium,none,first-wave-translated,Translated as a visual repair line for names prices addresses and pickup points.
25,simple-problems,indonesian-simple-problems-10,Can you show me on the map?,"High-value visual repair phrase for rides, walking directions, and hotel help desks.",medium,none,first-wave-translated,Translated as a visual route and pickup explanation request.
26,simple-problems,indonesian-simple-problems-8,Please repeat that,Useful repair phrase when the traveler caught part of the reply but needs one more pass.,medium,none,first-wave-translated,Translated as a simple repeat request for noisy or fast conversations.
27,simple-problems,indonesian-simple-problems-1,I am lost,Pressure-moment phrase that pairs well with showing a map or hotel screen.,medium,none,first-wave-translated,Translated as a concise pressure-moment repair line.
28,polite-basics,indonesian-polite-basics-4,No thank you,"Practical polite-decline row for upsells, offers, and market interactions.",medium,none,first-wave-translated,Translated as a polite decline for offers and upsells.
29,simple-problems,indonesian-simple-problems-11,Please help me,Broad help-seeking row that keeps the lane usable when the traveler cannot explain the full problem yet.,medium,none,first-wave-translated,Translated as a broad help-seeking line for moments when detail is not possible yet.
30,directions,indonesian-directions-2,Is it near here,Compact navigation phrase that helps the traveler decide between walking and taking a ride.,medium,none,first-wave-translated,Translated as a compact distance-check question.
31,coffee-shop,indonesian-coffee-shop-5,Less sugar please,Useful cafe customization phrase that fits Indonesia better than the weaker iced-drink baseline rows.,medium,none,translated-second-pack,Translated as a lighter sugar-adjustment request for cafes and drink counters.
32,street-food,indonesian-street-food-6,A spoon and fork please,High-utility dining repair phrase because spoon-and-fork requests fit many Indonesia meals better than the old chopsticks carryover.,medium,none,translated-second-pack,Translated as a practical utensil request for stalls and casual restaurants.
33,street-food,indonesian-street-food-7,Pack it to go,Useful takeaway line for stalls and casual restaurants once the first order loop is already translated.,medium,none,translated-second-pack,Translated as a takeaway packaging request that extends the food service loop.
34,grab-taxi,indonesian-grab-taxi-2,Please take me to this address,High-value ride-control row because address handoff is more reliable than generic place names in taxi and app pickup moments.,high,none,translated-second-pack,Translated as an address-based ride request for taxis and ride apps.
35,grab-taxi,indonesian-grab-taxi-4,Please follow the map,Strong route-correction phrase when the traveler needs the driver to stick to the visible navigation path.,high,transport-review,translated-second-pack,Translated as a map-follow request while keeping transport-review visibility.
36,grab-taxi,indonesian-grab-taxi-5,Please turn on the air conditioning,Useful ride-comfort request in hot-weather travel and a realistic taxi pain point.,medium,none,translated-second-pack,Translated as a direct ride-comfort request for hot car trips.
37,grab-taxi,indonesian-grab-taxi-6,Wait for me five minutes,Useful short-stop line for ATMs pharmacies or quick pickups without forcing a longer explanation.,medium,none,translated-second-pack,Translated as a short-stop request for taxis and ride apps.
38,grab-taxi,indonesian-grab-taxi-7,I will pay cash,Useful payment-follow-through line after the earlier cash card and QR confirmation rows.,medium,money-review,translated-second-pack,Translated as a direct cash-payment clarification after the broader payment checks.
39,grab-taxi,indonesian-grab-taxi-9,Please wait a moment,High-value ride-hailing repair phrase for pickup friction when the traveler is still finding the car or wallet.,high,transport-review,translated-second-pack,Translated as a short-delay ride-app repair phrase while keeping transport review visible.
40,asking-price,indonesian-asking-price-2,How much per kilo,Useful market and produce phrase that broadens the asking-price scenario beyond single-item pointing.,medium,none,translated-second-pack,Translated as a weight-based price check for produce and market goods.
41,asking-price,indonesian-asking-price-5,What is the total price,High-value purchase-confirmation phrase that is safer than stronger bargaining wording in the early Indonesia pack.,high,money-review,translated-second-pack,Translated as a total-price confirmation instead of bargaining-heavy wording.
42,asking-price,indonesian-asking-price-6,Show me another one,Useful comparison phrase for markets souvenir counters and other multi-option shopping moments.,medium,none,translated-second-pack,Translated as a practical comparison request for shops and markets.
43,asking-price,indonesian-asking-price-7,I will take this one,Strong purchase-closing line that fits the price-check scenario better than the remaining discount-seeking holdout.,high,none,translated-second-pack,Translated as a simple purchase-commitment line after item comparison.
44,polite-basics,indonesian-polite-basics-1,Hello,Useful service-safe opener for shops mini-marts front desks and casual greetings before a request.,high,none,translated-second-pack,Translated as a simple all-day greeting for shops and front desks.
45,polite-basics,indonesian-polite-basics-3,Yes,Compact acknowledgment token that helps low-pressure service exchanges stay smooth.,medium,none,translated-second-pack,Translated as a compact yes or acknowledgment token.
46,polite-basics,indonesian-polite-basics-6,It is okay,Useful reassurance reply when staff apologize for a small delay or issue.,medium,none,translated-second-pack,Translated as a calm reassurance reply after minor service friction.
47,polite-basics,indonesian-polite-basics-7,Goodbye,Useful closing phrase for leaving a shop hotel desk or ride politely.,medium,none,translated-second-pack,Translated as a polite service-safe closing when leaving.
48,convenience-store,indonesian-convenience-store-2,Do you have a bag,Common checkout follow-through need when buying drinks snacks or pharmacy items.,medium,none,translated-second-pack,Translated as a natural bag request instead of a literal stock question.
49,convenience-store,indonesian-convenience-store-3,Tissues please,Simple store-counter request that rounds out the mini-mart utility set.,medium,none,translated-second-pack,Translated as a short convenience-counter request for tissues.
50,convenience-store,indonesian-convenience-store-5,Please open this for me,Useful packaging-help phrase for bottles and sealed items bought on the go.,medium,none,translated-second-pack,Translated as a packaging-help request for bottles and hard seals.
51,convenience-store,indonesian-convenience-store-7,Please give me the receipt,High-utility transaction follow-through phrase for reimbursements returns or expense tracking.,high,none,translated-second-pack,Translated as a receipt follow-through request for shops and mini-marts.
52,hotel-hostel,indonesian-hotel-hostel-4,This room is too hot,Useful room-comfort complaint that often appears before a more specific AC repair request.,medium,none,translated-second-pack,Translated as a direct room-comfort complaint for hotel support.
53,hotel-hostel,indonesian-hotel-hostel-5,The air conditioner is not working,High-value hotel problem phrase because AC trouble is a realistic Indonesia room issue.,high,none,translated-second-pack,Translated as a direct room-problem repair line for hotel support.
54,hotel-hostel,indonesian-hotel-hostel-6,More towels please,Common front-desk or housekeeping follow-up request during short stays.,medium,none,translated-second-pack,Translated as a housekeeping follow-up request for extra towels.
55,hotel-hostel,indonesian-hotel-hostel-7,Please hold my luggage,Useful before-check-in or after-checkout support phrase at hotels and guesthouses.,medium,none,translated-second-pack,Translated as a luggage-hold request for before or after check-in.
56,directions,indonesian-directions-3,How long on foot,Useful route-planning follow-up once the traveler already knows the target place or landmark.,medium,none,translated-second-pack,Translated as a walking-time follow-up after a route explanation.
57,simple-problems,indonesian-simple-problems-4,I left something behind,High-pressure repair phrase for forgotten items in rides rooms and cafes.,high,none,translated-second-pack,Translated as a forgotten-item repair line for rooms rides and cafes.
58,simple-problems,indonesian-simple-problems-5,The Wi Fi is not working,High-value connectivity repair phrase for hotels cafes and coworking-adjacent stops.,high,none,translated-second-pack,Translated as a connectivity problem line for hotels and cafes.
59,simple-problems,indonesian-simple-problems-7,Please call for me,Useful support phrase when the traveler needs staff help making a local call or service contact.,medium,none,translated-second-pack,Translated as a support-call request when the traveler needs local help placing a call.
60,coffee-shop,indonesian-coffee-shop-1,One iced milk coffee please,Common Indonesia cafe order that rounds out the coffee surface once the base takeaway and pay rows are already translated.,medium,none,holdout-pass-translated,Translated as a standard iced milk coffee order for practical cafe use.
61,coffee-shop,indonesian-coffee-shop-2,I would like an iced black coffee,Useful black-coffee variant that broadens the cafe set without drifting into low-value filler.,medium,none,holdout-pass-translated,Translated as a simple black iced coffee order for practical cafe use.
62,coffee-shop,indonesian-coffee-shop-3,I would like an iced latte,Useful familiar milk-coffee variant for cafes in tourist-heavy areas where latte wording is already common.,medium,none,holdout-pass-translated,Translated with a loanword-friendly cafe surface instead of over-formal wording.
63,coffee-shop,indonesian-coffee-shop-4,Just a little ice,Practical drink modifier that supports the newly promoted iced coffee rows without adding a whole new scenario branch.,medium,none,holdout-pass-translated,Translated as a short ice-adjustment request that pairs with coffee orders.
64,street-food,indonesian-street-food-4,More vegetables please,Useful meal-adjustment row now that the broader food basics are already translated and stable.,medium,none,holdout-pass-translated,Translated from the earlier rewrite into a practical add-more-vegetables request.
65,asking-price,indonesian-asking-price-4,Is there a cheaper one,Useful option-comparison phrase that stays softer than direct bargaining and fits the remaining practical purchase tail.,medium,none,holdout-pass-translated,Translated as a cheaper-option comparison instead of a harder bargaining line.
66,convenience-store,indonesian-convenience-store-4,Where is the sunscreen,Useful practical remainder row for mini-marts pharmacies and beach-area shops once the core purchase loop is already covered.,medium,none,holdout-pass-translated,Translated as a practical sunscreen lookup using standard tabir surya wording.
67,directions,indonesian-directions-8,Where is the port?,Useful island-travel lookup row for ferry and harbor access without reopening the low-fit turn-by-turn direction filler.,medium,none,holdout-pass-translated,Translated as a ferry or harbor lookup while leaving the generic direction filler deferred.
