rank,scenarioID,scenarioTitle,familyID,pageID,title,english,coverage,resourceFound,tierRole,depth,sectionCount,hasBreakdown,hasPhraseRows,hasGoodToKnow,practiceEligible,practiceKind,audioState,buildoutScore,buildoutBand
11,understanding-repair,When You Don't Understand,repair-write-down,viet-family-repair-write-down,Viết xuống giúp tôi,Please write it down,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
12,understanding-repair,When You Don't Understand,repair-meaning,viet-family-repair-meaning,Cái đó nghĩa là gì?,What does that mean?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
13,understanding-repair,When You Don't Understand,repair-number,viet-family-repair-number,Làm ơn nói lại số đó,Please say the number again,authored-resource,yes,tier1,deep,5,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
14,understanding-repair,When You Don't Understand,repair-english-help,viet-family-repair-english-help,Anh/chị nói tiếng Anh không?,Do you speak English?,authored-resource,yes,tier1,deep,5,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
15,transport,Transport,transport-destination,viet-family-transport-destination,Cho tôi tới đây,Take me here,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
16,transport,Transport,transport-main-destination,viet-family-transport-main-destination,Đi quận 1,Go to District 1,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
17,transport,Transport,transport-stop-here,viet-family-transport-stop-here,Dừng ở đây được rồi,You can stop here,authored-resource,yes,tier1,deep,5,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
18,transport,Transport,transport-route,viet-family-transport-route,Đi đường này đi,Go this way,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
19,transport,Transport,transport-aircon,viet-family-transport-aircon,Mở máy lạnh giúp tôi,Please turn on the air conditioning,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
20,transport,Transport,transport-wait,viet-family-transport-wait,Chờ tôi năm phút,Wait for me five minutes,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
21,transport,Transport,transport-cash,viet-family-transport-cash,Tôi trả bằng tiền mặt,I’ll pay cash,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
22,transport,Transport,transport-fare,viet-family-transport-fare,Tiền xe bao nhiêu?,How much is the fare?,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
23,transport,Transport,transport-meter,viet-family-transport-meter,Làm ơn bật đồng hồ giúp tôi,Please use the meter,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
24,transport,Transport,transport-lost,viet-family-transport-lost,Tôi nghĩ chúng ta bị lạc rồi,I think we are lost,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
25,hotel-accommodation,Hotel Accommodation,hotel-reservation,viet-family-hotel-reservation,Tôi có đặt phòng,I have a reservation,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
26,hotel-accommodation,Hotel Accommodation,hotel-check-in,viet-family-hotel-check-in,Cho tôi nhận phòng,I’d like to check in,authored-resource,yes,tier1,deep,5,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
27,hotel-accommodation,Hotel Accommodation,hotel-checkout-time,viet-family-hotel-checkout-time,Mấy giờ trả phòng?,What time is check-out?,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
28,hotel-accommodation,Hotel Accommodation,hotel-checkout,viet-family-hotel-checkout,Cho tôi trả phòng,I’d like to check out,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
29,hotel-accommodation,Hotel Accommodation,hotel-room-hot,viet-family-hotel-room-hot,Phòng này nóng quá,This room is too hot,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
30,hotel-accommodation,Hotel Accommodation,hotel-aircon-broken,viet-family-hotel-aircon-broken,Máy lạnh không chạy,The air conditioner isn’t working,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
31,hotel-accommodation,Hotel Accommodation,hotel-more-supplies,viet-family-hotel-more-supplies,Cho tôi thêm khăn,More towels please,authored-resource,yes,tier1,deep,5,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
32,hotel-accommodation,Hotel Accommodation,hotel-luggage,viet-family-hotel-luggage,Giữ hành lý giúp tôi,Please hold my luggage,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
33,food-drink,Food & Drink,food-coffee-milk,viet-family-food-coffee-milk,Cho tôi một cà phê sữa đá,One iced milk coffee please,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
34,food-drink,Food & Drink,food-coffee-black,viet-family-food-coffee-black,Cho tôi cà phê đen đá,I’d like an iced black coffee,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
35,food-drink,Food & Drink,food-coffee-bac-xiu,viet-family-food-coffee-bac-xiu,Cho tôi bạc xỉu đá,I’d like an iced bạc xỉu,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
36,food-drink,Food & Drink,food-less-ice,viet-family-food-less-ice,Ít đá thôi,Just a little ice,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
37,food-drink,Food & Drink,food-no-sugar,viet-family-food-no-sugar,Không đường nhé,No sugar please,authored-resource,yes,tier1,deep,5,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
38,food-drink,Food & Drink,food-to-go,viet-family-food-to-go,Mang đi,To go,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
39,food-drink,Food & Drink,food-pay-now,viet-family-food-pay-now,Tính tiền giúp tôi,Please let me pay,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
40,food-drink,Food & Drink,food-need-table,viet-family-food-need-table,Cho tôi bàn cho hai người nhé,"A table for two, please",authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
41,food-drink,Food & Drink,food-menu,viet-family-food-menu,Cho tôi xem thực đơn được không?,Can I see the menu?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
42,food-drink,Food & Drink,food-one-portion,viet-family-food-one-portion,Cho tôi một phần,One portion please,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
43,food-drink,Food & Drink,food-this-bowl,viet-family-food-this-bowl,Cho tôi tô này,I’ll take this bowl,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
44,food-drink,Food & Drink,food-not-spicy,viet-family-food-not-spicy,Không cay nhé,Not spicy please,authored-resource,yes,tier1,deep,5,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
45,food-drink,Food & Drink,food-more-herbs,viet-family-food-more-herbs,Cho thêm rau,More herbs please,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
46,food-drink,Food & Drink,food-bottled-water,viet-family-food-bottled-water,Có nước suối không?,Do you have bottled water?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
47,food-drink,Food & Drink,food-utensils,viet-family-food-utensils,Cho tôi muỗng với đũa,A spoon and chopsticks please,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
48,food-drink,Food & Drink,food-pack-to-go,viet-family-food-pack-to-go,Gói mang về,Pack it to go,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
49,food-drink,Food & Drink,food-vegetarian,viet-family-food-vegetarian,Tôi ăn chay,I am vegetarian,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
50,food-drink,Food & Drink,food-peanut-allergy,viet-family-food-peanut-allergy,Tôi bị dị ứng đậu phộng,I am allergic to peanuts,authored-resource,yes,tier1,deep,5,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
51,money-numbers-prices,Payment & numbers,money-how-much,viet-family-money-how-much,Cái này bao nhiêu?,How much is this?,authored-resource,yes,tier1,deep,5,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
52,money-numbers-prices,Payment & numbers,money-per-kilo,viet-family-money-per-kilo,Bao nhiêu một ký?,How much per kilo?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
53,money-numbers-prices,Payment & numbers,money-too-expensive,viet-family-money-too-expensive,Mắc quá,Too expensive,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
54,money-numbers-prices,Payment & numbers,money-lower-price,viet-family-money-lower-price,Bớt chút được không?,Can you lower it a little?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
55,money-numbers-prices,Payment & numbers,money-final-price,viet-family-money-final-price,Giá cuối bao nhiêu?,What’s your final price?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
56,money-numbers-prices,Payment & numbers,money-another-one,viet-family-money-another-one,Cho tôi xem cái khác,Show me another one,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
57,money-numbers-prices,Payment & numbers,money-take-this,viet-family-money-take-this,Tôi lấy cái này,I’ll take this one,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
58,money-numbers-prices,Payment & numbers,money-find-atm,viet-family-money-find-atm,ATM gần nhất ở đâu?,Where is the nearest ATM?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
59,directions-navigation,Directions & Navigation,directions-how-to-get,viet-family-directions-how-to-get,"Cho hỏi, đi tới đó thế nào?","Excuse me, how do I get there?",authored-resource,yes,tier1,deep,5,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
60,directions-navigation,Directions & Navigation,directions-near,viet-family-directions-near,Ở gần đây không?,Is it near here?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
61,directions-navigation,Directions & Navigation,directions-how-long,viet-family-directions-how-long,Đi bộ mất bao lâu?,How long does it take on foot?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
62,directions-navigation,Directions & Navigation,directions-turn-left,viet-family-directions-turn-left,Rẽ trái ở đâu?,Where do I turn left?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
63,directions-navigation,Directions & Navigation,directions-turn-right,viet-family-directions-turn-right,Tôi rẽ phải đúng không?,Should I turn right?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
64,directions-navigation,Directions & Navigation,directions-go-straight,viet-family-directions-go-straight,Tôi đi thẳng phải không?,Should I go straight?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
65,directions-navigation,Directions & Navigation,directions-understand-now,viet-thanks-cam-on-toi-hieu-roi,"Cảm ơn, tôi hiểu rồi","Thanks, I understand now",authored-resource,yes,catalog-promoted,deep,5,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
66,airport-border-arrival,Airport Border Arrival,airport-immigration,viet-family-airport-immigration,Nhập cảnh ở đâu?,Where is immigration?,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
67,airport-border-arrival,Airport Border Arrival,airport-baggage,viet-family-airport-baggage,Lấy hành lý ở đâu?,Where is baggage claim?,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
68,airport-border-arrival,Airport Border Arrival,airport-sim,viet-family-airport-sim,Mua SIM ở đâu?,Where can I buy a SIM card?,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
69,airport-border-arrival,Airport Border Arrival,airport-pickup,viet-family-airport-pickup,Khu đón ở đâu?,Where is the pickup area?,authored-resource,yes,tier1,deep,5,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
70,airport-border-arrival,Airport Border Arrival,airport-bag-missing,viet-family-airport-bag-missing,Hành lý của tôi chưa tới,My bag did not arrive,authored-resource,yes,tier1,deep,5,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
71,health-pharmacy,Health & Pharmacy,health-doctor,viet-family-health-doctor,Tôi cần bác sĩ,I need a doctor,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
72,health-pharmacy,Health & Pharmacy,health-pharmacy,viet-family-health-pharmacy,Nhà thuốc gần nhất ở đâu?,Where is the nearest pharmacy?,authored-resource,yes,tier1,deep,5,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
73,health-pharmacy,Health & Pharmacy,health-headache,viet-family-health-headache,Tôi bị đau đầu,I have a headache,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
74,health-pharmacy,Health & Pharmacy,health-stomach,viet-family-health-stomach,Tôi đau bụng,My stomach hurts,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
75,health-pharmacy,Health & Pharmacy,health-motion-sickness,viet-family-health-motion-sickness,Có thuốc say xe không?,Do you have motion sickness medicine?,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
76,health-pharmacy,Health & Pharmacy,health-allergy,viet-family-health-allergy,Tôi bị dị ứng cái này,I am allergic to this,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
77,health-pharmacy,Health & Pharmacy,health-diarrhea,viet-family-health-diarrhea,Tôi cần thuốc tiêu chảy,I need something for diarrhea,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
78,problems-help,Problems & Help,help-lost,viet-family-help-lost,Tôi bị lạc đường,I’m lost,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
79,problems-help,Problems & Help,help-left-something,viet-family-help-left-something,Tôi quên đồ rồi,I left something behind,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
80,problems-help,Problems & Help,help-need-help,viet-family-help-need-help,Giúp tôi với,I need help,authored-resource,yes,tier1,deep,5,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
81,problems-help,Problems & Help,help-call-hotel,viet-family-help-call-hotel,Gọi khách sạn giúp tôi,Please call the hotel for me,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
82,problems-help,Problems & Help,help-manager,viet-family-help-manager,Tôi cần quản lý,I need the manager,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
83,time-dates-booking,"Time, Dates & Booking",time-what-time,viet-family-time-what-time,Mấy giờ?,What time?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
84,time-dates-booking,"Time, Dates & Booking",time-today,viet-family-time-today,Hôm nay,Today,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
85,time-dates-booking,"Time, Dates & Booking",time-tomorrow-morning,viet-family-time-tomorrow-morning,Sáng mai,Tomorrow morning,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
86,time-dates-booking,"Time, Dates & Booking",time-have-booking,viet-family-time-have-booking,Tôi có đặt chỗ,I have a booking,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
87,time-dates-booking,"Time, Dates & Booking",time-open,viet-family-time-open,Mấy giờ mở cửa?,What time does it open?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
88,shopping,Shopping,shopping-size,viet-family-shopping-size,Tôi muốn cỡ này,I want this size,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
89,shopping,Shopping,shopping-color,viet-family-shopping-color,Có màu khác không?,Do you have another color?,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
90,shopping,Shopping,shopping-try-on,viet-family-shopping-try-on,Tôi thử cái này được không?,Can I try this on?,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
91,shopping,Shopping,shopping-just-looking,viet-family-shopping-just-looking,Tôi chỉ xem thôi,I’m just looking,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
92,shopping,Shopping,shopping-pay-where,viet-family-shopping-pay-where,Trả ở đâu?,Where do I pay?,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
93,phone-internet-power,"Phone, Internet & Power",phone-wifi-password,viet-family-phone-wifi-password,Mật khẩu Wi-Fi là gì?,What is the Wi-Fi password?,authored-resource,yes,tier1,deep,5,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
94,phone-internet-power,"Phone, Internet & Power",phone-sim,viet-family-phone-sim,Có bán SIM không?,Do you sell SIM cards?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
95,phone-internet-power,"Phone, Internet & Power",phone-battery-dead,viet-family-phone-battery-dead,Điện thoại tôi hết pin rồi,My phone battery is dead,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
96,phone-internet-power,"Phone, Internet & Power",phone-charger,viet-family-phone-charger,Có sạc không?,Do you have a charger?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
97,phone-internet-power,"Phone, Internet & Power",phone-charge-here,viet-family-phone-charge-here,Tôi sạc điện thoại ở đây được không?,Can I charge my phone here?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
98,bathroom-personal-needs,Bathroom & Personal Needs,bathroom-where,viet-family-bathroom-where,Nhà vệ sinh ở đâu?,Where is the bathroom?,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
99,bathroom-personal-needs,Bathroom & Personal Needs,bathroom-paper,viet-family-bathroom-paper,Có giấy vệ sinh không?,Do you have toilet paper?,authored-resource,yes,tier1,deep,5,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
100,bathroom-personal-needs,Bathroom & Personal Needs,bathroom-use,viet-family-bathroom-use,Tôi dùng nhà vệ sinh được không?,Can I use the bathroom?,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
101,bathroom-personal-needs,Bathroom & Personal Needs,bathroom-soap,viet-family-bathroom-soap,Có xà phòng không?,Do you have soap?,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
102,bathroom-personal-needs,Bathroom & Personal Needs,bathroom-wash-hands,viet-family-bathroom-wash-hands,Tôi rửa tay ở đây được không?,Can I wash my hands here?,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
103,bathroom-personal-needs,Bathroom & Personal Needs,bathroom-water,viet-family-bathroom-water,Tôi cần nước,I need water,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
104,emergency-safety,Emergency & Safety,emergency-police,viet-family-emergency-police,Gọi công an,Call the police,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,urgent_help_scenario,manifest-ready,100,xin-chao-like
105,emergency-safety,Emergency & Safety,emergency-ambulance,viet-family-emergency-ambulance,Gọi xe cứu thương,Call an ambulance,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,urgent_help_scenario,manifest-ready,100,xin-chao-like
106,emergency-safety,Emergency & Safety,emergency-passport,viet-family-emergency-passport,Tôi mất hộ chiếu,I lost my passport,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,urgent_help_scenario,manifest-ready,100,xin-chao-like
107,emergency-safety,Emergency & Safety,emergency-not-safe,viet-family-emergency-not-safe,Tôi cảm thấy không an toàn,I feel unsafe,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,urgent_help_scenario,manifest-ready,100,xin-chao-like
108,emergency-safety,Emergency & Safety,emergency-emergency,viet-family-emergency-emergency,Đây là trường hợp khẩn cấp,This is an emergency,authored-resource,yes,tier1,deep,5,yes,yes,yes,yes,urgent_help_scenario,manifest-ready,100,xin-chao-like
109,emergency-safety,Emergency & Safety,emergency-hospital,viet-family-emergency-hospital,Bệnh viện gần nhất ở đâu?,Where is the nearest hospital?,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,urgent_help_scenario,manifest-ready,100,xin-chao-like
110,social-small-talk,Social Small Talk,social-from-us,viet-family-social-from-us,Tôi đến từ Mỹ,I’m from the United States,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
111,social-small-talk,Social Small Talk,social-from-uk,viet-family-social-from-uk,Tôi từ Anh,I’m from England,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
112,social-small-talk,Social Small Talk,social-first-time,viet-family-social-first-time,Đây là lần đầu của tôi,This is my first time,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
113,social-small-talk,Social Small Talk,social-like-vietnam,viet-family-social-like-vietnam,Tôi thích Việt Nam,I like Vietnam,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
114,social-small-talk,Social Small Talk,social-food-good,viet-family-social-food-good,Đồ ăn ngon quá,The food is so good,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
115,social-small-talk,Social Small Talk,social-weather-hot,viet-family-social-weather-hot,Thời tiết nóng quá,The weather is so hot,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
116,social-small-talk,Social Small Talk,social-how-are-you,viet-how-are-you,Bạn khỏe không?,How are you?,authored-resource,yes,catalog-promoted,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
117,sightseeing-activities,Sightseeing & Activities,sight-ticket,viet-family-sight-ticket,Vé bao nhiêu?,How much is the ticket?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
118,sightseeing-activities,Sightseeing & Activities,sight-start,viet-family-sight-start,Bắt đầu ở đâu?,Where do we start?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
119,sightseeing-activities,Sightseeing & Activities,sight-photos,viet-family-sight-photos,Tôi chụp hình ở đây được không?,Can I take photos here?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
120,sightseeing-activities,Sightseeing & Activities,sight-close,viet-family-sight-close,Mấy giờ đóng cửa?,What time does it close?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
