rank,score,readiness,conversationName,conversationNameWordCount,sourcePageID,sourcePhraseID,sourceFamilyID,sourceType,entryPattern,vietnamese,english,scenarioID,phraseIDs,firstExchangePhraseID,avoidNewPhrases,audioState,note
14,152,ready-thread,More towels,2,viet-family-hotel-more-supplies,hotel-6,hotel-more-supplies,tier1,traveler-first,Cho tôi thêm khăn,More towels please,hotel-accommodation,hotel-6|hotel-more-supplies-paper|hotel-1|hotel-checkout|hotel-2|hotel-3|hotel-4|hotel-5|hotel-7|v500-hote-acco-the-door-does-not-lock,hotel-6,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
15,152,ready-thread,Room hot,2,viet-family-hotel-room-hot,hotel-4,hotel-room-hot,tier1,traveler-first,Phòng này nóng quá,This room is too hot,hotel-accommodation,hotel-4|hotel-1|hotel-checkout|hotel-2|hotel-3|hotel-5|hotel-6|hotel-7|v500-hote-acco-the-door-does-not-lock,hotel-4,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
16,149,ready-thread,Ask fare,2,viet-family-transport-fare,transport-fare,transport-fare,tier1,local-first,Tiền xe bao nhiêu?,How much is the fare?,transport,transport-fare|taxi-1|taxi-4|taxi-2|taxi-3|taxi-5|taxi-6|taxi-7|transport-meter,transport-fare,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
17,149,ready-thread,District 1,2,viet-family-transport-main-destination,taxi-2,transport-main-destination,tier1,traveler-first,Đi quận 1,Go to District 1,transport,taxi-2|taxi-1|ves-call-taxi-for-me|taxi-3|taxi-4|v900-tran-please-take-me-to-this-address|directions-8|vpe-help-action-anh-chi-giup-toi-tim-diem-don-duoc-khong|ves-drop-me-off-here|vpe-help-action-anh-chi-giup-toi-doi-toi-mot-chut-duoc-khong,taxi-2,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
18,149,ready-thread,Pay cash,2,viet-family-transport-cash,taxi-7,transport-cash,tier1,traveler-first,Tôi trả bằng tiền mặt,I’ll pay cash,transport,taxi-7|taxi-1|ves-call-taxi-for-me|taxi-2|taxi-3|v900-tran-please-take-me-to-this-address|directions-8|vpe-help-action-anh-chi-giup-toi-tim-diem-don-duoc-khong|ves-drop-me-off-here|vpe-help-action-anh-chi-giup-toi-doi-toi-mot-chut-duoc-khong,taxi-7,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
19,149,ready-thread,Show address,2,viet-family-transport-destination,taxi-1,transport-destination,tier1,local-first,Cho tôi tới đây,Take me here,transport,taxi-1|taxi-2|ves-call-taxi-for-me|taxi-3|taxi-4|v900-tran-please-take-me-to-this-address|directions-8|vpe-help-action-anh-chi-giup-toi-tim-diem-don-duoc-khong|ves-drop-me-off-here|vpe-help-action-anh-chi-giup-toi-doi-toi-mot-chut-duoc-khong,taxi-1,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
20,149,ready-thread,Stop here,2,viet-family-transport-stop-here,taxi-3,transport-stop-here,tier1,traveler-first,Dừng ở đây được rồi,You can stop here,transport,taxi-3|transport-stop-here-clearer|taxi-1|ves-call-taxi-for-me|taxi-2|taxi-4|v900-tran-please-take-me-to-this-address|directions-8|vpe-help-action-anh-chi-giup-toi-tim-diem-don-duoc-khong|ves-drop-me-off-here,taxi-3,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
21,149,ready-thread,Take route,2,viet-family-transport-route,taxi-4,transport-route,tier1,traveler-first,Đi đường này đi,Go this way,transport,taxi-4|taxi-1|ves-call-taxi-for-me|taxi-2|taxi-3|v900-tran-please-take-me-to-this-address|directions-8|vpe-help-action-anh-chi-giup-toi-tim-diem-don-duoc-khong|ves-drop-me-off-here|vpe-help-action-anh-chi-giup-toi-doi-toi-mot-chut-duoc-khong,taxi-4,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
22,149,ready-thread,Turn AC,2,viet-family-transport-aircon,taxi-5,transport-aircon,tier1,traveler-first,Mở máy lạnh giúp tôi,Please turn on the air conditioning,transport,taxi-5|taxi-1|ves-call-taxi-for-me|taxi-2|taxi-3|v900-tran-please-take-me-to-this-address|directions-8|vpe-help-action-anh-chi-giup-toi-tim-diem-don-duoc-khong|ves-drop-me-off-here|vpe-help-action-anh-chi-giup-toi-doi-toi-mot-chut-duoc-khong,taxi-5,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
23,149,ready-thread,Wait please,2,viet-family-transport-wait,taxi-6,transport-wait,tier1,traveler-first,Chờ tôi năm phút,Wait for me five minutes,transport,taxi-6|taxi-1|ves-call-taxi-for-me|taxi-2|taxi-3|v900-tran-please-take-me-to-this-address|directions-8|vpe-help-action-anh-chi-giup-toi-tim-diem-don-duoc-khong|ves-drop-me-off-here|vpe-help-action-anh-chi-giup-toi-doi-toi-mot-chut-duoc-khong,taxi-6,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
24,148,ready-thread,Find bathroom,2,viet-family-bathroom-where,bath-1,bathroom-where,tier1,traveler-first,Nhà vệ sinh ở đâu?,Where is the bathroom?,bathroom-personal-needs,bath-1|bath-2|bath-4|bathroom-use|bath-3|bath-5,bath-1,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
25,148,ready-thread,Find soap,2,viet-family-bathroom-soap,bath-3,bathroom-soap,tier1,traveler-first,Có xà phòng không?,Do you have soap?,bathroom-personal-needs,bath-3|bath-1|bath-4|bath-2|bathroom-use|bath-5,bath-3,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
26,148,ready-thread,Missing bag,2,viet-family-airport-bag-missing,airport-6,airport-bag-missing,tier1,traveler-first,Hành lý của tôi chưa tới,My bag did not arrive,airport-border-arrival,airport-6|airport-1|airport-5|airport-2|airport-3|v500-airp-bord-arri-here-is-my-visa|v500-airp-bord-arri-where-is-the-atm|v500-airp-bord-arri-here-is-my-passport,airport-6,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
27,148,ready-thread,Need water,2,viet-family-bathroom-water,bath-5,bathroom-water,tier1,traveler-first,Tôi cần nước,I need water,bathroom-personal-needs,bath-5|bath-1|bath-3|bath-2|bathroom-use|bath-4,bath-5,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
28,148,ready-thread,Show passport,2,viet-family-v500-airp-bord-arri-here-is-my-passport,v500-airp-bord-arri-here-is-my-passport,v500-airp-bord-arri-here-is-my-passport,tier1,traveler-first,Đây là hộ chiếu của tôi,Here is my passport,airport-border-arrival,v500-airp-bord-arri-here-is-my-passport|airport-1|airport-5|airport-2|airport-3|airport-6|v500-airp-bord-arri-here-is-my-visa|v500-airp-bord-arri-where-is-the-atm,v500-airp-bord-arri-here-is-my-passport,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
29,148,ready-thread,Show visa,2,viet-family-v500-airp-bord-arri-here-is-my-visa,v500-airp-bord-arri-here-is-my-visa,v500-airp-bord-arri-here-is-my-visa,tier1,traveler-first,Đây là thị thực của tôi,Here is my visa,airport-border-arrival,v500-airp-bord-arri-here-is-my-visa|airport-1|airport-5|airport-2|airport-3|airport-6|v500-airp-bord-arri-where-is-the-atm|v500-airp-bord-arri-here-is-my-passport,v500-airp-bord-arri-here-is-my-visa,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
30,148,ready-thread,Toilet paper,2,viet-family-bathroom-paper,bath-2,bathroom-paper,tier1,traveler-first,Có giấy vệ sinh không?,Do you have toilet paper?,bathroom-personal-needs,bath-2|bath-1|bath-4|bathroom-use|bath-3|bath-5,bath-2,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
31,145,ready-thread,Lost route,2,viet-family-transport-lost,transport-lost,transport-lost,tier1,traveler-first,Tôi nghĩ chúng ta bị lạc rồi,I think we are lost,transport,transport-lost|taxi-1|taxi-4|taxi-2|taxi-3|taxi-5|taxi-6|taxi-7|transport-fare,transport-lost,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
32,145,ready-thread,Use meter,2,viet-family-transport-meter,transport-meter,transport-meter,tier1,traveler-first,Làm ơn bật đồng hồ giúp tôi,Please use the meter,transport,transport-meter|taxi-1|taxi-4|taxi-2|taxi-3|taxi-5|taxi-6|taxi-7|transport-fare,transport-meter,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
33,144,ready-thread,Feel dizzy,2,viet-family-v500-heal-phar-i-feel-dizzy,v500-heal-phar-i-feel-dizzy,v500-heal-phar-i-feel-dizzy,tier1,traveler-first,Tôi cảm thấy chóng mặt,I feel dizzy,health-pharmacy,v500-heal-phar-i-feel-dizzy|problems-6|health-3|health-pharmacy-clearer|health-2|health-4|health-5|health-6,v500-heal-phar-i-feel-dizzy,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
34,144,ready-thread,Find bathroom,2,viet-family-bathroom-use,bathroom-use,bathroom-use,tier1,traveler-first,Tôi dùng nhà vệ sinh được không?,Can I use the bathroom?,bathroom-personal-needs,bathroom-use|bath-1|bath-4|bath-2|bath-3|bath-5,bathroom-use,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
35,144,ready-thread,Find doctor,2,viet-family-health-doctor,problems-6,health-doctor,tier1,traveler-first,Tôi cần bác sĩ,I need a doctor,health-pharmacy,problems-6|health-pharmacy-clearer|health-4|health-2|health-3|health-5|health-6|v500-heal-phar-i-feel-dizzy,problems-6,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
36,144,ready-thread,Fix AC,2,viet-family-health-headache,health-2,health-headache,tier1,traveler-first,Tôi bị đau đầu,I have a headache,health-pharmacy,health-2|problems-6|health-4|health-pharmacy-clearer|health-3|health-5|health-6|v500-heal-phar-i-feel-dizzy,health-2,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
37,144,ready-thread,Injured,1,viet-family-health-stomach,health-3,health-stomach,tier1,traveler-first,Tôi đau bụng,My stomach hurts,health-pharmacy,health-3|problems-6|health-4|health-pharmacy-clearer|health-2|health-5|health-6|v500-heal-phar-i-feel-dizzy,health-3,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
38,144,ready-thread,Something diarrhea,2,viet-family-health-diarrhea,health-6,health-diarrhea,tier1,traveler-first,Tôi cần thuốc tiêu chảy,I need something for diarrhea,health-pharmacy,health-6|problems-6|health-3|health-pharmacy-clearer|health-2|health-4|health-5|v500-heal-phar-i-feel-dizzy,health-6,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
39,144,ready-thread,Wash hands here?,3,viet-family-bathroom-wash-hands,bath-4,bathroom-wash-hands,tier1,traveler-first,Tôi rửa tay ở đây được không?,Can I wash my hands here?,bathroom-personal-needs,bath-4|bath-1|bath-3|bath-2|bathroom-use|bath-5,bath-4,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
40,144,ready-thread,You motion sickness,3,viet-family-health-motion-sickness,health-4,health-motion-sickness,tier1,traveler-first,Có thuốc say xe không?,Do you have motion sickness medicine?,health-pharmacy,health-4|problems-6|health-3|health-pharmacy-clearer|health-2|health-5|health-6|v500-heal-phar-i-feel-dizzy,health-4,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
41,142,ready-thread,Call ambulance,2,viet-family-emergency-ambulance,emergency-2,emergency-ambulance,tier1,traveler-first,Gọi xe cứu thương,Call an ambulance,emergency-safety,emergency-2|emergency-1|emergency-emergency|emergency-3|emergency-4|emergency-hospital|v500-emer-safe-i-am-injured|v500-emer-safe-i-cannot-move|v500-emer-safe-do-not-touch-me,emergency-2,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
42,142,ready-thread,Call police,2,viet-family-emergency-police,emergency-1,emergency-police,tier1,traveler-first,Gọi công an,Call the police,emergency-safety,emergency-1|emergency-2|emergency-emergency|emergency-3|emergency-4|emergency-hospital|v500-emer-safe-i-am-injured|v500-emer-safe-i-cannot-move|v500-emer-safe-do-not-touch-me,emergency-1,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
43,142,ready-thread,Cannot move,2,viet-family-v500-emer-safe-i-cannot-move,v500-emer-safe-i-cannot-move,v500-emer-safe-i-cannot-move,tier1,traveler-first,Tôi không thể di chuyển,I cannot move,emergency-safety,v500-emer-safe-i-cannot-move|emergency-1|emergency-4|emergency-2|emergency-3|emergency-emergency|emergency-hospital|v500-emer-safe-i-am-injured|v500-emer-safe-do-not-touch-me,v500-emer-safe-i-cannot-move,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
44,142,ready-thread,Injured,1,viet-family-v500-emer-safe-i-am-injured,v500-emer-safe-i-am-injured,v500-emer-safe-i-am-injured,tier1,traveler-first,tôi bị thương,I am injured,emergency-safety,v500-emer-safe-i-am-injured|emergency-1|emergency-4|emergency-2|emergency-3|emergency-emergency|emergency-hospital|v500-emer-safe-i-cannot-move|v500-emer-safe-do-not-touch-me,v500-emer-safe-i-am-injured,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
45,142,ready-thread,Lost passport,2,viet-family-emergency-passport,emergency-3,emergency-passport,tier1,traveler-first,Tôi mất hộ chiếu,I lost my passport,emergency-safety,emergency-3|emergency-1|emergency-emergency|emergency-2|emergency-4|emergency-hospital|v500-emer-safe-i-am-injured|v500-emer-safe-i-cannot-move|v500-emer-safe-do-not-touch-me,emergency-3,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
46,142,ready-thread,Touch,1,viet-family-v500-emer-safe-do-not-touch-me,v500-emer-safe-do-not-touch-me,v500-emer-safe-do-not-touch-me,tier1,traveler-first,Đừng chạm vào tôi,Do not touch me,emergency-safety,v500-emer-safe-do-not-touch-me|emergency-1|emergency-4|emergency-2|emergency-3|emergency-emergency|emergency-hospital|v500-emer-safe-i-am-injured|v500-emer-safe-i-cannot-move,v500-emer-safe-do-not-touch-me,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
47,140,ready-thread,Allergic,1,viet-family-health-allergy,health-5,health-allergy,tier1,traveler-first,Tôi bị dị ứng cái này,I am allergic to this,health-pharmacy,health-5|problems-6|health-3|health-pharmacy-clearer|health-2|health-4|health-6|v500-heal-phar-i-feel-dizzy,health-5,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
48,140,ready-thread,Find pharmacy,2,viet-family-health-pharmacy,health-pharmacy-clearer,health-pharmacy,tier1,traveler-first,Nhà thuốc gần nhất ở đâu?,Where is the nearest pharmacy?,health-pharmacy,health-pharmacy-clearer|health-1|problems-6|health-4|health-2|health-3|health-5|health-6|v500-heal-phar-i-feel-dizzy,health-pharmacy-clearer,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
49,138,ready-thread,Emergency,1,viet-family-emergency-emergency,emergency-emergency,emergency-emergency,tier1,traveler-first,Đây là trường hợp khẩn cấp,This is an emergency,emergency-safety,emergency-emergency|emergency-5|emergency-1|emergency-4|emergency-2|emergency-3|emergency-hospital|v500-emer-safe-i-am-injured|v500-emer-safe-i-cannot-move|v500-emer-safe-do-not-touch-me,emergency-emergency,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
50,138,ready-thread,Feel unsafe,2,viet-family-emergency-not-safe,emergency-4,emergency-not-safe,tier1,traveler-first,Tôi cảm thấy không an toàn,I feel unsafe,emergency-safety,emergency-4|emergency-1|emergency-emergency|emergency-2|emergency-3|emergency-hospital|v500-emer-safe-i-am-injured|v500-emer-safe-i-cannot-move|v500-emer-safe-do-not-touch-me,emergency-4,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
51,138,ready-thread,Find nearest hospital,3,viet-family-emergency-hospital,emergency-hospital,emergency-hospital,tier1,traveler-first,Bệnh viện gần nhất ở đâu?,Where is the nearest hospital?,emergency-safety,emergency-hospital|emergency-1|emergency-4|emergency-2|emergency-3|emergency-emergency|v500-emer-safe-i-am-injured|v500-emer-safe-i-cannot-move|v500-emer-safe-do-not-touch-me,emergency-hospital,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
52,136,ready-thread,Ask color,2,viet-family-shopping-color,shop-2,shopping-color,tier1,traveler-first,Có màu khác không?,Do you have another color?,shopping,shop-2|shop-1|shop-5|shop-3|shop-4|v500-shop-how-much-is-this-item|v500-shop-can-you-lower-the-price,shop-2,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
53,136,ready-thread,Ask size,2,viet-family-shopping-size,shop-1,shopping-size,tier1,traveler-first,Tôi muốn cỡ này,I want this size,shopping,shop-1|shop-2|shop-5|shop-3|shop-4|v500-shop-how-much-is-this-item|v500-shop-can-you-lower-the-price,shop-1,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
54,136,ready-thread,Excuse me,2,viet-excuse-sorry,polite-5,polite-excuse-me,tier1,traveler-first,Xin lỗi,Excuse me / sorry,polite-basics,polite-5|polite-1|hello-da-chao-anh-chi|polite-2|polite-3|hello-alo|hello-good-morning|hello-good-afternoon|hello-chao-anh|hello-chao-chi,polite-5,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
55,136,ready-thread,Find pay,2,viet-family-shopping-pay-where,shop-5,shopping-pay-where,tier1,traveler-first,Trả ở đâu?,Where do I pay?,shopping,shop-5|shop-1|shop-4|shop-2|shop-3|v500-shop-how-much-is-this-item|v500-shop-can-you-lower-the-price,shop-5,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
56,136,ready-thread,Its okay,2,viet-family-polite-its-okay,polite-6,polite-its-okay,tier1,traveler-first,Không sao đâu,It’s okay,polite-basics,polite-6|polite-1|hello-da-chao-anh-chi|polite-2|polite-3|hello-alo|hello-good-morning|hello-good-afternoon|hello-chao-anh|hello-chao-chi,polite-6,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
57,136,ready-thread,Just looking,2,viet-family-shopping-just-looking,shop-4,shopping-just-looking,tier1,traveler-first,Tôi chỉ xem thôi,I’m just looking,shopping,shop-4|shop-1|shop-5|shop-2|shop-3|v500-shop-how-much-is-this-item|v500-shop-can-you-lower-the-price,shop-4,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
58,136,ready-thread,Say goodbye,2,viet-goodbye,polite-7,polite-goodbye,tier1,traveler-first,Tạm biệt,Goodbye,polite-basics,polite-7|polite-1|hello-da-chao-anh-chi|polite-2|polite-3|hello-alo|hello-good-morning|hello-good-afternoon|hello-chao-anh|hello-chao-chi,polite-7,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
59,136,ready-thread,Say thanks,2,viet-thank-you,polite-2,polite-thank-you,tier1,traveler-first,Cảm ơn,Thank you,polite-basics,polite-2|polite-thank-you-polite|polite-1|hello-da-chao-anh-chi|polite-3|polite-4|hello-alo|hello-good-morning|hello-good-afternoon|hello-chao-anh,polite-2,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
60,136,ready-thread,You lower price?,3,viet-family-v500-shop-can-you-lower-the-price,v500-shop-can-you-lower-the-price,v500-shop-can-you-lower-the-price,tier1,traveler-first,Giảm giá chút được không?,Can you lower the price?,shopping,v500-shop-can-you-lower-the-price|shop-1|shop-4|shop-2|shop-3|shop-5|v500-shop-how-much-is-this-item,v500-shop-can-you-lower-the-price,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
61,134,ready-thread,Need clarity,2,viet-family-repair-understand,problems-2,repair-understand,tier1,traveler-first,Tôi không hiểu,I don’t understand,understanding-repair,problems-2|problems-3|repair-3|repair-1|repair-2|repair-6|repair-english-help|v500-unde-repa-please-say-it-slowly,problems-2,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
62,134,ready-thread,Say again,2,viet-family-repair-repeat,repair-1,repair-repeat,tier1,traveler-first,Làm ơn nói lại,Please say that again,understanding-repair,repair-1|problems-2|repair-3|problems-3|repair-2|repair-6|repair-english-help|v500-unde-repa-please-say-it-slowly,repair-1,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
63,134,ready-thread,Say slowly,2,viet-family-v500-unde-repa-please-say-it-slowly,v500-unde-repa-please-say-it-slowly,v500-unde-repa-please-say-it-slowly,tier1,traveler-first,Hãy nói từ từ nhé,Please say it slowly,understanding-repair,v500-unde-repa-please-say-it-slowly|problems-2|repair-2|problems-3|repair-1|repair-3|repair-6|repair-english-help,v500-unde-repa-please-say-it-slowly,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
64,134,ready-thread,Speak slower,2,viet-family-repair-slower,problems-3,repair-slower,tier1,traveler-first,Nói chậm chút được không?,Can you speak a little slower?,understanding-repair,problems-3|repair-slower-polite|problems-2|repair-3|repair-1|repair-2|repair-6|repair-english-help|v500-unde-repa-please-say-it-slowly,problems-3,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
65,134,ready-thread,What means?,2,viet-family-repair-meaning,repair-3,repair-meaning,tier1,traveler-first,Cái đó nghĩa là gì?,What does that mean?,understanding-repair,repair-3|problems-2|repair-2|problems-3|repair-1|repair-6|repair-english-help|v500-unde-repa-please-say-it-slowly,repair-3,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
66,134,ready-thread,Write it,2,viet-family-repair-write-down,repair-2,repair-write-down,tier1,local-first,Viết xuống giúp tôi,Please write it down,understanding-repair,repair-2|problems-2|repair-3|problems-3|repair-1|repair-6|repair-english-help|v500-unde-repa-please-say-it-slowly,repair-2,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
67,132,ready-thread,Much item?,2,viet-family-v500-shop-how-much-is-this-item,v500-shop-how-much-is-this-item,v500-shop-how-much-is-this-item,tier1,traveler-first,Mặt hàng này giá bao nhiêu?,How much is this item?,shopping,v500-shop-how-much-is-this-item|shop-1|shop-4|shop-2|shop-3|shop-5|v500-shop-can-you-lower-the-price,v500-shop-how-much-is-this-item,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
