cityID,pageKind,placeKind,layer,pageCount,surfacingRisk,recommendation
hue,place,street,entity,3,safe-entity-row,Use as level-zero browse row and message topic.
danang,phrase,station,derived,2,hide-from-level-zero-browse,Keep searchable and visible inside entity pages/messages; do not top-surface as city browse rows.
danang,place,nature,entity,2,safe-entity-row,Use as level-zero browse row and message topic.
danang,place,park,entity,2,safe-entity-row,Use as level-zero browse row and message topic.
hanoi,phrase,attraction,derived,2,hide-from-level-zero-browse,Keep searchable and visible inside entity pages/messages; do not top-surface as city browse rows.
hanoi,place,market,entity,2,safe-entity-row,Use as level-zero browse row and message topic.
hanoi,place,museum,entity,2,safe-entity-row,Use as level-zero browse row and message topic.
hanoi,place,neighborhood,entity,2,safe-entity-row,Use as level-zero browse row and message topic.
hcmc,phrase,airport,derived,2,hide-from-level-zero-browse,Keep searchable and visible inside entity pages/messages; do not top-surface as city browse rows.
hcmc,phrase,river,derived,2,hide-from-level-zero-browse,Keep searchable and visible inside entity pages/messages; do not top-surface as city browse rows.
hcmc,place,museum,entity,2,safe-entity-row,Use as level-zero browse row and message topic.
hcmc,place,park,entity,2,safe-entity-row,Use as level-zero browse row and message topic.
hcmc,restaurant,restaurant,entity,2,safe-entity-row,Use as level-zero browse row and message topic.
hoian,phrase,street,derived,2,hide-from-level-zero-browse,Keep searchable and visible inside entity pages/messages; do not top-surface as city browse rows.
hoian,place,beach,entity,2,safe-entity-row,Use as level-zero browse row and message topic.
hoian,place,nature,entity,2,safe-entity-row,Use as level-zero browse row and message topic.
hoian,restaurant,cafe,entity,2,safe-entity-row,Use as level-zero browse row and message topic.
hoian,restaurant,restaurant,entity,2,safe-entity-row,Use as level-zero browse row and message topic.
hue,phrase,village,derived,2,hide-from-level-zero-browse,Keep searchable and visible inside entity pages/messages; do not top-surface as city browse rows.
hue,place,neighborhood,entity,2,safe-entity-row,Use as level-zero browse row and message topic.
danang,phrase,port,derived,1,hide-from-level-zero-browse,Keep searchable and visible inside entity pages/messages; do not top-surface as city browse rows.
danang,place,airport,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
danang,place,museum,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
danang,place,port,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
danang,place,station,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
danang,place,village,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
danang,restaurant,restaurant,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
hanoi,place,airport,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
hanoi,place,attraction,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
hanoi,restaurant,cafe,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
hcmc,place,airport,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
hcmc,place,river,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
hoian,dish,dish,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
hoian,place,attraction,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
hoian,place,museum,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
hoian,place,river,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
hoian,place,street,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
hue,dish,dish,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
hue,place,airport,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
hue,place,museum,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
hue,place,river,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
hue,place,station,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
hue,place,village,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
hue,restaurant,restaurant,entity,1,safe-entity-row,Use as level-zero browse row and message topic.
