rank,score,band,pageID,phraseID,familyID,scenarioID,scenarioTitle,vietnamese,english,pronunciation,accessTier,audioState,targetWordCount,englishWordCount,searchAliases,rationale
15,124,homepage-now,viet-family-help-need-help,help-need-help-direct,help-need-help,problems-help,Problems & Help,Giúp tôi với,I need help,zoop toy voy,starter,manifest-ready,3,3,i need help|help,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
16,124,homepage-now,viet-family-polite-its-okay,polite-6,polite-its-okay,polite-basics,Polite Basics,Không sao đâu,It’s okay,khong sao doh,starter,manifest-ready,3,3,it's okay|no problem,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
17,124,homepage-now,viet-family-food-less-ice,coffee-4,food-less-ice,food-drink,Food & Drink,Ít đá thôi,Just a little ice,eet dah toy,starter,manifest-ready,3,4,less ice|little ice,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
18,124,homepage-now,viet-family-food-more-herbs,food-4,food-more-herbs,food-drink,Food & Drink,Cho thêm rau,More herbs please,cho them zow,starter,manifest-ready,3,3,more herbs|more vegetables,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
19,124,homepage-now,viet-family-food-no-sugar,coffee-5,food-no-sugar,food-drink,Food & Drink,Không đường nhé,No sugar please,khong doong nhe,starter,manifest-ready,3,3,no sugar,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
20,124,homepage-now,viet-family-food-not-spicy,food-3,food-not-spicy,food-drink,Food & Drink,Không cay nhé,Not spicy please,khong kai nhe,starter,manifest-ready,3,3,not spicy|mild,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
21,124,homepage-now,viet-family-food-pack-to-go,food-7,food-pack-to-go,food-drink,Food & Drink,Gói mang về,Pack it to go,goy mang veh,starter,manifest-ready,3,4,pack to go|take away,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
22,121,homepage-now,viet-family-service-water,store-1,service-water,local-services-everyday-tasks,Local Services & Everyday Tasks,Cho tôi chai nước,A bottle of water please,cho toy chai nook,starter,manifest-ready,4,5,bottle of water|water,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
23,121,homepage-now,viet-family-food-bottled-water,food-5,food-bottled-water,food-drink,Food & Drink,Có nước suối không?,Do you have bottled water?,koh nook soy khong,starter,manifest-ready,4,5,bottled water|water,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
24,121,homepage-now,viet-family-phone-sim,phone-2,phone-sim,phone-internet-power,"Phone, Internet & Power",Có bán SIM không?,Do you sell SIM cards?,koh ban sim khong,starter,manifest-ready,4,5,sell sim|sim cards,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
25,121,homepage-now,viet-family-airport-sim,airport-3,airport-sim,airport-border-arrival,Airport Border Arrival,Mua SIM ở đâu?,Where can I buy a SIM card?,moo-ah sim uh dow,starter,manifest-ready,4,7,sim card|buy sim,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
26,121,homepage-now,viet-family-repair-slower,problems-3,repair-slower,understanding-repair,When You Don't Understand,Nói chậm chút được không?,Can you speak a little slower?,noy chuhm choot dook khong,starter,manifest-ready,5,6,speak slower|slow down,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
27,121,homepage-now,viet-family-money-find-atm,airport-4,money-find-atm,money-numbers-prices,Payment & numbers,ATM gần nhất ở đâu?,Where is the nearest ATM?,ay-tee-em gun nyut uh dow,starter,manifest-ready,5,5,atm|nearest atm|cash machine,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
28,119,homepage-now,viet-family-service-bag,store-2,service-bag,local-services-everyday-tasks,Local Services & Everyday Tasks,Có túi không?,Do you have a bag?,koh too-ee khong,starter,manifest-ready,3,5,bag,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
29,119,homepage-now,viet-family-phone-charger,phone-4,phone-charger,phone-internet-power,"Phone, Internet & Power",Có sạc không?,Do you have a charger?,koh sahk khong,starter,manifest-ready,3,5,charger,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
30,119,homepage-now,viet-family-v500-hote-acco-the-door-does-not-lock,v500-hote-acco-the-door-does-not-lock,v500-hote-acco-the-door-does-not-lock,hotel-accommodation,Hotel Accommodation,Cửa không khóa,The door does not lock,Cua khong khoa,starter,manifest-ready,3,5,the door does not lock,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
31,118,homepage-now,viet-family-bathroom-soap,bath-3,bathroom-soap,bathroom-personal-needs,Bathroom & Personal Needs,Có xà phòng không?,Do you have soap?,koh sa fong khong,starter,manifest-ready,4,4,soap,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
32,118,homepage-now,viet-family-transport-route,taxi-4,transport-route,transport,Transport,Đi đường này đi,Go this way,dee doong nai dee,starter,manifest-ready,4,3,go this way|this way,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
33,118,homepage-now,viet-family-money-how-much,price-1,money-how-much,money-numbers-prices,Payment & numbers,Cái này bao nhiêu?,How much is this?,gai nai bao nyew,starter,manifest-ready,4,4,how much is this|price,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
34,118,homepage-now,viet-family-money-per-kilo,price-2,money-per-kilo,money-numbers-prices,Payment & numbers,Bao nhiêu một ký?,How much per kilo?,bao nyew mot kee,starter,manifest-ready,4,4,per kilo|kilo price,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
35,118,homepage-now,viet-family-hotel-reservation,hotel-1,hotel-reservation,hotel-accommodation,Hotel Accommodation,Tôi có đặt phòng,I have a reservation,toy koh dat fong,starter,manifest-ready,4,4,reservation|booking,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
36,118,homepage-now,viet-family-help-left-something,problems-4,help-left-something,problems-help,Problems & Help,Tôi quên đồ rồi,I left something behind,toy gwen doh roy,starter,manifest-ready,4,4,left something behind|forgot something,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
37,118,homepage-now,viet-family-help-manager,help-3,help-manager,problems-help,Problems & Help,Tôi cần quản lý,I need the manager,toy gun kwan lee,starter,manifest-ready,4,4,manager,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
38,118,homepage-now,viet-family-help-lost,problems-1,help-lost,problems-help,Problems & Help,Tôi bị lạc đường,I’m lost,toy bee lahk doong,starter,manifest-ready,4,3,i'm lost|lost,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
39,118,homepage-now,viet-family-hotel-more-supplies,hotel-6,hotel-more-supplies,hotel-accommodation,Hotel Accommodation,Cho tôi thêm khăn,More towels please,cho toy them khan,starter,manifest-ready,4,3,more towels|towels,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
40,118,homepage-now,viet-family-food-one-portion,food-1,food-one-portion,food-drink,Food & Drink,Cho tôi một phần,One portion please,cho toy mot fun,starter,manifest-ready,4,3,one portion|one order,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
41,118,homepage-now,viet-family-food-pay-now,coffee-7,food-pay-now,food-drink,Food & Drink,Tính tiền giúp tôi,Please let me pay,ting tyen zoop toy,starter,manifest-ready,4,4,let me pay|pay now,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
42,118,homepage-now,viet-family-repair-repeat,repair-1,repair-repeat,understanding-repair,When You Don't Understand,Làm ơn nói lại,Please say that again,lahm uhn noy lie,starter,manifest-ready,4,4,say that again|repeat please,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
43,118,homepage-now,viet-family-repair-write-down,repair-2,repair-write-down,understanding-repair,When You Don't Understand,Viết xuống giúp tôi,Please write it down,vee-et zoong zoop toy,starter,manifest-ready,4,4,write it down|write please,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
44,118,homepage-now,viet-family-transport-destination,taxi-1,transport-destination,transport,Transport,Cho tôi tới đây,Take me here,cho toy toy day,starter,manifest-ready,4,3,take me here|go here|destination,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
45,118,homepage-now,viet-family-service-tissues,store-3,service-tissues,local-services-everyday-tasks,Local Services & Everyday Tasks,Cho tôi khăn giấy,Tissues please,cho toy khan zai,starter,manifest-ready,4,2,tissues,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
46,118,homepage-now,viet-family-airport-immigration,airport-1,airport-immigration,airport-border-arrival,Airport Border Arrival,Nhập cảnh ở đâu?,Where is immigration?,nyup canh uh dow,starter,manifest-ready,4,3,immigration,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
47,118,homepage-now,viet-family-transport-cash,taxi-7,transport-cash,transport,Transport,Tôi trả bằng tiền mặt,I’ll pay cash,toy tra bang tyen mat,starter,manifest-ready,5,4,pay cash|cash,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
48,118,homepage-now,viet-family-hotel-luggage,hotel-7,hotel-luggage,hotel-accommodation,Hotel Accommodation,Giữ hành lý giúp tôi,Please hold my luggage,zoo han lee zoop toy,starter,manifest-ready,5,4,hold my luggage|bags,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
49,118,homepage-now,viet-family-money-another-one,price-6,money-another-one,money-numbers-prices,Payment & numbers,Cho tôi xem cái khác,Show me another one,cho toy sem gai khak,starter,manifest-ready,5,4,another one|show me another,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
50,118,homepage-now,viet-family-repair-meaning,repair-3,repair-meaning,understanding-repair,When You Don't Understand,Cái đó nghĩa là gì?,What does that mean?,gai doh ngee-ah lah zee,starter,manifest-ready,5,4,what does that mean|meaning,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
51,118,homepage-now,viet-family-airport-baggage,airport-2,airport-baggage,airport-border-arrival,Airport Border Arrival,Lấy hành lý ở đâu?,Where is baggage claim?,lay han lee uh dow,starter,manifest-ready,5,4,baggage claim|luggage,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
52,118,homepage-now,viet-family-transport-stop-here,taxi-3,transport-stop-here,transport,Transport,Dừng ở đây được rồi,You can stop here,zoong uh day dook roy,starter,manifest-ready,5,4,stop here|get off here,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
53,115,homepage-now,viet-family-v500-mone-numb-pric-the-atm-kept-my-card,v500-mone-numb-pric-the-atm-kept-my-card,v500-mone-numb-pric-the-atm-kept-my-card,money-numbers-prices,Payment & numbers,ATM đã giữ thẻ của tôi,The ATM kept my card,ATM da giu the cua toi,starter,manifest-ready,6,5,the atm kept my card,starter|tier1-page|high-frequency-travel|audio-ready
54,115,homepage-now,viet-family-food-menu,food-menu,food-menu,food-drink,Food & Drink,Cho tôi xem thực đơn được không?,Can I see the menu?,cho toy sem thook dun dook khong,starter,manifest-ready,7,5,see the menu|menu,starter|tier1-page|high-frequency-travel|audio-ready
55,115,homepage-now,viet-family-bathroom-use,bathroom-use,bathroom-use,bathroom-personal-needs,Bathroom & Personal Needs,Tôi dùng nhà vệ sinh được không?,Can I use the bathroom?,toy zoong nya veh sinh dook khong,starter,manifest-ready,7,5,use the bathroom|can i use the bathroom,starter|tier1-page|high-frequency-travel|audio-ready
56,115,homepage-now,viet-family-v500-loca-serv-ever-task-where-can-i-buy-water,v500-loca-serv-ever-task-where-can-i-buy-water,v500-loca-serv-ever-task-where-can-i-buy-water,local-services-everyday-tasks,Local Services & Everyday Tasks,Tôi có thể mua nước ở đâu?,Where can I buy water?,Toi co the mua nuoc o dau,starter,manifest-ready,7,5,where can i buy water?|where can i buy water,starter|tier1-page|high-frequency-travel|audio-ready
57,114,homepage-now,viet-hello-alo,hello-alo,hello-alo,polite-basics,Polite Basics,Alô,Hello on the phone,ah lo,starter,manifest-ready,1,4,alô|alo|phone hello|hello phone,starter|high-frequency-travel|short-vietnamese|audio-ready
58,114,homepage-now,viet-hello-chao,hello-chao,hello-chao,polite-basics,Polite Basics,Chào,Hi / hello,chow,starter,manifest-ready,1,2,chào|chao|hi|hello casual,starter|high-frequency-travel|short-vietnamese|audio-ready
59,114,homepage-now,viet-hello-chao-ban,hello-chao-ban,hello-chao-ban,polite-basics,Polite Basics,Chào bạn,Hi there / hello friend,chow ban,starter,manifest-ready,2,4,chào bạn|chao ban|hello friend|hi there,starter|high-frequency-travel|short-vietnamese|audio-ready
60,114,homepage-now,viet-thanks-khong-cam-on,polite-4,polite-no-thanks,polite-basics,Polite Basics,"Không, cảm ơn","No, thank you",khong kahm uhn,starter,manifest-ready,3,3,no thanks|no thank you,starter|high-frequency-travel|short-vietnamese|audio-ready
61,113,homepage-now,viet-family-money-lower-price,price-4,money-lower-price,money-numbers-prices,Payment & numbers,Bớt chút được không?,Can you lower it a little?,but choot dook khong,starter,manifest-ready,4,6,lower it|discount,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
62,113,homepage-now,viet-family-transport-fare,transport-fare,transport-fare,transport,Transport,Tiền xe bao nhiêu?,How much is the fare?,tyen seh bao nyew,starter,manifest-ready,4,5,fare|how much is the fare,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
63,113,homepage-now,viet-family-hotel-check-in,hotel-2,hotel-check-in,hotel-accommodation,Hotel Accommodation,Cho tôi nhận phòng,I’d like to check in,cho toy nyun fong,starter,manifest-ready,4,6,check in,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
64,113,homepage-now,viet-family-hotel-checkout,hotel-checkout,hotel-checkout,hotel-accommodation,Hotel Accommodation,Cho tôi trả phòng,I’d like to check out,cho toy tra fong,starter,manifest-ready,4,6,check out now|i'd like to check out,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
65,113,homepage-now,viet-family-food-this-bowl,food-2,food-this-bowl,food-drink,Food & Drink,Cho tôi tô này,I’ll take this bowl,cho toy toh nai,starter,manifest-ready,4,5,this bowl|this dish,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
66,113,homepage-now,viet-family-money-take-this,price-7,money-take-this,money-numbers-prices,Payment & numbers,Tôi lấy cái này,I’ll take this one,toy lay gai nai,starter,manifest-ready,4,5,i'll take this,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
67,113,homepage-now,viet-family-service-receipt,store-7,service-receipt,local-services-everyday-tasks,Local Services & Everyday Tasks,Cho tôi hóa đơn,Please give me the receipt,cho toy hwa dun,starter,manifest-ready,4,5,receipt,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
68,113,homepage-now,viet-family-hotel-aircon-broken,hotel-5,hotel-aircon-broken,hotel-accommodation,Hotel Accommodation,Máy lạnh không chạy,The air conditioner isn’t working,mai lanh khong chai,starter,manifest-ready,4,6,air conditioner isn't working|aircon broken,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
69,113,homepage-now,viet-family-hotel-room-hot,hotel-4,hotel-room-hot,hotel-accommodation,Hotel Accommodation,Phòng này nóng quá,This room is too hot,fong nai nong gwah,starter,manifest-ready,4,5,room too hot|too hot,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
70,113,homepage-now,viet-family-transport-wait,taxi-6,transport-wait,transport,Transport,Chờ tôi năm phút,Wait for me five minutes,cho toy nam foot,starter,manifest-ready,4,5,wait for me|five minutes,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
71,113,homepage-now,viet-family-hotel-checkout-time,hotel-3,hotel-checkout-time,hotel-accommodation,Hotel Accommodation,Mấy giờ trả phòng?,What time is check-out?,may zyuh tra fong,starter,manifest-ready,4,5,check out time|checkout,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
72,113,homepage-now,viet-family-money-final-price,price-5,money-final-price,money-numbers-prices,Payment & numbers,Giá cuối bao nhiêu?,What’s your final price?,za gooy bao nyew,starter,manifest-ready,4,5,final price,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
73,113,homepage-now,viet-family-airport-pickup,airport-5,airport-pickup,airport-border-arrival,Airport Border Arrival,Khu đón ở đâu?,Where is the pickup area?,khoo don uh dow,starter,manifest-ready,4,5,pickup area|pickup point,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
74,113,homepage-now,viet-family-food-utensils,food-6,food-utensils,food-drink,Food & Drink,Cho tôi muỗng với đũa,A spoon and chopsticks please,cho toy moong voy doo-ah,starter,manifest-ready,5,5,spoon and chopsticks|utensils,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
75,113,homepage-now,viet-family-service-card,store-6,service-card,local-services-everyday-tasks,Local Services & Everyday Tasks,Tôi quẹt thẻ được không?,Can I pay by card?,toy quet teh dook khong,starter,manifest-ready,5,5,pay by card|card,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
76,113,homepage-now,viet-family-bathroom-paper,bath-2,bathroom-paper,bathroom-personal-needs,Bathroom & Personal Needs,Có giấy vệ sinh không?,Do you have toilet paper?,koh zai veh sinh khong,starter,manifest-ready,5,5,toilet paper,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
77,113,homepage-now,viet-family-food-coffee-bac-xiu,coffee-3,food-coffee-bac-xiu,food-drink,Food & Drink,Cho tôi bạc xỉu đá,I’d like an iced bạc xỉu,cho toy bahk see-u dah,starter,manifest-ready,5,7,bac xiu|bạc xỉu,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
78,113,homepage-now,viet-family-help-call-hotel,help-2,help-call-hotel,problems-help,Problems & Help,Gọi khách sạn giúp tôi,Please call the hotel for me,goy khak san zoop toy,starter,manifest-ready,5,6,call the hotel,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
79,113,homepage-now,viet-family-service-open-this,store-5,service-open-this,local-services-everyday-tasks,Local Services & Everyday Tasks,Mở cái này giúp tôi,Please open this for me,muh gai nai zoop toy,starter,manifest-ready,5,5,open this for me,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
80,113,homepage-now,viet-family-transport-aircon,taxi-5,transport-aircon,transport,Transport,Mở máy lạnh giúp tôi,Please turn on the air conditioning,muh mai lanh zoop toy,starter,manifest-ready,5,6,air conditioning|aircon,starter|tier1-page|high-frequency-travel|short-vietnamese|audio-ready
81,112,homepage-now,viet-family-time-today,time-2,time-today,time-dates-booking,"Time, Dates & Booking",Hôm nay,Today,hom nai,starter,manifest-ready,2,1,today,starter|tier1-page|short-vietnamese|audio-ready
82,112,homepage-now,viet-family-time-tomorrow-morning,time-3,time-tomorrow-morning,time-dates-booking,"Time, Dates & Booking",Sáng mai,Tomorrow morning,sahng mai,starter,manifest-ready,2,2,tomorrow morning,starter|tier1-page|short-vietnamese|audio-ready
83,112,homepage-now,viet-family-time-what-time,time-1,time-what-time,time-dates-booking,"Time, Dates & Booking",Mấy giờ?,What time?,may zyuh,starter,manifest-ready,2,2,what time,starter|tier1-page|short-vietnamese|audio-ready
84,112,homepage-now,viet-family-social-from-uk,smalltalk-2,social-from-uk,social-small-talk,Social Small Talk,Tôi từ Anh,I’m from England,toy too anh,starter,manifest-ready,3,4,from england|from uk,starter|tier1-page|short-vietnamese|audio-ready
85,112,homepage-now,viet-family-health-stomach,health-3,health-stomach,health-pharmacy,Health & Pharmacy,Tôi đau bụng,My stomach hurts,toy dow boong,starter,manifest-ready,3,3,stomach hurts|stomach pain,starter|tier1-page|short-vietnamese|audio-ready
86,112,homepage-now,viet-family-v500-time-date-book-one-ticket-please,v500-time-date-book-one-ticket-please,v500-time-date-book-one-ticket-please,time-dates-booking,"Time, Dates & Booking",Xin một vé,"One ticket, please",Xin mot ve,starter,manifest-ready,3,3,"one ticket, please|one ticket please",starter|tier1-page|short-vietnamese|audio-ready
87,112,homepage-now,viet-family-shopping-pay-where,shop-5,shopping-pay-where,shopping,Shopping,Trả ở đâu?,Where do I pay?,tra uh dow,starter,manifest-ready,3,4,where do i pay|checkout,starter|tier1-page|short-vietnamese|audio-ready
88,112,homepage-now,viet-family-repair-english-help,repair-english-help,repair-english-help,understanding-repair,When You Don't Understand,Anh/chị nói tiếng Anh không?,Do you speak English?,anh chee noy tyeng anh khong,starter,manifest-ready,6,4,speak english|english help,starter|tier1-page|high-frequency-travel|audio-ready
89,112,homepage-now,viet-family-v500-airp-bord-arri-here-is-my-visa,v500-airp-bord-arri-here-is-my-visa,v500-airp-bord-arri-here-is-my-visa,airport-border-arrival,Airport Border Arrival,Đây là thị thực của tôi,Here is my visa,Day la thi thuc cua toi,starter,manifest-ready,6,4,here is my visa,starter|tier1-page|high-frequency-travel|audio-ready
90,112,homepage-now,viet-family-v500-prob-help-i-need-help-now,v500-prob-help-i-need-help-now,v500-prob-help-i-need-help-now,problems-help,Problems & Help,Tôi cần giúp đỡ bây giờ,I need help now,Toi can giup do bay gio,starter,manifest-ready,6,4,i need help now,starter|tier1-page|high-frequency-travel|audio-ready
91,112,homepage-now,viet-family-service-sunscreen,store-4,service-sunscreen,local-services-everyday-tasks,Local Services & Everyday Tasks,Ở đâu có kem chống nắng?,Where is the sunscreen?,uh dow koh kem chong nang,starter,manifest-ready,6,4,sunscreen,starter|tier1-page|high-frequency-travel|audio-ready
92,112,homepage-now,viet-family-transport-meter,transport-meter,transport-meter,transport,Transport,Làm ơn bật đồng hồ giúp tôi,Please use the meter,lahm uhn but dong ho zoop toy,starter,manifest-ready,7,4,use the meter|meter,starter|tier1-page|high-frequency-travel|audio-ready
93,109,homepage-now,viet-hello-chao-em,hello-chao-em,hello-chao-em,polite-basics,Polite Basics,Chào em,Hello to a younger person,chow em,starter,manifest-ready,2,5,chào em|chao em|hello younger person,starter|high-frequency-travel|short-vietnamese|audio-ready
94,109,homepage-now,viet-hello-chao-co,hello-chao-co,hello-chao-co,polite-basics,Polite Basics,Chào cô,Hello to an aunt-age woman,chow koh,starter,manifest-ready,2,6,chào cô|chao co|hello aunt|hello older woman,starter|high-frequency-travel|short-vietnamese|audio-ready
95,109,homepage-now,viet-hello-chao-ong,hello-chao-ong,hello-chao-ong,polite-basics,Polite Basics,Chào ông,Hello to an elderly man,chow ohng,starter,manifest-ready,2,5,chào ông|chao ong|hello elderly man|hello grandfather,starter|high-frequency-travel|short-vietnamese|audio-ready
96,109,homepage-now,viet-hello-chao-ba,hello-chao-ba,hello-chao-ba,polite-basics,Polite Basics,Chào bà,Hello to an elderly woman,chow bah,starter,manifest-ready,2,5,chào bà|chao ba|hello elderly woman|hello grandmother,starter|high-frequency-travel|short-vietnamese|audio-ready
97,109,homepage-now,viet-hello-chao-anh,hello-chao-anh,hello-chao-anh,polite-basics,Polite Basics,Chào anh,Hello to an older man,chow anh,starter,manifest-ready,2,5,chào anh|chao anh|hello older man|hello brother,starter|high-frequency-travel|short-vietnamese|audio-ready
98,109,homepage-now,viet-hello-chao-chi,hello-chao-chi,hello-chao-chi,polite-basics,Polite Basics,Chào chị,Hello to an older woman,chow chee,starter,manifest-ready,2,5,chào chị|chao chi|hello older woman|hello sister,starter|high-frequency-travel|short-vietnamese|audio-ready
99,109,homepage-now,viet-hello-chao-chu,hello-chao-chu,hello-chao-chu,polite-basics,Polite Basics,Chào chú,Hello to an uncle-age man,chow choo,starter,manifest-ready,2,6,chào chú|chao chu|hello uncle|hello older man,starter|high-frequency-travel|short-vietnamese|audio-ready
100,109,homepage-now,viet-da-chao-co,acknowledge-da-chao-co,acknowledge-da-chao-co,polite-basics,Polite Basics,"Dạ, chào cô",Respectful hello to an aunt-age woman,yah chow koh,starter,manifest-ready,3,7,dạ chào cô|da chao co|respectful hello aunt,starter|high-frequency-travel|short-vietnamese|audio-ready
101,109,homepage-now,viet-da-chao-ong,acknowledge-da-chao-ong,acknowledge-da-chao-ong,polite-basics,Polite Basics,"Dạ, chào ông",Respectful hello to an elderly man,yah chow ohng,starter,manifest-ready,3,6,dạ chào ông|da chao ong|respectful hello elderly man,starter|high-frequency-travel|short-vietnamese|audio-ready
