intent,status,candidatePhraseIDs,candidateEnglish,candidateVietnamese
menu,covered,food-menu|vpe-need-item-toi-can-thuc-don-tieng-anh|vpe-have-item-co-thuc-don-tieng-anh-khong|vpe-buy-item-toi-muon-mua-thuc-don-tieng-anh|vpe-price-item-thuc-don-tieng-anh-bao-nhieu-tien|vpe-one-item-please-cho-toi-mot-thuc-don-tieng-anh|vpe-polite-request-da-cho-toi-thuc-don-tieng-anh,"Can I see the menu?|I need an English menu.|Do you have an English menu?|I want to buy an English menu.|How much is an English menu?|An English menu, please.|Respectfully, please give me an English menu.","Cho tôi xem thực đơn được không?|Tôi cần thực đơn tiếng Anh|Có thực đơn tiếng Anh không?|Tôi muốn mua thực đơn tiếng Anh|thực đơn tiếng Anh bao nhiêu tiền?|Cho tôi thực đơn tiếng Anh|Dạ, cho tôi thực đơn tiếng Anh"
bill,covered,taxi-7|coffee-7|food-17|price-9|help-4|shop-5|store-6|money-premium-split-payment,I’ll pay cash|Please let me pay|Can we pay separately?|Do you have smaller bills?|I was charged twice|Where do I pay?|Can I pay by card?|Can we split the payment?,Tôi trả bằng tiền mặt|Tính tiền giúp tôi|Trả riêng được không?|Có tiền lẻ không?|Tôi bị tính tiền hai lần|Trả ở đâu?|Tôi quẹt thẻ được không?|Chúng ta có thể chia tiền thanh toán được không?
not spicy,covered,food-3|food-not-spicy-clearer|v900-food-drin-i-asked-for-this-not-spicy|vpe-need-item-toi-can-mon-khong-cay|vpe-have-item-co-mon-khong-cay-khong|vpe-buy-item-toi-muon-mua-mon-khong-cay|vpe-price-item-mon-khong-cay-bao-nhieu-tien|vpe-one-item-please-cho-toi-mot-mon-khong-cay,"Not spicy please|Less spicy, please|I asked for this not spicy.|I need a non-spicy dish.|Do you have a non-spicy dish?|I want to buy a non-spicy dish.|How much is a non-spicy dish?|A non-spicy dish, please.",Không cay nhé|Ít cay thôi|Tôi yêu cầu món này không cay.|Tôi cần món không cay|Có món không cay không?|Tôi muốn mua món không cay|món không cay bao nhiêu tiền?|Cho tôi món không cay
no sugar,covered,coffee-5|vpe-need-item-toi-can-nuoc-khong-duong|vpe-have-item-co-nuoc-khong-duong-khong|vpe-buy-item-toi-muon-mua-nuoc-khong-duong|vpe-price-item-nuoc-khong-duong-bao-nhieu-tien|vpe-food-without-khong-duong,No sugar please|I need unsweetened drink.|Do you have unsweetened drink?|I want to buy unsweetened drink.|How much is unsweetened drink?|No sugar.,Không đường nhé|Tôi cần nước không đường|Có nước không đường không?|Tôi muốn mua nước không đường|nước không đường bao nhiêu tiền?|Không đường
wifi,covered,phone-1|phone-wifi-common|phone-premium-password-not-working|phone-premium-login-page-not-loading|v500-phon-inte-powe-can-i-use-the-wi-fi|v900-hote-acco-the-wi-fi-is-not-working-in-my-room|v900-airp-bord-arri-where-can-i-get-airport-wi-fi|v900-phon-inte-powe-the-wi-fi-keeps-disconnecting,What is the Wi-Fi password?|What is the Wi-Fi password?|The Wi-Fi password is not working.|The Wi-Fi login page is not loading.|Can I use the Wi-Fi?|The Wi-Fi is not working in my room|Where can I get airport Wi-Fi?|The Wi-Fi keeps disconnecting,Mật khẩu Wi-Fi là gì?|Pass Wi-Fi là gì?|Mật khẩu Wi-Fi không hoạt động.|Trang đăng nhập Wi-Fi không tải.|Tôi có thể sử dụng Wi-Fi không?|Wi-Fi không hoạt động trong phòng tôi|Tôi có thể lấy Wi-Fi sân bay ở đâu?|Wi-Fi liên tục bị ngắt kết nối
sim card,covered,airport-3|phone-2|phone-7|repair-premium-simpler-words|phone-premium-activate-sim|v500-phon-inte-powe-where-can-i-get-a-local-sim-card|v500-phon-inte-powe-i-need-an-esim|v500-phon-inte-powe-i-need-a-sim-card-with-data,Where can I buy a SIM card?|Do you sell SIM cards?|My eSIM is not working|Can you use simpler words?|Can you help me activate the SIM?|Where can I get a local SIM card?|I need an eSIM|I need a SIM card with data,Mua SIM ở đâu?|Có bán SIM không?|eSIM của tôi không hoạt động|Bạn có thể sử dụng những từ đơn giản hơn?|Bạn có thể giúp tôi kích hoạt SIM được không?|Tôi có thể mua SIM ở đâu?|Tôi cần một eSIM|Tôi cần một thẻ SIM có dữ liệu
atm,covered,airport-4|v500-mone-numb-pric-the-atm-kept-my-card|v500-airp-bord-arri-where-is-the-atm|v500-mone-numb-pric-the-atm-did-not-give-me-cash|v900-mone-numb-pric-is-there-an-atm-nearby|vpe-near-place-atm-gan-day-khong|vpe-take-me-place-cho-toi-den-atm|vpe-stop-at-place-dung-o-atm,Where is the nearest ATM?|The ATM kept my card|Where is the ATM?|The ATM did not give me cash|Is there an ATM nearby?|Is an ATM nearby?|Please take me to an ATM.|Stop at an ATM.,ATM gần nhất ở đâu?|ATM đã giữ thẻ của tôi|ATM ở đâu?|ATM không đưa tiền mặt cho tôi|Có máy ATM nào gần đây không?|ATM gần đây không?|Cho tôi đến ATM|Dừng ở ATM
reservation,covered,hotel-1|time-4|hotel-premium-booking-wrong|v500-sigh-acti-i-have-a-tour-booking|v500-airp-bord-arri-please-take-me-to-the-hotel-listed-on-this-booki|v500-time-date-book-can-i-make-a-reservation|v500-time-date-book-i-need-to-change-my-booking|v900-hote-acco-can-i-have-a-room-with-a-window,I have a reservation|I have a booking|I think there is a problem with my booking.|I have a tour booking|Please take me to the hotel listed on this booking.|Can I make a reservation?|I need to change my booking|Can I have a room with a window?,Tôi có đặt phòng|Tôi có đặt chỗ|Tôi nghĩ có vấn đề với việc đặt phòng của tôi.|Tôi có đặt tour|Vui lòng đưa tôi đến khách sạn được liệt kê trong đặt phòng này.|Tôi có thể đặt chỗ được không?|Tôi cần thay đổi đặt chỗ của mình|Tôi có thể đặt phòng có cửa sổ được không?
passport,covered,emergency-3|emergency-premium-passport-report|v500-airp-bord-arri-here-is-my-passport|v500-hote-acco-here-is-my-passport-for-check-in|v500-emer-safe-my-passport-is-missing|v500-emer-safe-i-do-not-have-my-passport|v900-time-date-book-do-i-need-to-bring-my-passport|vpe-need-item-toi-can-ban-sao-ho-chieu,I lost my passport|I need a report for my lost passport.|Here is my passport|Here is my passport for check-in|My passport is missing|I do not have my passport|Do I need to bring my passport?|I need a passport copy.,Tôi mất hộ chiếu|Tôi cần một báo cáo về hộ chiếu bị mất của tôi.|Đây là hộ chiếu của tôi|Đây là hộ chiếu của tôi để nhận phòng|Hộ chiếu của tôi bị mất|Tôi không có hộ chiếu|Tôi có cần mang theo hộ chiếu không?|Tôi cần bản sao hộ chiếu
taxi,covered,taxi-1|taxi-2|taxi-3|taxi-4|taxi-5|taxi-6|taxi-7|hotel-9,Take me here|Go to District 1|You can stop here|Go this way|Please turn on the air conditioning|Wait for me five minutes|I’ll pay cash|Can you call a taxi for me?,Cho tôi tới đây|Đi quận 1|Dừng ở đây được rồi|Đi đường này đi|Mở máy lạnh giúp tôi|Chờ tôi năm phút|Tôi trả bằng tiền mặt|Gọi taxi giúp tôi được không?
pickup,covered,transport-meter|food-menu|directions-8|airport-5|airport-pickup-clearer|phone-7|sight-4|store-7,Please use the meter|Can I see the menu?|Where is the pickup point?|Where is the pickup area?|Where do I meet the driver?|My eSIM is not working|What time does it close?|Please give me the receipt,Làm ơn bật đồng hồ giúp tôi|Cho tôi xem thực đơn được không?|Điểm đón ở đâu?|Khu đón ở đâu?|Tôi gặp tài xế ở đâu?|eSIM của tôi không hoạt động|Mấy giờ đóng cửa?|Cho tôi hóa đơn
help,covered,repair-slower-polite|repair-2|repair-5|repair-english-help|repair-english-help-self-limit|repair-translate-this|taxi-5|transport-meter,"Could you speak a little slower, please?|Please write it down|Can you show me on the map?|Do you speak English?|Sorry, I don’t speak Vietnamese|Can you translate this for me?|Please turn on the air conditioning|Please use the meter","Nói chậm giúp tôi được không?|Viết xuống giúp tôi|Chỉ trên bản đồ giúp tôi được không?|Anh/chị nói tiếng Anh không?|Xin lỗi, tôi không nói tiếng Việt|Dịch giúp tôi cái này được không?|Mở máy lạnh giúp tôi|Làm ơn bật đồng hồ giúp tôi"
doctor,covered,problems-6|v500-heal-phar-can-you-call-a-doctor|v900-heal-phar-is-there-an-english-speaking-doctor-or-pharmacis|vpe-help-action-anh-chi-giup-toi-goi-bac-si-duoc-khong|vpe-likely-replies-bac-si-dang-den,I need a doctor|Can you call a doctor?|Is there an English-speaking doctor or pharmacist?|Can you help me call a doctor?|The doctor is coming,Tôi cần bác sĩ|Bạn có thể gọi bác sĩ được không?|Có bác sĩ hoặc dược sĩ nói tiếng Anh không?|Giúp tôi gọi bác sĩ được không?|Bác sĩ đang đến
pharmacy,covered,health-1|health-pharmacy-clearer|v500-heal-phar-where-is-the-pharmacy|v900-heal-phar-is-there-a-pharmacy-nearby|vpe-near-place-nha-thuoc-gan-day-khong|vpe-take-me-place-cho-toi-den-nha-thuoc|vpe-stop-at-place-dung-o-nha-thuoc|vpe-help-action-anh-chi-giup-toi-tim-nha-thuoc-duoc-khong,Where is the pharmacy?|Where is the nearest pharmacy?|Where is the pharmacy?|Is there a pharmacy nearby?|Is a pharmacy nearby?|Please take me to a pharmacy.|Stop at a pharmacy.|Can you help me find a pharmacy?,Nhà thuốc ở đâu?|Nhà thuốc gần nhất ở đâu?|Hiệu thuốc ở đâu?|Có hiệu thuốc nào gần đây không?|nhà thuốc gần đây không?|Cho tôi đến nhà thuốc|Dừng ở nhà thuốc|Giúp tôi tìm nhà thuốc được không?
ticket,covered,polite-thank-you-polite|taxi-6|hotel-1|hotel-quiet-room|hotel-more-supplies-paper|food-4|food-5|food-7,Thank you very much|Wait for me five minutes|I have a reservation|Can I have a quiet room?|Can I have more toilet paper?|More herbs please|Do you have bottled water?|Pack it to go,Cảm ơn nhiều|Chờ tôi năm phút|Tôi có đặt phòng|Cho tôi phòng yên tĩnh được không?|Cho tôi thêm giấy vệ sinh được không?|Cho thêm rau|Có nước suối không?|Gói mang về
