"phrase_id","scenario_id","family_id","family_title","family_summary","audio_key","english_text","target_text","canonical_target_text","pronunciation","access_tier","variant_role","context","you_may_hear","search_aliases","warning_note_type","audio_status","emoji","notes","status"
"money-premium-service-included","money-numbers-prices","money-service-included","Check whether service is already included","This prevents tipping and fee confusion from getting worse after the first number looks settled.","money-premium-service-included","Is service already included?","Dá»‹ch vá»¥ Ä‘Ã£ Ä‘Æ°á»£c bao gá»“m chÆ°a?","Dá»‹ch vá»¥ Ä‘Ã£ Ä‘Æ°á»£c bao gá»“m chÆ°a?","Dich vu da duoc bao gom chua","premium","say-first","Use this before you pay when you are not sure whether service or another charge is already built in.","","service included|is service included|already included","","planned","ðŸ§®","Phase 1A premium billing scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"money-premium-split-payment","money-numbers-prices","money-split-payment","Ask to split the payment","This is a cost-control follow-up for shared rides, meals, and checkout moments.","money-premium-split-payment","Can we split the payment?","ChÃºng ta cÃ³ thá»ƒ chia tiá»n thanh toÃ¡n Ä‘Æ°á»£c khÃ´ng?","ChÃºng ta cÃ³ thá»ƒ chia tiá»n thanh toÃ¡n Ä‘Æ°á»£c khÃ´ng?","Chung ta co the chia tien thanh toan duoc khong","premium","say-first","Use this when two people need separate payment instead of one combined total.","","split the payment|pay separately|split bill","","planned","ðŸ’³","Phase 1A premium billing scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"transport-premium-wrong-car","transport","transport-wrong-car","Say that this is not your car","This helps you stop the interaction early before a wrong pickup turns into a bigger mistake.","transport-premium-wrong-car","This is not my car.","ÄÃ¢y khÃ´ng pháº£i lÃ  xe cá»§a tÃ´i.","ÄÃ¢y khÃ´ng pháº£i lÃ  xe cá»§a tÃ´i.","Day khong phai la xe cua toi","premium","say-first","Use this when the plate, driver, or app details do not match the ride you expected.","","not my car|wrong car|wrong driver","","planned","ðŸš˜","Phase 1A premium transport scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"transport-premium-wrong-pickup-point","transport","transport-wrong-pickup-point","Confirm the pickup point","Pickup confusion is one of the fastest ways for a ride to go sideways in a crowded area.","transport-premium-wrong-pickup-point","Is this the right pickup point?","ÄÃ¢y cÃ³ pháº£i lÃ  Ä‘iá»ƒm Ä‘Ã³n phÃ¹ há»£p khÃ´ng?","ÄÃ¢y cÃ³ pháº£i lÃ  Ä‘iá»ƒm Ä‘Ã³n phÃ¹ há»£p khÃ´ng?","Day co phai la diem don phu hop khong","premium","say-first","Use this when the driver and rider are nearby but not clearly in the same place yet.","","right pickup point|pickup point|is this where you pick up","","planned","ðŸ“","Phase 1A premium transport scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"transport-premium-wait-here","transport","transport-wait-here","Keep the driver at the pickup","This buys you a little time when the car arrived but you are still crossing, walking, or exiting the building.","transport-premium-wait-here","Please wait here, I am coming.","Xin hÃ£y Ä‘á»£i á»Ÿ Ä‘Ã¢y, tÃ´i Ä‘ang tá»›i.","Xin hÃ£y Ä‘á»£i á»Ÿ Ä‘Ã¢y, tÃ´i Ä‘ang tá»›i.","Xin hay doi o day toi dang toi","premium","say-first","Use this when the ride is about to leave or circle away before you reach it.","","wait here|i am coming|please wait for me here","","planned","â³","Phase 1A premium transport scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"transport-premium-route-wrong","transport","transport-route-wrong","Say the route is wrong","This is the direct premium recovery sentence for when the car is heading the wrong way.","transport-premium-route-wrong","This route is wrong.","Tuyáº¿n Ä‘Æ°á»ng nÃ y sai.","Tuyáº¿n Ä‘Æ°á»ng nÃ y sai.","Tuyen duong nay sai","premium","say-first","Use this as soon as you realize the driver is not following the correct route or destination.","","route is wrong|wrong route|this is the wrong way","","planned","ðŸ—ºï¸","Phase 1A premium transport scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"transport-premium-turn-around","transport","transport-turn-around","Tell the driver to turn around","When a wrong turn already happened, you need a correction sentence, not just a complaint.","transport-premium-turn-around","Please turn around.","Xin hÃ£y quay láº¡i.","Xin hÃ£y quay láº¡i.","Xin hay quay lai","premium","say-first","Use this when the driver needs to reverse direction instead of continuing ahead.","","turn around|go back|please go back","","planned","â†©ï¸","Phase 1A premium transport scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"transport-premium-luggage-trunk","transport","transport-luggage-trunk","Stop the car before your luggage leaves with it","This is the recovery line for the moment right after arrival when the trunk still matters.","transport-premium-luggage-trunk","My luggage is in the trunk.","HÃ nh lÃ½ cá»§a tÃ´i á»Ÿ trong cá»‘p xe.","HÃ nh lÃ½ cá»§a tÃ´i á»Ÿ trong cá»‘p xe.","Hanh ly cua toi o trong cop xe","premium","say-first","Use this before the driver pulls away if your bag is still in the trunk or back of the vehicle.","","luggage in the trunk|my bag is in the trunk|bag in trunk","","planned","ðŸ§³","Phase 1A premium transport scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"hotel-premium-booking-wrong","hotel-accommodation","hotel-booking-wrong","Flag a booking problem early","This is the opening sentence for mismatches before you start explaining the details.","hotel-premium-booking-wrong","I think there is a problem with my booking.","TÃ´i nghÄ© cÃ³ váº¥n Ä‘á» vá»›i viá»‡c Ä‘áº·t phÃ²ng cá»§a tÃ´i.","TÃ´i nghÄ© cÃ³ váº¥n Ä‘á» vá»›i viá»‡c Ä‘áº·t phÃ²ng cá»§a tÃ´i.","Toi nghi co van de voi viec dat phong cua toi","premium","say-first","Use this when the desk cannot find the booking or the reservation details do not match.","","problem with my booking|booking problem|reservation problem","","planned","ðŸ›Žï¸","Phase 1A premium hotel scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"hotel-premium-different-room","hotel-accommodation","hotel-different-room","Say that you booked a different room","This keeps the dispute focused on the room type instead of a broad complaint.","hotel-premium-different-room","I booked a different room.","TÃ´i Ä‘Ã£ Ä‘áº·t má»™t phÃ²ng khÃ¡c.","TÃ´i Ä‘Ã£ Ä‘áº·t má»™t phÃ²ng khÃ¡c.","Toi da dat mot phong khac","premium","say-first","Use this when the bed type, room type, or booking details do not match what you reserved.","","different room|booked another room|wrong room type","","planned","ðŸ›ï¸","Phase 1A premium hotel scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"hotel-premium-room-not-ready","hotel-accommodation","hotel-room-not-ready","Push on a room that still is not ready","This covers the recovery moment when check-in stalled and you need a clear next step.","hotel-premium-room-not-ready","The room is not ready yet.","CÄƒn phÃ²ng váº«n chÆ°a sáºµn sÃ ng.","CÄƒn phÃ²ng váº«n chÆ°a sáºµn sÃ ng.","Can phong van chua san sang","premium","say-first","Use this when you were told to wait but the room still is not available when it should be.","","room not ready|not ready yet|still not ready","","planned","ðŸ•“","Phase 1A premium hotel scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"hotel-premium-no-hot-water","hotel-accommodation","hotel-no-hot-water","Report that there is no hot water","This is a common room-recovery problem and a believable premium follow-up beyond basic check-in.","hotel-premium-no-hot-water","There is no hot water.","á»ž Ä‘Ã¢y khÃ´ng cÃ³ nÆ°á»›c nÃ³ng.","á»ž Ä‘Ã¢y khÃ´ng cÃ³ nÆ°á»›c nÃ³ng.","O day khong co nuoc nong","premium","say-first","Use this when the shower or sink water is cold and you need the hotel to fix it.","","no hot water|hot water not working|cold shower","","planned","ðŸš¿","Phase 1A premium hotel scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"hotel-premium-too-noisy","hotel-accommodation","hotel-too-noisy","Say the room is too noisy","Noise is a real hotel failure and often needs a room move or staff action.","hotel-premium-too-noisy","The room is too noisy.","CÄƒn phÃ²ng quÃ¡ á»“n Ã o.","CÄƒn phÃ²ng quÃ¡ á»“n Ã o.","Can phong qua on ao","premium","say-first","Use this when outside noise, neighbors, or hotel noise is making the room unusable.","","room too noisy|too noisy|noise problem","","planned","ðŸ”Š","Phase 1A premium hotel scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"hotel-premium-late-checkout","hotel-accommodation","hotel-late-checkout","Ask for a later checkout","This is a practical hotel recovery sentence when timing on the last day gets tighter than expected.","hotel-premium-late-checkout","Can I check out later?","TÃ´i cÃ³ thá»ƒ tráº£ phÃ²ng sau Ä‘Æ°á»£c khÃ´ng?","TÃ´i cÃ³ thá»ƒ tráº£ phÃ²ng sau Ä‘Æ°á»£c khÃ´ng?","Toi co the tra phong sau duoc khong","premium","say-first","Use this when your ride, flight, or day plan makes the normal checkout time too early.","","late checkout|check out later|later checkout","","planned","ðŸ§­","Phase 1A premium hotel scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"food-premium-has-peanuts","food-drink","food-has-peanuts","Check for peanuts directly","Peanut risk needs a fast ingredient question of its own because the free allergy baseline is broader than the real moment at the table.","food-premium-has-peanuts","Does this have peanuts?","CÃ¡i nÃ y cÃ³ Ä‘áº­u phá»™ng khÃ´ng?","CÃ¡i nÃ y cÃ³ Ä‘áº­u phá»™ng khÃ´ng?","Cai nay co dau phong khong","premium","say-first","Use this before ordering or eating when peanuts are the specific ingredient that matters.","","does this have peanuts|has peanuts|peanut check|peanuts","","planned","ðŸ¥œ","Phase 1B premium food scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"food-premium-no-meat","food-drink","food-no-meat","Ask for no meat","This is the short correction family for dishes that look safe at first but need a clear no-meat follow-up.","food-premium-no-meat","No meat, please.","LÃ m Æ¡n Ä‘á»«ng cÃ³ thá»‹t.","LÃ m Æ¡n Ä‘á»«ng cÃ³ thá»‹t.","Lam on dung co thit","premium","say-first","Use this when you need the kitchen or vendor to remove meat instead of guessing from the menu.","","no meat|without meat|vegetarian no meat","","planned","ðŸ¥©","Phase 1B premium food scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"food-premium-without-this-ingredient","food-drink","food-without-this-ingredient","Remove a specific ingredient","Point-and-remove phrasing is more believable premium value than generic dietary theory because it fixes the actual plate in front of you.","food-premium-without-this-ingredient","Can you make it without this ingredient?","Báº¡n cÃ³ thá»ƒ lÃ m nÃ³ mÃ  khÃ´ng cáº§n thÃ nh pháº§n nÃ y?","Báº¡n cÃ³ thá»ƒ lÃ m nÃ³ mÃ  khÃ´ng cáº§n thÃ nh pháº§n nÃ y?","Ban co the lam no ma khong can thanh phan nay","premium","say-first","Use this while pointing at the ingredient you need removed from the dish.","","without this ingredient|leave this out|remove this ingredient","","planned","ðŸ§‚","Phase 1B premium food scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"food-premium-too-spicy-now","food-drink","food-too-spicy-now","Fix a dish that is too spicy","Travelers often ask for mild food first, but premium should cover the recovery line when the dish still arrives too spicy.","food-premium-too-spicy-now","This is too spicy for me.","MÃ³n nÃ y quÃ¡ cay Ä‘á»‘i vá»›i tÃ´i.","MÃ³n nÃ y quÃ¡ cay Ä‘á»‘i vá»›i tÃ´i.","Mon nay qua cay doi voi toi","premium","say-first","Use this after the food arrives when the heat level is higher than you can handle.","","too spicy|this is too spicy|not mild enough|too hot","","planned","ðŸŒ¶ï¸","Phase 1B premium food scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"food-premium-which-dish-safe","food-drink","food-which-dish-safe","Ask which dish is safer","When the menu is unclear, premium should help the traveler choose the safer option instead of gambling on the first guess.","food-premium-which-dish-safe","Which dish is safest for this allergy?","MÃ³n Äƒn nÃ o an toÃ n nháº¥t cho ngÆ°á»i bá»‹ dá»‹ á»©ng nÃ y?","MÃ³n Äƒn nÃ o an toÃ n nháº¥t cho ngÆ°á»i bá»‹ dá»‹ á»©ng nÃ y?","Mon an nao an toan nhat cho nguoi bi di ung nay","premium","say-first","Use this while pointing at your allergy card or ingredient note when you need the best option, not just a yes-or-no.","","which dish is safe|safe dish for allergy|which one is safest","","planned","ðŸ›¡ï¸","Phase 1B premium food scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"food-premium-has-meat-in-it","food-drink","food-has-meat-in-it","Flag that the dish still has meat","This is the correction family for the moment when the order comes out with meat after you already tried to avoid it.","food-premium-has-meat-in-it","This has meat in it.","CÃ¡i nÃ y cÃ³ thá»‹t trong Ä‘Ã³.","CÃ¡i nÃ y cÃ³ thá»‹t trong Ä‘Ã³.","Cai nay co thit trong do","premium","say-first","Use this when the dish arrives with meat even though you expected it without.","","has meat in it|there is meat in this|this still has meat","","planned","ðŸ–","Phase 1B premium food scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"phone-premium-otp-not-arriving","phone-internet-power","phone-otp-not-arriving","Say the verification code is not arriving","OTP failure is a real travel blocker because it breaks rides, payments, check-ins, and logins all at once.","phone-premium-otp-not-arriving","The verification code is not arriving.","MÃ£ xÃ¡c minh khÃ´ng Ä‘áº¿n.","MÃ£ xÃ¡c minh khÃ´ng Ä‘áº¿n.","Ma xac minh khong den","premium","say-first","Use this when you are waiting on an OTP or SMS code that still has not come through.","","otp not arriving|code not arriving|verification code|sms code","","planned","ðŸ”","Phase 1B premium connectivity scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"phone-premium-password-not-working","phone-internet-power","phone-password-not-working","Say the Wi-Fi password is not working","This is the follow-up after the free Wi-Fi password ask when the answer you got still does not connect.","phone-premium-password-not-working","The Wi-Fi password is not working.","Máº­t kháº©u Wi-Fi khÃ´ng hoáº¡t Ä‘á»™ng.","Máº­t kháº©u Wi-Fi khÃ´ng hoáº¡t Ä‘á»™ng.","Mat khau Wi-Fi khong hoat dong","premium","say-first","Use this after you entered the password and still cannot get online.","","wifi password not working|wrong wifi password|password does not work","","planned","ðŸ”‘","Phase 1B premium connectivity scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"phone-premium-login-page-not-loading","phone-internet-power","phone-login-page-not-loading","Say the Wi-Fi login page will not load","Captive-portal failure is a distinct problem from the password itself and deserves its own recovery family.","phone-premium-login-page-not-loading","The Wi-Fi login page is not loading.","Trang Ä‘Äƒng nháº­p Wi-Fi khÃ´ng táº£i.","Trang Ä‘Äƒng nháº­p Wi-Fi khÃ´ng táº£i.","Trang dang nhap Wi-Fi khong tai","premium","say-first","Use this when the network appears, but the sign-in page never opens or keeps failing.","","wifi login page|login page not loading|wifi sign in page","","planned","ðŸŒ","Phase 1B premium connectivity scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"phone-premium-no-signal","phone-internet-power","phone-no-signal","Say there is no signal here","Signal failure is one of the simplest but most important phone recovery families because the next step is often location or network help.","phone-premium-no-signal","There is no signal here.","KhÃ´ng cÃ³ tÃ­n hiá»‡u á»Ÿ Ä‘Ã¢y.","KhÃ´ng cÃ³ tÃ­n hiá»‡u á»Ÿ Ä‘Ã¢y.","Khong co tin hieu o day","premium","say-first","Use this when calls, texts, or data cannot connect because the signal is missing or too weak.","","no signal here|no signal|weak signal|cannot get signal","","planned","ðŸ“¶","Phase 1B premium connectivity scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"phone-premium-data-not-working","phone-internet-power","phone-data-not-working","Say the data is not working","This covers the painful middle state where the SIM exists but maps, rides, or payment apps still fail.","phone-premium-data-not-working","My data is not working.","Dá»¯ liá»‡u cá»§a tÃ´i khÃ´ng hoáº¡t Ä‘á»™ng.","Dá»¯ liá»‡u cá»§a tÃ´i khÃ´ng hoáº¡t Ä‘á»™ng.","Du lieu cua toi khong hoat dong","premium","say-first","Use this when the SIM or eSIM shows up, but mobile data still will not connect.","","data not working|mobile data not working|no data","","planned","ðŸ“¡","Phase 1B premium connectivity scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"phone-premium-activate-sim","phone-internet-power","phone-activate-sim","Ask for help activating the SIM","SIM purchase is the free baseline; activation help is the premium recovery step when setup gets stuck.","phone-premium-activate-sim","Can you help me activate the SIM?","Báº¡n cÃ³ thá»ƒ giÃºp tÃ´i kÃ­ch hoáº¡t SIM Ä‘Æ°á»£c khÃ´ng?","Báº¡n cÃ³ thá»ƒ giÃºp tÃ´i kÃ­ch hoáº¡t SIM Ä‘Æ°á»£c khÃ´ng?","Ban co the giup toi kich hoat SIM duoc khong","premium","say-first","Use this when you bought the SIM or eSIM but still need staff help to get it working.","","activate sim|help activate sim|sim setup help|activate esim","","planned","ðŸ“²","Phase 1B premium connectivity scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"help-premium-translate-for-me","problems-help","help-translate-for-me","Ask someone to translate for you","Human translation support is premium-value recovery because it rescues the interaction when your phrase alone is no longer enough.","help-premium-translate-for-me","Can you help translate for me?","Báº¡n cÃ³ thá»ƒ dá»‹ch giÃºp tÃ´i Ä‘Æ°á»£c khÃ´ng?","Báº¡n cÃ³ thá»ƒ dá»‹ch giÃºp tÃ´i Ä‘Æ°á»£c khÃ´ng?","Ban co the dich giup toi duoc khong","premium","say-first","Use this when the situation is getting important and you need another person to bridge the conversation.","","help translate for me|can you translate|translation help","","planned","ðŸ—£ï¸","Phase 1B premium help scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"help-premium-call-this-number","problems-help","help-call-this-number","Ask someone to call a number for you","Travelers often have the right number but not the language or confidence to make the call themselves.","help-premium-call-this-number","Can you call this number for me?","Báº¡n cÃ³ thá»ƒ gá»i sá»‘ nÃ y há»™ tÃ´i Ä‘Æ°á»£c khÃ´ng?","Báº¡n cÃ³ thá»ƒ gá»i sá»‘ nÃ y há»™ tÃ´i Ä‘Æ°á»£c khÃ´ng?","Ban co the goi so nay ho toi duoc khong","premium","say-first","Use this while showing a phone number for the hotel, airline, embassy, landlord, or another contact.","","call this number for me|can you call for me|call this number","","planned","â˜Žï¸","Phase 1B premium help scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"help-premium-contact-embassy","problems-help","help-contact-embassy","Ask for help contacting the embassy","Embassy help becomes much more believable paid value when the ask is contact and escalation, not just naming the place.","help-premium-contact-embassy","Can you help me contact the embassy?","Báº¡n cÃ³ thá»ƒ giÃºp tÃ´i liÃªn há»‡ vá»›i Ä‘áº¡i sá»© quÃ¡n Ä‘Æ°á»£c khÃ´ng?","Báº¡n cÃ³ thá»ƒ giÃºp tÃ´i liÃªn há»‡ vá»›i Ä‘áº¡i sá»© quÃ¡n Ä‘Æ°á»£c khÃ´ng?","Ban co the giup toi lien he voi dai su quan duoc khong","premium","say-first","Use this when you need someone to call, message, or direct you to embassy or consulate help.","","contact the embassy|help contact embassy|embassy help","","planned","ðŸ›ï¸","Phase 1B premium help scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"help-premium-print-document","problems-help","help-print-document","Ask for a printed copy of a document","Document recovery often depends on a printed copy, not just the file on your phone.","help-premium-print-document","I need a printed copy of this document.","TÃ´i cáº§n má»™t báº£n in cá»§a tÃ i liá»‡u nÃ y.","TÃ´i cáº§n má»™t báº£n in cá»§a tÃ i liá»‡u nÃ y.","Toi can mot ban in cua tai lieu nay","premium","say-first","Use this while showing a phone screen or email when you need a paper copy for a report, check-in, or passport issue.","","printed copy of this document|print this document|need a printout","","planned","ðŸ–¨ï¸","Phase 1B premium help scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"help-premium-come-with-me","problems-help","help-come-with-me","Ask someone to come with you","When a situation feels risky or confusing, asking someone to come with you can matter more than one extra phrase.","help-premium-come-with-me","Can you come with me?","Báº¡n cÃ³ thá»ƒ Ä‘i cÃ¹ng tÃ´i Ä‘Æ°á»£c khÃ´ng?","Báº¡n cÃ³ thá»ƒ Ä‘i cÃ¹ng tÃ´i Ä‘Æ°á»£c khÃ´ng?","Ban co the di cung toi duoc khong","premium","say-first","Use this when you need support going to the police desk, embassy, hospital, counter, or another stressful next stop.","","come with me|can you come with me|go with me","","planned","ðŸ¤","Phase 1B premium help scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"emergency-premium-tourist-police","emergency-safety","emergency-tourist-police","Ask for the tourist police","Tourist police is a more actionable escalation target than generic emergency language when the issue is theft, scam, or document trouble.","emergency-premium-tourist-police","I need the tourist police.","TÃ´i cáº§n cáº£nh sÃ¡t du lá»‹ch.","TÃ´i cáº§n cáº£nh sÃ¡t du lá»‹ch.","Toi can canh sat du lich","premium","say-first","Use this when you need police help that is used to dealing with visitors, reports, or theft.","","tourist police|need tourist police|police for tourists","","planned","ðŸš“","Phase 1B premium emergency scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"emergency-premium-police-station","emergency-safety","emergency-police-station","Ask to go to the police station","This moves the situation from vague help into the exact official place where the next step can happen.","emergency-premium-police-station","Please take me to the police station.","LÃ m Æ¡n Ä‘Æ°a tÃ´i Ä‘áº¿n Ä‘á»“n cáº£nh sÃ¡t.","LÃ m Æ¡n Ä‘Æ°a tÃ´i Ä‘áº¿n Ä‘á»“n cáº£nh sÃ¡t.","Lam on dua toi den don canh sat","premium","say-first","Use this when you need to make a report or get official help in person.","","take me to the police station|go to police station|police station","","planned","ðŸš”","Phase 1B premium emergency scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
"emergency-premium-phone-stolen","emergency-safety","emergency-phone-stolen","Report a stolen phone","Phone theft deserves its own family because it combines safety, identity, payments, and navigation risk immediately.","emergency-premium-phone-stolen","My phone was stolen.","Äiá»‡n thoáº¡i cá»§a tÃ´i Ä‘Ã£ bá»‹ Ä‘Ã¡nh cáº¯p.","Äiá»‡n thoáº¡i cá»§a tÃ´i Ä‘Ã£ bá»‹ Ä‘Ã¡nh cáº¯p.","Dien thoai cua toi da bi danh cap","premium","say-first","Use this when the problem is theft, not just losing or leaving the phone behind.","","my phone was stolen|phone stolen|stolen phone","","planned","ðŸ“±","Phase 1B premium emergency scaffold, historical source-lane record; current live Viet seam already covers this row","approved"
