heroImageName,pageID,title,profile,assetPath,sourceOwnership
HeroCityDanangPlaceHelioNightMarket,viet-family-city-danang-place-helio-night-market,Chợ đêm Helio / Helio Night Market,landmark,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceHelioNightMarket.imageset/hero-city-danang-place-helio-night-market.png,app-owned generated illustration
HeroCityDanangPlaceLoveBridge,viet-family-city-danang-place-love-bridge,Cầu Tình Yêu / Love Bridge,landmark,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceLoveBridge.imageset/hero-city-danang-place-love-bridge.png,app-owned generated illustration
HeroCityDanangPlaceManThaiBeach,viet-family-city-danang-place-man-thai-beach,Biển Mân Thái / Man Thai Beach,landmark,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceManThaiBeach.imageset/hero-city-danang-place-man-thai-beach.png,app-owned generated illustration
HeroCityDanangPlaceNamOReef,viet-family-city-danang-place-nam-o-reef,Rạn Nam Ô / Nam O Reef,landmark,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceNamOReef.imageset/hero-city-danang-place-nam-o-reef.png,app-owned generated illustration
HeroCityDanangPlaceNen,viet-family-city-danang-place-nen,Nén Đà Nẵng / Nén Đà Nẵng,restaurant,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceNen.imageset/hero-city-danang-place-nen.png,app-owned generated illustration
HeroCityDanangPlaceNonNuocBeach,viet-family-city-danang-place-non-nuoc-beach,Biển Non Nước / Non Nuoc Beach,landmark,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceNonNuocBeach.imageset/hero-city-danang-place-non-nuoc-beach.png,app-owned generated illustration
HeroCityDanangPlaceNonNuocStoneVillage,viet-family-city-danang-place-non-nuoc-stone-village,Làng đá Non Nước / Non Nuoc Stone Carving Village,landmark,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceNonNuocStoneVillage.imageset/hero-city-danang-place-non-nuoc-stone-village.png,app-owned generated illustration
HeroCityDanangPlaceRailwayStation,viet-family-city-danang-place-railway-station,Ga Đà Nẵng / Da Nang Railway Station,landmark,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceRailwayStation.imageset/hero-city-danang-place-railway-station.png,app-owned generated illustration
HeroCityDanangPlaceSonTra,viet-family-city-danang-place-son-tra,Bán đảo Sơn Trà / Son Tra Peninsula,landmark,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceSonTra.imageset/hero-city-danang-place-son-tra.png,app-owned generated illustration
HeroCityDanangPlaceSonTraNightMarket,viet-family-city-danang-place-son-tra-night-market,Chợ đêm Sơn Trà / Son Tra Night Market,landmark,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceSonTraNightMarket.imageset/hero-city-danang-place-son-tra-night-market.png,app-owned generated illustration
HeroCityDanangPlaceTienSaPort,viet-family-city-danang-place-tien-sa-port,Cảng Tiên Sa / Tien Sa Port,landmark,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceTienSaPort.imageset/hero-city-danang-place-tien-sa-port.png,app-owned generated illustration
HeroCityDanangPlaceTranThiLyBridge,viet-family-city-danang-place-tran-thi-ly-bridge,Cầu Trần Thị Lý / Tran Thi Ly Bridge,landmark,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceTranThiLyBridge.imageset/hero-city-danang-place-tran-thi-ly-bridge.png,app-owned generated illustration
HeroCityDanangPlaceVoNguyenGiapStreet,viet-family-city-danang-place-vo-nguyen-giap-street,Đường Võ Nguyên Giáp / Vo Nguyen Giap Street,streetDriver,native-ios/Resources/Assets.xcassets/HeroCityDanangPlaceVoNguyenGiapStreet.imageset/hero-city-danang-place-vo-nguyen-giap-street.png,app-owned generated illustration
HeroCityHanoiPlaceBaDinhSquare,viet-family-city-hanoi-place-ba-dinh-square,Quảng trường Ba Đình / Ba Dinh Square,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceBaDinhSquare.imageset/hero-city-hanoi-place-ba-dinh-square.png,app-owned generated illustration
HeroCityHanoiPlaceBunChaHuongLien,viet-family-city-hanoi-place-bun-cha-huong-lien,Bún chả Hương Liên / Bun Cha Huong Lien,restaurant,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceBunChaHuongLien.imageset/hero-city-hanoi-place-bun-cha-huong-lien.png,app-owned generated illustration
HeroCityHanoiPlaceChaCaThangLong,viet-family-city-hanoi-place-cha-ca-thang-long,Chả cá Thăng Long / Cha Ca Thang Long,restaurant,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceChaCaThangLong.imageset/hero-city-hanoi-place-cha-ca-thang-long.png,app-owned generated illustration
HeroCityHanoiPlaceDongXuan,viet-family-city-hanoi-place-dong-xuan,Chợ Đồng Xuân / Dong Xuan Market,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceDongXuan.imageset/hero-city-hanoi-place-dong-xuan.png,app-owned generated illustration
HeroCityHanoiPlaceEthnologyMuseum,viet-family-city-hanoi-place-ethnology-museum,Bảo tàng Dân tộc học / Vietnam Museum of Ethnology,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceEthnologyMuseum.imageset/hero-city-hanoi-place-ethnology-museum.png,app-owned generated illustration
HeroCityHanoiPlaceGiangCafe,viet-family-city-hanoi-place-giang-cafe,Cà phê Giảng / Giang Cafe,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceGiangCafe.imageset/hero-city-hanoi-place-giang-cafe.png,app-owned generated illustration
HeroCityHanoiPlaceHangBacStreet,viet-family-city-hanoi-place-hang-bac-street,Phố Hàng Bạc / Hang Bac Street,streetDriver,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceHangBacStreet.imageset/hero-city-hanoi-place-hang-bac-street.png,app-owned generated illustration
HeroCityHanoiPlaceHangGaiStreet,viet-family-city-hanoi-place-hang-gai-street,Phố Hàng Gai / Hang Gai Street,streetDriver,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceHangGaiStreet.imageset/hero-city-hanoi-place-hang-gai-street.png,app-owned generated illustration
HeroCityHanoiPlaceHoChiMinhMausoleum,viet-family-city-hanoi-place-ho-chi-minh-mausoleum,Lăng Bác / Ho Chi Minh Mausoleum,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceHoChiMinhMausoleum.imageset/hero-city-hanoi-place-ho-chi-minh-mausoleum.png,app-owned generated illustration
HeroCityHanoiPlaceHoaLoPrison,viet-family-city-hanoi-place-hoa-lo-prison,Nhà tù Hỏa Lò / Hoa Lo Prison,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceHoaLoPrison.imageset/hero-city-hanoi-place-hoa-lo-prison.png,app-owned generated illustration
HeroCityHanoiPlaceHoanKiem,viet-family-city-hanoi-place-hoan-kiem,Hồ Hoàn Kiếm / Hoan Kiem Lake,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceHoanKiem.imageset/hero-city-hanoi-place-hoan-kiem.png,app-owned generated illustration
HeroCityHanoiPlaceImperialCitadel,viet-family-city-hanoi-place-imperial-citadel,Hoàng thành Thăng Long / Imperial Citadel of Thang Long,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceImperialCitadel.imageset/hero-city-hanoi-place-imperial-citadel.png,app-owned generated illustration
HeroCityHanoiPlaceLongBienBridge,viet-family-city-hanoi-place-long-bien-bridge,Cầu Long Biên / Long Bien Bridge,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceLongBienBridge.imageset/hero-city-hanoi-place-long-bien-bridge.png,app-owned generated illustration
HeroCityHanoiPlaceLongBienMarket,viet-family-city-hanoi-place-long-bien-market,Chợ Long Biên / Long Bien Market,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceLongBienMarket.imageset/hero-city-hanoi-place-long-bien-market.png,app-owned generated illustration
HeroCityHanoiPlaceNoiBaiAirport,viet-family-city-hanoi-place-noi-bai-airport,Sân bay Nội Bài / Noi Bai Airport,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceNoiBaiAirport.imageset/hero-city-hanoi-place-noi-bai-airport.png,app-owned generated illustration
HeroCityHanoiPlaceOldQuarter,viet-family-city-hanoi-place-old-quarter,Phố cổ Hà Nội / Hanoi Old Quarter,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceOldQuarter.imageset/hero-city-hanoi-place-old-quarter.png,app-owned generated illustration
HeroCityHanoiPlaceOperaHouse,viet-family-city-hanoi-place-opera-house,Nhà hát Lớn Hà Nội / Hanoi Opera House,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceOperaHouse.imageset/hero-city-hanoi-place-opera-house.png,app-owned generated illustration
HeroCityHanoiPlacePhanDinhPhungStreet,viet-family-city-hanoi-place-phan-dinh-phung-street,Phố Phan Đình Phùng / Phan Dinh Phung Street,streetDriver,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlacePhanDinhPhungStreet.imageset/hero-city-hanoi-place-phan-dinh-phung-street.png,app-owned generated illustration
HeroCityHanoiPlacePhoBatDan,viet-family-city-hanoi-place-pho-bat-dan,Phở Bát Đàn / Pho Bat Dan,restaurant,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlacePhoBatDan.imageset/hero-city-hanoi-place-pho-bat-dan.png,app-owned generated illustration
HeroCityHanoiPlaceQuanThanhTemple,viet-family-city-hanoi-place-quan-thanh-temple,Đền Quán Thánh / Quan Thanh Temple,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceQuanThanhTemple.imageset/hero-city-hanoi-place-quan-thanh-temple.png,app-owned generated illustration
HeroCityHanoiPlaceStJosephCathedral,viet-family-city-hanoi-place-st-joseph-cathedral,Nhà thờ Lớn Hà Nội / St. Joseph Cathedral,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceStJosephCathedral.imageset/hero-city-hanoi-place-st-joseph-cathedral.png,app-owned generated illustration
HeroCityHanoiPlaceTaHien,viet-family-city-hanoi-place-ta-hien,Phố Tạ Hiện / Ta Hien Street,streetDriver,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceTaHien.imageset/hero-city-hanoi-place-ta-hien.png,app-owned generated illustration
HeroCityHanoiPlaceTamVi,viet-family-city-hanoi-place-tam-vi,Tầm Vị / Tam Vi,restaurant,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceTamVi.imageset/hero-city-hanoi-place-tam-vi.png,app-owned generated illustration
HeroCityHanoiPlaceTayHo,viet-family-city-hanoi-place-tay-ho,Tây Hồ / Tay Ho,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceTayHo.imageset/hero-city-hanoi-place-tay-ho.png,app-owned generated illustration
HeroCityHanoiPlaceTempleLiterature,viet-family-city-hanoi-place-temple-literature,Văn Miếu / Temple of Literature,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceTempleLiterature.imageset/hero-city-hanoi-place-temple-literature.png,app-owned generated illustration
HeroCityHanoiPlaceTrainStreet,viet-family-city-hanoi-place-train-street,Phố đường tàu Hà Nội / Hanoi Train Street,streetDriver,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceTrainStreet.imageset/hero-city-hanoi-place-train-street.png,app-owned generated illustration
HeroCityHanoiPlaceTranQuocPagoda,viet-family-city-hanoi-place-tran-quoc-pagoda,Chùa Trấn Quốc / Tran Quoc Pagoda,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceTranQuocPagoda.imageset/hero-city-hanoi-place-tran-quoc-pagoda.png,app-owned generated illustration
HeroCityHanoiPlaceTrucBachLake,viet-family-city-hanoi-place-truc-bach-lake,Hồ Trúc Bạch / Truc Bach Lake,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceTrucBachLake.imageset/hero-city-hanoi-place-truc-bach-lake.png,app-owned generated illustration
HeroCityHanoiPlaceWaterPuppetTheatre,viet-family-city-hanoi-place-water-puppet-theatre,Nhà hát Múa rối Thăng Long / Thang Long Water Puppet Theatre,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceWaterPuppetTheatre.imageset/hero-city-hanoi-place-water-puppet-theatre.png,app-owned generated illustration
HeroCityHanoiPlaceWestLake,viet-family-city-hanoi-place-west-lake,Hồ Tây / West Lake,landmark,native-ios/Resources/Assets.xcassets/HeroCityHanoiPlaceWestLake.imageset/hero-city-hanoi-place-west-lake.png,app-owned generated illustration
HeroCityHcmcPlaceAnanSaigon,viet-family-city-hcmc-place-anan-saigon,Anăn Sài Gòn / Anan Saigon,restaurant,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceAnanSaigon.imageset/hero-city-hcmc-place-anan-saigon.png,app-owned generated illustration
HeroCityHcmcPlaceBachDangWharf,viet-family-city-hcmc-place-bach-dang-wharf,Bến Bạch Đằng / Bach Dang Wharf,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceBachDangWharf.imageset/hero-city-hcmc-place-bach-dang-wharf.png,app-owned generated illustration
HeroCityHcmcPlaceBenThanhMarket,viet-family-city-hcmc-place-ben-thanh-market,Chợ Bến Thành / Ben Thanh Market,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceBenThanhMarket.imageset/hero-city-hcmc-place-ben-thanh-market.png,app-owned generated illustration
HeroCityHcmcPlaceBinhTayMarket,viet-family-city-hcmc-place-binh-tay-market,Chợ Bình Tây / Binh Tay Market,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceBinhTayMarket.imageset/hero-city-hcmc-place-binh-tay-market.png,app-owned generated illustration
HeroCityHcmcPlaceBitexcoTower,viet-family-city-hcmc-place-bitexco-tower,Tòa nhà Bitexco / Bitexco Financial Tower,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceBitexcoTower.imageset/hero-city-hcmc-place-bitexco-tower.png,app-owned generated illustration
HeroCityHcmcPlaceBuiVienStreet,viet-family-city-hcmc-place-bui-vien-street,Phố Bùi Viện / Bui Vien Street,streetDriver,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceBuiVienStreet.imageset/hero-city-hcmc-place-bui-vien-street.png,app-owned generated illustration
HeroCityHcmcPlaceChoLon,viet-family-city-hcmc-place-cho-lon,Chợ Lớn / Cho Lon,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceChoLon.imageset/hero-city-hcmc-place-cho-lon.png,app-owned generated illustration
HeroCityHcmcPlaceDistrict1,viet-family-city-hcmc-place-district-1,Quận 1 / District 1,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceDistrict1.imageset/hero-city-hcmc-place-district1.png,app-owned generated illustration
HeroCityHcmcPlaceDongKhoiStreet,viet-family-city-hcmc-place-dong-khoi-street,Đường Đồng Khởi / Dong Khoi Street,streetDriver,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceDongKhoiStreet.imageset/hero-city-hcmc-place-dong-khoi-street.png,app-owned generated illustration
HeroCityHcmcPlaceFineArtsMuseum,viet-family-city-hcmc-place-fine-arts-museum,Bảo tàng Mỹ thuật / Fine Arts Museum,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceFineArtsMuseum.imageset/hero-city-hcmc-place-fine-arts-museum.png,app-owned generated illustration
HeroCityHcmcPlaceHoThiKyFlowerMarket,viet-family-city-hcmc-place-ho-thi-ky-flower-market,Chợ hoa Hồ Thị Kỷ / Ho Thi Ky Flower Market,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceHoThiKyFlowerMarket.imageset/hero-city-hcmc-place-ho-thi-ky-flower-market.png,app-owned generated illustration
HeroCityHcmcPlaceIndependencePalace,viet-family-city-hcmc-place-independence-palace,Dinh Độc Lập / Independence Palace,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceIndependencePalace.imageset/hero-city-hcmc-place-independence-palace.png,app-owned generated illustration
HeroCityHcmcPlaceJadeEmperorPagoda,viet-family-city-hcmc-place-jade-emperor-pagoda,Chùa Ngọc Hoàng / Jade Emperor Pagoda,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceJadeEmperorPagoda.imageset/hero-city-hcmc-place-jade-emperor-pagoda.png,app-owned generated illustration
HeroCityHcmcPlaceLandmark81,viet-family-city-hcmc-place-landmark-81,Landmark 81 / Landmark 81,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceLandmark81.imageset/hero-city-hcmc-place-landmark81.png,app-owned generated illustration
HeroCityHcmcPlaceLeThanhTonStreet,viet-family-city-hcmc-place-le-thanh-ton-street,Đường Lê Thánh Tôn / Le Thanh Ton Street,streetDriver,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceLeThanhTonStreet.imageset/hero-city-hcmc-place-le-thanh-ton-street.png,app-owned generated illustration
HeroCityHcmcPlaceNguyenHue,viet-family-city-hcmc-place-nguyen-hue,Phố đi bộ Nguyễn Huệ / Nguyen Hue Walking Street,streetDriver,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceNguyenHue.imageset/hero-city-hcmc-place-nguyen-hue.png,app-owned generated illustration
HeroCityHcmcPlaceNguyenTraiStreet,viet-family-city-hcmc-place-nguyen-trai-street,Đường Nguyễn Trãi / Nguyen Trai Street,streetDriver,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceNguyenTraiStreet.imageset/hero-city-hcmc-place-nguyen-trai-street.png,app-owned generated illustration
HeroCityHcmcPlaceNotreDame,viet-family-city-hcmc-place-notre-dame,Nhà thờ Đức Bà Sài Gòn / Saigon Notre-Dame Cathedral,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceNotreDame.imageset/hero-city-hcmc-place-notre-dame.png,app-owned generated illustration
HeroCityHcmcPlaceOperaHouse,viet-family-city-hcmc-place-opera-house,Nhà hát Thành phố / Saigon Opera House,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceOperaHouse.imageset/hero-city-hcmc-place-opera-house.png,app-owned generated illustration
HeroCityHcmcPlacePasteurStreet,viet-family-city-hcmc-place-pasteur-street,Đường Pasteur / Pasteur Street,streetDriver,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlacePasteurStreet.imageset/hero-city-hcmc-place-pasteur-street.png,app-owned generated illustration
HeroCityHcmcPlacePhamNguLaoStreet,viet-family-city-hcmc-place-pham-ngu-lao-street,Phố Phạm Ngũ Lão / Pham Ngu Lao Street,streetDriver,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlacePhamNguLaoStreet.imageset/hero-city-hcmc-place-pham-ngu-lao-street.png,app-owned generated illustration
HeroCityHcmcPlacePhoHoaPasteur,viet-family-city-hcmc-place-pho-hoa-pasteur,Phở Hòa Pasteur / Pho Hoa Pasteur,restaurant,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlacePhoHoaPasteur.imageset/hero-city-hcmc-place-pho-hoa-pasteur.png,app-owned generated illustration
HeroCityHcmcPlacePostOffice,viet-family-city-hcmc-place-post-office,Bưu điện Thành phố / Central Post Office,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlacePostOffice.imageset/hero-city-hcmc-place-post-office.png,app-owned generated illustration
HeroCityHcmcPlaceSaigonRiver,viet-family-city-hcmc-place-saigon-river,Sông Sài Gòn / Saigon River,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceSaigonRiver.imageset/hero-city-hcmc-place-saigon-river.png,app-owned generated illustration
HeroCityHcmcPlaceTanSonNhatAirport,viet-family-city-hcmc-place-tan-son-nhat-airport,Sân bay Tân Sơn Nhất / Tan Son Nhat Airport,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceTanSonNhatAirport.imageset/hero-city-hcmc-place-tan-son-nhat-airport.png,app-owned generated illustration
HeroCityHcmcPlaceTaoDanPark,viet-family-city-hcmc-place-tao-dan-park,Công viên Tao Đàn / Tao Dan Park,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceTaoDanPark.imageset/hero-city-hcmc-place-tao-dan-park.png,app-owned generated illustration
HeroCityHcmcPlaceThaoDien,viet-family-city-hcmc-place-thao-dien,Thảo Điền / Thao Dien,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceThaoDien.imageset/hero-city-hcmc-place-thao-dien.png,app-owned generated illustration
HeroCityHcmcPlaceTurtleLake,viet-family-city-hcmc-place-turtle-lake,Hồ Con Rùa / Turtle Lake,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceTurtleLake.imageset/hero-city-hcmc-place-turtle-lake.png,app-owned generated illustration
HeroCityHcmcPlaceWarRemnantsMuseum,viet-family-city-hcmc-place-war-remnants-museum,Bảo tàng Chứng tích Chiến tranh / War Remnants Museum,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceWarRemnantsMuseum.imageset/hero-city-hcmc-place-war-remnants-museum.png,app-owned generated illustration
HeroCityHcmcPlaceZooBotanicalGardens,viet-family-city-hcmc-place-zoo-botanical-gardens,Thảo Cầm Viên Sài Gòn / Saigon Zoo and Botanical Gardens,landmark,native-ios/Resources/Assets.xcassets/HeroCityHcmcPlaceZooBotanicalGardens.imageset/hero-city-hcmc-place-zoo-botanical-gardens.png,app-owned generated illustration
HeroCityHoianPlaceAnBang,viet-family-city-hoian-place-an-bang,Biển An Bàng / An Bang Beach,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceAnBang.imageset/hero-city-hoian-place-an-bang.png,app-owned generated illustration
HeroCityHoianPlaceAnHoiIsland,viet-family-city-hoian-place-an-hoi-island,Đảo An Hội / An Hoi Island,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceAnHoiIsland.imageset/hero-city-hoian-place-an-hoi-island.png,app-owned generated illustration
HeroCityHoianPlaceAncientTown,viet-family-city-hoian-place-ancient-town,Phố cổ Hội An / Hoi An Ancient Town,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceAncientTown.imageset/hero-city-hoian-place-ancient-town.png,app-owned generated illustration
HeroCityHoianPlaceBanhMiPhuong,viet-family-city-hoian-place-banh-mi-phuong,Bánh mì Phượng / Banh Mi Phuong,restaurant,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceBanhMiPhuong.imageset/hero-city-hoian-place-banh-mi-phuong.png,app-owned generated illustration
HeroCityHoianPlaceBayMauCoconutForest,viet-family-city-hoian-place-bay-mau-coconut-forest,Rừng dừa Bảy Mẫu / Bay Mau Coconut Forest,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceBayMauCoconutForest.imageset/hero-city-hoian-place-bay-mau-coconut-forest.png,app-owned generated illustration
HeroCityHoianPlaceCamChau,viet-family-city-hoian-place-cam-chau,Cẩm Châu / Cam Chau,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceCamChau.imageset/hero-city-hoian-place-cam-chau.png,app-owned generated illustration
HeroCityHoianPlaceCamNam,viet-family-city-hoian-place-cam-nam,Cẩm Nam / Cam Nam,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceCamNam.imageset/hero-city-hoian-place-cam-nam.png,app-owned generated illustration
HeroCityHoianPlaceCamThanhCoconutVillage,viet-family-city-hoian-place-cam-thanh-coconut-village,Làng dừa Cẩm Thanh / Cam Thanh Coconut Village,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceCamThanhCoconutVillage.imageset/hero-city-hoian-place-cam-thanh-coconut-village.png,app-owned generated illustration
HeroCityHoianPlaceCaoLauCity,viet-family-city-hoian-place-cao-lau-city,Cao lầu ở Hội An / Cao lau in Hoi An,dish,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceCaoLauCity.imageset/hero-city-hoian-place-cao-lau-city.png,app-owned generated illustration
HeroCityHoianPlaceChamIslands,viet-family-city-hoian-place-cham-islands,Cù Lao Chàm / Cham Islands,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceChamIslands.imageset/hero-city-hoian-place-cham-islands.png,app-owned generated illustration
HeroCityHoianPlaceCuaDaiBeach,viet-family-city-hoian-place-cua-dai-beach,Biển Cửa Đại / Cua Dai Beach,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceCuaDaiBeach.imageset/hero-city-hoian-place-cua-dai-beach.png,app-owned generated illustration
HeroCityHoianPlaceFaifoCoffee,viet-family-city-hoian-place-faifo-coffee,Faifo Coffee / Faifo Coffee,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceFaifoCoffee.imageset/hero-city-hoian-place-faifo-coffee.png,app-owned generated illustration
HeroCityHoianPlaceFujianAssemblyHall,viet-family-city-hoian-place-fujian-assembly-hall,Hội quán Phúc Kiến / Fujian Assembly Hall,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceFujianAssemblyHall.imageset/hero-city-hoian-place-fujian-assembly-hall.png,app-owned generated illustration
HeroCityHoianPlaceHoaiRiver,viet-family-city-hoian-place-hoai-river,Sông Hoài / Hoai River,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceHoaiRiver.imageset/hero-city-hoian-place-hoai-river.png,app-owned generated illustration
