rank,scenario_id,phrase_id,english_text,priority_reason,confidence,review_flag,execution_status,decision_notes
51,street-food,korean-street-food-5,Do you have bottled water,Practical restaurant follow-up when drinks are not self-serve or the traveler wants packaged water.,medium,none,second-pass-translated,Translated as a bottled-water availability check for dining situations.
52,grab-taxi,korean-grab-taxi-4,Please use this route,Useful route-correction phrase when the traveler is already showing the map screen.,medium,transit-review,second-pass-translated,Translated as a route-guidance line while keeping phone-screen dependence explicit.
53,grab-taxi,korean-grab-taxi-5,Please turn on the air conditioning,Frequent ride-comfort request with clear utility during warm months.,medium,none,second-pass-translated,Translated as a direct air-conditioning request for rides and taxis.
54,grab-taxi,korean-grab-taxi-6,Wait for me five minutes,Lower-confidence but still practical short-stop request for taxis and quick pickups.,medium,service-wording-review,second-pass-translated,Translated as a short-wait request while keeping driver willingness and tone visible for later review.
55,asking-price,korean-asking-price-2,How much is one,Useful per-item clarification row for counters bakeries and souvenir shops.,medium,none,second-pass-translated,Translated as a per-item price check after the Korea-fit source rewrite.
56,asking-price,korean-asking-price-7,I will take this one,Practical purchase-closing line after the traveler points to the chosen item.,medium,none,second-pass-translated,Translated as a purchase-closing line for posted-price shopping.
57,polite-basics,korean-polite-basics-1,Hello,Useful default greeting once the lane moves beyond the first thirty core rows.,medium,none,second-pass-translated,Translated as a polite default greeting for routine travel interactions.
58,polite-basics,korean-polite-basics-3,Yes,Compact acknowledgment row that helps the traveler respond politely in short service exchanges.,medium,none,second-pass-translated,Translated as a simple acknowledgment row.
59,polite-basics,korean-polite-basics-6,It is okay,Useful reassurance row when someone apologizes or a minor issue is resolved.,medium,none,second-pass-translated,Translated as a short reassurance line for minor service friction.
60,polite-basics,korean-polite-basics-7,Goodbye,Common closing row but context-sensitive because Korean changes depending on who is leaving.,medium,service-wording-review,second-pass-translated-contextual-only,Translated for the traveler-leaves case only and kept explicitly context-sensitive.
61,simple-problems,korean-simple-problems-4,I left something behind,High-utility repair row for taxis rooms cafes and counters after the traveler moves on.,medium,none,second-pass-translated,Translated as a forgotten-item repair line for cars rooms and cafes.
62,simple-problems,korean-simple-problems-5,The Wi Fi is not working,Practical room and cafe problem report with stronger utility than lower-value social filler.,medium,none,second-pass-translated,Translated as a Wi-Fi problem report for rooms cafes and shared lobbies.
63,small-talk,korean-small-talk-3,This is my first time,Strongest remaining social row but still optional once the practical Korean queue is closed.,low,lower-priority-social,pending-next-pass,Kept as explicit later social coverage instead of forcing filler translation in this residual-tail handoff.
64,small-talk,korean-small-talk-5,The food is very good,Most reusable remaining compliment row but still lower value than the cleared practical service pack.,low,lower-priority-social,pending-next-pass,Retained as a Korea-fit later social follow-on rather than reopened now.
65,small-talk,korean-small-talk-4,I like it here,Simple positive comment that can stay parked until or unless the lane wants broader friendly social coverage.,low,lower-priority-social,pending-next-pass,Explicitly parked as optional social coverage.
66,small-talk,korean-small-talk-6,The weather is very cold,Korea-fit weather comment but still lightweight social filler after the practical queue is resolved.,low,lower-priority-social,pending-next-pass,Kept visible as later optional social coverage instead of a required next translation.
67,small-talk,korean-small-talk-1,I am from the United States,Low-pressure origin answer that is easy to defer once the practical traveler rows are already covered.,low,lower-priority-social,pending-next-pass,Parked as optional introduction small talk rather than core traveler utility.
68,small-talk,korean-small-talk-2,I am from England,Low-pressure origin answer that is easy to defer once the practical traveler rows are already covered.,low,lower-priority-social,pending-next-pass,Parked as optional introduction small talk rather than core traveler utility.
69,small-talk,korean-small-talk-7,How are you,Direct stranger or service-style wellness questions are culturally and register-sensitive in Korean and should not be forced from English small talk.,low,native-review-social,deferred-native-review,Left for native review before any Korean translation attempt so the lane does not overclaim a safe everyday equivalent.
70,asking-price,korean-asking-price-3,That is too expensive,Price-reaction language remains weaker Korea-fit utility than the already cleared confirmation and item-selection rows.,low,rewrite-before-translation,deferred-rewrite-needed,Still consciously deferred until a Korea-fit price-reaction rewrite is actually useful.
