"phrase_id","scenario_id","family_id","family_title","family_summary","audio_key","english_text","target_text","canonical_target_text","pronunciation","access_tier","variant_role","context","you_may_hear","search_aliases","warning_note_type","audio_status","emoji","notes","status"
"v900-unde-repa-can-you-say-it-in-a-simpler-way","understanding-repair","v900-unde-repa-can-you-say-it-in-a-simpler-way","Can you say it in a simpler way","Ask this when you need can you say it in a simpler way.","v900-unde-repa-can-you-say-it-in-a-simpler-way","Can you say it in a simpler way?","Bạn có thể nói nó một cách đơn giản hơn?","Bạn có thể nói nó một cách đơn giản hơn?","Ban co the noi no mot cach don gian hon","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","can you say it in a simpler way?|can you say it in a simpler way","","ready","🧩","cleanup import: Language Repair & Clarifying / Repeat & Slow Down / keep_as_is; selected as 900 premium fill","approved"
"v900-unde-repa-i-think-there-is-a-misunderstanding","understanding-repair","v900-unde-repa-i-think-there-is-a-misunderstanding","I think there is a misunderstanding","Use this when you need to explain that i think there is a misunderstanding.","v900-unde-repa-i-think-there-is-a-misunderstanding","I think there is a misunderstanding","Tôi nghĩ có sự hiểu lầm","Tôi nghĩ có sự hiểu lầm","Toi nghi co su hieu lam","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","i think there is a misunderstanding","","ready","🧩","cleanup import: Language Repair & Clarifying / Repair When Stuck / keep_as_is; selected as 900 premium fill","approved"
"v900-unde-repa-is-there-someone-who-speaks-english","understanding-repair","v900-unde-repa-is-there-someone-who-speaks-english","Is there someone who speaks English","Ask this when you need is there someone who speaks english.","v900-unde-repa-is-there-someone-who-speaks-english","Is there someone who speaks English?","Có ai nói được tiếng Anh không?","Có ai nói được tiếng Anh không?","Co ai noi duoc tieng Anh khong","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","is there someone who speaks english?|is there someone who speaks english","","ready","🧩","cleanup import: Language Repair & Clarifying / English Help & Translation / keep_as_is; selected as 900 premium fill","approved"
"v900-unde-repa-could-you-speak-a-little-slower-please","understanding-repair","v900-unde-repa-could-you-speak-a-little-slower-please","Could you speak a little slower, please","Ask this when you need could you speak a little slower, please.","v900-unde-repa-could-you-speak-a-little-slower-please","Could you speak a little slower, please?","Bạn có thể nói chậm lại một chút được không?","Bạn có thể nói chậm lại một chút được không?","Ban co the noi cham lai mot chut duoc khong","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","could you speak a little slower, please?|could you speak a little slower please","","ready","🧩","cleanup import: Language Repair & Clarifying / Repeat & Slow Down / keep_as_is; selected as 900 premium fill","approved"
"v900-unde-repa-im-trying-but-i-dont-know-the-right-words","understanding-repair","v900-unde-repa-im-trying-but-i-dont-know-the-right-words","I’m trying, but I don’t know the right words","Use this when you need to explain that i’m trying, but i don’t know the right words.","v900-unde-repa-im-trying-but-i-dont-know-the-right-words","I’m trying, but I don’t know the right words","Tôi đang cố gắng nhưng không biết dùng từ thích hợp","Tôi đang cố gắng nhưng không biết dùng từ thích hợp","Toi dang co gang nhung khong biet dung tu thich hop","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","i’m trying, but i don’t know the right words|i m trying but i don t know the right words","","ready","🧩","cleanup import: Language Repair & Clarifying / Repair When Stuck / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-please-open-the-window","transport","v900-tran-please-open-the-window","Please open the window","Use this when you need direct help with the next step.","v900-tran-please-open-the-window","Please open the window","Hãy mở cửa sổ","Hãy mở cửa sổ","Hay mo cua so","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","please open the window","","ready","🚕","cleanup import: Getting Around / Comfort, Waiting & Stops / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-please-turn-right-here","transport","v900-tran-please-turn-right-here","Please turn right here","Use this when you need direct help with the next step.","v900-tran-please-turn-right-here","Please turn right here","Vui lòng rẽ phải ở đây","Vui lòng rẽ phải ở đây","Vui long re phai o day","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","please turn right here","","ready","🚕","cleanup import: Getting Around / Destination & Routing / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-is-this-seat-available","transport","v900-tran-is-this-seat-available","Is this seat available","Ask this when you need is this seat available.","v900-tran-is-this-seat-available","Is this seat available?","Chỗ ngồi này có sẵn không?","Chỗ ngồi này có sẵn không?","Cho ngoi nay co san khong","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","is this seat available?|is this seat available","","ready","🚕","cleanup import: Getting Around / Bus, Train & Metro / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-please-avoid-toll-roads","transport","v900-tran-please-avoid-toll-roads","Please avoid toll roads","Use this when you need direct help with the next step.","v900-tran-please-avoid-toll-roads","Please avoid toll roads","Vui lòng tránh đường thu phí","Vui lòng tránh đường thu phí","Vui long tranh duong thu phi","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","please avoid toll roads","","ready","🚕","cleanup import: Getting Around / Destination & Routing / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-please-close-the-window","transport","v900-tran-please-close-the-window","Please close the window","Use this when you need direct help with the next step.","v900-tran-please-close-the-window","Please close the window","Hãy đóng cửa sổ lại","Hãy đóng cửa sổ lại","Hay dong cua so lai","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","please close the window","","ready","🚕","cleanup import: Getting Around / Comfort, Waiting & Stops / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-where-is-the-boat-pier","transport","v900-tran-where-is-the-boat-pier","Where is the boat pier","Ask this when you need where is the boat pier.","v900-tran-where-is-the-boat-pier","Where is the boat pier?","Bến thuyền ở đâu?","Bến thuyền ở đâu?","Ben thuyen o dau","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","where is the boat pier?|where is the boat pier","","ready","🚕","cleanup import: Getting Around / Motorbike, Boat & Rentals / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-can-you-break-this-bill","transport","v900-tran-can-you-break-this-bill","Can you break this bill","Ask this when you need can you break this bill.","v900-tran-can-you-break-this-bill","Can you break this bill?","Bạn có thể phá vỡ hóa đơn này?","Bạn có thể phá vỡ hóa đơn này?","Ban co the pha vo hoa don nay","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","can you break this bill?|can you break this bill","","ready","🚕","cleanup import: Getting Around / Fare, Meter & Payment / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-can-you-pick-me-up-here","transport","v900-tran-can-you-pick-me-up-here","Can you pick me up here","Ask this when you need can you pick me up here.","v900-tran-can-you-pick-me-up-here","Can you pick me up here?","Bạn có thể đón tôi ở đây được không?","Bạn có thể đón tôi ở đây được không?","Ban co the don toi o day duoc khong","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","can you pick me up here?|can you pick me up here","","ready","🚕","cleanup import: Getting Around / Taxi & Ride-Hailing / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-pick-me-up-at-this-entrance","transport","v900-tran-pick-me-up-at-this-entrance","Pick me up at this entrance","Use this when the pickup point is the entrance, not the street in general.","v900-tran-pick-me-up-at-this-entrance","Please pick me up at this entrance","Hãy đón tôi ở lối vào này","Hãy đón tôi ở lối vào này","Hay don toi o loi vao nay","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","pick me up at this entrance|pickup entrance","","ready","🚕","manual 900 duplicate replacement: added after cleaning duplicate turn-around anchor","approved"
"v900-tran-does-that-include-tolls","transport","v900-tran-does-that-include-tolls","Does that include tolls","Ask this when you need does that include tolls.","v900-tran-does-that-include-tolls","Does that include tolls?","Điều đó có bao gồm phí cầu đường không?","Điều đó có bao gồm phí cầu đường không?","Dieu do co bao gom phi cau duong khong","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","does that include tolls?|does that include tolls","","ready","🚕","cleanup import: Getting Around / Fare, Meter & Payment / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-i-booked-through-the-app","transport","v900-tran-i-booked-through-the-app","I booked through the app","Use this when you need to explain that i booked through the app.","v900-tran-i-booked-through-the-app","I booked through the app","Tôi đã đặt qua ứng dụng","Tôi đã đặt qua ứng dụng","Toi da dat qua ung dung","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","i booked through the app","","ready","🚕","cleanup import: Getting Around / Taxi & Ride-Hailing / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-is-that-the-total-price","transport","v900-tran-is-that-the-total-price","Is that the total price","Ask this when you need is that the total price.","v900-tran-is-that-the-total-price","Is that the total price?","Đó có phải là tổng giá không?","Đó có phải là tổng giá không?","Do co phai la tong gia khong","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","is that the total price?|is that the total price","","ready","🚕","cleanup import: Getting Around / Fare, Meter & Payment / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-is-there-an-airport-fee","transport","v900-tran-is-there-an-airport-fee","Is there an airport fee","Ask this when you need is there an airport fee.","v900-tran-is-there-an-airport-fee","Is there an airport fee?","Có phí sân bay không?","Có phí sân bay không?","Co phi san bay khong","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","is there an airport fee?|is there an airport fee","","ready","🚕","cleanup import: Getting Around / Fare, Meter & Payment / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-please-avoid-the-highway","transport","v900-tran-please-avoid-the-highway","Please avoid the highway","Use this when you need direct help with the next step.","v900-tran-please-avoid-the-highway","Please avoid the highway","Xin hãy tránh đường cao tốc","Xin hãy tránh đường cao tốc","Xin hay tranh duong cao toc","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","please avoid the highway","","ready","🚕","cleanup import: Getting Around / Destination & Routing / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-please-give-me-a-receipt","transport","v900-tran-please-give-me-a-receipt","Please give me a receipt","Use this when you need direct help with the next step.","v900-tran-please-give-me-a-receipt","Please give me a receipt","Vui lòng đưa cho tôi biên nhận","Vui lòng đưa cho tôi biên nhận","Vui long dua cho toi bien nhan","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","please give me a receipt","","ready","🚕","cleanup import: Getting Around / Fare, Meter & Payment / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-how-many-stops-from-here","transport","v900-tran-how-many-stops-from-here","How many stops from here","Ask this when you need how many stops from here.","v900-tran-how-many-stops-from-here","How many stops from here?","Có bao nhiêu điểm dừng từ đây?","Có bao nhiêu điểm dừng từ đây?","Co bao nhieu diem dung tu day","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","how many stops from here?|how many stops from here","","ready","🚕","cleanup import: Getting Around / Bus, Train & Metro / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-i-paid-in-the-app-already","transport","v900-tran-i-paid-in-the-app-already","I paid in the app already","Use this when you need to explain that i paid in the app already.","v900-tran-i-paid-in-the-app-already","I paid in the app already","Tôi đã thanh toán trong ứng dụng rồi","Tôi đã thanh toán trong ứng dụng rồi","Toi da thanh toan trong ung dung roi","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","i paid in the app already","","ready","🚕","cleanup import: Getting Around / Fare, Meter & Payment / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-i-think-the-fare-is-wrong","transport","v900-tran-i-think-the-fare-is-wrong","I think the fare is wrong","Use this when you need to explain that i think the fare is wrong.","v900-tran-i-think-the-fare-is-wrong","I think the fare is wrong","Tôi nghĩ giá vé sai","Tôi nghĩ giá vé sai","Toi nghi gia ve sai","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","i think the fare is wrong","","ready","🚕","cleanup import: Getting Around / Fare, Meter & Payment / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-this-is-the-wrong-address","transport","v900-tran-this-is-the-wrong-address","This is the wrong address","Use this when you need to say this is the wrong address.","v900-tran-this-is-the-wrong-address","This is the wrong address","Đây là địa chỉ sai","Đây là địa chỉ sai","Day la dia chi sai","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","this is the wrong address","","ready","🚕","cleanup import: Getting Around / Transport Problems & Recovery / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-where-can-i-buy-a-ticket","transport","v900-tran-where-can-i-buy-a-ticket","Where can I buy a ticket","Ask this when you need where can i buy a ticket.","v900-tran-where-can-i-buy-a-ticket","Where can I buy a ticket?","Tôi có thể mua vé ở đâu?","Tôi có thể mua vé ở đâu?","Toi co the mua ve o dau","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","where can i buy a ticket?|where can i buy a ticket","","ready","🚕","cleanup import: Getting Around / Bus, Train & Metro / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-please-wait-while-i-get-in","transport","v900-tran-please-wait-while-i-get-in","Please wait while I get in","Use this when you need direct help with the next step.","v900-tran-please-wait-while-i-get-in","Please wait while I get in","Vui lòng đợi trong khi tôi vào","Vui lòng đợi trong khi tôi vào","Vui long doi trong khi toi vao","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","please wait while i get in","","ready","🚕","cleanup import: Getting Around / Taxi & Ride-Hailing / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-thank-you-keep-the-change","transport","v900-tran-thank-you-keep-the-change","Thank you, keep the change","Use this when you need to say thank you, keep the change.","v900-tran-thank-you-keep-the-change","Thank you, keep the change","Cảm ơn bạn, hãy giữ sự thay đổi","Cảm ơn bạn, hãy giữ sự thay đổi","Cam on ban hay giu su thay doi","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","thank you, keep the change|thank you keep the change","","ready","🚕","cleanup import: Getting Around / Taxi & Ride-Hailing / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-the-driver-left-without-me","transport","v900-tran-the-driver-left-without-me","The driver left without me","Use this when you need to say the driver left without me.","v900-tran-the-driver-left-without-me","The driver left without me","Người lái xe rời đi mà không có tôi","Người lái xe rời đi mà không có tôi","Nguoi lai xe roi di ma khong co toi","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","the driver left without me","","ready","🚕","cleanup import: Getting Around / Transport Problems & Recovery / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-are-we-going-the-right-way","transport","v900-tran-are-we-going-the-right-way","Are we going the right way","Ask this when you need are we going the right way.","v900-tran-are-we-going-the-right-way","Are we going the right way?","Chúng ta có đang đi đúng hướng không?","Chúng ta có đang đi đúng hướng không?","Chung ta co dang di dung huong khong","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","are we going the right way?|are we going the right way","","ready","🚕","cleanup import: Getting Around / Destination & Routing / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-can-i-pay-the-fare-by-card","transport","v900-tran-can-i-pay-the-fare-by-card","Can I pay the fare by card","Ask this when you need can i pay the fare by card.","v900-tran-can-i-pay-the-fare-by-card","Can I pay the fare by card?","Tôi có thể thanh toán tiền vé bằng thẻ không?","Tôi có thể thanh toán tiền vé bằng thẻ không?","Toi co the thanh toan tien ve bang the khong","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","can i pay the fare by card?|can i pay the fare by card","","ready","🚕","cleanup import: Getting Around / Fare, Meter & Payment / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-the-car-number-is-different","transport","v900-tran-the-car-number-is-different","The car number is different","Use this when you need to say the car number is different.","v900-tran-the-car-number-is-different","The car number is different","Số xe khác hẳn","Số xe khác hẳn","So xe khac han","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","the car number is different","","ready","🚕","cleanup import: Getting Around / Transport Problems & Recovery / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-the-motorbike-has-a-problem","transport","v900-tran-the-motorbike-has-a-problem","The motorbike has a problem","Use this when you need to say the motorbike has a problem.","v900-tran-the-motorbike-has-a-problem","The motorbike has a problem","Xe máy có vấn đề","Xe máy có vấn đề","Xe may co van de","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","the motorbike has a problem","","ready","🚕","cleanup import: Getting Around / Motorbike, Boat & Rentals / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-this-is-the-correct-address","transport","v900-tran-this-is-the-correct-address","This is the correct address","Use this when you need to say this is the correct address.","v900-tran-this-is-the-correct-address","This is the correct address","Đây là địa chỉ chính xác","Đây là địa chỉ chính xác","Day la dia chi chinh xac","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","this is the correct address","","ready","🚕","cleanup import: Getting Around / Destination & Routing / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-id-like-to-rent-a-motorbike","transport","v900-tran-id-like-to-rent-a-motorbike","I’d like to rent a motorbike","Use this when you need to explain that i’d like to rent a motorbike.","v900-tran-id-like-to-rent-a-motorbike","I’d like to rent a motorbike","Tôi muốn thuê một chiếc xe máy","Tôi muốn thuê một chiếc xe máy","Toi muon thue mot chiec xe may","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","i’d like to rent a motorbike|i d like to rent a motorbike","","ready","🚕","cleanup import: Getting Around / Motorbike, Boat & Rentals / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-please-take-the-faster-route","transport","v900-tran-please-take-the-faster-route","Please take the faster route","Use this when you need direct help with the next step.","v900-tran-please-take-the-faster-route","Please take the faster route","Hãy đi con đường nhanh hơn","Hãy đi con đường nhanh hơn","Hay di con duong nhanh hon","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","please take the faster route","","ready","🚕","cleanup import: Getting Around / Destination & Routing / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-one-ticket-to-da-nang-please","transport","v900-tran-one-ticket-to-da-nang-please","One ticket to Da Nang, please","Use this when you need to say one ticket to da nang, please.","v900-tran-one-ticket-to-da-nang-please","One ticket to Da Nang, please","Cho xin 1 vé đi Đà Nẵng","Cho xin 1 vé đi Đà Nẵng","Cho xin 1 ve di Da Nang","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","one ticket to da nang, please|one ticket to da nang please","","ready","🚕","cleanup import: Getting Around / Bus, Train & Metro / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-please-stop-near-the-entrance","transport","v900-tran-please-stop-near-the-entrance","Please stop near the entrance","Use this when you need direct help with the next step.","v900-tran-please-stop-near-the-entrance","Please stop near the entrance","Vui lòng dừng gần lối vào","Vui lòng dừng gần lối vào","Vui long dung gan loi vao","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","please stop near the entrance","","ready","🚕","cleanup import: Getting Around / Comfort, Waiting & Stops / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-this-is-not-the-place-i-meant","transport","v900-tran-this-is-not-the-place-i-meant","This is not the place I meant","Use this when you need to say this is not the place i meant.","v900-tran-this-is-not-the-place-i-meant","This is not the place I meant","Đây không phải là nơi tôi muốn nói","Đây không phải là nơi tôi muốn nói","Day khong phai la noi toi muon noi","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","this is not the place i meant","","ready","🚕","cleanup import: Getting Around / Destination & Routing / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-please-show-me-how-to-start-it","transport","v900-tran-please-show-me-how-to-start-it","Please show me how to start it","Use this when you need direct help with the next step.","v900-tran-please-show-me-how-to-start-it","Please show me how to start it","Hãy chỉ cho tôi cách bắt đầu nó","Hãy chỉ cho tôi cách bắt đầu nó","Hay chi cho toi cach bat dau no","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","please show me how to start it","","ready","🚕","cleanup import: Getting Around / Motorbike, Boat & Rentals / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-please-stop-at-the-next-corner","transport","v900-tran-please-stop-at-the-next-corner","Please stop at the next corner","Use this when you need direct help with the next step.","v900-tran-please-stop-at-the-next-corner","Please stop at the next corner","Vui lòng dừng lại ở góc tiếp theo","Vui lòng dừng lại ở góc tiếp theo","Vui long dung lai o goc tiep theo","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","please stop at the next corner","","ready","🚕","cleanup import: Getting Around / Comfort, Waiting & Stops / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-please-take-me-to-this-address","transport","v900-tran-please-take-me-to-this-address","Please take me to this address","Use this when you need direct help with the next step.","v900-tran-please-take-me-to-this-address","Please take me to this address","Hãy đưa tôi đến địa chỉ này","Hãy đưa tôi đến địa chỉ này","Hay dua toi den dia chi nay","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","please take me to this address","","ready","🚕","cleanup import: Getting Around / Taxi & Ride-Hailing / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-please-tell-me-when-to-get-off","transport","v900-tran-please-tell-me-when-to-get-off","Please tell me when to get off","Use this when you need direct help with the next step.","v900-tran-please-tell-me-when-to-get-off","Please tell me when to get off","Hãy cho tôi biết khi nào nên xuống xe","Hãy cho tôi biết khi nào nên xuống xe","Hay cho toi biet khi nao nen xuong xe","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","please tell me when to get off","","ready","🚕","cleanup import: Getting Around / Bus, Train & Metro / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-can-i-see-the-rental-agreement","transport","v900-tran-can-i-see-the-rental-agreement","Can I see the rental agreement","Ask this when you need can i see the rental agreement.","v900-tran-can-i-see-the-rental-agreement","Can I see the rental agreement?","Tôi có thể xem hợp đồng thuê được không?","Tôi có thể xem hợp đồng thuê được không?","Toi co the xem hop dong thue duoc khong","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","can i see the rental agreement?|can i see the rental agreement","","ready","🚕","cleanup import: Getting Around / Motorbike, Boat & Rentals / keep_as_is; selected as 900 premium fill","approved"
"v900-tran-how-much-is-the-rental-per-day","transport","v900-tran-how-much-is-the-rental-per-day","How much is the rental per day","Ask this when you need how much is the rental per day.","v900-tran-how-much-is-the-rental-per-day","How much is the rental per day?","Giá thuê một ngày là bao nhiêu?","Giá thuê một ngày là bao nhiêu?","Gia thue mot ngay la bao nhieu","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","how much is the rental per day?|how much is the rental per day","","ready","🚕","cleanup import: Getting Around / Motorbike, Boat & Rentals / keep_as_is; selected as 900 premium fill","approved"
