priority,pageID,title,profile,sectionID,kind,text,audioKey
P0_top_place_or_street,viet-family-city-danang-go-marble-mountains,Đi Ngũ Hành Sơn / Go to Marble Mountains,cityPhrase,explore-next,phrase,Ngũ Hành Sơn,audio-authored-ngu-hanh-son-7cd09d8626
P0_top_place_or_street,viet-family-city-danang-go-marble-mountains,Đi Ngũ Hành Sơn / Go to Marble Mountains,cityPhrase,explore-next,phrase,Dừng ở Ngũ Hành Sơn,audio-authored-dung-o-ngu-hanh-son-d265ed4878
P0_top_place_or_street,viet-family-city-danang-go-marble-mountains,Đi Ngũ Hành Sơn / Go to Marble Mountains,cityPhrase,explore-next,phrase,Một vé vào Ngũ Hành Sơn,audio-authored-mot-ve-vao-ngu-hanh-son-56b84cbd10
P0_top_place_or_street,viet-family-city-danang-go-marble-mountains,Đi Ngũ Hành Sơn / Go to Marble Mountains,cityPhrase,explore-next,phrase,Từ đây đến Ngũ Hành Sơn bao lâu?,audio-authored-tu-day-den-ngu-hanh-son-bao-lau-0aae469b3c
P0_top_place_or_street,viet-family-city-danang-go-nguyen-van-linh-street,Đi Đường Nguyễn Văn Linh / Go to Nguyen Van Linh Street,cityPhrase,hero,hero,Đi Đường Nguyễn Văn Linh,audio-authored-di-duong-nguyen-van-linh-1041762d59
P0_top_place_or_street,viet-family-city-danang-go-nguyen-van-linh-street,Đi Đường Nguyễn Văn Linh / Go to Nguyen Van Linh Street,cityPhrase,explore-next,phrase,Đường Nguyễn Văn Linh,audio-authored-duong-nguyen-van-linh-2fa0fcb186
P0_top_place_or_street,viet-family-city-danang-go-nguyen-van-linh-street,Đi Đường Nguyễn Văn Linh / Go to Nguyen Van Linh Street,cityPhrase,explore-next,phrase,Đường Nguyễn Văn Linh gần đây không?,audio-authored-duong-nguyen-van-linh-gan-day-khong-63a70d6a49
P0_top_place_or_street,viet-family-city-danang-go-nguyen-van-linh-street,Đi Đường Nguyễn Văn Linh / Go to Nguyen Van Linh Street,cityPhrase,explore-next,phrase,Dừng ở Đường Nguyễn Văn Linh,audio-authored-dung-o-duong-nguyen-van-linh-ea7a5b650b
P0_top_place_or_street,viet-family-city-danang-go-nguyen-van-linh-street,Đi Đường Nguyễn Văn Linh / Go to Nguyen Van Linh Street,cityPhrase,explore-next,phrase,Đường Nguyễn Văn Linh ở đâu?,audio-authored-duong-nguyen-van-linh-o-dau-04b68ce6df
P0_top_place_or_street,viet-family-city-danang-go-vo-nguyen-giap-street,Đi Đường Võ Nguyên Giáp / Go to Vo Nguyen Giap Street,cityPhrase,hero,hero,Đi Đường Võ Nguyên Giáp,audio-authored-di-duong-vo-nguyen-giap-3438c8ea1b
P0_top_place_or_street,viet-family-city-danang-go-vo-nguyen-giap-street,Đi Đường Võ Nguyên Giáp / Go to Vo Nguyen Giap Street,cityPhrase,explore-next,phrase,Đường Võ Nguyên Giáp,audio-authored-duong-vo-nguyen-giap-63dd6840e9
P0_top_place_or_street,viet-family-city-danang-go-vo-nguyen-giap-street,Đi Đường Võ Nguyên Giáp / Go to Vo Nguyen Giap Street,cityPhrase,explore-next,phrase,Đường Võ Nguyên Giáp gần đây không?,audio-authored-duong-vo-nguyen-giap-gan-day-khong-8d519813c0
P0_top_place_or_street,viet-family-city-danang-go-vo-nguyen-giap-street,Đi Đường Võ Nguyên Giáp / Go to Vo Nguyen Giap Street,cityPhrase,explore-next,phrase,Đường Võ Nguyên Giáp ở đâu?,audio-authored-duong-vo-nguyen-giap-o-dau-f4d3cdd20c
P0_top_place_or_street,viet-family-city-danang-place-ba-na-hills,Bà Nà Hills / Ba Na Hills,landmark,key-phrases,phrase,"Dạ, cho tôi hai vé lên Bà Nà Hills.",audio-authored-da-cho-toi-hai-ve-len-ba-na-hills-cb395e159b
P0_top_place_or_street,viet-family-city-danang-place-ba-na-hills,Bà Nà Hills / Ba Na Hills,landmark,key-phrases,phrase,Cáp treo ở đâu?,audio-authored-cap-treo-o-dau-8548abeeca
P0_top_place_or_street,viet-family-city-danang-place-ba-na-hills,Bà Nà Hills / Ba Na Hills,landmark,key-phrases,phrase,Bạn chụp giúp tôi được không?,audio-authored-ban-chup-giup-toi-duoc-khong-4068eb6127
P0_top_place_or_street,viet-family-city-danang-place-ba-na-hills,Bà Nà Hills / Ba Na Hills,landmark,key-phrases,phrase,Gọi giúp tôi taxi được không?,audio-authored-goi-giup-toi-taxi-duoc-khong-d1d2e5a74d
P0_top_place_or_street,viet-family-city-danang-place-bach-dang-street,Đường Bạch Đằng / Bach Dang Street,streetDriver,show-driver,phrase,Cho tôi đến đường Bạch Đằng.,audio-authored-cho-toi-den-duong-bach-dang-b8999db078
P0_top_place_or_street,viet-family-city-danang-place-bach-dang-street,Đường Bạch Đằng / Bach Dang Street,streetDriver,confirm,phrase,Đây có phải đường Bạch Đằng không?,audio-authored-day-co-phai-duong-bach-dang-khong-9bf71e32a9
P0_top_place_or_street,viet-family-city-danang-place-dragon-bridge,Cầu Rồng / Dragon Bridge,landmark,pickup-nearby,phrase,Cho tôi xuống gần Cầu Rồng.,audio-authored-cho-toi-xuong-gan-cau-rong-858bbe4abc
P0_top_place_or_street,viet-family-city-danang-place-marble-mountains,Ngũ Hành Sơn / Marble Mountains,landmark,key-phrases,phrase,Tài xế chờ ở đâu?,audio-authored-tai-xe-cho-o-dau-0b819e85a5
P0_top_place_or_street,viet-family-city-danang-place-nguyen-van-linh-street,Đường Nguyễn Văn Linh / Nguyen Van Linh Street,streetDriver,show-driver,phrase,Cho tôi đến đường Nguyễn Văn Linh.,audio-authored-cho-toi-den-duong-nguyen-van-linh-492eadfaa8
P0_top_place_or_street,viet-family-city-danang-place-nguyen-van-linh-street,Đường Nguyễn Văn Linh / Nguyen Van Linh Street,streetDriver,confirm,phrase,Đây có phải đường Nguyễn Văn Linh không?,audio-authored-day-co-phai-duong-nguyen-van-linh-khong-ac81b9008c
P0_top_place_or_street,viet-family-city-danang-place-nguyen-van-linh-street,Đường Nguyễn Văn Linh / Nguyen Van Linh Street,streetDriver,wrong-place,phrase,Hình như không đúng chỗ.,audio-authored-hinh-nhu-khong-dung-cho-b63d5ef9e3
P0_top_place_or_street,viet-family-city-danang-place-vo-nguyen-giap-street,Đường Võ Nguyên Giáp / Vo Nguyen Giap Street,streetDriver,show-driver,phrase,Cho tôi đến đường Võ Nguyên Giáp.,audio-authored-cho-toi-den-duong-vo-nguyen-giap-101f4d1608
P0_top_place_or_street,viet-family-city-danang-place-vo-nguyen-giap-street,Đường Võ Nguyên Giáp / Vo Nguyen Giap Street,streetDriver,confirm,phrase,Đây có phải đường Võ Nguyên Giáp không?,audio-authored-day-co-phai-duong-vo-nguyen-giap-khong-d2fc0ab90a
P0_top_place_or_street,viet-family-city-danang-where-bach-dang-street,Đường Bạch Đằng ở đâu? / Where is Bach Dang Street?,cityPhrase,hero,hero,Đường Bạch Đằng ở đâu?,audio-authored-duong-bach-dang-o-dau-7accb753ff
P0_top_place_or_street,viet-family-city-hcmc-atm-bach-dang-wharf,Có ATM gần Bến Bạch Đằng không? / Is there an ATM near Bach Dang Wharf?,cityPhrase,hero,hero,Có ATM gần Bến Bạch Đằng không?,audio-authored-co-atm-gan-ben-bach-dang-khong-b30cac181d
P0_top_place_or_street,viet-family-city-hcmc-atm-bach-dang-wharf,Có ATM gần Bến Bạch Đằng không? / Is there an ATM near Bach Dang Wharf?,cityPhrase,explore-next,phrase,Bến Bạch Đằng,audio-authored-ben-bach-dang-566a5d22c4
P0_top_place_or_street,viet-family-city-hcmc-atm-bach-dang-wharf,Có ATM gần Bến Bạch Đằng không? / Is there an ATM near Bach Dang Wharf?,cityPhrase,explore-next,phrase,Ăn gần Bến Bạch Đằng,audio-authored-an-gan-ben-bach-dang-7a3611cec8
P0_top_place_or_street,viet-family-city-hcmc-atm-bach-dang-wharf,Có ATM gần Bến Bạch Đằng không? / Is there an ATM near Bach Dang Wharf?,cityPhrase,explore-next,phrase,Đi Bến Bạch Đằng,audio-authored-di-ben-bach-dang-d1f33b4566
P0_top_place_or_street,viet-family-city-hcmc-atm-bach-dang-wharf,Có ATM gần Bến Bạch Đằng không? / Is there an ATM near Bach Dang Wharf?,cityPhrase,explore-next,phrase,Bến Bạch Đằng gần đây không?,audio-authored-ben-bach-dang-gan-day-khong-4c21b532d4
P0_top_place_or_street,viet-family-city-hcmc-atm-bach-dang-wharf,Có ATM gần Bến Bạch Đằng không? / Is there an ATM near Bach Dang Wharf?,cityPhrase,explore-next,phrase,Dừng ở Bến Bạch Đằng,audio-authored-dung-o-ben-bach-dang-2d1ed776fd
P0_top_place_or_street,viet-family-city-hcmc-place-bach-dang-wharf,Bến Bạch Đằng / Bach Dang Wharf,landmark,place-brief,phrase,Bến Bạch Đằng ở đâu?,audio-authored-ben-bach-dang-o-dau-0b9e513a47
P0_top_place_or_street,viet-family-ves-drop-near-dragon-bridge,Cho tôi xuống gần Cầu Rồng. / Let me off near Dragon Bridge.,singlePhrase,explore-next,phrase,Cho tôi đi Cầu Rồng.,audio-authored-cho-toi-di-cau-rong-31d5036c87
P0_top_place_or_street,viet-family-ves-im-on-vo-nguyen-giap-street,Tôi đang ở đường Võ Nguyên Giáp. / I'm on Vo Nguyen Giap Street.,singlePhrase,hero,hero,Tôi đang ở đường Võ Nguyên Giáp.,audio-authored-toi-dang-o-duong-vo-nguyen-giap-16506a9333
P0_top_place_or_street,viet-family-ves-is-this-address-correct,Địa chỉ này đúng không? / Is this address correct?,singlePhrase,explore-next,phrase,Cho tôi đi Bà Nà Hills.,audio-authored-cho-toi-di-ba-na-hills-7e1fd2f0f0
P0_top_place_or_street,viet-family-ves-one-ticket-marble-mountains-polite,"Dạ, cho tôi một vé vào Ngũ Hành Sơn. / One ticket to Marble Mountains, please.",singlePhrase,hero,hero,"Dạ, cho tôi một vé vào Ngũ Hành Sơn.",audio-authored-da-cho-toi-mot-ve-vao-ngu-hanh-son-7f6e289d9b
P0_top_place_or_street,viet-family-ves-one-ticket-marble-mountains-polite,"Dạ, cho tôi một vé vào Ngũ Hành Sơn. / One ticket to Marble Mountains, please.",singlePhrase,explore-next,phrase,Hai vé vào Ngũ Hành Sơn.,audio-authored-hai-ve-vao-ngu-hanh-son-83aeec767b
P1_name_page_phrase,viet-family-city-danang-place-con-market,Chợ Cồn / Con Market,landmark,place-brief,phrase,Chợ Cồn ở đâu?,audio-authored-cho-con-o-dau-640c3f2b63
P1_name_page_phrase,viet-family-city-danang-place-han-market,Chợ Hàn / Han Market,landmark,place-brief,phrase,Dừng ở chợ Hàn,audio-authored-dung-o-cho-han-db6f463ef8
P1_name_page_phrase,viet-family-city-danang-place-han-market,Chợ Hàn / Han Market,landmark,place-brief,phrase,Chợ Hàn ở đâu?,audio-authored-cho-han-o-dau-fecbaec7a9
P1_name_page_phrase,viet-family-city-danang-place-han-river,Sông Hàn / Han River,landmark,place-brief,phrase,Sông Hàn ở đâu?,audio-authored-song-han-o-dau-202906ef4f
P1_name_page_phrase,viet-family-city-danang-place-nen,Nén Đà Nẵng / Nen Da Nang,restaurant,menu-dietary,phrase,Cho tôi trà đá,audio-authored-cho-toi-tra-da-6b39f7e1ae
P1_name_page_phrase,viet-family-city-hanoi-place-bun-cha-huong-lien,Bún chả Hương Liên / Bun Cha Huong Lien,restaurant,before-you-go,phrase,"Dạ, cho tôi một phần bún chả.",audio-authored-da-cho-toi-mot-phan-bun-cha-dbdee039d2
P1_name_page_phrase,viet-family-city-hanoi-place-dong-xuan,Chợ Đồng Xuân / Dong Xuan Market,landmark,place-brief,phrase,Dừng ở Chợ Đồng Xuân,audio-authored-dung-o-cho-dong-xuan-ef50ba4124
P1_name_page_phrase,viet-family-city-hanoi-place-dong-xuan,Chợ Đồng Xuân / Dong Xuan Market,landmark,place-brief,phrase,Chợ Đồng Xuân ở đâu?,audio-authored-cho-dong-xuan-o-dau-1a0ba2fd0c
P1_name_page_phrase,viet-family-city-hanoi-place-hang-gai-street,Phố Hàng Gai / Hang Gai Street,streetDriver,place-brief,phrase,Phố Hàng Gai ở đâu?,audio-authored-pho-hang-gai-o-dau-6464750f35
P1_name_page_phrase,viet-family-city-hanoi-place-hoan-kiem,Hồ Hoàn Kiếm / Hoan Kiem Lake,landmark,place-brief,phrase,Hồ Hoàn Kiếm ở đâu?,audio-authored-ho-hoan-kiem-o-dau-14723bd69b
P1_name_page_phrase,viet-family-city-hanoi-place-long-bien-market,Chợ Long Biên / Long Bien Market,landmark,place-brief,phrase,Chợ Long Biên ở đâu?,audio-authored-cho-long-bien-o-dau-8763cd5bb9
P1_name_page_phrase,viet-family-city-hanoi-place-pho-bat-dan,Phở Bát Đàn / Pho Bat Dan,restaurant,before-you-go,phrase,"Dạ, cho tôi một tô phở.",audio-authored-da-cho-toi-mot-to-pho-5e65b6808d
P1_name_page_phrase,viet-family-city-hanoi-place-water-puppet-theatre,Nhà hát Múa rối Thăng Long / Thang Long Water Puppet Theatre,landmark,place-brief,phrase,Đi Nhà hát Múa rối Thăng Long,audio-authored-di-nha-hat-mua-roi-thang-long-6e49722b28
P1_name_page_phrase,viet-family-city-hanoi-place-water-puppet-theatre,Nhà hát Múa rối Thăng Long / Thang Long Water Puppet Theatre,landmark,place-brief,phrase,Nhà hát Múa rối Thăng Long ở đâu?,audio-authored-nha-hat-mua-roi-thang-long-o-dau-a04b797640
P1_name_page_phrase,viet-family-city-hcmc-place-anan-saigon,Anăn Sài Gòn / Anan Saigon,restaurant,place-brief,phrase,Dừng ở Anăn Sài Gòn,audio-authored-dung-o-anan-sai-gon-2f3f84a161
P1_name_page_phrase,viet-family-city-hcmc-place-anan-saigon,Anăn Sài Gòn / Anan Saigon,restaurant,place-brief,phrase,Nhà hàng Anăn Sài Gòn ở đâu?,audio-authored-nha-hang-anan-sai-gon-o-dau-9bad470f84
P1_name_page_phrase,viet-family-city-hcmc-place-anan-saigon,Anăn Sài Gòn / Anan Saigon,restaurant,place-brief,phrase,Anăn Sài Gòn ở đâu?,audio-authored-anan-sai-gon-o-dau-bd431d2a16
P1_name_page_phrase,viet-family-city-hcmc-place-ben-thanh-market,Chợ Bến Thành / Ben Thanh Market,landmark,place-brief,phrase,Dừng ở Chợ Bến Thành,audio-authored-dung-o-cho-ben-thanh-e242de4fd3
P1_name_page_phrase,viet-family-city-hcmc-place-ben-thanh-market,Chợ Bến Thành / Ben Thanh Market,landmark,place-brief,phrase,Chợ Bến Thành ở đâu?,audio-authored-cho-ben-thanh-o-dau-bb40bb0327
P1_name_page_phrase,viet-family-city-hcmc-place-binh-tay-market,Chợ Bình Tây / Binh Tay Market,landmark,place-brief,phrase,Dừng ở Chợ Bình Tây,audio-authored-dung-o-cho-binh-tay-aa06b37299
P1_name_page_phrase,viet-family-city-hcmc-place-binh-tay-market,Chợ Bình Tây / Binh Tay Market,landmark,place-brief,phrase,Chợ Bình Tây ở đâu?,audio-authored-cho-binh-tay-o-dau-75d11bba12
P1_name_page_phrase,viet-family-city-hcmc-place-district-1,Quận 1 / District 1,landmark,place-brief,phrase,Dừng ở Quận 1,audio-authored-dung-o-quan-1-eeeb37b26a
P1_name_page_phrase,viet-family-city-hcmc-place-district-1,Quận 1 / District 1,landmark,place-brief,phrase,Quận 1 ở đâu?,audio-authored-quan-1-o-dau-17be89aa5e
P1_name_page_phrase,viet-family-city-hcmc-place-dong-khoi-street,Đường Đồng Khởi / Dong Khoi Street,streetDriver,place-brief,phrase,Đường Đồng Khởi ở đâu?,audio-authored-duong-dong-khoi-o-dau-85f0b0c280
P1_name_page_phrase,viet-family-city-hcmc-place-ho-thi-ky-flower-market,Chợ hoa Hồ Thị Kỷ / Ho Thi Ky Flower Market,landmark,place-brief,phrase,Chợ hoa Hồ Thị Kỷ ở đâu?,audio-authored-cho-hoa-ho-thi-ky-o-dau-d59e462200
P1_name_page_phrase,viet-family-city-hcmc-place-post-office,Bưu điện Thành phố / Central Post Office,landmark,place-brief,phrase,Bưu điện Thành phố ở đâu?,audio-authored-buu-dien-thanh-pho-o-dau-5fcdf89406
P1_name_page_phrase,viet-family-city-hoian-place-an-bang,Biển An Bàng / An Bang Beach,landmark,place-brief,phrase,Biển An Bàng ở đâu?,audio-authored-bien-an-bang-o-dau-170645a30e
P1_name_page_phrase,viet-family-city-hoian-place-an-hoi-island,Đảo An Hội / An Hoi Island,landmark,place-brief,phrase,Đảo An Hội ở đâu?,audio-authored-dao-an-hoi-o-dau-701fe06de6
P1_name_page_phrase,viet-family-city-hoian-place-ancient-town,Phố cổ Hội An / Hoi An Ancient Town,landmark,place-brief,phrase,Dừng ở Phố cổ Hội An,audio-authored-dung-o-pho-co-hoi-an-0c9d613047
P1_name_page_phrase,viet-family-city-hoian-place-ancient-town,Phố cổ Hội An / Hoi An Ancient Town,landmark,place-brief,phrase,Phố cổ Hội An ở đâu?,audio-authored-pho-co-hoi-an-o-dau-6ef2b2cedf
P1_name_page_phrase,viet-family-city-hoian-place-cao-lau-city,Cao lầu ở Hội An / Cao lau in Hoi An,dish,place-brief,phrase,"Dạ, cho tôi một phần cao lầu.",audio-authored-da-cho-toi-mot-phan-cao-lau-71867ac448
P1_name_page_phrase,viet-family-city-hoian-place-cao-lau-city,Cao lầu ở Hội An / Cao lau in Hoi An,dish,how-to-order,phrase,Không cay quá nhé.,audio-authored-khong-cay-qua-nhe-ecc42633de
P1_name_page_phrase,viet-family-city-hoian-place-cao-lau-city,Cao lầu ở Hội An / Cao lau in Hoi An,dish,ingredients-diet,phrase,Món này có gì?,audio-authored-mon-nay-co-gi-919c3d8876
P1_name_page_phrase,viet-family-city-hoian-place-market,Chợ Hội An / Hoi An Market,landmark,place-brief,phrase,Chợ Hội An ở đâu?,audio-authored-cho-hoi-an-o-dau-914a7752f7
P1_name_page_phrase,viet-family-city-hue-place-an-cuu-market,Chợ An Cựu / An Cuu Market,landmark,place-brief,phrase,Dừng ở Chợ An Cựu,audio-authored-dung-o-cho-an-cuu-3fd42d45ea
P1_name_page_phrase,viet-family-city-hue-place-an-cuu-market,Chợ An Cựu / An Cuu Market,landmark,place-brief,phrase,Chợ An Cựu ở đâu?,audio-authored-cho-an-cuu-o-dau-1f23f26aef
P1_name_page_phrase,viet-family-city-hue-place-bao-vinh-ancient-town,Phố cổ Bao Vinh / Bao Vinh Ancient Town,landmark,place-brief,phrase,Phố cổ Bao Vinh ở đâu?,audio-authored-pho-co-bao-vinh-o-dau-7437b9f44b
P1_name_page_phrase,viet-family-city-hue-place-bun-bo-city,Bún bò Huế / Bun bo Hue,dish,place-brief,phrase,"Dạ, cho tôi một tô bún bò Huế.",audio-authored-da-cho-toi-mot-to-bun-bo-hue-f624687fc3
P1_name_page_phrase,viet-family-city-hue-place-dong-ba,Chợ Đông Ba / Dong Ba Market,landmark,place-brief,phrase,Cho tôi xuống ở chợ Đông Ba,audio-authored-cho-toi-xuong-o-cho-dong-ba-e15bcc433d
P1_name_page_phrase,viet-family-city-hue-place-dong-ba,Chợ Đông Ba / Dong Ba Market,landmark,place-brief,phrase,Dừng ở Chợ Đông Ba,audio-authored-dung-o-cho-dong-ba-412cae532d
P1_name_page_phrase,viet-family-city-hue-place-walking-street,Phố đi bộ Huế / Hue Walking Street,streetDriver,place-brief,phrase,Đi phố đi bộ Huế,audio-authored-di-pho-di-bo-hue-639ec583b5
P1_name_page_phrase,viet-family-city-hue-place-walking-street,Phố đi bộ Huế / Hue Walking Street,streetDriver,place-brief,phrase,Phố đi bộ Huế ở đâu?,audio-authored-pho-di-bo-hue-o-dau-255aae3009
P1_scenario_phrase,viet-family-ves-call-taxi-for-me,Gọi giúp tôi taxi được không? / Can you call me a taxi?,singlePhrase,explore-next,phrase,Cho tôi xuống ở đây được không?,audio-authored-cho-toi-xuong-o-day-duoc-khong-e6561710e9
P1_scenario_phrase,viet-family-ves-can-you-wait-here,Anh chờ tôi ở đây được không? / Can you wait for me here?,singlePhrase,hero,hero,Anh chờ tôi ở đây được không?,audio-authored-anh-cho-toi-o-day-duoc-khong-ec56a2d762
P1_scenario_phrase,viet-family-ves-can-you-wait-here,Anh chờ tôi ở đây được không? / Can you wait for me here?,singlePhrase,explore-next,phrase,Mấy giờ quay lại?,audio-authored-may-gio-quay-lai-10be0e986d
P1_scenario_phrase,viet-family-vpe-buy-item-toi-muon-mua-anh-the,Tôi muốn mua ảnh thẻ / I want to buy passport photos.,singlePhrase,hero,hero,Tôi muốn mua ảnh thẻ,audio-authored-toi-muon-mua-anh-the-4deeef3cb5
P1_scenario_phrase,viet-family-vpe-buy-item-toi-muon-mua-anh-the,Tôi muốn mua ảnh thẻ / I want to buy passport photos.,singlePhrase,practice-pairs,phrase,Tôi muốn mua chỗ ngồi cạnh lối đi,audio-authored-toi-muon-mua-cho-ngoi-canh-loi-di-3d735b5e89
P1_scenario_phrase,viet-family-vpe-buy-item-toi-muon-mua-anh-the,Tôi muốn mua ảnh thẻ / I want to buy passport photos.,singlePhrase,practice-pairs,phrase,Tôi muốn mua chỗ ngồi gần cửa sổ,audio-authored-toi-muon-mua-cho-ngoi-gan-cua-so-946af2d989
