patch_id,page_id,phrase_id,review_status,import_approval,operation,target_id,target_order,current_value,proposed_value,reason_for_change,new_linked_phrase_required,canonical_target_id,audio_policy,asset_policy,validator_rule,jojo_question
B001-REL-011,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,KEEP_RELATION_REVIEW_ONLY,relation:a48e64c6a6a68ac6,1,"{""target_id"":""viet-phrase-city-hanoi-eat-near-bun-cha-huong-lien"",""target_page_id"":""viet-phrase-city-hanoi-eat-near-bun-cha-huong-lien"",""relation_type"":""see_also"",""display_label"":""What it is"",""reason"":""Authored What it is row links these phrase pages.""}","{""target_id"":""viet-phrase-city-hanoi-eat-near-bun-cha-huong-lien"",""target_page_id"":""viet-phrase-city-hanoi-eat-near-bun-cha-huong-lien"",""display_label"":""What it is"",""relation_type"":""see_also"",""sort_order"":1,""suppress"":false}",Relation remains useful at current priority.,,viet-phrase-city-hanoi-eat-near-bun-cha-huong-lien,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-012,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,PROMOTE_RELATION_REVIEW_ONLY,relation:b861963efad3c6d3,1,"{""target_id"":""viet-phrase-food-menu"",""target_page_id"":""viet-phrase-food-menu"",""relation_type"":""see_also"",""display_label"":""Menu and dietary help"",""reason"":""Authored Menu and dietary help row links these phrase pages.""}","{""target_id"":""viet-phrase-food-menu"",""target_page_id"":""viet-phrase-food-menu"",""display_label"":""Menu and dietary help"",""relation_type"":""see_also"",""sort_order"":1,""suppress"":false}",This relation supports the traveler’s next likely action.,,viet-phrase-food-menu,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-013,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,KEEP_RELATION_REVIEW_ONLY,relation:8633a20630227240,2,"{""target_id"":""viet-phrase-store-7"",""target_page_id"":""viet-phrase-store-7"",""relation_type"":""see_also"",""display_label"":""When to use it"",""reason"":""Authored When to use it row links these phrase pages.""}","{""target_id"":""viet-phrase-store-7"",""target_page_id"":""viet-phrase-store-7"",""display_label"":""When to use it"",""relation_type"":""see_also"",""sort_order"":2,""suppress"":false}",Relation remains useful at current priority.,,viet-phrase-store-7,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-014,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,PROMOTE_RELATION_REVIEW_ONLY,relation:899a061855dfa341,2,"{""target_id"":""viet-phrase-v900-food-drin-what-do-you-recommend"",""target_page_id"":""viet-phrase-v900-food-drin-what-do-you-recommend"",""relation_type"":""see_also"",""display_label"":""Menu and dietary help"",""reason"":""Authored Menu and dietary help row links these phrase pages.""}","{""target_id"":""viet-phrase-v900-food-drin-what-do-you-recommend"",""target_page_id"":""viet-phrase-v900-food-drin-what-do-you-recommend"",""display_label"":""Menu and dietary help"",""relation_type"":""see_also"",""sort_order"":2,""suppress"":false}",This relation supports the traveler’s next likely action.,,viet-phrase-v900-food-drin-what-do-you-recommend,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-015,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,KEEP_RELATION_REVIEW_ONLY,relation:a53651b5823e00dd,2,"{""target_id"":""viet-phrase-city-hanoi-go-bun-cha-huong-lien"",""target_page_id"":""viet-phrase-city-hanoi-go-bun-cha-huong-lien"",""relation_type"":""see_also"",""display_label"":""What it is"",""reason"":""Authored What it is row links these phrase pages.""}","{""target_id"":""viet-phrase-city-hanoi-go-bun-cha-huong-lien"",""target_page_id"":""viet-phrase-city-hanoi-go-bun-cha-huong-lien"",""display_label"":""What it is"",""relation_type"":""see_also"",""sort_order"":2,""suppress"":false}",Relation remains useful at current priority.,,viet-phrase-city-hanoi-go-bun-cha-huong-lien,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-016,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,PROMOTE_RELATION_REVIEW_ONLY,relation:a56b63cd687b3473,3,"{""target_id"":""viet-phrase-food-peanut-allergy"",""target_page_id"":""viet-phrase-food-peanut-allergy"",""relation_type"":""see_also"",""display_label"":""Menu and dietary help"",""reason"":""Authored Menu and dietary help row links these phrase pages.""}","{""target_id"":""viet-phrase-food-peanut-allergy"",""target_page_id"":""viet-phrase-food-peanut-allergy"",""display_label"":""Menu and dietary help"",""relation_type"":""see_also"",""sort_order"":3,""suppress"":false}",This relation supports the traveler’s next likely action.,,viet-phrase-food-peanut-allergy,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-017,viet-phrase-city-hanoi-place-bun-cha-huong-lien,city-hanoi-place-bun-cha-huong-lien,REVIEW_ONLY,REVIEW_ONLY,PROMOTE_RELATION_REVIEW_ONLY,relation:83ef4f99136e36b6,4,"{""target_id"":""viet-phrase-food-vegetarian"",""target_page_id"":""viet-phrase-food-vegetarian"",""relation_type"":""see_also"",""display_label"":""Menu and dietary help"",""reason"":""Authored Menu and dietary help row links these phrase pages.""}","{""target_id"":""viet-phrase-food-vegetarian"",""target_page_id"":""viet-phrase-food-vegetarian"",""display_label"":""Menu and dietary help"",""relation_type"":""see_also"",""sort_order"":4,""suppress"":false}",This relation supports the traveler’s next likely action.,,viet-phrase-food-vegetarian,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-018,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,KEEP_RELATION_REVIEW_ONLY,relation:0dc1c3fd4ade5f0c,0,"{""target_id"":""viet-phrase-ves-order-pho-bowl"",""target_page_id"":""viet-phrase-ves-order-pho-bowl"",""relation_type"":""see_also"",""display_label"":""Quick say"",""reason"":""Authored Quick say row links these phrase pages.""}","{""target_id"":""viet-phrase-ves-order-pho-bowl"",""target_page_id"":""viet-phrase-ves-order-pho-bowl"",""display_label"":""Quick say"",""relation_type"":""see_also"",""sort_order"":0,""suppress"":false}",Relation remains useful at current priority.,,viet-phrase-ves-order-pho-bowl,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-019,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,KEEP_RELATION_REVIEW_ONLY,relation:36ad2e1ab1022bbc,0,"{""target_id"":""viet-phrase-city-hanoi-eat-near-ba-dinh-square"",""target_page_id"":""viet-phrase-city-hanoi-eat-near-ba-dinh-square"",""relation_type"":""see_also"",""display_label"":""Before you go"",""reason"":""Authored Before you go row links these phrase pages.""}","{""target_id"":""viet-phrase-city-hanoi-eat-near-ba-dinh-square"",""target_page_id"":""viet-phrase-city-hanoi-eat-near-ba-dinh-square"",""display_label"":""Before you go"",""relation_type"":""see_also"",""sort_order"":0,""suppress"":false}",Relation remains useful at current priority.,,viet-phrase-city-hanoi-eat-near-ba-dinh-square,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-020,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,KEEP_RELATION_REVIEW_ONLY,relation:68952a0f97f77549,0,"{""target_id"":""viet-phrase-city-hanoi-go-pho-bat-dan"",""target_page_id"":""viet-phrase-city-hanoi-go-pho-bat-dan"",""relation_type"":""see_also"",""display_label"":""What it is"",""reason"":""Authored What it is row links these phrase pages.""}","{""target_id"":""viet-phrase-city-hanoi-go-pho-bat-dan"",""target_page_id"":""viet-phrase-city-hanoi-go-pho-bat-dan"",""display_label"":""What it is"",""relation_type"":""see_also"",""sort_order"":0,""suppress"":false}",Relation remains useful at current priority.,,viet-phrase-city-hanoi-go-pho-bat-dan,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-021,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,KEEP_RELATION_REVIEW_ONLY,relation:813dcfe5d71c3e68,0,"{""target_id"":""viet-phrase-ves-popular-dish-here"",""target_page_id"":""viet-phrase-ves-popular-dish-here"",""relation_type"":""see_also"",""display_label"":""Inside the place"",""reason"":""Authored Inside the place row links these phrase pages.""}","{""target_id"":""viet-phrase-ves-popular-dish-here"",""target_page_id"":""viet-phrase-ves-popular-dish-here"",""display_label"":""Inside the place"",""relation_type"":""see_also"",""sort_order"":0,""suppress"":false}",Relation remains useful at current priority.,,viet-phrase-ves-popular-dish-here,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-022,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,KEEP_RELATION_REVIEW_ONLY,relation:c8566e19506f7aa3,0,"{""target_id"":""viet-phrase-store-6"",""target_page_id"":""viet-phrase-store-6"",""relation_type"":""see_also"",""display_label"":""When to use it"",""reason"":""Authored When to use it row links these phrase pages.""}","{""target_id"":""viet-phrase-store-6"",""target_page_id"":""viet-phrase-store-6"",""display_label"":""When to use it"",""relation_type"":""see_also"",""sort_order"":0,""suppress"":false}",Relation remains useful at current priority.,,viet-phrase-store-6,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-023,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,PROMOTE_RELATION_REVIEW_ONLY,relation:cc7a5715142b9a18,0,"{""target_id"":""viet-phrase-food-need-table"",""target_page_id"":""viet-phrase-food-need-table"",""relation_type"":""see_also"",""display_label"":""Menu and dietary help"",""reason"":""Authored Menu and dietary help row links these phrase pages.""}","{""target_id"":""viet-phrase-food-need-table"",""target_page_id"":""viet-phrase-food-need-table"",""display_label"":""Menu and dietary help"",""relation_type"":""see_also"",""sort_order"":0,""suppress"":false}",This relation supports the traveler’s next likely action.,,viet-phrase-food-need-table,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-024,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,KEEP_RELATION_REVIEW_ONLY,relation:d01b9c71cb1f9f20,0,"{""target_id"":""viet-phrase-city-hanoi-eat-near-bun-cha-huong-lien"",""target_page_id"":""viet-phrase-city-hanoi-eat-near-bun-cha-huong-lien"",""relation_type"":""next_step_after"",""display_label"":""Explore next"",""reason"":""Authored Explore next row links these phrase pages.""}","{""target_id"":""viet-phrase-city-hanoi-eat-near-bun-cha-huong-lien"",""target_page_id"":""viet-phrase-city-hanoi-eat-near-bun-cha-huong-lien"",""display_label"":""Explore next"",""relation_type"":""next_step_after"",""sort_order"":0,""suppress"":false}",Relation remains useful at current priority.,,viet-phrase-city-hanoi-eat-near-bun-cha-huong-lien,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-025,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,PROMOTE_RELATION_REVIEW_ONLY,relation:0561f65f9fe2ae86,1,"{""target_id"":""viet-phrase-taxi-7"",""target_page_id"":""viet-phrase-taxi-7"",""relation_type"":""see_also"",""display_label"":""When to use it"",""reason"":""Authored When to use it row links these phrase pages.""}","{""target_id"":""viet-phrase-taxi-7"",""target_page_id"":""viet-phrase-taxi-7"",""display_label"":""When to use it"",""relation_type"":""see_also"",""sort_order"":1,""suppress"":false}",This relation supports the traveler’s next likely action.,,viet-phrase-taxi-7,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-026,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,KEEP_RELATION_REVIEW_ONLY,relation:871e054f43fabb51,1,"{""target_id"":""viet-phrase-coffee-7"",""target_page_id"":""viet-phrase-coffee-7"",""relation_type"":""see_also"",""display_label"":""Inside the place"",""reason"":""Authored Inside the place row links these phrase pages.""}","{""target_id"":""viet-phrase-coffee-7"",""target_page_id"":""viet-phrase-coffee-7"",""display_label"":""Inside the place"",""relation_type"":""see_also"",""sort_order"":1,""suppress"":false}",Relation remains useful at current priority.,,viet-phrase-coffee-7,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-027,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,KEEP_RELATION_REVIEW_ONLY,relation:be866ddee1aa8b15,1,"{""target_id"":""viet-phrase-city-hanoi-stop-pho-bat-dan"",""target_page_id"":""viet-phrase-city-hanoi-stop-pho-bat-dan"",""relation_type"":""see_also"",""display_label"":""What it is"",""reason"":""Authored What it is row links these phrase pages.""}","{""target_id"":""viet-phrase-city-hanoi-stop-pho-bat-dan"",""target_page_id"":""viet-phrase-city-hanoi-stop-pho-bat-dan"",""display_label"":""What it is"",""relation_type"":""see_also"",""sort_order"":1,""suppress"":false}",Relation remains useful at current priority.,,viet-phrase-city-hanoi-stop-pho-bat-dan,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-028,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,PROMOTE_RELATION_REVIEW_ONLY,relation:cfcec88e47f26b83,1,"{""target_id"":""viet-phrase-food-menu"",""target_page_id"":""viet-phrase-food-menu"",""relation_type"":""see_also"",""display_label"":""Menu and dietary help"",""reason"":""Authored Menu and dietary help row links these phrase pages.""}","{""target_id"":""viet-phrase-food-menu"",""target_page_id"":""viet-phrase-food-menu"",""display_label"":""Menu and dietary help"",""relation_type"":""see_also"",""sort_order"":1,""suppress"":false}",This relation supports the traveler’s next likely action.,,viet-phrase-food-menu,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-029,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,PROMOTE_RELATION_REVIEW_ONLY,relation:4ac233a9cddee80c,2,"{""target_id"":""viet-phrase-ves-drop-me-off-here"",""target_page_id"":""viet-phrase-ves-drop-me-off-here"",""relation_type"":""see_also"",""display_label"":""Inside the place"",""reason"":""Authored Inside the place row links these phrase pages.""}","{""target_id"":""viet-phrase-ves-drop-me-off-here"",""target_page_id"":""viet-phrase-ves-drop-me-off-here"",""display_label"":""Inside the place"",""relation_type"":""see_also"",""sort_order"":2,""suppress"":false}",This relation supports the traveler’s next likely action.,,viet-phrase-ves-drop-me-off-here,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-030,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,PROMOTE_RELATION_REVIEW_ONLY,relation:734d10146db9c9ea,2,"{""target_id"":""viet-phrase-v900-food-drin-what-do-you-recommend"",""target_page_id"":""viet-phrase-v900-food-drin-what-do-you-recommend"",""relation_type"":""see_also"",""display_label"":""Menu and dietary help"",""reason"":""Authored Menu and dietary help row links these phrase pages.""}","{""target_id"":""viet-phrase-v900-food-drin-what-do-you-recommend"",""target_page_id"":""viet-phrase-v900-food-drin-what-do-you-recommend"",""display_label"":""Menu and dietary help"",""relation_type"":""see_also"",""sort_order"":2,""suppress"":false}",This relation supports the traveler’s next likely action.,,viet-phrase-v900-food-drin-what-do-you-recommend,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-031,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,KEEP_RELATION_REVIEW_ONLY,relation:ceac5775adc24de8,2,"{""target_id"":""viet-phrase-store-7"",""target_page_id"":""viet-phrase-store-7"",""relation_type"":""see_also"",""display_label"":""When to use it"",""reason"":""Authored When to use it row links these phrase pages.""}","{""target_id"":""viet-phrase-store-7"",""target_page_id"":""viet-phrase-store-7"",""display_label"":""When to use it"",""relation_type"":""see_also"",""sort_order"":2,""suppress"":false}",Relation remains useful at current priority.,,viet-phrase-store-7,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-032,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,PROMOTE_RELATION_REVIEW_ONLY,relation:f16f17ca6856af3a,2,"{""target_id"":""viet-phrase-city-hanoi-where-pho-bat-dan"",""target_page_id"":""viet-phrase-city-hanoi-where-pho-bat-dan"",""relation_type"":""see_also"",""display_label"":""What it is"",""reason"":""Authored What it is row links these phrase pages.""}","{""target_id"":""viet-phrase-city-hanoi-where-pho-bat-dan"",""target_page_id"":""viet-phrase-city-hanoi-where-pho-bat-dan"",""display_label"":""What it is"",""relation_type"":""see_also"",""sort_order"":2,""suppress"":false}",This relation supports the traveler’s next likely action.,,viet-phrase-city-hanoi-where-pho-bat-dan,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-033,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,PROMOTE_RELATION_REVIEW_ONLY,relation:dc91d756c8c3951c,3,"{""target_id"":""viet-phrase-food-peanut-allergy"",""target_page_id"":""viet-phrase-food-peanut-allergy"",""relation_type"":""see_also"",""display_label"":""Menu and dietary help"",""reason"":""Authored Menu and dietary help row links these phrase pages.""}","{""target_id"":""viet-phrase-food-peanut-allergy"",""target_page_id"":""viet-phrase-food-peanut-allergy"",""display_label"":""Menu and dietary help"",""relation_type"":""see_also"",""sort_order"":3,""suppress"":false}",This relation supports the traveler’s next likely action.,,viet-phrase-food-peanut-allergy,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
B001-REL-034,viet-phrase-city-hanoi-place-pho-bat-dan,city-hanoi-place-pho-bat-dan,REVIEW_ONLY,REVIEW_ONLY,PROMOTE_RELATION_REVIEW_ONLY,relation:adae223f64661d06,4,"{""target_id"":""viet-phrase-food-vegetarian"",""target_page_id"":""viet-phrase-food-vegetarian"",""relation_type"":""see_also"",""display_label"":""Menu and dietary help"",""reason"":""Authored Menu and dietary help row links these phrase pages.""}","{""target_id"":""viet-phrase-food-vegetarian"",""target_page_id"":""viet-phrase-food-vegetarian"",""display_label"":""Menu and dietary help"",""relation_type"":""see_also"",""sort_order"":4,""suppress"":false}",This relation supports the traveler’s next likely action.,,viet-phrase-food-vegetarian,NO_AUDIO_GENERATION_REUSE_OR_QUEUE,,,
