"rank","scenario_id","phrase_id","english_text","current_status","pack_bucket","access_tier_candidate","next_action","priority_reason","confidence","review_flag","relation_cluster_id","family_role","anchor_phrase_id","shortest_form_phrase_id","clearer_or_more_polite_phrase_id","likely_reply_family","primary_next_family","repair_family","parked_follow_on_family","parked_follow_on_class"
"11","polite-basics","tagalog-polite-basics-2","Thank you","first-wave-core","starter-core","starter","translate-now","Starter handoff core courtesy anchor with low wording risk across almost every travel exchange.","high","none","tagalog-polite-thank-you","anchor","tagalog-polite-basics-2","tagalog-polite-basics-2","","tagalog-polite-basics-3","","","tagalog-polite-basics-4","deferred-review"
"12","simple-problems","tagalog-simple-problems-6","I need a doctor","first-wave-core","starter-core","starter","translate-now","Starter handoff core safety phrase kept visible with an honest medical-review caution.","medium","medical-review","tagalog-medical-doctor","anchor","tagalog-simple-problems-6","tagalog-simple-problems-6","","","tagalog-polite-basics-5","tagalog-simple-problems-2","tagalog-simple-problems-7","later-only-hold"
"13","street-food","tagalog-street-food-7","Please pack this to go","first-wave-core","starter-core","starter","translate-now","Starter handoff core takeaway request for stalls and casual food counters without needing extra menu detail.","medium","none","tagalog-food-takeaway","anchor","tagalog-street-food-7","tagalog-street-food-7","","","tagalog-polite-basics-2","tagalog-simple-problems-2","",""
"14","asking-price","tagalog-asking-price-6","Please show me another one","first-wave-core","starter-core","starter","translate-now","Starter handoff core comparison-shopping phrase without leaning too early on bargaining-heavy language.","medium","none","tagalog-price-compare","anchor","tagalog-asking-price-6","tagalog-asking-price-6","","","tagalog-asking-price-7","tagalog-simple-problems-2","tagalog-convenience-store-6","recommended-next-pass-pickup"
"15","asking-price","tagalog-asking-price-7","I'll take this one","first-wave-core","starter-core","starter","translate-now","Starter handoff core purchase-closure line after price confirmation without needing more complex grammar.","high","none","tagalog-price-commit","anchor","tagalog-asking-price-7","tagalog-asking-price-7","","","tagalog-polite-basics-2","tagalog-simple-problems-2","tagalog-convenience-store-6","recommended-next-pass-pickup"
"16","polite-basics","tagalog-polite-basics-3","Yes, respectfully / I understand","first-wave-core","starter-core","starter","translate-now","Starter handoff core courtesy signal with a narrow note so travelers do not overuse or misplace `opo`.","medium","none","tagalog-polite-acknowledge","anchor","tagalog-polite-basics-3","tagalog-polite-basics-3","","","tagalog-polite-basics-2","tagalog-simple-problems-2","",""
"17","polite-basics","tagalog-polite-basics-4","No thanks, I'm okay","first-wave-deferred","deferred-review","premium","keep-deferred-refusal-review","graduation boundary: visible refusal row only; keep outside promotion until refusal-tone review lands, and if surfaced as a relation branch route back to thanks or the direct repair lane","medium","rewrite-before-review","tagalog-polite-decline-boundary","deferred-boundary","tagalog-polite-basics-4","tagalog-polite-basics-4","","","tagalog-polite-basics-2","tagalog-simple-problems-2","",""
"18","directions","tagalog-directions-1","Excuse me, how do I get to this place?","drafted","next-pass-expansion","","promote-now-slice-1","direct-pickup contract row 1 of 5: packet outcome promote now for the next prep-only slice because it is the strongest map-showing bridge back into the starter directions pair; still needs directions confidence review before runtime-safe promotion","medium","native-confidence-review","tagalog-directions-map-showing","pickup-candidate","tagalog-directions-1","tagalog-directions-1","","","tagalog-directions-2","tagalog-simple-problems-2","",""
"19","hotel-hostel","tagalog-hotel-hostel-1","I have a reservation","drafted","next-pass-expansion","","promote-now-slice-2","direct-pickup contract row 2 of 5: packet outcome promote now for the next prep-only slice because it is the hotel-arrival anchor and should advance with check-in; still carries hotel-language review debt before runtime-safe promotion","medium","hotel-language-review","tagalog-hotel-reservation","pickup-candidate","tagalog-hotel-hostel-1","tagalog-hotel-hostel-1","","","tagalog-hotel-hostel-2","tagalog-simple-problems-2","",""
"20","hotel-hostel","tagalog-hotel-hostel-2","I'd like to check in","drafted","next-pass-expansion","","promote-now-slice-3","direct-pickup contract row 3 of 5: packet outcome promote now for the next prep-only slice because the arrival pair should advance together; still carries hotel-language review debt before runtime-safe promotion","medium","hotel-language-review","tagalog-hotel-check-in","pickup-candidate","tagalog-hotel-hostel-2","tagalog-hotel-hostel-2","","","tagalog-hotel-hostel-5","tagalog-simple-problems-2","",""
"21","hotel-hostel","tagalog-hotel-hostel-5","The air conditioning isn't working","drafted","next-pass-expansion","","defer-native-expert-review","direct-pickup contract row 4 of 5: packet outcome defer for native/expert review because the room-issue branch stays visible but `aircon` wording still needs the stricter hotel-language review surface before it advances","medium","hotel-language-review","tagalog-hotel-aircon-repair","pickup-candidate","tagalog-hotel-hostel-5","tagalog-hotel-hostel-5","","","tagalog-polite-basics-2","tagalog-simple-problems-2","",""
"22","convenience-store","tagalog-convenience-store-6","Can I pay by card?","drafted","next-pass-expansion","","keep-prep-only","direct-pickup contract row 5 of 5: packet outcome keep prep-only because it remains the strongest payment follow-on but stays outside the immediate next slice while payment-language review is still open","medium","payment-review","tagalog-store-card-payment","pickup-candidate","tagalog-convenience-store-6","tagalog-convenience-store-6","","","tagalog-polite-basics-2","tagalog-simple-problems-2","",""
"23","simple-problems","tagalog-simple-problems-7","Could you call them for me?","drafted","later-only-hold","","keep-later-only-hold","later-only hold boundary: keep behind the five-row direct-pickup contract until escalation and register review are worth reopening","medium","register-review","tagalog-escalation-call-for-me","later-only-hold","tagalog-simple-problems-7","tagalog-simple-problems-7","","","tagalog-polite-basics-2","tagalog-simple-problems-2","",""
"24","grab-taxi","tagalog-grab-taxi-7","I'll pay in cash","drafted","later-only-hold","","keep-later-only-hold","later-only hold boundary: keep behind the five-row direct-pickup contract and do not reopen until that contract is promoted or explicitly rejected in order","medium","payment-scope-review","tagalog-ride-cash-payment","later-only-hold","tagalog-grab-taxi-7","tagalog-grab-taxi-7","","","tagalog-polite-basics-2","tagalog-simple-problems-2","",""
