"rank","scenario_id","phrase_id","english_text","target_text","pronunciation","context","current_status","pack_bucket","access_tier_candidate","next_action","confidence","review_flag","notes","relation_cluster_id","family_role","anchor_phrase_id","shortest_form_phrase_id","clearer_or_more_polite_phrase_id","likely_reply_family","primary_next_family","repair_family","parked_follow_on_family","parked_follow_on_class"
"11","polite-basics","tagalog-polite-basics-2","Thank you","Salamat","sah-LAH-mat","Say this anytime someone helps you","first-wave-core","starter-core","starter","translate-now","high","none","starter handoff core courtesy anchor","tagalog-polite-thank-you","anchor","tagalog-polite-basics-2","tagalog-polite-basics-2","","tagalog-polite-basics-3","","","tagalog-polite-basics-4","deferred-review"
"12","simple-problems","tagalog-simple-problems-6","I need a doctor","Kailangan ko ng doktor","kah-ee-LAH-ngan koh nang dok-TOR","Use this if you feel sick and need medical help","first-wave-core","starter-core","starter","translate-now","medium","medical-review","starter handoff core keep medical review caution","tagalog-medical-doctor","anchor","tagalog-simple-problems-6","tagalog-simple-problems-6","","","tagalog-polite-basics-5","tagalog-simple-problems-2","tagalog-simple-problems-7","later-only-hold"
"13","street-food","tagalog-street-food-7","Please pack this to go","Pabalot na lang pakiusap","pah-bah-LOT nah lahng pah-kee-OO-sap","Say this when you want takeaway from a stall or restaurant","first-wave-core","starter-core","starter","translate-now","medium","none","starter handoff core takeaway request","tagalog-food-takeaway","anchor","tagalog-street-food-7","tagalog-street-food-7","","","tagalog-polite-basics-2","tagalog-simple-problems-2","",""
"14","asking-price","tagalog-asking-price-6","Please show me another one","Pakipakita po ang isa pa","pah-kee-pah-KEE-tah poh ang EE-sah pah","Use this when you want to compare options","first-wave-core","starter-core","starter","translate-now","medium","none","starter handoff core comparison-shopping line with clearer polite request wording","tagalog-price-compare","anchor","tagalog-asking-price-6","tagalog-asking-price-6","","","tagalog-asking-price-7","tagalog-simple-problems-2","tagalog-convenience-store-6","recommended-next-pass-pickup"
"15","asking-price","tagalog-asking-price-7","I'll take this one","Ito ang kukunin ko","ee-TOH ang koo-KOO-nin koh","Say this once you agree on the item and price","first-wave-core","starter-core","starter","translate-now","high","none","starter handoff core purchase closure line","tagalog-price-commit","anchor","tagalog-asking-price-7","tagalog-asking-price-7","","","tagalog-polite-basics-2","tagalog-simple-problems-2","tagalog-convenience-store-6","recommended-next-pass-pickup"
"16","polite-basics","tagalog-polite-basics-3","Yes, respectfully / I understand","Opo","OH-poh","Use this as a respectful yes or acknowledgment when replying to someone older or in a service exchange","first-wave-core","starter-core","starter","translate-now","medium","none","starter handoff core usage note tightened","tagalog-polite-acknowledge","anchor","tagalog-polite-basics-3","tagalog-polite-basics-3","","","tagalog-polite-basics-2","tagalog-simple-problems-2","",""
"17","polite-basics","tagalog-polite-basics-4","No thanks, I'm okay","Ayos lang salamat","AH-yos lahng sah-LAH-mat","Use this to politely decline an offer or sales approach","first-wave-deferred","deferred-review","premium","keep-deferred-refusal-review","medium","rewrite-before-review","graduation boundary: visible refusal row only; keep outside promotion until refusal-tone review lands, and if surfaced as a relation branch route back to thanks or the direct repair lane","tagalog-polite-decline-boundary","deferred-boundary","tagalog-polite-basics-4","tagalog-polite-basics-4","","","tagalog-polite-basics-2","tagalog-simple-problems-2","",""
"18","directions","tagalog-directions-1","Excuse me, how do I get to this place?","Paumanhin, paano po pumunta sa lugar na ito","pah-oo-MAN-hin pah-AH-noh poh poo-MOON-tah sah loo-GAR nah ee-TOH","Use this while showing a pinned place on your phone instead of naming a specific landmark","drafted","next-pass-expansion","","promote-now-slice-1","medium","native-confidence-review","direct-pickup contract row 1 of 5: packet outcome promote now for the next prep-only slice because it is the strongest map-showing bridge back into the starter directions pair; still needs directions confidence review before runtime-safe promotion","tagalog-directions-map-showing","pickup-candidate","tagalog-directions-1","tagalog-directions-1","","","tagalog-directions-2","tagalog-simple-problems-2","",""
"19","hotel-hostel","tagalog-hotel-hostel-1","I have a reservation","May reservation ako","may reh-zur-VAY-shon ah-KOH","Use this first at reception while showing your booking details","drafted","next-pass-expansion","","promote-now-slice-2","medium","hotel-language-review","direct-pickup contract row 2 of 5: packet outcome promote now for the next prep-only slice because it is the hotel-arrival anchor and should advance with check-in; still carries hotel-language review debt before runtime-safe promotion","tagalog-hotel-reservation","pickup-candidate","tagalog-hotel-hostel-1","tagalog-hotel-hostel-1","","","tagalog-hotel-hostel-2","tagalog-simple-problems-2","",""
"20","hotel-hostel","tagalog-hotel-hostel-2","I'd like to check in","Mag-check in po ako","mag-CHECK in poh ah-KOH","Say this when you are ready to start the arrival check in process","drafted","next-pass-expansion","","promote-now-slice-3","medium","hotel-language-review","direct-pickup contract row 3 of 5: packet outcome promote now for the next prep-only slice because the arrival pair should advance together; still carries hotel-language review debt before runtime-safe promotion","tagalog-hotel-check-in","pickup-candidate","tagalog-hotel-hostel-2","tagalog-hotel-hostel-2","","","tagalog-hotel-hostel-5","tagalog-simple-problems-2","",""
"21","hotel-hostel","tagalog-hotel-hostel-5","The air conditioning isn't working","Hindi gumagana ang aircon","hin-DEE goo-ma-GAH-na ang AIR-kon","Say this when you need staff to check the AC in your room","drafted","next-pass-expansion","","defer-native-expert-review","medium","hotel-language-review","direct-pickup contract row 4 of 5: packet outcome defer for native/expert review because the room-issue branch stays visible but `aircon` wording still needs the stricter hotel-language review surface before it advances","tagalog-hotel-aircon-repair","pickup-candidate","tagalog-hotel-hostel-5","tagalog-hotel-hostel-5","","","tagalog-polite-basics-2","tagalog-simple-problems-2","",""
"22","convenience-store","tagalog-convenience-store-6","Can I pay by card?","Puwede bang magbayad gamit ang card","poo-WEH-deh bahng mag-bah-YAD gah-mit ang kard","Ask this before checkout if you are short on cash","drafted","next-pass-expansion","","keep-prep-only","medium","payment-review","direct-pickup contract row 5 of 5: packet outcome keep prep-only because it remains the strongest payment follow-on but stays outside the immediate next slice while payment-language review is still open","tagalog-store-card-payment","pickup-candidate","tagalog-convenience-store-6","tagalog-convenience-store-6","","","tagalog-polite-basics-2","tagalog-simple-problems-2","",""
"23","simple-problems","tagalog-simple-problems-7","Could you call them for me?","Puwede po ba ninyong tawagan sila para sa akin","poo-WEH-deh poh bah nin-YOHNG tah-WAH-gan see-LAH pah-rah sah ah-KIN","Use this when you need a hotel desk driver or staff member to call for you","drafted","later-only-hold","","keep-later-only-hold","medium","register-review","later-only hold boundary: keep behind the five-row direct-pickup contract until escalation and register review are worth reopening","tagalog-escalation-call-for-me","later-only-hold","tagalog-simple-problems-7","tagalog-simple-problems-7","","","tagalog-polite-basics-2","tagalog-simple-problems-2","",""
"24","grab-taxi","tagalog-grab-taxi-7","I'll pay in cash","Cash ang bayad ko","kash ang BAH-yad koh","Use this when payment method needs to be clear in the ride or at a small counter","drafted","later-only-hold","","keep-later-only-hold","medium","payment-scope-review","later-only hold boundary: keep behind the five-row direct-pickup contract and do not reopen until that contract is promoted or explicitly rejected in order","tagalog-ride-cash-payment","later-only-hold","tagalog-grab-taxi-7","tagalog-grab-taxi-7","","","tagalog-polite-basics-2","tagalog-simple-problems-2","",""
